Orthogroup	Pran	Syap
OG0000004	Pran.g_00200	Syap.g_01987
OG0000005	Pran.g_00983	Syap.g_01773
OG0000005	Pran.g_00657	Syap.g_01218
OG0000006	Pran.g_01951	Syap.g_02770
OG0000007	Pran.g_01681	Syap.g_00275
OG0000007	Pran.g_00970	Syap.g_00621
OG0000009	Pran.g_00328	Syap.g_02081
OG0000010	Pran.g_00175	Syap.g_02757
OG0000013	Pran.g_01867	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Pran.g_01888	Syap.g_01675
OG0000014	Pran.g_00755, Pran.g_00754	Syap.g_00813
OG0000015	Pran.g_01394	Syap.g_02606, Syap.g_00786
OG0000017	Pran.g_01580	Syap.g_00449
OG0000018	Pran.g_01316	Syap.g_02708
OG0000018	Pran.g_00078	Syap.g_02010
OG0000019	Pran.g_01943, Pran.g_01363	Syap.g_01586
OG0000025	Pran.g_01863, Pran.g_01309	Syap.g_01846
OG0000027	Pran.g_00583	Syap.g_01440
OG0000028	Pran.g_01874	Syap.g_01658
OG0000030	Pran.g_01170	Syap.g_00787, Syap.g_00788
OG0000031	Pran.g_00753	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Pran.g_00800	Syap.g_01198
OG0000034	Pran.g_00866	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Pran.g_00733	Syap.g_02125, Syap.g_02465
OG0000037	Pran.g_00324	Syap.g_02492
OG0000038	Pran.g_01210	Syap.g_00139
OG0000039	Pran.g_01492	Syap.g_01749, Syap.g_01748
OG0000040	Pran.g_00079	Syap.g_01819
OG0000041	Pran.g_01016	Syap.g_01510
OG0000042	Pran.g_01167	Syap.g_01891, Syap.g_01120
OG0000044	Pran.g_00949	Syap.g_00378
OG0000048	Pran.g_01772, Pran.g_01820	Syap.g_02340
OG0000051	Pran.g_00944, Pran.g_00898	Syap.g_01574
OG0000053	Pran.g_00713	Syap.g_02006
OG0000054	Pran.g_01572	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Pran.g_01480	Syap.g_01569
OG0000059	Pran.g_01056	Syap.g_01918
OG0000060	Pran.g_01399	Syap.g_00795
OG0000061	Pran.g_00060	Syap.g_00228
OG0000062	Pran.g_00655	Syap.g_01220
OG0000063	Pran.g_00391	Syap.g_01796
OG0000066	Pran.g_01639	Syap.g_01972
OG0000067	Pran.g_01343	Syap.g_00194
OG0000068	Pran.g_00841	Syap.g_00108, Syap.g_00144
OG0000069	Pran.g_00614	Syap.g_01936, Syap.g_01543, Syap.g_01545
