Orthogroup	Pran	Syaq
OG0000004	Pran.g_01483	Syaq.g_02603
OG0000004	Pran.g_00200	Syaq.g_02042, Syaq.g_01567
OG0000005	Pran.g_00983	Syaq.g_01658
OG0000005	Pran.g_00657	Syaq.g_01692
OG0000006	Pran.g_01951	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Pran.g_01681	Syaq.g_01793
OG0000007	Pran.g_00970	Syaq.g_01673
OG0000009	Pran.g_00328	Syaq.g_01489
OG0000010	Pran.g_00175	Syaq.g_00443
OG0000011	Pran.g_01384	Syaq.g_01038
OG0000012	Pran.g_01555	Syaq.g_02059, Syaq.g_00077
OG0000013	Pran.g_01867	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Pran.g_01888	Syaq.g_00862
OG0000014	Pran.g_00755, Pran.g_00754	Syaq.g_00907, Syaq.g_00933
OG0000015	Pran.g_01394	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000017	Pran.g_01580	Syaq.g_01992, Syaq.g_01999
OG0000018	Pran.g_00078	Syaq.g_00401
OG0000019	Pran.g_01943, Pran.g_01363	Syaq.g_00717
OG0000022	Pran.g_00097	Syaq.g_02126
OG0000023	Pran.g_01834	Syaq.g_02540
OG0000025	Pran.g_01863, Pran.g_01309	Syaq.g_02381
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syaq.g_01114
OG0000028	Pran.g_01874	Syaq.g_00878
OG0000030	Pran.g_01170	Syaq.g_01047, Syaq.g_01048
OG0000031	Pran.g_00753	Syaq.g_01009
OG0000033	Pran.g_00800	Syaq.g_01399
OG0000034	Pran.g_00866	Syaq.g_00312, Syaq.g_01431
OG0000035	Pran.g_00733	Syaq.g_00372, Syaq.g_00371
OG0000037	Pran.g_00324	Syaq.g_01483
OG0000038	Pran.g_01210	Syaq.g_01260, Syaq.g_01258
OG0000039	Pran.g_01492	Syaq.g_01601, Syaq.g_01241
OG0000041	Pran.g_01016	Syaq.g_02688, Syaq.g_01612
OG0000042	Pran.g_01167	Syaq.g_00200, Syaq.g_01044
OG0000044	Pran.g_00949	Syaq.g_00107, Syaq.g_02701
OG0000045	Pran.g_01823	Syaq.g_02047
OG0000048	Pran.g_01772, Pran.g_01820	Syaq.g_00749
OG0000052	Pran.g_00777	Syaq.g_00935
OG0000053	Pran.g_00713	Syaq.g_00397
OG0000054	Pran.g_01572	Syaq.g_02005
OG0000055	Pran.g_01362	Syaq.g_02700
OG0000057	Pran.g_01480	Syaq.g_02541, Syaq.g_02605
OG0000059	Pran.g_01056	Syaq.g_00657
OG0000060	Pran.g_01399	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201
OG0000061	Pran.g_00060	Syaq.g_00249
OG0000062	Pran.g_00655	Syaq.g_01690
OG0000063	Pran.g_00391	Syaq.g_01110
OG0000065	Pran.g_00326	Syaq.g_01487, Syaq.g_01908
OG0000066	Pran.g_01639	Syaq.g_01851
OG0000067	Pran.g_01343	Syaq.g_02340, Syaq.g_02560
OG0000068	Pran.g_00841	Syaq.g_01763
OG0000070	Pran.g_01727	Syaq.g_00484
OG0000071	Pran.g_00938, Pran.g_00876	Syaq.g_00297
