Orthogroup	Pran	Syab
OG0000000	Pran.g_00582	Syab.g_01226
OG0000002	Pran.g_01500	Syab.g_02285
OG0000004	Pran.g_01483	Syab.g_00549, Syab.g_01193
OG0000004	Pran.g_00200	Syab.g_01911, Syab.g_02377
OG0000005	Pran.g_00983	Syab.g_02289
OG0000005	Pran.g_00657	Syab.g_02806, Syab.g_02232
OG0000006	Pran.g_01951	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Pran.g_01681	Syab.g_02117
OG0000007	Pran.g_00970	Syab.g_02256
OG0000009	Pran.g_00615	Syab.g_00995
OG0000009	Pran.g_00328	Syab.g_02498
OG0000010	Pran.g_00175	Syab.g_00696
OG0000011	Pran.g_01384	Syab.g_01491
OG0000012	Pran.g_01555	Syab.g_01774, Syab.g_00953
OG0000013	Pran.g_01867	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Pran.g_01888	Syab.g_00249
OG0000014	Pran.g_00755, Pran.g_00754	Syab.g_00178
OG0000015	Pran.g_01394	Syab.g_02889
OG0000017	Pran.g_01580	Syab.g_01953, Syab.g_01945
OG0000018	Pran.g_00078	Syab.g_00742
OG0000019	Pran.g_01943, Pran.g_01363	Syab.g_00344
OG0000020	Pran.g_00117, Pran.g_01804	Syab.g_02230
OG0000022	Pran.g_00097	Syab.g_01825
OG0000023	Pran.g_01834	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Pran.g_01420, Pran.g_01503	Syab.g_01834
OG0000025	Pran.g_01863, Pran.g_01309	Syab.g_01705
OG0000026	Pran.g_00168	Syab.g_00036
OG0000027	Pran.g_00583	Syab.g_01782
OG0000028	Pran.g_01874	Syab.g_00234
OG0000030	Pran.g_01170	Syab.g_00096, Syab.g_00095
OG0000031	Pran.g_00753	Syab.g_00160
OG0000033	Pran.g_00800	Syab.g_02590
OG0000034	Pran.g_00866	Syab.g_00900, Syab.g_02560
OG0000035	Pran.g_00733	Syab.g_00776, Syab.g_00778
OG0000037	Pran.g_00324	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Pran.g_01210	Syab.g_02759, Syab.g_02761
OG0000039	Pran.g_01492	Syab.g_02791
OG0000040	Pran.g_00079	Syab.g_02853
OG0000041	Pran.g_01016	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Pran.g_01167	Syab.g_01019, Syab.g_00099
OG0000044	Pran.g_00949	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Pran.g_01823	Syab.g_01787
OG0000047	Pran.g_01864	Syab.g_00876
OG0000048	Pran.g_01772, Pran.g_01820	Syab.g_00308
OG0000053	Pran.g_00713	Syab.g_00746
OG0000054	Pran.g_01572	Syab.g_01932
OG0000055	Pran.g_01362	Syab.g_01255
OG0000057	Pran.g_01480	Syab.g_01200
OG0000059	Pran.g_01056	Syab.g_00397
OG0000060	Pran.g_01399	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707
OG0000061	Pran.g_00060	Syab.g_00969
OG0000062	Pran.g_00655	Syab.g_02234
OG0000063	Pran.g_00391	Syab.g_00040
OG0000065	Pran.g_00326	Syab.g_02500, Syab.g_01768
OG0000066	Pran.g_01639	Syab.g_01516, Syab.g_02031
OG0000067	Pran.g_01343	Syab.g_01659
OG0000068	Pran.g_00841	Syab.g_02087
OG0000070	Pran.g_01727	Syab.g_00614
OG0000071	Pran.g_00938, Pran.g_00876	Syab.g_00915
OG0000072	Pran.g_00261	Syab.g_02593
OG0000073	Pran.g_01679	Syab.g_02119
OG0000075	Pran.g_01137	Syab.g_00202
OG0000076	Pran.g_01160	Syab.g_00113
OG0000077	Pran.g_00354	Syab.g_02446
OG0000078	Pran.g_00194	Syab.g_02366
OG0000079	Pran.g_01940	Syab.g_00340
OG0000080	Pran.g_00796, Pran.g_00794	Syab.g_00140
OG0000081	Pran.g_01647	Syab.g_01793
OG0000082	Pran.g_01593	Syab.g_01971
OG0000084	Pran.g_00737	Syab.g_00781
OG0000085	Pran.g_00963	Syab.g_02243
OG0000086	Pran.g_00344	Syab.g_02468
OG0000087	Pran.g_00295	Syab.g_02551
OG0000088	Pran.g_00266	Syab.g_02586
OG0000089	Pran.g_01839	Syab.g_00551
OG0000090	Pran.g_01645	Syab.g_02041
OG0000091	Pran.g_01536	Syab.g_01866
OG0000093	Pran.g_00455	Syab.g_01582
