Orthogroup	Pran	Prae
OG0000000	Pran.g_00582	Prae.g_01310
OG0000000	Pran.g_00601	Prae.g_01580
OG0000000	Pran.g_00001	Prae.g_01222
OG0000000	Pran.g_00602	Prae.g_01222
OG0000000	Pran.g_00001	Prae.g_01579
OG0000000	Pran.g_00602	Prae.g_01579
OG0000000	Pran.g_00593	Prae.g_01300
OG0000000	Pran.g_00894	Prae.g_01308
OG0000001	Pran.g_01395	Prae.g_01236
OG0000002	Pran.g_01500	Prae.g_00652
OG0000004	Pran.g_01483	Prae.g_00669
OG0000004	Pran.g_00200	Prae.g_00235
OG0000005	Pran.g_00983	Prae.g_01636
OG0000005	Pran.g_00657	Prae.g_01535
OG0000006	Pran.g_01951	Prae.g_00244
OG0000007	Pran.g_01681	Prae.g_00471
OG0000007	Pran.g_00970	Prae.g_01623
OG0000008	Pran.g_01506	Prae.g_00646
OG0000009	Pran.g_00615	Prae.g_01270, Prae.g_01572
OG0000010	Pran.g_01704	Prae.g_00448
OG0000010	Pran.g_00175	Prae.g_01048
OG0000011	Pran.g_01384	Prae.g_01245
OG0000012	Pran.g_01555	Prae.g_00597
OG0000013	Pran.g_01867	Prae.g_00328
OG0000014	Pran.g_01888	Prae.g_00307
OG0000014	Pran.g_00755, Pran.g_00754	Prae.g_01401
OG0000015	Pran.g_01394	Prae.g_00769, Prae.g_01235
OG0000017	Pran.g_01580	Prae.g_00572
OG0000018	Pran.g_01316	Prae.g_00833
OG0000018	Pran.g_00078	Prae.g_01144
OG0000019	Pran.g_01943	Prae.g_00252
OG0000019	Pran.g_01363	Prae.g_00786
OG0000020	Pran.g_00117	Prae.g_01107
OG0000021	Pran.g_01829	Prae.g_01600, Prae.g_00364
OG0000022	Pran.g_00097	Prae.g_01125
OG0000022	Pran.g_01401	Prae.g_00764
OG0000023	Pran.g_01834	Prae.g_00359
OG0000024	Pran.g_01420	Prae.g_00748
OG0000024	Pran.g_01503	Prae.g_00649
OG0000025	Pran.g_01863	Prae.g_00332
OG0000025	Pran.g_01309	Prae.g_00840
OG0000026	Pran.g_00393	Prae.g_00031
OG0000026	Pran.g_00168	Prae.g_01056
OG0000027	Pran.g_00583	Prae.g_00444, Prae.g_01311
OG0000028	Pran.g_01874	Prae.g_00321
OG0000029	Pran.g_01410	Prae.g_00755
OG0000030	Pran.g_01170	Prae.g_01825
OG0000031	Pran.g_00753	Prae.g_01402, Prae.g_01391
OG0000033	Pran.g_00800	Prae.g_01396
OG0000033	Pran.g_00263	Prae.g_00172
OG0000034	Pran.g_00866	Prae.g_01339
OG0000035	Pran.g_00733	Prae.g_01459
OG0000037	Pran.g_00324	Prae.g_00108
OG0000038	Pran.g_01210	Prae.g_01865
OG0000039	Pran.g_01492	Prae.g_00660
OG0000040	Pran.g_00923	Prae.g_01597
OG0000040	Pran.g_00079	Prae.g_01143
OG0000041	Pran.g_01016	Prae.g_01669
OG0000042	Pran.g_01167	Prae.g_01822
OG0000043	Pran.g_00179	Prae.g_00876
OG0000045	Pran.g_01823	Prae.g_00371
OG0000047	Pran.g_01864	Prae.g_00331
OG0000048	Pran.g_01820	Prae.g_00374
OG0000049	Pran.g_01811	Prae.g_00383
OG0000049	Pran.g_00526	Prae.g_01264
OG0000050	Pran.g_00149	Prae.g_01077
OG0000051	Pran.g_00944	Prae.g_01602
OG0000051	Pran.g_00898	Prae.g_01294
OG0000052	Pran.g_00777	Prae.g_01416
OG0000053	Pran.g_00713	Prae.g_01479
OG0000054	Pran.g_01572	Prae.g_00580
OG0000055	Pran.g_01362	Prae.g_00787
OG0000057	Pran.g_01480	Prae.g_00672
OG0000058	Pran.g_00807	Prae.g_01417
OG0000059	Pran.g_01056	Prae.g_01710
OG0000060	Pran.g_01399	Prae.g_01238
OG0000061	Pran.g_00060	Prae.g_01163
OG0000062	Pran.g_00655	Prae.g_01537
OG0000063	Pran.g_00391	Prae.g_00033
OG0000065	Pran.g_00326	Prae.g_00106
OG0000066	Pran.g_01639	Prae.g_00514
OG0000067	Pran.g_01343	Prae.g_00806
OG0000068	Pran.g_00841	Prae.g_01368
OG0000069	Pran.g_00614	Prae.g_01573
OG0000070	Pran.g_01727	Prae.g_00424
OG0000071	Pran.g_00938, Pran.g_00876	Prae.g_01329
OG0000072	Pran.g_00261	Prae.g_00174
OG0000073	Pran.g_01679	Prae.g_00473
OG0000074	Pran.g_01496	Prae.g_00656
OG0000075	Pran.g_01137	Prae.g_01791
OG0000076	Pran.g_01160	Prae.g_01815
OG0000077	Pran.g_00354	Prae.g_00078
OG0000078	Pran.g_00194	Prae.g_00242
OG0000079	Pran.g_01940	Prae.g_00255
OG0000081	Pran.g_01647	Prae.g_00505
OG0000082	Pran.g_01593	Prae.g_00559
OG0000083	Pran.g_00895	Prae.g_01297
OG0000083	Pran.g_00576	Prae.g_00735
OG0000084	Pran.g_00737	Prae.g_01455
OG0000085	Pran.g_00963	Prae.g_01616
OG0000086	Pran.g_00344	Prae.g_00088
OG0000087	Pran.g_00295	Prae.g_00139
OG0000088	Pran.g_00266	Prae.g_00169
OG0000089	Pran.g_01839	Prae.g_00355
OG0000090	Pran.g_01645	Prae.g_00508
OG0000091	Pran.g_01536	Prae.g_00616
OG0000092	Pran.g_00434	Prae.g_00913
OG0000093	Pran.g_00455	Prae.g_00933
OG0000094	Pran.g_00549	Prae.g_01021
OG0000095	Pran.g_00903, Pran.g_00568	Prae.g_01040
OG0000096	Pran.g_00114	Prae.g_01110
OG0000097	Pran.g_00019	Prae.g_01204
OG0000098	Pran.g_00855	Prae.g_01350
OG0000099	Pran.g_00806	Prae.g_01390
OG0000100	Pran.g_00659	Prae.g_01533
OG0000101	Pran.g_01105	Prae.g_01758
OG0000102	Pran.g_01165	Prae.g_01820
OG0000103	Pran.g_01244	Prae.g_01899
OG0000104	Pran.g_01253	Prae.g_01907
OG0000105	Pran.g_01920	Prae.g_01440
OG0000106	Pran.g_01824	Prae.g_00370
OG0000107	Pran.g_01808	Prae.g_00385
OG0000108	Pran.g_01698	Prae.g_00454
OG0000109	Pran.g_01684	Prae.g_00468
OG0000110	Pran.g_01603	Prae.g_00549
OG0000111	Pran.g_01479	Prae.g_00673
OG0000112	Pran.g_01378	Prae.g_00770
OG0000113	Pran.g_01321	Prae.g_00828
OG0000114	Pran.g_00429	Prae.g_00908
OG0000115	Pran.g_00123	Prae.g_01102
OG0000116	Pran.g_00070	Prae.g_01153
OG0000117	Pran.g_01466	Prae.g_01263
OG0000118	Pran.g_00864	Prae.g_01341
OG0000119	Pran.g_00845	Prae.g_01364
OG0000120	Pran.g_00752	Prae.g_01389
OG0000121	Pran.g_00731	Prae.g_01461
OG0000122	Pran.g_00693	Prae.g_01499
OG0000123	Pran.g_01112	Prae.g_01766
OG0000124	Pran.g_01176	Prae.g_01831
OG0000125	Pran.g_01212	Prae.g_01867
OG0000126	Pran.g_01252	Prae.g_01906
OG0000128	Pran.g_01268	Prae.g_00011
OG0000129	Pran.g_00381	Prae.g_00046
OG0000130	Pran.g_00363	Prae.g_00069
OG0000131	Pran.g_00288	Prae.g_00148
OG0000132	Pran.g_00268	Prae.g_00167
OG0000133	Pran.g_01872	Prae.g_00323
OG0000134	Pran.g_01838	Prae.g_00356
OG0000135	Pran.g_01812	Prae.g_00382
OG0000136	Pran.g_01739	Prae.g_00415
OG0000137	Pran.g_01703	Prae.g_00449
OG0000138	Pran.g_01683	Prae.g_00469
OG0000139	Pran.g_01641	Prae.g_00512
OG0000140	Pran.g_01640	Prae.g_00513
OG0000141	Pran.g_01571	Prae.g_00581
OG0000142	Pran.g_01543	Prae.g_00609
OG0000143	Pran.g_01539	Prae.g_00613
OG0000144	Pran.g_01526	Prae.g_00626
OG0000145	Pran.g_01400	Prae.g_00766
OG0000146	Pran.g_01377	Prae.g_00771
OG0000147	Pran.g_01376	Prae.g_00772
OG0000148	Pran.g_01327	Prae.g_00822
OG0000149	Pran.g_01297	Prae.g_00852
OG0000150	Pran.g_01289	Prae.g_00860
OG0000151	Pran.g_00439	Prae.g_00918
OG0000152	Pran.g_00487	Prae.g_00964
OG0000153	Pran.g_00506	Prae.g_00983
OG0000154	Pran.g_00542	Prae.g_01014
OG0000155	Pran.g_00040	Prae.g_01183
OG0000156	Pran.g_00887	Prae.g_01317
OG0000157	Pran.g_00886	Prae.g_01318
OG0000158	Pran.g_00822	Prae.g_01426
OG0000159	Pran.g_00808	Prae.g_01438
OG0000160	Pran.g_00732	Prae.g_01460
OG0000161	Pran.g_00726	Prae.g_01466
OG0000162	Pran.g_00720	Prae.g_01472
OG0000163	Pran.g_00686	Prae.g_01506
OG0000164	Pran.g_00994	Prae.g_01647
OG0000165	Pran.g_01001	Prae.g_01654
OG0000166	Pran.g_01069, Pran.g_01068	Prae.g_01722
OG0000167	Pran.g_01135	Prae.g_01789
OG0000168	Pran.g_01144	Prae.g_01799
OG0000169	Pran.g_01154	Prae.g_01809
OG0000170	Pran.g_01156	Prae.g_01811
OG0000171	Pran.g_01175	Prae.g_01830
OG0000172	Pran.g_01184	Prae.g_01838
OG0000173	Pran.g_01199	Prae.g_01853
OG0000174	Pran.g_01226	Prae.g_01881
OG0000175	Pran.g_01236	Prae.g_01891
OG0000176	Pran.g_01261	Prae.g_00004
OG0000177	Pran.g_01262	Prae.g_00005
OG0000178	Pran.g_01263	Prae.g_00006
OG0000179	Pran.g_00408	Prae.g_00016
OG0000180	Pran.g_00407	Prae.g_00017
OG0000181	Pran.g_00406	Prae.g_00018
OG0000182	Pran.g_00405	Prae.g_00019
OG0000183	Pran.g_00401	Prae.g_00023
OG0000184	Pran.g_00379	Prae.g_00048
OG0000185	Pran.g_00376	Prae.g_00051
OG0000186	Pran.g_00368	Prae.g_00064
OG0000187	Pran.g_00367	Prae.g_00065
OG0000188	Pran.g_00350	Prae.g_00082
OG0000189	Pran.g_00337	Prae.g_00096
OG0000190	Pran.g_00336	Prae.g_00097
OG0000191	Pran.g_00316	Prae.g_00117
OG0000192	Pran.g_00312	Prae.g_00121
OG0000193	Pran.g_00287	Prae.g_00149
OG0000194	Pran.g_00283	Prae.g_00152
OG0000195	Pran.g_00281	Prae.g_00154
OG0000196	Pran.g_00271	Prae.g_00164
OG0000197	Pran.g_00270	Prae.g_00165
OG0000198	Pran.g_00269	Prae.g_00166
OG0000199	Pran.g_00262	Prae.g_00173
OG0000200	Pran.g_00248	Prae.g_00187
OG0000201	Pran.g_00240	Prae.g_00195
OG0000202	Pran.g_00239	Prae.g_00196
OG0000203	Pran.g_00238	Prae.g_00197
OG0000204	Pran.g_00237	Prae.g_00198
OG0000205	Pran.g_00230	Prae.g_00205
OG0000206	Pran.g_00225	Prae.g_00210
OG0000207	Pran.g_00223	Prae.g_00212
OG0000208	Pran.g_00222	Prae.g_00213
OG0000209	Pran.g_00213	Prae.g_00222
OG0000210	Pran.g_00212	Prae.g_00223
OG0000211	Pran.g_00199	Prae.g_00236
OG0000212	Pran.g_00193	Prae.g_00243
OG0000213	Pran.g_01935	Prae.g_00260
OG0000214	Pran.g_01926	Prae.g_00270
OG0000215	Pran.g_01902	Prae.g_00293
OG0000216	Pran.g_01900	Prae.g_00295
OG0000217	Pran.g_01897	Prae.g_00298
OG0000218	Pran.g_01895	Prae.g_00300
OG0000219	Pran.g_01894	Prae.g_00301
OG0000220	Pran.g_01893	Prae.g_00302
OG0000221	Pran.g_01892	Prae.g_00303
OG0000222	Pran.g_01884	Prae.g_00311
OG0000223	Pran.g_01871	Prae.g_00324
OG0000224	Pran.g_01869	Prae.g_00326
OG0000225	Pran.g_01849	Prae.g_00345
OG0000226	Pran.g_01845	Prae.g_00349
OG0000227	Pran.g_01843	Prae.g_00351
OG0000228	Pran.g_01840	Prae.g_00354
OG0000229	Pran.g_01744	Prae.g_00410
OG0000230	Pran.g_01742	Prae.g_00412
OG0000231	Pran.g_01728	Prae.g_00423
OG0000232	Pran.g_01720	Prae.g_00432
OG0000233	Pran.g_01715	Prae.g_00437
OG0000234	Pran.g_01702	Prae.g_00450
OG0000235	Pran.g_01699	Prae.g_00453
OG0000236	Pran.g_01685	Prae.g_00467
OG0000237	Pran.g_01672	Prae.g_00480
OG0000238	Pran.g_01666	Prae.g_00486
OG0000239	Pran.g_01653	Prae.g_00499
OG0000240	Pran.g_01652	Prae.g_00500
OG0000241	Pran.g_01648	Prae.g_00504
OG0000242	Pran.g_01646	Prae.g_00506
OG0000243	Pran.g_01635	Prae.g_00518
OG0000244	Pran.g_01632	Prae.g_00521
OG0000245	Pran.g_01630	Prae.g_00523
OG0000246	Pran.g_01626	Prae.g_00527
OG0000247	Pran.g_01616	Prae.g_00537
OG0000248	Pran.g_01613	Prae.g_00539
OG0000249	Pran.g_01611	Prae.g_00541
OG0000250	Pran.g_01606	Prae.g_00546
OG0000251	Pran.g_01587	Prae.g_00565
OG0000252	Pran.g_01584	Prae.g_00568
OG0000253	Pran.g_01583	Prae.g_00569
OG0000254	Pran.g_01567	Prae.g_00585
OG0000255	Pran.g_01561	Prae.g_00591
OG0000256	Pran.g_01551	Prae.g_00601
OG0000257	Pran.g_01548	Prae.g_00604
OG0000258	Pran.g_01535	Prae.g_00617
OG0000259	Pran.g_01518	Prae.g_00634
OG0000260	Pran.g_01515	Prae.g_00637
OG0000261	Pran.g_01513	Prae.g_00639
OG0000262	Pran.g_01509	Prae.g_00643
OG0000263	Pran.g_01497	Prae.g_00655
OG0000264	Pran.g_01487	Prae.g_00665
OG0000265	Pran.g_01460	Prae.g_00711
OG0000266	Pran.g_01450	Prae.g_00721
OG0000267	Pran.g_01439	Prae.g_00732
OG0000268	Pran.g_01438	Prae.g_00733
OG0000269	Pran.g_01348	Prae.g_00801
OG0000270	Pran.g_01345	Prae.g_00804
OG0000271	Pran.g_01337	Prae.g_00812
OG0000272	Pran.g_01336	Prae.g_00813
OG0000273	Pran.g_01313	Prae.g_00836
OG0000274	Pran.g_01312	Prae.g_00837
OG0000275	Pran.g_01310	Prae.g_00839
OG0000276	Pran.g_01305	Prae.g_00844
OG0000277	Pran.g_01304	Prae.g_00845
OG0000278	Pran.g_01301	Prae.g_00848
OG0000279	Pran.g_01294	Prae.g_00855
OG0000280	Pran.g_01293	Prae.g_00856
OG0000281	Pran.g_01287	Prae.g_00861
OG0000282	Pran.g_00431	Prae.g_00910
OG0000283	Pran.g_00464	Prae.g_00941
OG0000284	Pran.g_00469	Prae.g_00946
OG0000285	Pran.g_00474	Prae.g_00951
OG0000286	Pran.g_00486	Prae.g_00963
OG0000287	Pran.g_00503	Prae.g_00980
OG0000288	Pran.g_00541	Prae.g_01013
OG0000289	Pran.g_00552	Prae.g_01024
OG0000290	Pran.g_00565	Prae.g_01037
OG0000291	Pran.g_00567	Prae.g_01039
OG0000292	Pran.g_00135	Prae.g_01090
OG0000293	Pran.g_00069	Prae.g_01154
OG0000294	Pran.g_00068	Prae.g_01155
OG0000295	Pran.g_00048	Prae.g_01175
OG0000296	Pran.g_00046	Prae.g_01177
OG0000297	Pran.g_00038	Prae.g_01185
OG0000298	Pran.g_00037	Prae.g_01186
OG0000299	Pran.g_00020	Prae.g_01203
OG0000300	Pran.g_00017	Prae.g_01206
OG0000301	Pran.g_00016	Prae.g_01207
OG0000302	Pran.g_00014	Prae.g_01209
OG0000303	Pran.g_00007	Prae.g_01216
OG0000304	Pran.g_00003	Prae.g_01220
OG0000305	Pran.g_00848	Prae.g_01360
OG0000306	Pran.g_00846	Prae.g_01363
OG0000307	Pran.g_00832	Prae.g_01377
OG0000308	Pran.g_00831	Prae.g_01378
OG0000309	Pran.g_00827	Prae.g_01382
OG0000310	Pran.g_00748	Prae.g_01444
OG0000311	Pran.g_00746	Prae.g_01446
OG0000312	Pran.g_00743	Prae.g_01449
OG0000313	Pran.g_00729	Prae.g_01463
OG0000314	Pran.g_00706	Prae.g_01486
OG0000315	Pran.g_00696	Prae.g_01496
OG0000316	Pran.g_00676	Prae.g_01516
OG0000317	Pran.g_00968	Prae.g_01621
OG0000318	Pran.g_00971	Prae.g_01624
OG0000319	Pran.g_00984	Prae.g_01637
OG0000320	Pran.g_00986	Prae.g_01639
OG0000321	Pran.g_00987	Prae.g_01640
OG0000322	Pran.g_00988	Prae.g_01641
OG0000323	Pran.g_00997	Prae.g_01650
OG0000324	Pran.g_01023	Prae.g_01676
OG0000325	Pran.g_01033	Prae.g_01687
OG0000326	Pran.g_01039	Prae.g_01693
OG0000327	Pran.g_01063	Prae.g_01717
OG0000328	Pran.g_01064	Prae.g_01718
OG0000329	Pran.g_01082	Prae.g_01735
OG0000330	Pran.g_01083	Prae.g_01736
OG0000331	Pran.g_01084	Prae.g_01737
OG0000332	Pran.g_01098	Prae.g_01751
OG0000333	Pran.g_01100	Prae.g_01753
OG0000334	Pran.g_01108	Prae.g_01761
OG0000335	Pran.g_01113	Prae.g_01767
OG0000336	Pran.g_01117	Prae.g_01771
OG0000337	Pran.g_01133	Prae.g_01787
OG0000338	Pran.g_01134	Prae.g_01788
OG0000339	Pran.g_01138	Prae.g_01792
OG0000340	Pran.g_01145	Prae.g_01800
OG0000341	Pran.g_01147	Prae.g_01802
OG0000342	Pran.g_01148	Prae.g_01803
OG0000343	Pran.g_01149	Prae.g_01804
OG0000344	Pran.g_01152	Prae.g_01807
OG0000345	Pran.g_01157	Prae.g_01812
OG0000346	Pran.g_01161	Prae.g_01816
OG0000347	Pran.g_01177	Prae.g_01832
OG0000348	Pran.g_01187	Prae.g_01841
OG0000349	Pran.g_01203	Prae.g_01858
OG0000350	Pran.g_01222	Prae.g_01877
OG0000351	Pran.g_01239	Prae.g_01894
OG0000352	Pran.g_01240	Prae.g_01895
OG0000353	Pran.g_01256	Prae.g_01910
OG0000355	Pran.g_01258	Prae.g_00001
OG0000356	Pran.g_01259	Prae.g_00002
OG0000357	Pran.g_01260	Prae.g_00003
OG0000358	Pran.g_01264	Prae.g_00007
OG0000359	Pran.g_01265	Prae.g_00008
OG0000360	Pran.g_01266	Prae.g_00009
OG0000361	Pran.g_01267	Prae.g_00010
OG0000362	Pran.g_01269	Prae.g_00012
OG0000363	Pran.g_00410	Prae.g_00014
OG0000364	Pran.g_00409	Prae.g_00015
OG0000365	Pran.g_00404	Prae.g_00020
OG0000366	Pran.g_00403	Prae.g_00021
OG0000367	Pran.g_00402	Prae.g_00022
OG0000368	Pran.g_00400	Prae.g_00024
OG0000369	Pran.g_00399	Prae.g_00025
OG0000370	Pran.g_00398	Prae.g_00026
OG0000371	Pran.g_00392	Prae.g_00032
OG0000372	Pran.g_00389	Prae.g_00035
OG0000373	Pran.g_00388	Prae.g_00036
OG0000374	Pran.g_00387	Prae.g_00037
OG0000375	Pran.g_00385	Prae.g_00042
OG0000376	Pran.g_00383	Prae.g_00044
OG0000377	Pran.g_00380	Prae.g_00047
OG0000378	Pran.g_00378	Prae.g_00049
OG0000379	Pran.g_00375	Prae.g_00052
OG0000380	Pran.g_00366	Prae.g_00066
OG0000381	Pran.g_00362	Prae.g_00070
OG0000382	Pran.g_00351	Prae.g_00081
OG0000383	Pran.g_00349	Prae.g_00083
OG0000384	Pran.g_00348	Prae.g_00084
OG0000385	Pran.g_00347	Prae.g_00085
OG0000386	Pran.g_00346	Prae.g_00086
OG0000387	Pran.g_00334	Prae.g_00099
OG0000388	Pran.g_00331	Prae.g_00102
OG0000389	Pran.g_00327	Prae.g_00105
OG0000390	Pran.g_00320	Prae.g_00112
OG0000391	Pran.g_00317	Prae.g_00116
OG0000392	Pran.g_00313	Prae.g_00120
OG0000393	Pran.g_00311	Prae.g_00122
OG0000394	Pran.g_00310	Prae.g_00123
OG0000395	Pran.g_00309	Prae.g_00124
OG0000396	Pran.g_00307	Prae.g_00127
OG0000397	Pran.g_00305	Prae.g_00129
OG0000398	Pran.g_00303	Prae.g_00131
OG0000399	Pran.g_00302	Prae.g_00132
OG0000400	Pran.g_00301	Prae.g_00133
OG0000401	Pran.g_00300	Prae.g_00134
OG0000402	Pran.g_00298	Prae.g_00136
OG0000403	Pran.g_00297	Prae.g_00137
OG0000404	Pran.g_00296	Prae.g_00138
OG0000405	Pran.g_00292	Prae.g_00142
OG0000406	Pran.g_00286	Prae.g_00150
OG0000407	Pran.g_00285	Prae.g_00151
OG0000408	Pran.g_00282	Prae.g_00153
OG0000409	Pran.g_00280	Prae.g_00155
OG0000410	Pran.g_00279	Prae.g_00156
OG0000411	Pran.g_00278	Prae.g_00157
OG0000412	Pran.g_00277	Prae.g_00158
