Orthogroup	Pran	Prac
OG0000000	Pran.g_00582	Prac.g_00159
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prac.g_00292
OG0000000	Pran.g_00001	Prac.g_00926
OG0000000	Pran.g_00602	Prac.g_00926
OG0000000	Pran.g_00894	Prac.g_00290
OG0000002	Pran.g_01500	Prac.g_00693
OG0000004	Pran.g_01483	Prac.g_00676
OG0000004	Pran.g_00200	Prac.g_01698
OG0000005	Pran.g_00983	Prac.g_00612
OG0000005	Pran.g_00657	Prac.g_00335
OG0000006	Pran.g_01951	Prac.g_01689
OG0000007	Pran.g_01681	Prac.g_00874
OG0000007	Pran.g_00970	Prac.g_00625
OG0000008	Pran.g_01506	Prac.g_00699
OG0000009	Pran.g_00615	Prac.g_00301
OG0000009	Pran.g_00328	Prac.g_01826
OG0000010	Pran.g_01704	Prac.g_01070
OG0000010	Pran.g_00175	Prac.g_01592, Prac.g_01248
OG0000011	Pran.g_01384	Prac.g_00142
OG0000012	Pran.g_01555	Prac.g_00748
OG0000013	Pran.g_01867	Prac.g_01604
OG0000014	Pran.g_01888	Prac.g_01625
OG0000015	Pran.g_01394	Prac.g_00898
OG0000017	Pran.g_01580	Prac.g_00773
OG0000018	Pran.g_01316	Prac.g_01448
OG0000018	Pran.g_00078	Prac.g_01004
OG0000019	Pran.g_01943	Prac.g_01681
OG0000019	Pran.g_01363	Prac.g_01496
OG0000020	Pran.g_00117	Prac.g_01037
OG0000020	Pran.g_01804	Prac.g_00875, Prac.g_01598
OG0000021	Pran.g_01829	Prac.g_01169
OG0000022	Pran.g_00097	Prac.g_01022
OG0000022	Pran.g_01401	Prac.g_01510
OG0000023	Pran.g_01834	Prac.g_01174
OG0000024	Pran.g_01420	Prac.g_01525
OG0000024	Pran.g_01503	Prac.g_00696
OG0000025	Pran.g_01863	Prac.g_01600
OG0000025	Pran.g_01309	Prac.g_01441
OG0000026	Pran.g_00393	Prac.g_01916
OG0000026	Pran.g_00168	Prac.g_01241
OG0000027	Pran.g_00583	Prac.g_01074
OG0000028	Pran.g_01874	Prac.g_01611
OG0000030	Pran.g_01170	Prac.g_00050
OG0000031	Pran.g_00753	Prac.g_00249
OG0000033	Pran.g_00263	Prac.g_01761
OG0000034	Pran.g_00866	Prac.g_00185
OG0000035	Pran.g_00733	Prac.g_00411
OG0000037	Pran.g_00324	Prac.g_01822
OG0000038	Pran.g_01210	Prac.g_00090
OG0000039	Pran.g_01492	Prac.g_00685
OG0000040	Pran.g_00923	Prac.g_00279
OG0000040	Pran.g_00079	Prac.g_01005
OG0000041	Pran.g_01016	Prac.g_00579
OG0000042	Pran.g_01167	Prac.g_00048
OG0000043	Pran.g_00179	Prac.g_01405
OG0000044	Pran.g_00949	Prac.g_00892
OG0000045	Pran.g_01823	Prac.g_01162
OG0000047	Pran.g_01864	Prac.g_01601
OG0000048	Pran.g_01820	Prac.g_01159
OG0000049	Pran.g_01811	Prac.g_01149
OG0000049	Pran.g_00586	Prac.g_00893
OG0000049	Pran.g_00526	Prac.g_01954
OG0000050	Pran.g_00149	Prac.g_01220
OG0000053	Pran.g_00713	Prac.g_00391
OG0000054	Pran.g_01572	Prac.g_00765
OG0000055	Pran.g_01362	Prac.g_01495
OG0000057	Pran.g_01480	Prac.g_00673
OG0000058	Pran.g_00807	Prac.g_00258
OG0000059	Pran.g_01056	Prac.g_00500
OG0000061	Pran.g_00060	Prac.g_00985
OG0000062	Pran.g_00655	Prac.g_00333
OG0000063	Pran.g_00391	Prac.g_01913, Prac.g_01914
OG0000065	Pran.g_00326	Prac.g_01824
OG0000066	Pran.g_01639	Prac.g_00833
OG0000067	Pran.g_01343	Prac.g_01475
OG0000068	Pran.g_00841	Prac.g_00217
OG0000069	Pran.g_00614	Prac.g_00300
OG0000070	Pran.g_01727	Prac.g_01097
OG0000071	Pran.g_00938, Pran.g_00876	Prac.g_00175
