Orthogroup	Pran	Syaj
OG0000002	Pran.g_01500	Syaj.g_02667
OG0000004	Pran.g_01483	Syaj.g_00441
OG0000004	Pran.g_00200	Syaj.g_01314, Syaj.g_02853
OG0000005	Pran.g_00983	Syaj.g_01736
OG0000005	Pran.g_00657	Syaj.g_01698
OG0000006	Pran.g_01951	Syaj.g_02635
OG0000007	Pran.g_01681	Syaj.g_00091
OG0000007	Pran.g_00970	Syaj.g_01721
OG0000009	Pran.g_00615	Syaj.g_01069
OG0000009	Pran.g_00328	Syaj.g_01885
OG0000010	Pran.g_00175	Syaj.g_01445
OG0000011	Pran.g_00925	Syaj.g_01133
OG0000012	Pran.g_01555	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Pran.g_01867	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Pran.g_01888	Syaj.g_02522
OG0000014	Pran.g_00755, Pran.g_00754	Syaj.g_02344
OG0000015	Pran.g_01394	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Pran.g_00620	Syaj.g_01191
OG0000017	Pran.g_01580	Syaj.g_00248, Syaj.g_00255
OG0000018	Pran.g_00078	Syaj.g_01413
OG0000019	Pran.g_01943, Pran.g_01363	Syaj.g_02613
OG0000021	Pran.g_01829	Syaj.g_00982, Syaj.g_00042
OG0000022	Pran.g_00097	Syaj.g_01220
OG0000023	Pran.g_01834	Syaj.g_00829, Syaj.g_01791
OG0000024	Pran.g_01420, Pran.g_01503	Syaj.g_00500
OG0000025	Pran.g_01863, Pran.g_01309	Syaj.g_00383
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syaj.g_02298
OG0000027	Pran.g_00583	Syaj.g_00396
OG0000028	Pran.g_01874	Syaj.g_02506
OG0000029	Pran.g_01410	Syaj.g_01229
OG0000030	Pran.g_01170	Syaj.g_02396, Syaj.g_02395
OG0000031	Pran.g_00753	Syaj.g_02501
OG0000033	Pran.g_00800	Syaj.g_01990
OG0000034	Pran.g_00866	Syaj.g_01959
OG0000035	Pran.g_00733	Syaj.g_01378
OG0000037	Pran.g_00324	Syaj.g_01891, Syaj.g_02902
OG0000038	Pran.g_01210	Syaj.g_02115
OG0000039	Pran.g_01492	Syaj.g_00392, Syaj.g_00275
OG0000040	Pran.g_00079	Syaj.g_02208
OG0000041	Pran.g_01016	Syaj.g_01602, Syaj.g_00418
