Orthogroup	Pran	Syae
OG0000004	Pran.g_01483	Syae.g_00779
OG0000004	Pran.g_00200	Syae.g_00042, Syae.g_02231
OG0000005	Pran.g_00983	Syae.g_01179
OG0000005	Pran.g_00657	Syae.g_01143
OG0000006	Pran.g_01951	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Pran.g_01681	Syae.g_02328
OG0000007	Pran.g_00970	Syae.g_01163
OG0000009	Pran.g_00615	Syae.g_00561, Syae.g_00171
OG0000009	Pran.g_00328	Syae.g_00100, Syae.g_01361
OG0000010	Pran.g_00175	Syae.g_02529
OG0000011	Pran.g_00925	Syae.g_00268
OG0000011	Pran.g_01384	Syae.g_00750
OG0000012	Pran.g_01555	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Pran.g_01867	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Pran.g_01888	Syae.g_01930
OG0000014	Pran.g_00755, Pran.g_00754	Syae.g_01850
OG0000015	Pran.g_01394	Syae.g_01693, Syae.g_00590
OG0000016	Pran.g_00620	Syae.g_00233
OG0000017	Pran.g_01580	Syae.g_02462, Syae.g_02469
OG0000018	Pran.g_00078	Syae.g_02625
OG0000019	Pran.g_01943, Pran.g_01363	Syae.g_02015
OG0000021	Pran.g_01829	Syae.g_01261, Syae.g_00481
OG0000022	Pran.g_00097	Syae.g_00144
OG0000023	Pran.g_01834	Syae.g_00439, Syae.g_00930
OG0000025	Pran.g_01863, Pran.g_01309	Syae.g_00833
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syae.g_01748
OG0000027	Pran.g_00583	Syae.g_00103, Syae.g_00814
OG0000028	Pran.g_01874	Syae.g_01916
OG0000029	Pran.g_01410	Syae.g_00136
OG0000030	Pran.g_01170	Syae.g_01817, Syae.g_01816
OG0000031	Pran.g_00753	Syae.g_01911
OG0000033	Pran.g_00800	Syae.g_01453
OG0000034	Pran.g_00866	Syae.g_00975, Syae.g_01424
OG0000035	Pran.g_00733	Syae.g_02653
OG0000037	Pran.g_00324	Syae.g_01367
OG0000038	Pran.g_01210	Syae.g_01571
OG0000039	Pran.g_01492	Syae.g_00822, Syae.g_02495
OG0000040	Pran.g_00079	Syae.g_01653
OG0000041	Pran.g_01016	Syae.g_01042, Syae.g_00802
OG0000042	Pran.g_01167	Syae.g_01821
OG0000044	Pran.g_00949	Syae.g_00098, Syae.g_01067
OG0000047	Pran.g_01864	Syae.g_02184
OG0000048	Pran.g_01772, Pran.g_01820	Syae.g_01982
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Syae.g_00122
OG0000050	Pran.g_00149	Syae.g_01023
OG0000051	Pran.g_00898	Syae.g_00438
OG0000052	Pran.g_00777	Syae.g_01224
OG0000053	Pran.g_00713	Syae.g_02629
OG0000054	Pran.g_01572	Syae.g_00014, Syae.g_00221
OG0000055	Pran.g_01362	Syae.g_00817
OG0000057	Pran.g_01480	Syae.g_00782
OG0000059	Pran.g_01056	Syae.g_02074
OG0000060	Pran.g_01399	Syae.g_02514, Syae.g_02306, Syae.g_00649
OG0000061	Pran.g_00060	Syae.g_00921
