Orthogroup	Prbm	Prao
OG0000000	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prao.g_01515
OG0000000	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119	Prao.g_01514, Prao.g_01029
OG0000001	Prbm.g_00874	Prao.g_01246
OG0000001	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prao.g_00116
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prao.g_01529, Prao.g_01852
OG0000002	Prbm.g_01633	Prao.g_01254
OG0000003	Prbm.g_01984, Prbm.g_01626, Prbm.g_00527, Prbm.g_02142, Prbm.g_02141	Prao.g_01345
OG0000003	Prbm.g_00528	Prao.g_00015
OG0000003	Prbm.g_00529	Prao.g_01259
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prao.g_01296, Prao.g_01518
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prao.g_00679
OG0000006	Prbm.g_01359	Prao.g_01316, Prao.g_00691, Prao.g_01142
OG0000008	Prbm.g_00522	Prao.g_00603
OG0000008	Prbm.g_01841	Prao.g_01552
OG0000010	Prbm.g_00788, Prbm.g_00792	Prao.g_00720
OG0000011	Prbm.g_01823	Prao.g_00690
OG0000013	Prbm.g_01400, Prbm.g_01235	Prao.g_01507
OG0000014	Prbm.g_00362, Prbm.g_02126	Prao.g_01213
OG0000015	Prbm.g_00390	Prao.g_00466
OG0000016	Prbm.g_01149, Prbm.g_01427	Prao.g_00703
OG0000018	Prbm.g_00628	Prao.g_00036
OG0000019	Prbm.g_01415, Prbm.g_01164	Prao.g_00515
OG0000020	Prbm.g_01653	Prao.g_01243
OG0000021	Prbm.g_01729	Prao.g_01417
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prao.g_00379
OG0000024	Prbm.g_01181, Prbm.g_01158, Prbm.g_01167	Prao.g_01308
OG0000025	Prbm.g_01151, Prbm.g_00709	Prao.g_00683
OG0000026	Prbm.g_01115, Prbm.g_01408, Prbm.g_01312, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228	Prao.g_01294
OG0000028	Prbm.g_01438	Prao.g_01323
OG0000029	Prbm.g_00778, Prbm.g_01921	Prao.g_00721
OG0000030	Prbm.g_01017, Prbm.g_01262, Prbm.g_01016, Prbm.g_01091	Prao.g_00722
OG0000031	Prbm.g_02102	Prao.g_01750
OG0000032	Prbm.g_01947	Prao.g_00179
OG0000033	Prbm.g_01110, Prbm.g_01445, Prbm.g_01461, Prbm.g_01124	Prao.g_01483, Prao.g_00675
OG0000034	Prbm.g_01710	Prao.g_01397
OG0000035	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prao.g_01508
OG0000036	Prbm.g_01065	Prao.g_01145
OG0000038	Prbm.g_00392, Prbm.g_01627	Prao.g_01355, Prao.g_01364
OG0000040	Prbm.g_01202	Prao.g_01307
OG0000041	Prbm.g_01106	Prao.g_00062
OG0000043	Prbm.g_01482	Prao.g_00831
OG0000045	Prbm.g_01900	Prao.g_00024
OG0000046	Prbm.g_01204	Prao.g_00699
OG0000047	Prbm.g_01549	Prao.g_01089
OG0000048	Prbm.g_00114	Prao.g_01358
OG0000049	Prbm.g_00881	Prao.g_01191
OG0000050	Prbm.g_00225	Prao.g_00304
OG0000051	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prao.g_00494
OG0000053	Prbm.g_00742	Prao.g_00648
OG0000054	Prbm.g_01834	Prao.g_01545
OG0000055	Prbm.g_02094	Prao.g_01743
OG0000056	Prbm.g_00031	Prao.g_00177
OG0000057	Prbm.g_00216	Prao.g_00295
OG0000058	Prbm.g_01172, Prbm.g_01237	Prao.g_00505
OG0000062	Prbm.g_00838, Prbm.g_01191	Prao.g_00763
OG0000063	Prbm.g_00048	Prao.g_01135
OG0000065	Prbm.g_00297	Prao.g_00375, Prao.g_01537
OG0000066	Prbm.g_00500	Prao.g_00581
OG0000067	Prbm.g_00735	Prao.g_00136
OG0000068	Prbm.g_01186	Prao.g_01340
OG0000069	Prbm.g_01648	Prao.g_01124, Prao.g_00922
OG0000070	Prbm.g_01064	Prao.g_00974
OG0000071	Prbm.g_01522	Prao.g_01332
OG0000072	Prbm.g_00468, Prbm.g_01611	Prao.g_01276
OG0000074	Prbm.g_00707	Prao.g_01215
OG0000075	Prbm.g_02033	Prao.g_01687
OG0000077	Prbm.g_00011	Prao.g_00158
OG0000078	Prbm.g_00377	Prao.g_00458
OG0000079	Prbm.g_01389	Prao.g_00516
OG0000080	Prbm.g_00702	Prao.g_00108
OG0000081	Prbm.g_00728	Prao.g_00129
OG0000082	Prbm.g_00821	Prao.g_00748
OG0000083	Prbm.g_00906, Prbm.g_01173	Prao.g_00812
OG0000084	Prbm.g_00988	Prao.g_00902
OG0000085	Prbm.g_01210	Prao.g_01025
OG0000086	Prbm.g_01910	Prao.g_01122
OG0000088	Prbm.g_01370	Prao.g_01329
OG0000090	Prbm.g_00394	Prao.g_01214
OG0000091	Prbm.g_01718	Prao.g_01405
OG0000092	Prbm.g_01182	Prao.g_01522
OG0000093	Prbm.g_01973	Prao.g_01639
OG0000094	Prbm.g_02029	Prao.g_01684
OG0000095	Prbm.g_02067	Prao.g_01717
OG0000096	Prbm.g_01593	Prao.g_01354
OG0000096	Prbm.g_02168	Prao.g_01788
OG0000098	Prbm.g_00003	Prao.g_01844
OG0000099	Prbm.g_00023	Prao.g_00170
OG0000101	Prbm.g_00058	Prao.g_00195
OG0000102	Prbm.g_00172	Prao.g_00251
OG0000103	Prbm.g_00181	Prao.g_00260
OG0000104	Prbm.g_00198	Prao.g_00277
OG0000105	Prbm.g_00229	Prao.g_00308
OG0000106	Prbm.g_00243	Prao.g_00322
OG0000107	Prbm.g_00252	Prao.g_00330
OG0000108	Prbm.g_00262	Prao.g_00340
OG0000109	Prbm.g_00300	Prao.g_00377
OG0000110	Prbm.g_00310	Prao.g_00389
OG0000111	Prbm.g_00331	Prao.g_01378
OG0000113	Prbm.g_00353	Prao.g_00434
OG0000114	Prbm.g_00380	Prao.g_00461
OG0000115	Prbm.g_00499	Prao.g_00580
OG0000116	Prbm.g_00501	Prao.g_00582
OG0000117	Prbm.g_00506	Prao.g_00586
OG0000118	Prbm.g_00533	Prao.g_00605
OG0000119	Prbm.g_00565	Prao.g_01859
OG0000120	Prbm.g_00566	Prao.g_01858
OG0000121	Prbm.g_00576	Prao.g_01162
OG0000122	Prbm.g_00585	Prao.g_01171
OG0000123	Prbm.g_00615	Prao.g_00023
OG0000124	Prbm.g_00682	Prao.g_00090
OG0000125	Prbm.g_00683	Prao.g_00091
OG0000126	Prbm.g_00684	Prao.g_00092
OG0000127	Prbm.g_00723	Prao.g_00124
OG0000128	Prbm.g_00744	Prao.g_00650
OG0000129	Prbm.g_00766	Prao.g_00670
OG0000130	Prbm.g_00950	Prao.g_00725
OG0000131	Prbm.g_00812	Prao.g_00739
OG0000132	Prbm.g_00848	Prao.g_00775
OG0000133	Prbm.g_00946	Prao.g_00861
OG0000134	Prbm.g_00799	Prao.g_00870
OG0000135	Prbm.g_00992	Prao.g_00906
OG0000136	Prbm.g_01061	Prao.g_00971
OG0000137	Prbm.g_01913	Prao.g_01119
OG0000138	Prbm.g_01555	Prao.g_01094, Prao.g_00646
OG0000139	Prbm.g_01542	Prao.g_01083
OG0000140	Prbm.g_01489	Prao.g_01032
OG0000141	Prbm.g_01054	Prao.g_00014
OG0000142	Prbm.g_01622	Prao.g_01264
OG0000143	Prbm.g_01660	Prao.g_01239
OG0000144	Prbm.g_01696	Prao.g_01384
OG0000145	Prbm.g_01711	Prao.g_01398
OG0000146	Prbm.g_01745	Prao.g_01433
OG0000147	Prbm.g_01791	Prao.g_01473
OG0000148	Prbm.g_01792	Prao.g_01474
OG0000149	Prbm.g_01839	Prao.g_01550
OG0000150	Prbm.g_01876	Prao.g_01588
OG0000151	Prbm.g_01878	Prao.g_01591
OG0000152	Prbm.g_01898	Prao.g_01610
OG0000153	Prbm.g_01991	Prao.g_01646
OG0000154	Prbm.g_02027	Prao.g_01682
OG0000155	Prbm.g_01454, Prbm.g_02046	Prao.g_01700
OG0000156	Prbm.g_02079	Prao.g_01728
OG0000157	Prbm.g_02114	Prao.g_01760
OG0000158	Prbm.g_02212	Prao.g_01823
OG0000160	Prbm.g_00001	Prao.g_01842
OG0000161	Prbm.g_00002	Prao.g_01843
OG0000162	Prbm.g_00004	Prao.g_01845
OG0000163	Prbm.g_00005	Prao.g_01846
OG0000164	Prbm.g_00006	Prao.g_01847
OG0000165	Prbm.g_00007	Prao.g_01848
OG0000166	Prbm.g_00008	Prao.g_01849
OG0000167	Prbm.g_00009	Prao.g_01850
OG0000168	Prbm.g_00010	Prao.g_00157
OG0000169	Prbm.g_00012	Prao.g_00159
OG0000170	Prbm.g_00014	Prao.g_00161
OG0000171	Prbm.g_00015	Prao.g_00162
OG0000172	Prbm.g_00016	Prao.g_00163
OG0000173	Prbm.g_00017	Prao.g_00164
OG0000174	Prbm.g_00018	Prao.g_00165
OG0000175	Prbm.g_00019	Prao.g_00166
OG0000176	Prbm.g_00020	Prao.g_00167
OG0000177	Prbm.g_00021	Prao.g_00168
OG0000178	Prbm.g_00022	Prao.g_00169
OG0000179	Prbm.g_00024	Prao.g_00171
OG0000180	Prbm.g_00025	Prao.g_00172
OG0000181	Prbm.g_00026	Prao.g_00173
OG0000182	Prbm.g_00027	Prao.g_00174
OG0000183	Prbm.g_00028	Prao.g_00175
OG0000184	Prbm.g_00029	Prao.g_00176
OG0000185	Prbm.g_00032	Prao.g_00178
OG0000186	Prbm.g_00033	Prao.g_00181
OG0000187	Prbm.g_00034	Prao.g_00182
OG0000188	Prbm.g_00035	Prao.g_00183
OG0000189	Prbm.g_00049	Prao.g_00186
OG0000190	Prbm.g_00051	Prao.g_00188
OG0000191	Prbm.g_00052	Prao.g_00189
OG0000192	Prbm.g_00053	Prao.g_00190
OG0000193	Prbm.g_00054	Prao.g_00191
OG0000194	Prbm.g_00055	Prao.g_00192
OG0000195	Prbm.g_00056	Prao.g_00193
OG0000196	Prbm.g_00057	Prao.g_00194
OG0000197	Prbm.g_00059	Prao.g_00196
OG0000198	Prbm.g_00060	Prao.g_00197
OG0000199	Prbm.g_00061	Prao.g_00198
OG0000200	Prbm.g_00121	Prao.g_00203
OG0000201	Prbm.g_00122	Prao.g_00204
OG0000202	Prbm.g_00123	Prao.g_00205
OG0000203	Prbm.g_00126	Prao.g_00208
OG0000204	Prbm.g_00127	Prao.g_00209
OG0000205	Prbm.g_00130	Prao.g_00212
OG0000206	Prbm.g_00132	Prao.g_00214
OG0000207	Prbm.g_00134	Prao.g_00216
OG0000208	Prbm.g_00135	Prao.g_00217
OG0000209	Prbm.g_00136	Prao.g_00218
OG0000210	Prbm.g_00137	Prao.g_00219
OG0000211	Prbm.g_00138	Prao.g_00220
OG0000212	Prbm.g_00139	Prao.g_00221
OG0000213	Prbm.g_00140	Prao.g_00222
OG0000214	Prbm.g_00141	Prao.g_00223
OG0000215	Prbm.g_00142	Prao.g_00224
OG0000216	Prbm.g_00143	Prao.g_00225
OG0000217	Prbm.g_00145	Prao.g_00227
OG0000218	Prbm.g_00146	Prao.g_00228
OG0000219	Prbm.g_00147	Prao.g_00229
OG0000220	Prbm.g_00148	Prao.g_00230
OG0000221	Prbm.g_00151	Prao.g_00233
OG0000222	Prbm.g_00152	Prao.g_00234
