Orthogroup	Prbm	Prae
OG0000000	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prae.g_01580
OG0000000	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119	Prae.g_01222, Prae.g_01579
OG0000001	Prbm.g_00874	Prae.g_01361
OG0000001	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prae.g_00652
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prae.g_01236, Prae.g_01224, Prae.g_01223
OG0000002	Prbm.g_01633	Prae.g_01353
OG0000003	Prbm.g_01985	Prae.g_00039
OG0000003	Prbm.g_00528	Prae.g_00040
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prae.g_01308, Prae.g_01581
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prae.g_00742
OG0000006	Prbm.g_01359	Prae.g_01283, Prae.g_00756, Prae.g_01110
OG0000008	Prbm.g_00522	Prae.g_00471
OG0000008	Prbm.g_01841	Prae.g_01623
OG0000010	Prbm.g_00788, Prbm.g_00792	Prae.g_00786
OG0000011	Prbm.g_01823	Prae.g_00755
OG0000013	Prbm.g_01400, Prbm.g_01235	Prae.g_01572
OG0000014	Prbm.g_02126	Prae.g_01401
OG0000015	Prbm.g_00390	Prae.g_00331
OG0000016	Prbm.g_01149, Prbm.g_01427	Prae.g_00769, Prae.g_01235
OG0000018	Prbm.g_00628	Prae.g_00572
OG0000019	Prbm.g_01415, Prbm.g_01164	Prae.g_00381
OG0000020	Prbm.g_01653	Prae.g_01364
OG0000021	Prbm.g_01729	Prae.g_01479
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prae.g_00244
OG0000024	Prbm.g_01181, Prbm.g_01158, Prbm.g_01167	Prae.g_01290
OG0000025	Prbm.g_01151, Prbm.g_00709	Prae.g_00748
OG0000026	Prbm.g_01115, Prbm.g_01408, Prbm.g_01312, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228	Prae.g_01310
OG0000028	Prbm.g_01438	Prae.g_01277
OG0000029	Prbm.g_00778, Prbm.g_01921	Prae.g_00787
OG0000030	Prbm.g_01017, Prbm.g_01262, Prbm.g_01016, Prbm.g_01091	Prae.g_00788
OG0000031	Prbm.g_02102	Prae.g_01822
OG0000032	Prbm.g_01947	Prae.g_00033
OG0000033	Prbm.g_01110, Prbm.g_01445, Prbm.g_01461, Prbm.g_01124	Prae.g_01546, Prae.g_00738
OG0000034	Prbm.g_01710	Prae.g_01459
OG0000035	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prae.g_01573
OG0000036	Prbm.g_01065	Prae.g_01107
OG0000037	Prbm.g_01276	Prae.g_01602
OG0000038	Prbm.g_00392, Prbm.g_01627	Prae.g_01402
OG0000038	Prbm.g_00393	Prae.g_01391
OG0000040	Prbm.g_01202	Prae.g_01291
OG0000041	Prbm.g_01106	Prae.g_00597
OG0000043	Prbm.g_01482	Prae.g_00894
OG0000045	Prbm.g_01900	Prae.g_00559
OG0000046	Prbm.g_01204	Prae.g_00764
OG0000047	Prbm.g_01549	Prae.g_01163, Prae.g_01422
OG0000049	Prbm.g_00881	Prae.g_01417, Prae.g_01406
OG0000050	Prbm.g_00225	Prae.g_00169
OG0000051	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prae.g_00359
OG0000053	Prbm.g_00742	Prae.g_00711
OG0000054	Prbm.g_01834	Prae.g_01616
OG0000055	Prbm.g_02094	Prae.g_01815
OG0000056	Prbm.g_00031	Prae.g_00031
OG0000057	Prbm.g_00216	Prae.g_00160
OG0000058	Prbm.g_01172, Prbm.g_01237	Prae.g_00370
OG0000059	Prbm.g_00572	Prae.g_00514
OG0000060	Prbm.g_00755	Prae.g_01247
OG0000062	Prbm.g_00838, Prbm.g_01191	Prae.g_00828
OG0000063	Prbm.g_00048	Prae.g_01322
OG0000065	Prbm.g_00297	Prae.g_00240
OG0000066	Prbm.g_00500	Prae.g_00449
OG0000067	Prbm.g_00735	Prae.g_00672
OG0000069	Prbm.g_01648	Prae.g_01128, Prae.g_00984
OG0000070	Prbm.g_01064	Prae.g_01040
OG0000071	Prbm.g_01522	Prae.g_01263
OG0000072	Prbm.g_00468, Prbm.g_01611	Prae.g_01329
OG0000074	Prbm.g_00707	Prae.g_01389
OG0000075	Prbm.g_02033	Prae.g_01758
OG0000077	Prbm.g_00011	Prae.g_00011
OG0000078	Prbm.g_00377	Prae.g_00323
OG0000079	Prbm.g_01389	Prae.g_00382
OG0000080	Prbm.g_00702	Prae.g_00643
OG0000081	Prbm.g_00728	Prae.g_00665
OG0000082	Prbm.g_00821	Prae.g_00813
OG0000083	Prbm.g_00906, Prbm.g_01173	Prae.g_00876
OG0000084	Prbm.g_00988	Prae.g_00964
