Orthogroup	Prbm	Prbe
OG0000000	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prbe.g_01119
OG0000000	Prbm.g_01810, Prbm.g_01404	Prbe.g_01586
OG0000001	Prbm.g_00874	Prbe.g_01285
OG0000001	Prbm.g_00712	Prbe.g_00452
OG0000001	Prbm.g_01581	Prbe.g_00208
OG0000001	Prbm.g_01578	Prbe.g_01579
OG0000001	Prbm.g_01577	Prbe.g_00379, Prbe.g_01577
OG0000001	Prbm.g_01582, Prbm.g_01576	Prbe.g_01584
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prbe.g_00112
OG0000002	Prbm.g_01633	Prbe.g_00400
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prbe.g_01587
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prbe.g_01628
OG0000006	Prbm.g_01359	Prbe.g_00081
OG0000008	Prbm.g_00522	Prbe.g_00636
OG0000008	Prbm.g_01841	Prbe.g_00985
OG0000010	Prbm.g_00788, Prbm.g_00792	Prbe.g_01573
OG0000011	Prbm.g_01823	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025
OG0000012	Prbm.g_00329	Prbe.g_00906
OG0000013	Prbm.g_01400, Prbm.g_01235	Prbe.g_00216
OG0000014	Prbm.g_00362	Prbe.g_01861
OG0000015	Prbm.g_00428	Prbe.g_01921
OG0000016	Prbm.g_01149, Prbm.g_01427	Prbe.g_01046, Prbe.g_01000
OG0000018	Prbm.g_00628	Prbe.g_00536
OG0000019	Prbm.g_01415	Prbe.g_01024, Prbe.g_01130
OG0000020	Prbm.g_01653	Prbe.g_01603, Prbe.g_00214
OG0000021	Prbm.g_01729	Prbe.g_00290, Prbe.g_01040
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbe.g_01794
OG0000024	Prbm.g_01181	Prbe.g_00013
OG0000024	Prbm.g_01158, Prbm.g_01167	Prbe.g_01595
OG0000025	Prbm.g_00709	Prbe.g_01415, Prbe.g_00449
OG0000027	Prbm.g_01908	Prbe.g_00037
OG0000028	Prbm.g_01907	Prbe.g_00036
OG0000029	Prbm.g_00778	Prbe.g_01598
OG0000029	Prbm.g_01921	Prbe.g_01011
OG0000030	Prbm.g_01091	Prbe.g_01003
OG0000031	Prbm.g_02102	Prbe.g_00766
OG0000032	Prbm.g_01947	Prbe.g_00021
OG0000034	Prbm.g_01710	Prbe.g_00311
OG0000035	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbe.g_00678
OG0000036	Prbm.g_01065	Prbe.g_00204
OG0000037	Prbm.g_01267	Prbe.g_00720
OG0000038	Prbm.g_00392, Prbm.g_01627	Prbe.g_00352
OG0000039	Prbm.g_01944	Prbe.g_01607
OG0000041	Prbm.g_01106	Prbe.g_00196
OG0000042	Prbm.g_02176	Prbe.g_01158
OG0000043	Prbm.g_01482	Prbe.g_00074
OG0000045	Prbm.g_01900	Prbe.g_00996
OG0000046	Prbm.g_01204	Prbe.g_00220
OG0000047	Prbm.g_01549	Prbe.g_01549
OG0000048	Prbm.g_00114	Prbe.g_00158
OG0000049	Prbm.g_00881	Prbe.g_00351
OG0000050	Prbm.g_00225	Prbe.g_01714
OG0000051	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prbe.g_00062
OG0000052	Prbm.g_01351	Prbe.g_01027, Prbe.g_01021
OG0000053	Prbm.g_00742	Prbe.g_01214
OG0000054	Prbm.g_01834	Prbe.g_00007, Prbe.g_00993
OG0000055	Prbm.g_02094	Prbe.g_00774
OG0000056	Prbm.g_00031	Prbe.g_00132
OG0000057	Prbm.g_00216	Prbe.g_01705
OG0000058	Prbm.g_01172, Prbm.g_01237	Prbe.g_00740
OG0000059	Prbm.g_00572	Prbe.g_00596, Prbe.g_01114
OG0000060	Prbm.g_00755	Prbe.g_01427
