Orthogroup	Prbm	Prbk
OG0000000	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prbk.g_00165
OG0000000	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119	Prbk.g_00167
OG0000001	Prbm.g_00874	Prbk.g_02574
OG0000001	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prbk.g_01649
OG0000002	Prbm.g_01633	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000003	Prbm.g_01650	Prbk.g_02118
OG0000003	Prbm.g_01684	Prbk.g_02671
OG0000003	Prbm.g_00529	Prbk.g_02690
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prbk.g_00166
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prbk.g_01701, Prbk.g_00355
OG0000008	Prbm.g_01841	Prbk.g_00907
OG0000009	Prbm.g_00477	Prbk.g_00841
OG0000010	Prbm.g_00788, Prbm.g_00792	Prbk.g_01004
OG0000011	Prbm.g_01823	Prbk.g_00833
OG0000012	Prbm.g_00329	Prbk.g_00405
OG0000013	Prbm.g_01400, Prbm.g_01235	Prbk.g_01932, Prbk.g_00013
OG0000014	Prbm.g_00362	Prbk.g_00454
OG0000015	Prbm.g_00428	Prbk.g_02565
OG0000015	Prbm.g_00390	Prbk.g_01202
OG0000016	Prbm.g_01149, Prbm.g_01427	Prbk.g_02558
OG0000018	Prbm.g_00628	Prbk.g_01142
OG0000020	Prbm.g_01653	Prbk.g_01746, Prbk.g_01786
OG0000021	Prbm.g_01729	Prbk.g_01230
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbk.g_02695
OG0000024	Prbm.g_01181	Prbk.g_01737
OG0000025	Prbm.g_01151, Prbm.g_00709	Prbk.g_01780
OG0000027	Prbm.g_01908	Prbk.g_01820
OG0000028	Prbm.g_01907	Prbk.g_01819
OG0000031	Prbm.g_02102	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215
OG0000032	Prbm.g_01947	Prbk.g_01613
OG0000034	Prbm.g_01710	Prbk.g_00259
OG0000037	Prbm.g_01267, Prbm.g_01276	Prbk.g_01709
OG0000038	Prbm.g_00393	Prbk.g_00534, Prbk.g_00539
OG0000040	Prbm.g_01202	Prbk.g_01851
OG0000041	Prbm.g_01106	Prbk.g_02610
OG0000042	Prbm.g_02176	Prbk.g_02168
OG0000045	Prbm.g_01900	Prbk.g_01122
