Orthogroup	Prbm	Prai
OG0000000	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808	Prai.g_01612
OG0000000	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prai.g_01592
OG0000000	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908
OG0000001	Prbm.g_00874	Prai.g_01363
OG0000001	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prai.g_00707
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prai.g_01236
OG0000002	Prbm.g_01633	Prai.g_01356, Prai.g_01235
OG0000003	Prbm.g_00529	Prai.g_01413
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prai.g_01313
OG0000006	Prbm.g_01359	Prai.g_01588, Prai.g_00889
OG0000007	Prbm.g_00463	Prai.g_00433
OG0000008	Prbm.g_00522	Prai.g_00527
OG0000008	Prbm.g_01841	Prai.g_01638
OG0000010	Prbm.g_00788, Prbm.g_00792	Prai.g_00867
OG0000011	Prbm.g_01823	Prai.g_00890
OG0000013	Prbm.g_01400, Prbm.g_01235	Prai.g_01578, Prai.g_00105
OG0000014	Prbm.g_00362, Prbm.g_02126	Prai.g_00319
OG0000015	Prbm.g_00428	Prai.g_00424
OG0000015	Prbm.g_00390	Prai.g_00343
OG0000016	Prbm.g_01149, Prbm.g_01427	Prai.g_01243
OG0000018	Prbm.g_00628	Prai.g_00626
OG0000019	Prbm.g_01415, Prbm.g_01164	Prai.g_01259
OG0000020	Prbm.g_01653	Prai.g_01366
OG0000021	Prbm.g_01729	Prai.g_01483
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prai.g_00254, Prai.g_00252
OG0000025	Prbm.g_01151, Prbm.g_00709	Prai.g_00899
OG0000026	Prbm.g_01115, Prbm.g_01408, Prbm.g_01312, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228	Prai.g_01772, Prai.g_00905
OG0000028	Prbm.g_01907	Prai.g_01552
OG0000029	Prbm.g_00778, Prbm.g_01921	Prai.g_00866
OG0000031	Prbm.g_02102	Prai.g_01845
OG0000032	Prbm.g_01947	Prai.g_00033, Prai.g_01261
OG0000033	Prbm.g_01110, Prbm.g_01445, Prbm.g_01461, Prbm.g_01124	Prai.g_01266, Prai.g_01549
OG0000034	Prbm.g_01710	Prai.g_01463
OG0000035	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prai.g_01579
OG0000036	Prbm.g_01065	Prai.g_01125
OG0000037	Prbm.g_01267	Prai.g_00434
OG0000037	Prbm.g_01276	Prai.g_01263
OG0000038	Prbm.g_00393	Prai.g_01444
OG0000039	Prbm.g_01944, Prbm.g_00013	Prai.g_01573
OG0000041	Prbm.g_01106	Prai.g_00652
OG0000043	Prbm.g_01482	Prai.g_01059
OG0000045	Prbm.g_01900	Prai.g_00613
OG0000046	Prbm.g_01204	Prai.g_00885
OG0000047	Prbm.g_01549	Prai.g_01171
OG0000048	Prbm.g_00114	Prai.g_00154
OG0000049	Prbm.g_00881	Prai.g_01859
OG0000050	Prbm.g_00225	Prai.g_00177
OG0000051	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prai.g_00373
OG0000053	Prbm.g_00742	Prai.g_00748
OG0000054	Prbm.g_01834	Prai.g_01631
OG0000055	Prbm.g_02094	Prai.g_01838
OG0000056	Prbm.g_00031	Prai.g_00031
OG0000057	Prbm.g_00216	Prai.g_00168, Prai.g_01288
OG0000058	Prbm.g_01172, Prbm.g_01237	Prai.g_00383
OG0000059	Prbm.g_00572	Prai.g_00567
OG0000060	Prbm.g_00755	Prai.g_00761
OG0000061	Prbm.g_00047	Prai.g_00909
OG0000062	Prbm.g_00838, Prbm.g_01191	Prai.g_00825
OG0000063	Prbm.g_00048	Prai.g_01132
OG0000065	Prbm.g_00297	Prai.g_00248
OG0000066	Prbm.g_00500	Prai.g_00505
OG0000067	Prbm.g_00735	Prai.g_00727
OG0000068	Prbm.g_01186	Prai.g_01258
OG0000069	Prbm.g_01648	Prai.g_01141, Prai.g_00969
OG0000070	Prbm.g_01064	Prai.g_00918
OG0000071	Prbm.g_01522	Prai.g_01273
OG0000072	Prbm.g_00468, Prbm.g_01611	Prai.g_01335
OG0000073	Prbm.g_01162	Prai.g_00044
OG0000073	Prbm.g_01310	Prai.g_00746
OG0000075	Prbm.g_02033	Prai.g_01782
OG0000077	Prbm.g_00011	Prai.g_00011
OG0000078	Prbm.g_00377	Prai.g_00335
OG0000079	Prbm.g_01389	Prai.g_00393
OG0000080	Prbm.g_00702	Prai.g_00698
OG0000081	Prbm.g_00728	Prai.g_00720
OG0000082	Prbm.g_00821	Prai.g_00841, Prai.g_00840
OG0000083	Prbm.g_00906, Prbm.g_01173	Prai.g_01064
