Orthogroup	Prbm	Prah
OG0000000	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prah.g_01348
OG0000000	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Prbm.g_00874	Prah.g_00562
OG0000001	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prah.g_01226
OG0000002	Prbm.g_01633	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000003	Prbm.g_01650	Prah.g_00319
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prah.g_01347
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prah.g_01175, Prah.g_00215
OG0000008	Prbm.g_00522	Prah.g_01546
OG0000008	Prbm.g_01841	Prah.g_01676
OG0000009	Prbm.g_00477	Prah.g_01968
OG0000010	Prbm.g_00788, Prbm.g_00792	Prah.g_02086
OG0000011	Prbm.g_01823	Prah.g_01972
OG0000012	Prbm.g_00329	Prah.g_02122
OG0000013	Prbm.g_01400, Prbm.g_01235	Prah.g_00432, Prah.g_01895
OG0000014	Prbm.g_00362	Prah.g_02171
OG0000015	Prbm.g_00428	Prah.g_00321
OG0000015	Prbm.g_00390	Prah.g_00353
OG0000016	Prbm.g_01149, Prbm.g_01427	Prah.g_01155, Prah.g_00576
OG0000018	Prbm.g_00628	Prah.g_01405
OG0000020	Prbm.g_01653	Prah.g_01007, Prah.g_01048
OG0000021	Prbm.g_01729	Prah.g_00381
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prah.g_01767, Prah.g_00475
OG0000024	Prbm.g_01181	Prah.g_00998
OG0000025	Prbm.g_01151, Prbm.g_00709	Prah.g_01043
OG0000027	Prbm.g_01908	Prah.g_00969
OG0000028	Prbm.g_01907	Prah.g_00970
OG0000029	Prbm.g_01921	Prah.g_00942
OG0000031	Prbm.g_02102	Prah.g_01256, Prah.g_00135, Prah.g_02545
