Orthogroup	Prbm	Prap
OG0000000	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407	Prap.g_01862
OG0000000	Prbm.g_01810, Prbm.g_01404	Prap.g_00493
OG0000001	Prbm.g_00874	Prap.g_00720
OG0000001	Prbm.g_00712	Prap.g_00823
OG0000001	Prbm.g_01581	Prap.g_00224
OG0000001	Prbm.g_01578	Prap.g_00486
OG0000001	Prbm.g_01577	Prap.g_01946, Prap.g_00484
OG0000001	Prbm.g_01582, Prbm.g_01576	Prap.g_00491
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prap.g_00653
OG0000002	Prbm.g_01633	Prap.g_01925
OG0000004	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814	Prap.g_00494
OG0000005	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779	Prap.g_00535
OG0000006	Prbm.g_01359	Prap.g_00010
OG0000008	Prbm.g_00522	Prap.g_01270
OG0000008	Prbm.g_01841	Prap.g_01779
OG0000010	Prbm.g_00788, Prbm.g_00792	Prap.g_00480
OG0000011	Prbm.g_01823	Prap.g_01848, Prap.g_01899
OG0000012	Prbm.g_00329	Prap.g_00548
OG0000013	Prbm.g_01400, Prbm.g_01235	Prap.g_00216
OG0000014	Prbm.g_00362	Prap.g_01403
OG0000015	Prbm.g_00428	Prap.g_01343
OG0000016	Prbm.g_01149, Prbm.g_01427	Prap.g_01840, Prap.g_01794
OG0000018	Prbm.g_00628	Prap.g_01170
OG0000019	Prbm.g_01415	Prap.g_01818, Prap.g_01851
OG0000020	Prbm.g_01653	Prap.g_00510, Prap.g_00218
OG0000021	Prbm.g_01729	Prap.g_00142, Prap.g_01834
OG0000022	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prap.g_01470
OG0000024	Prbm.g_01181	Prap.g_01911
OG0000024	Prbm.g_01158, Prbm.g_01167	Prap.g_00502
OG0000025	Prbm.g_00709	Prap.g_00322, Prap.g_00826
OG0000027	Prbm.g_01908	Prap.g_01887
OG0000028	Prbm.g_01907	Prap.g_01888
OG0000029	Prbm.g_00778	Prap.g_00505
OG0000029	Prbm.g_01921	Prap.g_01805
OG0000030	Prbm.g_01091	Prap.g_01797
OG0000031	Prbm.g_02102	Prap.g_01572
OG0000032	Prbm.g_01947	Prap.g_01903
OG0000034	Prbm.g_01710	Prap.g_00121
OG0000035	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prap.g_01312
OG0000036	Prbm.g_01065	Prap.g_00228
OG0000037	Prbm.g_01267	Prap.g_00611
OG0000038	Prbm.g_00392, Prbm.g_01627	Prap.g_00080
OG0000039	Prbm.g_01944	Prap.g_00514
OG0000041	Prbm.g_01106	Prap.g_00236
OG0000042	Prbm.g_02176	Prap.g_01528
OG0000043	Prbm.g_01482	Prap.g_00017
OG0000045	Prbm.g_01900	Prap.g_01790
OG0000046	Prbm.g_01204	Prap.g_00212
OG0000047	Prbm.g_01549	Prap.g_00456
OG0000048	Prbm.g_00114	Prap.g_00897
OG0000049	Prbm.g_00881	Prap.g_00081
OG0000050	Prbm.g_00225	Prap.g_01004
OG0000051	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prap.g_00029
OG0000052	Prbm.g_01351	Prap.g_01821, Prap.g_01815
OG0000053	Prbm.g_00742	Prap.g_00791
OG0000054	Prbm.g_01834	Prap.g_01917, Prap.g_01787
OG0000055	Prbm.g_02094	Prap.g_01580
OG0000056	Prbm.g_00031	Prap.g_00923
OG0000057	Prbm.g_00216	Prap.g_01013
OG0000058	Prbm.g_01172, Prbm.g_01237	Prap.g_00591
OG0000059	Prbm.g_00572	Prap.g_01230, Prap.g_01867
OG0000060	Prbm.g_00755	Prap.g_00334
OG0000061	Prbm.g_00047	Prap.g_01128
OG0000062	Prbm.g_00838, Prbm.g_01191	Prap.g_00760
OG0000063	Prbm.g_00048	Prap.g_00512
OG0000065	Prbm.g_00297	Prap.g_01475
