Orthogroup	Prat	Pras
OG0000000	Prat.g_00680, Prat.g_01191	Pras.g_00184
OG0000000	Prat.g_01549	Pras.g_00470
OG0000001	Prat.g_01285, Prat.g_01286	Pras.g_00235
OG0000002	Prat.g_00977	Pras.g_00243
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Pras.g_01554
OG0000004	Prat.g_00772	Pras.g_01571
OG0000004	Prat.g_00236	Pras.g_01084
OG0000005	Prat.g_01440	Pras.g_00429
OG0000006	Prat.g_00248	Pras.g_00148, Pras.g_01093
OG0000007	Prat.g_00458	Pras.g_01375
OG0000007	Prat.g_01592	Pras.g_00550
OG0000009	Prat.g_01451	Pras.g_00157
OG0000010	Prat.g_00433	Pras.g_01352
OG0000010	Prat.g_00682, Prat.g_00662	Pras.g_00523, Pras.g_01942
OG0000011	Prat.g_01532	Pras.g_00142, Pras.g_00166
OG0000012	Prat.g_00586	Pras.g_01499
OG0000013	Prat.g_00334	Pras.g_01179
OG0000014	Prat.g_00314	Pras.g_01158
OG0000015	Prat.g_00701	Pras.g_00127
OG0000016	Prat.g_00014	Pras.g_00855
OG0000017	Prat.g_00560, Prat.g_00567	Pras.g_01474
OG0000018	Prat.g_01009	Pras.g_01728
OG0000018	Prat.g_01177	Pras.g_00037
OG0000019	Prat.g_00255	Pras.g_01101
OG0000019	Prat.g_01180	Pras.g_01681
OG0000020	Prat.g_00648	Pras.g_00530
OG0000021	Prat.g_00854, Prat.g_00461	Pras.g_00507, Pras.g_01218
OG0000022	Prat.g_01448	Pras.g_00019
OG0000022	Prat.g_01192	Pras.g_01662
OG0000023	Prat.g_00834	Pras.g_01213
OG0000024	Prat.g_00622	Pras.g_01645
OG0000024	Prat.g_00749	Pras.g_01551
OG0000025	Prat.g_01003	Pras.g_01183, Pras.g_01735
OG0000026	Prat.g_00033	Pras.g_00873, Pras.g_01949
OG0000027	Prat.g_01474, Prat.g_01548	Pras.g_01348, Pras.g_00185
OG0000028	Prat.g_00380	Pras.g_00169
OG0000028	Prat.g_00327	Pras.g_01172
OG0000030	Prat.g_01799	Pras.g_00753
OG0000031	Prat.g_01266	Pras.g_00331
OG0000034	Prat.g_01259	Pras.g_00219
OG0000035	Prat.g_01353, Prat.g_01352	Pras.g_00350
OG0000037	Prat.g_00106	Pras.g_00960
OG0000038	Prat.g_01839	Pras.g_00795
OG0000039	Prat.g_00760	Pras.g_01562
OG0000040	Prat.g_01578	Pras.g_00489
OG0000041	Prat.g_01640	Pras.g_00597
OG0000042	Prat.g_01796	Pras.g_00750
OG0000043	Prat.g_01176	Pras.g_00153, Pras.g_01772
OG0000045	Prat.g_01203	Pras.g_00509
OG0000047	Prat.g_00374	Pras.g_01263
OG0000048	Prat.g_00278	Pras.g_01227
OG0000053	Prat.g_01375	Pras.g_00886, Pras.g_00370
OG0000054	Prat.g_00569	Pras.g_01482
OG0000055	Prat.g_00852	Pras.g_01682
OG0000056	Prat.g_01571	Pras.g_00881
OG0000057	Prat.g_00775	Pras.g_01574
OG0000059	Prat.g_01679	Pras.g_00637
OG0000061	Prat.g_01156	Pras.g_00056
