Orthogroup	Prat	Prao
OG0000000	Prat.g_00680, Prat.g_01191	Prao.g_01294
OG0000000	Prat.g_01549	Prao.g_01515
OG0000001	Prat.g_01285, Prat.g_01286	Prao.g_01254
OG0000002	Prat.g_00977	Prao.g_01246
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Prao.g_00116
OG0000004	Prat.g_00772	Prao.g_00133
OG0000004	Prat.g_00236	Prao.g_00370
OG0000005	Prat.g_01440	Prao.g_01472
OG0000006	Prat.g_00248	Prao.g_00379
OG0000007	Prat.g_00458	Prao.g_00603
OG0000007	Prat.g_01592	Prao.g_01552
OG0000009	Prat.g_01451	Prao.g_01342
OG0000010	Prat.g_00433	Prao.g_00580
OG0000010	Prat.g_00682, Prat.g_00662	Prao.g_00985
OG0000012	Prat.g_00586	Prao.g_00062
OG0000013	Prat.g_00334	Prao.g_00463
OG0000014	Prat.g_00314, Prat.g_01267	Prao.g_01213
OG0000015	Prat.g_00701	Prao.g_00703
OG0000016	Prat.g_00014	Prao.g_00160
OG0000017	Prat.g_00560, Prat.g_00567	Prao.g_00036
OG0000018	Prat.g_01009	Prao.g_00768
OG0000018	Prat.g_01177	Prao.g_01108
OG0000019	Prat.g_00255	Prao.g_00387
OG0000019	Prat.g_01180	Prao.g_00720
OG0000021	Prat.g_00854, Prat.g_00461	Prao.g_01346, Prao.g_00500
OG0000022	Prat.g_01448	Prao.g_01126
OG0000022	Prat.g_01192	Prao.g_00699
OG0000023	Prat.g_00834	Prao.g_00494
OG0000024	Prat.g_00622	Prao.g_00683
OG0000024	Prat.g_00749	Prao.g_00114
OG0000025	Prat.g_01003	Prao.g_00467, Prao.g_00776
OG0000026	Prat.g_00033	Prao.g_00177, Prao.g_00992
OG0000027	Prat.g_01474, Prat.g_01548	Prao.g_00576, Prao.g_01293
OG0000028	Prat.g_00380	Prao.g_01348
OG0000028	Prat.g_00327	Prao.g_00456
OG0000030	Prat.g_01799	Prao.g_01753
OG0000031	Prat.g_01266	Prao.g_01364
OG0000034	Prat.g_01259	Prao.g_01266
OG0000035	Prat.g_01353, Prat.g_01352	Prao.g_01397
OG0000037	Prat.g_00106	Prao.g_00247
OG0000038	Prat.g_01839	Prao.g_01794
OG0000039	Prat.g_00760	Prao.g_00124
OG0000040	Prat.g_01578	Prao.g_01531
OG0000041	Prat.g_01640	Prao.g_01598
OG0000042	Prat.g_01796	Prao.g_01750
OG0000043	Prat.g_01176	Prao.g_01331, Prao.g_00812
OG0000048	Prat.g_00278	Prao.g_00509
OG0000053	Prat.g_01375	Prao.g_01417
OG0000054	Prat.g_00569	Prao.g_00044
OG0000055	Prat.g_00852	Prao.g_00721
OG0000057	Prat.g_00775	Prao.g_00136
OG0000059	Prat.g_01679	Prao.g_01639
OG0000061	Prat.g_01156	Prao.g_01089
