Orthogroup	Prat	Syao
OG0000001	Prat.g_01285, Prat.g_01286	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prat.g_00772	Syao.g_02374
OG0000004	Prat.g_00236	Syao.g_01271, Syao.g_01007
OG0000005	Prat.g_01440	Syao.g_01578
OG0000006	Prat.g_00248	Syao.g_00919, Syao.g_01518
OG0000007	Prat.g_00458	Syao.g_00105
OG0000007	Prat.g_01592	Syao.g_01554
OG0000008	Prat.g_00377	Syao.g_01321
OG0000010	Prat.g_00682, Prat.g_00662	Syao.g_02683
OG0000011	Prat.g_01532	Syao.g_01282
OG0000013	Prat.g_00334	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prat.g_00314	Syao.g_02027
OG0000015	Prat.g_00701	Syao.g_02339, Syao.g_00302
OG0000016	Prat.g_00014	Syao.g_01955
OG0000017	Prat.g_00567	Syao.g_01064
OG0000018	Prat.g_01177	Syao.g_00071
OG0000019	Prat.g_00255, Prat.g_01180	Syao.g_02108
OG0000021	Prat.g_00854, Prat.g_00461	Syao.g_01002
OG0000022	Prat.g_01448	Syao.g_01218
OG0000023	Prat.g_00834	Syao.g_01266
OG0000025	Prat.g_01003	Syao.g_00436, Syao.g_00437
OG0000026	Prat.g_00033	Syao.g_02234
OG0000027	Prat.g_01474, Prat.g_01548	Syao.g_01286, Syao.g_00202
OG0000028	Prat.g_00380, Prat.g_00327	Syao.g_02012
OG0000030	Prat.g_01799	Syao.g_02189, Syao.g_02188
OG0000031	Prat.g_01266	Syao.g_01083
OG0000032	Prat.g_01394	Syao.g_00090
OG0000033	Prat.g_01265	Syao.g_02507
OG0000035	Prat.g_01353, Prat.g_01352	Syao.g_01483, Syao.g_01486
OG0000037	Prat.g_00106	Syao.g_00374
OG0000038	Prat.g_01839	Syao.g_02440, Syao.g_02442
OG0000039	Prat.g_00760	Syao.g_00704
OG0000041	Prat.g_01640	Syao.g_00509, Syao.g_01637
OG0000042	Prat.g_01796	Syao.g_00019, Syao.g_01941
OG0000045	Prat.g_01203	Syao.g_01214
OG0000046	Prat.g_00335	Syao.g_01909, Syao.g_01845
OG0000047	Prat.g_00374	Syao.g_01899
OG0000048	Prat.g_00278	Syao.g_02077
OG0000052	Prat.g_00058	Syao.g_01972
OG0000053	Prat.g_01375	Syao.g_00067
OG0000054	Prat.g_00569	Syao.g_00295, Syao.g_00625
OG0000057	Prat.g_00775	Syao.g_00377
OG0000058	Prat.g_01311	Syao.g_01978
OG0000059	Prat.g_01679	Syao.g_01801
OG0000061	Prat.g_01156	Syao.g_00123
OG0000062	Prat.g_01442	Syao.g_01576
OG0000063	Prat.g_01516	Syao.g_02230
OG0000064	Prat.g_00064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605
OG0000065	Prat.g_00104	Syao.g_02600
OG0000066	Prat.g_01499	Syao.g_01422
OG0000067	Prat.g_01037	Syao.g_00756
OG0000068	Prat.g_01291	Syao.g_00868, Syao.g_00036
OG0000069	Prat.g_01400	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prat.g_00412	Syao.g_00330
OG0000071	Prat.g_01249	Syao.g_01433
OG0000072	Prat.g_00172	Syao.g_02509, Syao.g_01749
OG0000073	Prat.g_00462	Syao.g_00103
OG0000075	Prat.g_01761	Syao.g_02257
OG0000076	Prat.g_01788	Syao.g_01949
OG0000077	Prat.g_00075	Syao.g_02629
OG0000078	Prat.g_00245	Syao.g_01709
OG0000079	Prat.g_00258	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000080	Prat.g_01323	Syao.g_02269
OG0000082	Prat.g_01507	Syao.g_01035
OG0000084	Prat.g_01348	Syao.g_01509, Syao.g_02606
OG0000085	Prat.g_01584	Syao.g_01569
OG0000086	Prat.g_00086	Syao.g_02653, Syao.g_01240
OG0000087	Prat.g_00138	Syao.g_02555
OG0000088	Prat.g_00166	Syao.g_02503
OG0000089	Prat.g_00370	Syao.g_01716
OG0000090	Prat.g_00495	Syao.g_01412
OG0000091	Prat.g_01082	Syao.g_00902
OG0000092	Prat.g_01275	Syao.g_00656
OG0000093	Prat.g_01053	Syao.g_00739
OG0000094	Prat.g_00943	Syao.g_00458
OG0000095	Prat.g_00965	Syao.g_00331
OG0000097	Prat.g_01111	Syao.g_00973
OG0000098	Prat.g_01282	Syao.g_01374
OG0000099	Prat.g_01312	Syao.g_02019
OG0000100	Prat.g_01437	Syao.g_00787
OG0000101	Prat.g_01726	Syao.g_01840
OG0000102	Prat.g_01793	Syao.g_01945
OG0000103	Prat.g_01880	Syao.g_02340
OG0000104	Prat.g_01889	Syao.g_02157
OG0000105	Prat.g_00281	Syao.g_02071, Syao.g_02072
OG0000106	Prat.g_00637	Syao.g_01385
OG0000107	Prat.g_01656	Syao.g_01935
OG0000108	Prat.g_00440	Syao.g_00028
OG0000109	Prat.g_00455	Syao.g_00110
OG0000110	Prat.g_00539	Syao.g_01051
OG0000111	Prat.g_00776	Syao.g_00378
OG0000112	Prat.g_00888	Syao.g_00683, Syao.g_00303
OG0000113	Prat.g_01014	Syao.g_00782
OG0000114	Prat.g_00716	Syao.g_00965
OG0000115	Prat.g_01373	Syao.g_01464, Syao.g_00065
OG0000116	Prat.g_01166	Syao.g_00137
OG0000117	Prat.g_01129	Syao.g_00169
OG0000118	Prat.g_01261	Syao.g_01475
OG0000120	Prat.g_00344	Syao.g_02009
OG0000121	Prat.g_01355	Syao.g_01489
OG0000122	Prat.g_00781, Prat.g_01398	Syao.g_01247
OG0000123	Prat.g_01733	Syao.g_01832
OG0000124	Prat.g_01805	Syao.g_02179
OG0000125	Prat.g_01841	Syao.g_02444
OG0000126	Prat.g_01888	Syao.g_02198
OG0000128	Prat.g_00012, Prat.g_00011	Syao.g_02149
OG0000129	Prat.g_00047	Syao.g_02434
OG0000130	Prat.g_00066	Syao.g_02617
OG0000131	Prat.g_00144	Syao.g_02480
OG0000132	Prat.g_00164	Syao.g_02501
OG0000133	Prat.g_00329	Syao.g_00678
OG0000134	Prat.g_00372	Syao.g_01719
OG0000135	Prat.g_01477	Syao.g_00147
OG0000136	Prat.g_00401	Syao.g_01614, Syao.g_01613
OG0000137	Prat.g_00434	Syao.g_02682
OG0000138	Prat.g_00456	Syao.g_00108
OG0000139	Prat.g_00499	Syao.g_01418, Syao.g_02005
OG0000140	Prat.g_00500	Syao.g_01373, Syao.g_01372
OG0000141	Prat.g_00570	Syao.g_01202
OG0000142	Prat.g_01090	Syao.g_00894
OG0000143	Prat.g_01086	Syao.g_00898
OG0000145	Prat.g_01472	Syao.g_00102
OG0000146	Prat.g_00887	Syao.g_00684, Syao.g_00304
OG0000147	Prat.g_00886	Syao.g_00305, Syao.g_00685
OG0000148	Prat.g_01020	Syao.g_00776
OG0000149	Prat.g_00991	Syao.g_00534
OG0000150	Prat.g_00981	Syao.g_01203
OG0000151	Prat.g_00726	Syao.g_00975
