Orthogroup	Prat	Praf
OG0000000	Prat.g_00680, Prat.g_01191	Praf.g_00815, Praf.g_00814
OG0000000	Prat.g_01549	Praf.g_00813
OG0000001	Prat.g_01285, Prat.g_01286	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000002	Prat.g_00977	Praf.g_01631
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Praf.g_00948
OG0000004	Prat.g_00772	Praf.g_01121
OG0000004	Prat.g_00236	Praf.g_00743
OG0000005	Prat.g_01440	Praf.g_00503
OG0000006	Prat.g_00248	Praf.g_00396, Praf.g_01719
OG0000007	Prat.g_00458	Praf.g_00614
OG0000007	Prat.g_01592	Praf.g_00480
OG0000008	Prat.g_00376	Praf.g_01223
OG0000008	Prat.g_00377	Praf.g_01224
OG0000010	Prat.g_00682, Prat.g_00662	Praf.g_01908
OG0000012	Prat.g_00586	Praf.g_01668
OG0000013	Prat.g_00334	Praf.g_02073
OG0000014	Prat.g_00314	Praf.g_02319
OG0000014	Prat.g_01267	Praf.g_00112
OG0000015	Prat.g_00701	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prat.g_00014	Praf.g_00014
OG0000016	Prat.g_01219	Praf.g_00906
OG0000017	Prat.g_00560	Praf.g_00752
OG0000017	Prat.g_00567	Praf.g_00760
OG0000018	Prat.g_01177	Praf.g_01832
OG0000019	Prat.g_00255, Prat.g_01180	Praf.g_00943, Praf.g_02214
OG0000020	Prat.g_00648	Praf.g_01095
OG0000021	Prat.g_00854	Praf.g_00946, Praf.g_01089
OG0000021	Prat.g_00461	Praf.g_00746
OG0000022	Prat.g_01448	Praf.g_00965
OG0000022	Prat.g_01192	Praf.g_00201
OG0000024	Prat.g_00622, Prat.g_00749	Praf.g_01139
OG0000025	Prat.g_01003	Praf.g_01591
OG0000026	Prat.g_00033	Praf.g_00037
OG0000028	Prat.g_00327	Praf.g_02333
OG0000030	Prat.g_01799	Praf.g_00160, Praf.g_00159
OG0000031	Prat.g_01266	Praf.g_00113
OG0000032	Prat.g_01394	Praf.g_01851
OG0000033	Prat.g_01265	Praf.g_02457
OG0000034	Prat.g_01259	Praf.g_00783
OG0000035	Prat.g_01353, Prat.g_01352	Praf.g_01794
OG0000037	Prat.g_00106	Praf.g_00240
OG0000038	Prat.g_01839	Praf.g_02660, Praf.g_02662
OG0000039	Prat.g_00760	Praf.g_00406, Praf.g_02541
OG0000041	Prat.g_01640	Praf.g_00426
OG0000042	Prat.g_01796	Praf.g_00164, Praf.g_00920
OG0000044	Prat.g_00619	Praf.g_00356, Praf.g_01078
OG0000045	Prat.g_01203	Praf.g_00322
OG0000046	Prat.g_00335	Praf.g_02072
OG0000047	Prat.g_00374	Praf.g_01898
OG0000048	Prat.g_00278	Praf.g_02267
OG0000052	Prat.g_00058	Praf.g_02366
OG0000053	Prat.g_01375	Praf.g_01828
OG0000054	Prat.g_00569	Praf.g_00763
OG0000055	Prat.g_00852	Praf.g_01257
OG0000056	Prat.g_01571	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881
OG0000057	Prat.g_00775	Praf.g_01125
OG0000058	Prat.g_01311	Praf.g_02345
OG0000059	Prat.g_01679	Praf.g_02172
OG0000061	Prat.g_01156	Praf.g_00854
OG0000062	Prat.g_01442	Praf.g_00501
OG0000063	Prat.g_01516	Praf.g_00041
OG0000065	Prat.g_00104	Praf.g_00244
OG0000066	Prat.g_01499	Praf.g_00672
OG0000067	Prat.g_01037	Praf.g_01530
OG0000068	Prat.g_01291	Praf.g_00585, Praf.g_00583
OG0000070	Prat.g_00412	Praf.g_01962
OG0000071	Prat.g_01249	Praf.g_00796
OG0000072	Prat.g_00172	Praf.g_02469
OG0000073	Prat.g_00462	Praf.g_00616
OG0000075	Prat.g_01761	Praf.g_02384
OG0000076	Prat.g_01788	Praf.g_00178
OG0000078	Prat.g_00245	Praf.g_00391
OG0000079	Prat.g_00258	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Prat.g_00493	Praf.g_01131
OG0000082	Prat.g_01507	Praf.g_00731
OG0000084	Prat.g_01348	Praf.g_01790
OG0000085	Prat.g_01584	Praf.g_00491
OG0000086	Prat.g_00086	Praf.g_00297
OG0000087	Prat.g_00138	Praf.g_02420
OG0000088	Prat.g_00166	Praf.g_02454, Praf.g_01239
OG0000089	Prat.g_00370	Praf.g_02015
OG0000090	Prat.g_00495	Praf.g_00660
OG0000091	Prat.g_01082	Praf.g_01700
OG0000093	Prat.g_01053	Praf.g_01503
OG0000094	Prat.g_00943	Praf.g_02685
OG0000095	Prat.g_00965	Praf.g_01274
OG0000097	Prat.g_01111	Praf.g_00905
OG0000098	Prat.g_01282	Praf.g_01886
OG0000099	Prat.g_01312	Praf.g_02342
OG0000100	Prat.g_01437	Praf.g_00370, Praf.g_01561
OG0000101	Prat.g_01726	Praf.g_02119
OG0000102	Prat.g_01793	Praf.g_00173
OG0000103	Prat.g_01880	Praf.g_02765
OG0000104	Prat.g_01889	Praf.g_02779
OG0000105	Prat.g_00281	Praf.g_02271
OG0000106	Prat.g_00637	Praf.g_00496
OG0000107	Prat.g_01656	Praf.g_02201
OG0000108	Prat.g_00440	Praf.g_00595
OG0000109	Prat.g_00455	Praf.g_00611
OG0000110	Prat.g_00539	Praf.g_00718
OG0000111	Prat.g_00776	Praf.g_01126
OG0000112	Prat.g_00888	Praf.g_01400
OG0000113	Prat.g_01014	Praf.g_01556
OG0000114	Prat.g_00716	Praf.g_01461
OG0000115	Prat.g_01373	Praf.g_01825
OG0000116	Prat.g_01166	Praf.g_00825
OG0000117	Prat.g_01129	Praf.g_00919
OG0000118	Prat.g_01261	Praf.g_00779
OG0000119	Prat.g_00647	Praf.g_01108
OG0000119	Prat.g_01452	Praf.g_01143
OG0000120	Prat.g_00344	Praf.g_02343
OG0000121	Prat.g_01355	Praf.g_01796
OG0000122	Prat.g_01398	Praf.g_00976
OG0000123	Prat.g_01733	Praf.g_02108
OG0000124	Prat.g_01805	Praf.g_00153
OG0000125	Prat.g_01841	Praf.g_02664
OG0000126	Prat.g_01888	Praf.g_02777
OG0000128	Prat.g_00012, Prat.g_00011	Praf.g_00012
OG0000129	Prat.g_00047	Praf.g_02652
OG0000130	Prat.g_00066	Praf.g_00321
OG0000131	Prat.g_00144	Praf.g_02432
OG0000132	Prat.g_00164	Praf.g_02452
OG0000133	Prat.g_00329	Praf.g_02336
OG0000134	Prat.g_00372	Praf.g_02012
OG0000135	Prat.g_01477	Praf.g_02705, Praf.g_02715
OG0000136	Prat.g_00401	Praf.g_01984
OG0000137	Prat.g_00434	Praf.g_01907
OG0000138	Prat.g_00456	Praf.g_00612
OG0000139	Prat.g_00499	Praf.g_00666
OG0000140	Prat.g_00500	Praf.g_00670
OG0000141	Prat.g_00570	Praf.g_00764
OG0000142	Prat.g_01090	Praf.g_01692
OG0000143	Prat.g_01086	Praf.g_01696
OG0000144	Prat.g_01072	Praf.g_01721
OG0000145	Prat.g_01472	Praf.g_00617
OG0000146	Prat.g_00887	Praf.g_01401
OG0000147	Prat.g_00886	Praf.g_01402
OG0000148	Prat.g_01020	Praf.g_01548
OG0000149	Prat.g_00991	Praf.g_01604
OG0000150	Prat.g_00981	Praf.g_01625
OG0000151	Prat.g_00726	Praf.g_01478
OG0000152	Prat.g_00896	Praf.g_01392
OG0000153	Prat.g_00915	Praf.g_01362
OG0000154	Prat.g_00934	Praf.g_01337
OG0000155	Prat.g_01135	Praf.g_00886
OG0000156	Prat.g_01238	Praf.g_00810
OG0000157	Prat.g_01239	Praf.g_00809
OG0000158	Prat.g_01769	Praf.g_02394
OG0000160	Prat.g_01354	Praf.g_01795
OG0000161	Prat.g_01360	Praf.g_01805
OG0000162	Prat.g_01366	Praf.g_01817
OG0000163	Prat.g_01409	Praf.g_00538
OG0000164	Prat.g_01615	Praf.g_00453
OG0000165	Prat.g_01623	Praf.g_00444
OG0000166	Prat.g_01690	Praf.g_02157
OG0000167	Prat.g_01759	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Prat.g_01770	Praf.g_02395
OG0000169	Prat.g_01781	Praf.g_00191
OG0000170	Prat.g_01784	Praf.g_00183
OG0000171	Prat.g_01804	Praf.g_00154
OG0000172	Prat.g_01811	Praf.g_00087
OG0000173	Prat.g_01826	Praf.g_00062
OG0000174	Prat.g_01858	Praf.g_02717
OG0000175	Prat.g_01870	Praf.g_02754
OG0000176	Prat.g_00004	Praf.g_00004
OG0000177	Prat.g_00005	Praf.g_00005
OG0000178	Prat.g_00006	Praf.g_00006
OG0000179	Prat.g_00017	Praf.g_00021
OG0000180	Prat.g_00018	Praf.g_00022
OG0000181	Prat.g_00019	Praf.g_00023
OG0000182	Prat.g_00020	Praf.g_00024
OG0000183	Prat.g_00024, Prat.g_01314	Praf.g_00028
OG0000184	Prat.g_00051	Praf.g_02611
OG0000185	Prat.g_00054	Praf.g_00333, Praf.g_02602
OG0000186	Prat.g_00060	Praf.g_00328
OG0000187	Prat.g_00061	Praf.g_00326
OG0000188	Prat.g_00080	Praf.g_00303
OG0000189	Prat.g_00093	Praf.g_00257
OG0000190	Prat.g_00094	Praf.g_00255
OG0000191	Prat.g_00116	Praf.g_00218
OG0000192	Prat.g_00121	Praf.g_00212
OG0000193	Prat.g_00145	Praf.g_02433
OG0000194	Prat.g_00148	Praf.g_02436
