Orthogroup	Prat	Praq
OG0000000	Prat.g_00977	Praq.g_00168
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Praq.g_00807
OG0000002	Prat.g_01285, Prat.g_01286	Praq.g_00160
OG0000002	Prat.g_00851	Praq.g_01393, Praq.g_01394
OG0000003	Prat.g_01190	Praq.g_00115, Praq.g_00028
OG0000004	Prat.g_00824	Praq.g_00614
OG0000006	Prat.g_00458	Praq.g_01105
OG0000006	Prat.g_01592	Praq.g_00497
OG0000007	Prat.g_00376	Praq.g_00071
OG0000009	Prat.g_01180	Praq.g_00649
OG0000009	Prat.g_00255	Praq.g_01753
OG0000010	Prat.g_00634	Praq.g_00081, Praq.g_01283, Praq.g_00097
OG0000011	Prat.g_00374	Praq.g_01137
OG0000012	Prat.g_00567, Prat.g_00560	Praq.g_01004
OG0000013	Prat.g_00701	Praq.g_00065
OG0000014	Prat.g_01548, Prat.g_01474	Praq.g_00521
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Praq.g_01161
OG0000016	Prat.g_00647, Prat.g_01452	Praq.g_00171
OG0000017	Prat.g_01375	Praq.g_01246
OG0000018	Prat.g_00248	Praq.g_01761
OG0000019	Prat.g_00461	Praq.g_01179
OG0000022	Prat.g_01191	Praq.g_00117
OG0000024	Prat.g_00314, Prat.g_01267	Praq.g_01696
OG0000026	Prat.g_01516	Praq.g_00075
OG0000028	Prat.g_01352, Prat.g_01353	Praq.g_00294
OG0000029	Prat.g_01400	Praq.g_00018, Praq.g_00056
OG0000030	Prat.g_01473	Praq.g_01242
OG0000035	Prat.g_00657	Praq.g_01657, Praq.g_01475
OG0000036	Prat.g_01507	Praq.g_01018
OG0000037	Prat.g_00586	Praq.g_00979
OG0000038	Prat.g_01448, Prat.g_01192	Praq.g_00635
OG0000039	Prat.g_00166	Praq.g_01836
OG0000040	Prat.g_00834	Praq.g_01184
OG0000041	Prat.g_01552, Prat.g_00613	Praq.g_01129
OG0000042	Prat.g_00788	Praq.g_00583
OG0000043	Prat.g_00856	Praq.g_00654
OG0000044	Prat.g_01156	Praq.g_01333
OG0000045	Prat.g_01311	Praq.g_00271, Praq.g_00218
OG0000047	Prat.g_01788	Praq.g_01243, Praq.g_00763
OG0000048	Prat.g_01796	Praq.g_00770
OG0000050	Prat.g_00033	Praq.g_01234
OG0000051	Prat.g_00157	Praq.g_00554, Praq.g_01845
OG0000052	Prat.g_00637	Praq.g_01173
OG0000053	Prat.g_01499	Praq.g_01063
OG0000055	Prat.g_01014	Praq.g_01420
OG0000057	Prat.g_00242	Praq.g_01765
OG0000058	Prat.g_00434	Praq.g_00526
OG0000059	Prat.g_00775	Praq.g_00827
OG0000062	Prat.g_01495, Prat.g_01561	Praq.g_01300
OG0000063	Prat.g_01129	Praq.g_00084
OG0000065	Prat.g_01249	Praq.g_00133
OG0000066	Prat.g_00344	Praq.g_00208
OG0000067	Prat.g_01532	Praq.g_00100
OG0000068	Prat.g_01726	Praq.g_00879
OG0000071	Prat.g_00012, Prat.g_00011	Praq.g_00437
OG0000072	Prat.g_00329	Praq.g_01680
OG0000073	Prat.g_01054	Praq.g_00798
OG0000074	Prat.g_00765	Praq.g_00820
OG0000075	Prat.g_01030	Praq.g_00677
OG0000076	Prat.g_00965	Praq.g_01619
OG0000078	Prat.g_01312	Praq.g_00216
OG0000079	Prat.g_01442	Praq.g_00372
OG0000080	Prat.g_01539	Praq.g_00052
OG0000081	Prat.g_01759	Praq.g_00737
OG0000083	Prat.g_00003	Praq.g_00429
OG0000084	Prat.g_00006	Praq.g_00432
OG0000085	Prat.g_01314, Prat.g_00024	Praq.g_01226
OG0000086	Prat.g_00614	Praq.g_01254
OG0000087	Prat.g_00054	Praq.g_01265
OG0000088	Prat.g_00112	Praq.g_01890
OG0000089	Prat.g_00121	Praq.g_01882
OG0000090	Prat.g_00138	Praq.g_01864
OG0000091	Prat.g_00170	Praq.g_01833
OG0000092	Prat.g_00171	Praq.g_01832
OG0000093	Prat.g_00185	Praq.g_01818
OG0000094	Prat.g_00204	Praq.g_01800
OG0000095	Prat.g_00209	Praq.g_01795
OG0000096	Prat.g_00257	Praq.g_01751
OG0000097	Prat.g_00281	Praq.g_01729
OG0000098	Prat.g_00292	Praq.g_01718
OG0000099	Prat.g_00302	Praq.g_01708
OG0000100	Prat.g_00305	Praq.g_01705
OG0000101	Prat.g_00372	Praq.g_01187
OG0000102	Prat.g_01477	Praq.g_01160
OG0000103	Prat.g_00435	Praq.g_00527
OG0000104	Prat.g_00440	Praq.g_00531
OG0000105	Prat.g_00462	Praq.g_01103
OG0000106	Prat.g_00494	Praq.g_01070
OG0000107	Prat.g_00495	Praq.g_01069
OG0000108	Prat.g_00504	Praq.g_01059
OG0000109	Prat.g_00514, Prat.g_00513	Praq.g_01050
OG0000110	Prat.g_00532	Praq.g_01034
OG0000111	Prat.g_01073	Praq.g_00780
OG0000112	Prat.g_01072	Praq.g_00781
OG0000113	Prat.g_00815	Praq.g_00605
OG0000114	Prat.g_01039	Praq.g_00668
OG0000115	Prat.g_00896	Praq.g_01548
OG0000116	Prat.g_00900	Praq.g_01552
OG0000117	Prat.g_00962	Praq.g_01616
OG0000118	Prat.g_01208	Praq.g_01667
OG0000119	Prat.g_01557	Praq.g_01303
OG0000120	Prat.g_01150	Praq.g_01339
OG0000121	Prat.g_01127	Praq.g_01358
OG0000122	Prat.g_01107	Praq.g_01377
OG0000123	Prat.g_00595	Praq.g_01390
OG0000124	Prat.g_01509	Praq.g_00257
OG0000125	Prat.g_01261	Praq.g_00145
OG0000126	Prat.g_01291	Praq.g_00175
OG0000127	Prat.g_01338	Praq.g_00281
OG0000128	Prat.g_01354	Praq.g_00295
OG0000129	Prat.g_01392	Praq.g_00331
OG0000130	Prat.g_01589	Praq.g_01954, Praq.g_00499
OG0000131	Prat.g_01377, Prat.g_01628	Praq.g_00461
OG0000132	Prat.g_01631	Praq.g_00458
OG0000133	Prat.g_01685	Praq.g_00920
OG0000134	Prat.g_01720	Praq.g_00884
OG0000135	Prat.g_01722	Praq.g_00882
OG0000136	Prat.g_01771	Praq.g_00748
