Orthogroup	Prat	Prap
OG0000000	Prat.g_00977	Prap.g_00720
OG0000000	Prat.g_00751	Prap.g_00823
OG0000000	Prat.g_01462	Prap.g_00224
OG0000000	Prat.g_01184	Prap.g_00486
OG0000000	Prat.g_01487	Prap.g_01946
OG0000000	Prat.g_01182	Prap.g_00484
OG0000000	Prat.g_01187	Prap.g_00491
OG0000001	Prat.g_01547	Prap.g_00493, Prap.g_01861
OG0000002	Prat.g_01285, Prat.g_01286	Prap.g_01925
OG0000002	Prat.g_00851	Prap.g_00653
OG0000003	Prat.g_01190	Prap.g_00494
OG0000004	Prat.g_00824	Prap.g_00535
OG0000006	Prat.g_00458	Prap.g_01270
OG0000006	Prat.g_01592	Prap.g_01779
OG0000007	Prat.g_00376	Prap.g_01888
OG0000007	Prat.g_00377	Prap.g_01887
OG0000009	Prat.g_01180	Prap.g_00480
OG0000009	Prat.g_00255	Prap.g_01462
OG0000010	Prat.g_00634	Prap.g_00010
OG0000011	Prat.g_00374	Prap.g_01343
OG0000012	Prat.g_00567	Prap.g_01163
OG0000012	Prat.g_00560	Prap.g_01170
OG0000013	Prat.g_00701	Prap.g_01840, Prap.g_01794
OG0000014	Prat.g_01548	Prap.g_01860
OG0000014	Prat.g_01474	Prap.g_01912
OG0000015	Prat.g_01580	Prap.g_01851, Prap.g_01818
OG0000016	Prat.g_00647	Prap.g_00510
OG0000016	Prat.g_01452	Prap.g_00218
OG0000018	Prat.g_00248	Prap.g_01470
OG0000019	Prat.g_00461	Prap.g_00797
OG0000020	Prat.g_00278	Prap.g_00548
OG0000023	Prat.g_01451	Prap.g_00216
OG0000024	Prat.g_00314	Prap.g_01403
OG0000025	Prat.g_00685	Prap.g_00667
OG0000026	Prat.g_01516	Prap.g_01903
OG0000028	Prat.g_01352, Prat.g_01353	Prap.g_00121
OG0000029	Prat.g_01400	Prap.g_01312
OG0000032	Prat.g_01266	Prap.g_00080
OG0000033	Prat.g_01219	Prap.g_00514
OG0000034	Prat.g_00058	Prap.g_00897
OG0000035	Prat.g_00657	Prap.g_00017
