Orthogroup	Prat	Prbd
OG0000000	Prat.g_00977	Prbd.g_01771
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Prbd.g_00566
OG0000001	Prat.g_01549	Prbd.g_01569
OG0000002	Prat.g_01285, Prat.g_01286	Prbd.g_01779
OG0000002	Prat.g_00851	Prbd.g_01930
OG0000003	Prat.g_01190	Prbd.g_01835, Prbd.g_01567
OG0000004	Prat.g_00824	Prbd.g_00038
OG0000006	Prat.g_00458	Prbd.g_00745
OG0000006	Prat.g_01592	Prbd.g_01525
OG0000009	Prat.g_01180	Prbd.g_00082
OG0000009	Prat.g_00255	Prbd.g_00990
OG0000010	Prat.g_00634	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Prat.g_00567, Prat.g_00560	Prbd.g_00646
OG0000013	Prat.g_00701	Prbd.g_00065, Prbd.g_00826
OG0000014	Prat.g_01548, Prat.g_01474	Prbd.g_01832, Prbd.g_00772
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Prbd.g_00856
OG0000016	Prat.g_00647, Prat.g_01452	Prbd.g_01768
OG0000018	Prat.g_00248	Prbd.g_00998
OG0000019	Prat.g_00461	Prbd.g_01546, Prbd.g_00874
OG0000020	Prat.g_00278	Prbd.g_00439
OG0000022	Prat.g_01191	Prbd.g_01833
OG0000023	Prat.g_01451	Prbd.g_01887
OG0000024	Prat.g_00314, Prat.g_01267	Prbd.g_00933
OG0000028	Prat.g_01352, Prat.g_01353	Prbd.g_01689
OG0000029	Prat.g_01400	Prbd.g_01575
OG0000033	Prat.g_00014	Prbd.g_01224
OG0000035	Prat.g_00657	Prbd.g_00379, Prbd.g_00192
OG0000036	Prat.g_01507	Prbd.g_00658
OG0000037	Prat.g_00586	Prbd.g_00621
OG0000038	Prat.g_01448, Prat.g_01192	Prbd.g_00061
OG0000039	Prat.g_00166	Prbd.g_01074
OG0000040	Prat.g_00834	Prbd.g_00879
OG0000041	Prat.g_01552, Prat.g_00613	Prbd.g_00833
OG0000042	Prat.g_00788	Prbd.g_00007
OG0000043	Prat.g_00856	Prbd.g_00087
OG0000044	Prat.g_01156	Prbd.g_00468
OG0000045	Prat.g_01311	Prbd.g_01733
OG0000046	Prat.g_01584	Prbd.g_01532
OG0000047	Prat.g_01788	Prbd.g_01335
OG0000048	Prat.g_01796	Prbd.g_01328
OG0000050	Prat.g_00033	Prbd.g_01206
OG0000051	Prat.g_00157	Prbd.g_01083
OG0000052	Prat.g_00637	Prbd.g_00868
OG0000053	Prat.g_01499	Prbd.g_00703
OG0000055	Prat.g_01014	Prbd.g_00124
OG0000057	Prat.g_00242	Prbd.g_01002, Prbd.g_01537
OG0000058	Prat.g_00434	Prbd.g_00767
OG0000059	Prat.g_00775	Prbd.g_00546
OG0000062	Prat.g_01495, Prat.g_01561	Prbd.g_00427
OG0000063	Prat.g_01129	Prbd.g_01895
OG0000065	Prat.g_01249	Prbd.g_01801
OG0000066	Prat.g_00344	Prbd.g_01737
OG0000067	Prat.g_01532	Prbd.g_01867, Prbd.g_00534
OG0000068	Prat.g_01726	Prbd.g_01391
OG0000071	Prat.g_00012, Prat.g_00011	Prbd.g_01226
OG0000072	Prat.g_00329	Prbd.g_00917
OG0000073	Prat.g_01054	Prbd.g_00575
OG0000074	Prat.g_00765	Prbd.g_00553
OG0000075	Prat.g_01030	Prbd.g_00109
OG0000076	Prat.g_00965	Prbd.g_00340
OG0000078	Prat.g_01312	Prbd.g_01734
OG0000079	Prat.g_01442	Prbd.g_01610
OG0000080	Prat.g_01539	Prbd.g_01561
OG0000081	Prat.g_01759	Prbd.g_01361
OG0000083	Prat.g_00003	Prbd.g_01234
OG0000084	Prat.g_00006	Prbd.g_01231
OG0000085	Prat.g_01314, Prat.g_00024	Prbd.g_01214
OG0000086	Prat.g_00614	Prbd.g_01199
OG0000087	Prat.g_00054	Prbd.g_01188
OG0000088	Prat.g_00112	Prbd.g_01131
OG0000089	Prat.g_00121	Prbd.g_01122
OG0000090	Prat.g_00138	Prbd.g_01104, Prbd.g_01103
OG0000091	Prat.g_00170	Prbd.g_01071
OG0000092	Prat.g_00171	Prbd.g_01070
OG0000093	Prat.g_00185	Prbd.g_01056
OG0000094	Prat.g_00204	Prbd.g_01038
OG0000095	Prat.g_00209	Prbd.g_01033
OG0000096	Prat.g_00257	Prbd.g_00988
OG0000097	Prat.g_00281	Prbd.g_00965
OG0000099	Prat.g_00302	Prbd.g_00945
OG0000100	Prat.g_00305	Prbd.g_00942
OG0000101	Prat.g_00372	Prbd.g_00882
