Orthogroup	Prat	Praw
OG0000000	Prat.g_00977	Praw.g_01009
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Praw.g_01844
OG0000002	Prat.g_01285, Prat.g_01286	Praw.g_01000
OG0000002	Prat.g_00851	Praw.g_00497, Praw.g_01951, Praw.g_01739
OG0000003	Prat.g_01190	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000004	Prat.g_00824	Praw.g_01769
OG0000006	Prat.g_00458	Praw.g_00651
OG0000006	Prat.g_01592	Praw.g_00515
OG0000007	Prat.g_00376	Praw.g_00501
OG0000007	Prat.g_00377	Praw.g_00502
OG0000009	Prat.g_01180	Praw.g_01717
OG0000009	Prat.g_00255	Praw.g_00884
OG0000010	Prat.g_00634	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000012	Prat.g_00567, Prat.g_00560	Praw.g_01944
OG0000013	Prat.g_00701	Praw.g_01738
OG0000014	Prat.g_01548, Prat.g_01474	Praw.g_00962, Praw.g_00492, Praw.g_00677
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Praw.g_00752
OG0000016	Prat.g_00647, Prat.g_01452	Praw.g_01012
OG0000018	Prat.g_00248	Praw.g_01950
OG0000019	Prat.g_00461	Praw.g_00479, Praw.g_00767
OG0000022	Prat.g_01191	Praw.g_00493, Praw.g_00961, Praw.g_01782
OG0000024	Prat.g_00314, Prat.g_01267	Praw.g_00828
OG0000028	Prat.g_01352	Praw.g_01083
OG0000028	Prat.g_01353	Praw.g_01081
OG0000029	Prat.g_01400	Praw.g_00448
OG0000030	Prat.g_01473	Praw.g_01390
OG0000032	Prat.g_01266	Praw.g_01073
OG0000033	Prat.g_01219	Praw.g_00484
OG0000033	Prat.g_00014	Praw.g_01415
OG0000034	Prat.g_00058	Praw.g_01071
OG0000035	Prat.g_00657	Praw.g_01428, Praw.g_00323
OG0000036	Prat.g_01507	Praw.g_01932
OG0000037	Prat.g_00586	Praw.g_00159
OG0000038	Prat.g_01448, Prat.g_01192	Praw.g_01746
OG0000039	Prat.g_00166	Praw.g_01269
OG0000040	Prat.g_00834	Praw.g_00772
OG0000041	Prat.g_01552, Prat.g_00613	Praw.g_00730
OG0000042	Prat.g_00788	Praw.g_01809
OG0000043	Prat.g_00856	Praw.g_01712
OG0000044	Prat.g_01156	Praw.g_00234
OG0000045	Prat.g_01311	Praw.g_01055
OG0000046	Prat.g_01584	Praw.g_00508
OG0000047	Prat.g_01788	Praw.g_00039
