Orthogroup	Prat	Prac
OG0000000	Prat.g_00977	Prac.g_00210
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Prac.g_00693
OG0000002	Prat.g_01285, Prat.g_01286	Prac.g_00202
OG0000002	Prat.g_00851	Prac.g_00925, Prac.g_00924
OG0000003	Prat.g_01190	Prac.g_00157, Prac.g_00290
OG0000004	Prat.g_00824	Prac.g_01529
OG0000006	Prat.g_00458	Prac.g_00874
OG0000006	Prat.g_01592	Prac.g_00625
OG0000007	Prat.g_00376	Prac.g_00904
OG0000009	Prat.g_01180	Prac.g_01496
OG0000009	Prat.g_00255	Prac.g_01681
OG0000010	Prat.g_00634	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Prat.g_00374	Prac.g_01127
OG0000012	Prat.g_00567, Prat.g_00560	Prac.g_00773
OG0000013	Prat.g_00701	Prac.g_00898
OG0000014	Prat.g_01548, Prat.g_01474	Prac.g_01074
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Prac.g_01151
OG0000016	Prat.g_00647, Prat.g_01452	Prac.g_00213
OG0000017	Prat.g_01375	Prac.g_01901
OG0000018	Prat.g_00248	Prac.g_01689
OG0000019	Prat.g_00461	Prac.g_01169
OG0000022	Prat.g_01191	Prac.g_00159
OG0000024	Prat.g_00314, Prat.g_01267	Prac.g_01625
OG0000026	Prat.g_01516	Prac.g_00908
OG0000028	Prat.g_01352, Prat.g_01353	Prac.g_00411
OG0000029	Prat.g_01400	Prac.g_00300, Prac.g_00890
OG0000030	Prat.g_01473	Prac.g_01905
OG0000033	Prat.g_00014	Prac.g_01934
OG0000035	Prat.g_00657	Prac.g_01217, Prac.g_01399
OG0000036	Prat.g_01507	Prac.g_00788
OG0000037	Prat.g_00586	Prac.g_00748
OG0000038	Prat.g_01448, Prat.g_01192	Prac.g_01510
OG0000039	Prat.g_00166	Prac.g_01764
OG0000040	Prat.g_00834	Prac.g_01174
OG0000041	Prat.g_01552, Prat.g_00613	Prac.g_01119
OG0000042	Prat.g_00788	Prac.g_01560
OG0000043	Prat.g_00856	Prac.g_01491
OG0000044	Prat.g_01156	Prac.g_00985
OG0000045	Prat.g_01311	Prac.g_00434, Prac.g_00258
OG0000046	Prat.g_01584	Prac.g_00632
OG0000047	Prat.g_01788	Prac.g_01904, Prac.g_00041
OG0000048	Prat.g_01796	Prac.g_00048
OG0000050	Prat.g_00033	Prac.g_01916
OG0000051	Prat.g_00157	Prac.g_01590, Prac.g_01773
OG0000052	Prat.g_00637	Prac.g_01163
OG0000053	Prat.g_01499	Prac.g_00833
OG0000055	Prat.g_01014	Prac.g_01453
OG0000057	Prat.g_00242	Prac.g_01693
OG0000058	Prat.g_00434	Prac.g_01069
OG0000059	Prat.g_00775	Prac.g_00673
OG0000062	Prat.g_01495, Prat.g_01561	Prac.g_01018
OG0000063	Prat.g_01129	Prac.g_01955
OG0000065	Prat.g_01249	Prac.g_00175
OG0000066	Prat.g_00344	Prac.g_00248
OG0000067	Prat.g_01532	Prac.g_00142
OG0000068	Prat.g_01726	Prac.g_00548
OG0000071	Prat.g_00012, Prat.g_00011	Prac.g_01936
OG0000072	Prat.g_00329	Prac.g_01609
OG0000073	Prat.g_01054	Prac.g_00702
OG0000074	Prat.g_00765	Prac.g_00680
OG0000075	Prat.g_01030	Prac.g_01468
OG0000076	Prat.g_00965	Prac.g_01256
OG0000078	Prat.g_01312	Prac.g_00256
OG0000079	Prat.g_01442	Prac.g_00333
OG0000080	Prat.g_01539	Prac.g_00886
OG0000081	Prat.g_01759	Prac.g_00015
OG0000083	Prat.g_00003	Prac.g_01944
OG0000084	Prat.g_00006	Prac.g_01941
OG0000085	Prat.g_01314, Prat.g_00024	Prac.g_01924
OG0000086	Prat.g_00614	Prac.g_01893
OG0000087	Prat.g_00054	Prac.g_01882
OG0000088	Prat.g_00112	Prac.g_01818
OG0000089	Prat.g_00121	Prac.g_01810
OG0000090	Prat.g_00138	Prac.g_01792
OG0000091	Prat.g_00170	Prac.g_01761
OG0000092	Prat.g_00171	Prac.g_01760
OG0000093	Prat.g_00185	Prac.g_01746
OG0000094	Prat.g_00204	Prac.g_01728
OG0000095	Prat.g_00209	Prac.g_01723
OG0000096	Prat.g_00257	Prac.g_01679
OG0000097	Prat.g_00281	Prac.g_01657
OG0000098	Prat.g_00292	Prac.g_01647
OG0000099	Prat.g_00302	Prac.g_01637
OG0000100	Prat.g_00305	Prac.g_01634
OG0000101	Prat.g_00372	Prac.g_01177
OG0000102	Prat.g_01477	Prac.g_01150
OG0000103	Prat.g_00435	Prac.g_01068
OG0000104	Prat.g_00440	Prac.g_01064
OG0000105	Prat.g_00462	Prac.g_00872
OG0000106	Prat.g_00494	Prac.g_00840
OG0000107	Prat.g_00495	Prac.g_00839
OG0000108	Prat.g_00504	Prac.g_00829
OG0000109	Prat.g_00514, Prat.g_00513	Prac.g_00820
OG0000110	Prat.g_00532	Prac.g_00804
