Orthogroup	Prat	Pran
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Pran.g_01500
OG0000001	Prat.g_01549	Pran.g_00579
OG0000002	Prat.g_00851	Pran.g_01395
OG0000003	Prat.g_01190	Pran.g_00894, Pran.g_00580
OG0000004	Prat.g_00824	Pran.g_01436
OG0000006	Prat.g_00458	Pran.g_01681
OG0000006	Prat.g_01592	Pran.g_00970
OG0000009	Prat.g_01180	Pran.g_01363
OG0000009	Prat.g_00255	Pran.g_01943
OG0000010	Prat.g_00634	Pran.g_00603, Pran.g_00114
OG0000012	Prat.g_00567, Prat.g_00560	Pran.g_01580
OG0000013	Prat.g_00701	Pran.g_01394
OG0000014	Prat.g_01548, Prat.g_01474	Pran.g_00583
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Pran.g_01813
OG0000016	Prat.g_00647, Prat.g_01452	Pran.g_00845
OG0000017	Prat.g_01375	Pran.g_00713
OG0000018	Prat.g_00248	Pran.g_01951
OG0000019	Prat.g_00461	Pran.g_01829
OG0000020	Prat.g_00278	Pran.g_01772
OG0000022	Prat.g_01191	Pran.g_00582
OG0000024	Prat.g_00314, Prat.g_01267	Pran.g_01888
OG0000025	Prat.g_00685	Pran.g_00936, Pran.g_01789
OG0000028	Prat.g_01352, Prat.g_01353	Pran.g_00733
OG0000029	Prat.g_01400	Pran.g_00614
OG0000033	Prat.g_01219	Pran.g_00620
OG0000034	Prat.g_00058	Pran.g_00777
OG0000035	Prat.g_00657	Pran.g_00145, Pran.g_00415
OG0000036	Prat.g_01507	Pran.g_01593
OG0000037	Prat.g_00586	Pran.g_01555
OG0000038	Prat.g_01448, Prat.g_01192	Pran.g_01401
OG0000039	Prat.g_00166	Pran.g_00266
OG0000040	Prat.g_00834	Pran.g_01834
OG0000041	Prat.g_01552, Prat.g_00613	Pran.g_01778
OG0000042	Prat.g_00788	Pran.g_01460
OG0000043	Prat.g_00856	Pran.g_01358
OG0000044	Prat.g_01156	Pran.g_00060
OG0000045	Prat.g_01311	Pran.g_00807
OG0000046	Prat.g_01584	Pran.g_00963
OG0000047	Prat.g_01788	Pran.g_01160
OG0000048	Prat.g_01796	Pran.g_01167
OG0000050	Prat.g_00033	Pran.g_00393, Pran.g_00930
OG0000051	Prat.g_00157	Pran.g_00275
OG0000052	Prat.g_00637	Pran.g_01824
OG0000053	Prat.g_01499	Pran.g_01639
OG0000054	Prat.g_01503	Pran.g_01379
OG0000055	Prat.g_01014	Pran.g_01321
OG0000056	Prat.g_00666, Prat.g_01463	Pran.g_00935
OG0000057	Prat.g_00242	Pran.g_00195
OG0000058	Prat.g_00434	Pran.g_01703
OG0000059	Prat.g_00775	Pran.g_01480
OG0000062	Prat.g_01495, Prat.g_01561	Pran.g_00093
OG0000063	Prat.g_01129	Pran.g_01466
OG0000065	Prat.g_01249	Pran.g_00938, Pran.g_00876
OG0000066	Prat.g_00344	Pran.g_00752
OG0000067	Prat.g_01532	Pran.g_01384
OG0000068	Prat.g_01726	Pran.g_01105
OG0000071	Prat.g_00012, Prat.g_00011	Pran.g_01268
OG0000072	Prat.g_00329	Pran.g_01872
OG0000073	Prat.g_01054	Pran.g_01509
OG0000074	Prat.g_00765	Pran.g_01487
OG0000075	Prat.g_01030	Pran.g_01336
OG0000076	Prat.g_00965	Pran.g_00568, Pran.g_00903
OG0000078	Prat.g_01312	Pran.g_00806
OG0000079	Prat.g_01442	Pran.g_00655
OG0000080	Prat.g_01539	Pran.g_00912, Pran.g_00575
OG0000081	Prat.g_01759	Pran.g_01135
OG0000082	Prat.g_01853	Pran.g_01222
OG0000083	Prat.g_00003	Pran.g_01260
OG0000084	Prat.g_00006	Pran.g_01263
OG0000085	Prat.g_01314, Prat.g_00024	Pran.g_00401
OG0000086	Prat.g_00614	Pran.g_00386
OG0000087	Prat.g_00054	Pran.g_00376
OG0000088	Prat.g_00112	Pran.g_00320
OG0000089	Prat.g_00121	Pran.g_00312
OG0000090	Prat.g_00138	Pran.g_00295
OG0000091	Prat.g_00170	Pran.g_00263
OG0000092	Prat.g_00171	Pran.g_00262
OG0000093	Prat.g_00185	Pran.g_00248
OG0000094	Prat.g_00204	Pran.g_00230
OG0000095	Prat.g_00209	Pran.g_00225
OG0000096	Prat.g_00257	Pran.g_01941
OG0000097	Prat.g_00281	Pran.g_01920
OG0000099	Prat.g_00302	Pran.g_01900
OG0000100	Prat.g_00305	Pran.g_01897
OG0000101	Prat.g_00372	Pran.g_01838
OG0000102	Prat.g_01477	Pran.g_01812
OG0000103	Prat.g_00435	Pran.g_01702
OG0000104	Prat.g_00440	Pran.g_01698
OG0000105	Prat.g_00462	Pran.g_01679
OG0000106	Prat.g_00494	Pran.g_01646
OG0000107	Prat.g_00495	Pran.g_01645
OG0000108	Prat.g_00504	Pran.g_01635
OG0000109	Prat.g_00514, Prat.g_00513	Pran.g_01626
OG0000110	Prat.g_00532	Pran.g_01609
OG0000111	Prat.g_01073	Pran.g_01527
OG0000112	Prat.g_01072	Pran.g_01526
OG0000113	Prat.g_00815	Pran.g_01438
OG0000114	Prat.g_01039	Pran.g_01345
OG0000115	Prat.g_00896	Pran.g_00487
OG0000116	Prat.g_00900	Pran.g_00491
OG0000117	Prat.g_00962	Pran.g_00565
OG0000118	Prat.g_01208	Pran.g_00135
OG0000119	Prat.g_01557	Pran.g_00090
OG0000120	Prat.g_01150	Pran.g_00054
