Orthogroup	Prat	Prai
OG0000000	Prat.g_00977	Prai.g_01363
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Prai.g_00707
OG0000002	Prat.g_01285, Prat.g_01286	Prai.g_01235, Prai.g_01356
OG0000002	Prat.g_00851	Prai.g_01236
OG0000003	Prat.g_01190	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907
OG0000004	Prat.g_00824	Prai.g_01313
OG0000006	Prat.g_00458	Prai.g_00527
OG0000006	Prat.g_01592	Prai.g_01638
OG0000009	Prat.g_01180	Prai.g_00867
OG0000009	Prat.g_00255	Prai.g_00262
OG0000010	Prat.g_00634	Prai.g_01588
OG0000011	Prat.g_00374	Prai.g_00424
OG0000012	Prat.g_00567, Prat.g_00560	Prai.g_00626
OG0000013	Prat.g_00701	Prai.g_01243
OG0000014	Prat.g_01548, Prat.g_01474	Prai.g_00904
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Prai.g_01259
OG0000016	Prat.g_00647, Prat.g_01452	Prai.g_01366
OG0000017	Prat.g_01375	Prai.g_01483
OG0000018	Prat.g_00248	Prai.g_00252, Prai.g_00254
OG0000019	Prat.g_00461	Prai.g_00378
OG0000022	Prat.g_01191	Prai.g_00905, Prai.g_01772
OG0000024	Prat.g_00314, Prat.g_01267	Prai.g_00319
OG0000025	Prat.g_00685	Prai.g_01093
OG0000026	Prat.g_01516	Prai.g_01261
OG0000028	Prat.g_01352, Prat.g_01353	Prai.g_01463
OG0000029	Prat.g_01400	Prai.g_01579
OG0000033	Prat.g_01219	Prai.g_01573
OG0000033	Prat.g_00014	Prai.g_00013
OG0000034	Prat.g_00058	Prai.g_00154
OG0000035	Prat.g_00657	Prai.g_01097, Prai.g_01059
OG0000036	Prat.g_01507	Prai.g_00613
OG0000037	Prat.g_00586	Prai.g_00652
OG0000038	Prat.g_01448, Prat.g_01192	Prai.g_00885
OG0000039	Prat.g_00166	Prai.g_00177
OG0000040	Prat.g_00834	Prai.g_00373
OG0000042	Prat.g_00788	Prai.g_00748
OG0000043	Prat.g_00856	Prai.g_00862
OG0000044	Prat.g_01156	Prai.g_01171
