Orthogroup	Prat	Prbi
OG0000000	Prat.g_00977	Prbi.g_01432
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Prbi.g_00681
OG0000002	Prat.g_01285, Prat.g_01286	Prbi.g_01424
OG0000002	Prat.g_00851	Prbi.g_01270
OG0000003	Prat.g_01190	Prbi.g_01371, Prbi.g_01710
OG0000004	Prat.g_00824	Prbi.g_00782
OG0000006	Prat.g_00458	Prbi.g_00500
OG0000006	Prat.g_01592	Prbi.g_01787
OG0000007	Prat.g_00376	Prbi.g_01764
OG0000007	Prat.g_00377	Prbi.g_01539, Prbi.g_01765
OG0000009	Prat.g_01180	Prbi.g_00827
OG0000009	Prat.g_00255	Prbi.g_00273
OG0000010	Prat.g_00634	Prbi.g_01156, Prbi.g_01352
OG0000012	Prat.g_00567, Prat.g_00560	Prbi.g_00600
OG0000013	Prat.g_00701	Prbi.g_00810, Prbi.g_01304
OG0000014	Prat.g_01548, Prat.g_01474	Prbi.g_01374, Prbi.g_00472
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Prbi.g_00406
OG0000016	Prat.g_00647, Prat.g_01452	Prbi.g_01435
OG0000018	Prat.g_00248	Prbi.g_00265
OG0000019	Prat.g_00461	Prbi.g_01742, Prbi.g_00389
OG0000022	Prat.g_01191	Prbi.g_01373
OG0000023	Prat.g_01451	Prbi.g_01338
OG0000024	Prat.g_00314, Prat.g_01267	Prbi.g_00330
OG0000028	Prat.g_01352	Prbi.g_01589
OG0000028	Prat.g_01353	Prbi.g_01591
OG0000029	Prat.g_01400	Prbi.g_01702
OG0000030	Prat.g_01473	Prbi.g_01743, Prbi.g_00047
OG0000032	Prat.g_01266	Prbi.g_01467
OG0000033	Prat.g_00014	Prbi.g_00013
OG0000034	Prat.g_00058	Prbi.g_01478
OG0000035	Prat.g_00657	Prbi.g_00936
OG0000036	Prat.g_01507	Prbi.g_00587
OG0000037	Prat.g_00586	Prbi.g_00625
OG0000038	Prat.g_01448, Prat.g_01192	Prbi.g_00805
OG0000039	Prat.g_00166	Prbi.g_00190
OG0000040	Prat.g_00834	Prbi.g_00384
OG0000042	Prat.g_00788	Prbi.g_00745
OG0000043	Prat.g_00856	Prbi.g_00832
OG0000044	Prat.g_01156	Prbi.g_01207
OG0000045	Prat.g_01311	Prbi.g_01461
OG0000046	Prat.g_01584	Prbi.g_01780
OG0000047	Prat.g_01788	Prbi.g_01994
OG0000048	Prat.g_01796	Prbi.g_02001
OG0000050	Prat.g_00033	Prbi.g_00031
OG0000051	Prat.g_00157	Prbi.g_00181
OG0000052	Prat.g_00637	Prbi.g_00394
OG0000053	Prat.g_01499	Prbi.g_00542
OG0000055	Prat.g_01014	Prbi.g_00869
OG0000057	Prat.g_00242	Prbi.g_00261, Prbi.g_01748
OG0000058	Prat.g_00434	Prbi.g_00478
OG0000059	Prat.g_00775	Prbi.g_00702
OG0000062	Prat.g_01495, Prat.g_01561	Prbi.g_01174
OG0000063	Prat.g_01129	Prbi.g_01330
OG0000065	Prat.g_01249	Prbi.g_01391
OG0000066	Prat.g_00344	Prbi.g_01460
OG0000068	Prat.g_01726	Prbi.g_01938
OG0000071	Prat.g_00012, Prat.g_00011	Prbi.g_00011
OG0000072	Prat.g_00329	Prbi.g_00346
OG0000073	Prat.g_01054	Prbi.g_00672
OG0000074	Prat.g_00765	Prbi.g_00694
OG0000075	Prat.g_01030	Prbi.g_00854
OG0000076	Prat.g_00965	Prbi.g_01086
OG0000078	Prat.g_01312	Prbi.g_01462
OG0000079	Prat.g_01442	Prbi.g_01482, Prbi.g_01668
OG0000080	Prat.g_01539	Prbi.g_01725
OG0000081	Prat.g_01759	Prbi.g_01968
OG0000083	Prat.g_00003	Prbi.g_00003
OG0000084	Prat.g_00006	Prbi.g_00006
OG0000085	Prat.g_01314, Prat.g_00024	Prbi.g_00023
OG0000086	Prat.g_00614	Prbi.g_00048
OG0000087	Prat.g_00054	Prbi.g_00060
OG0000088	Prat.g_00112	Prbi.g_00120
OG0000089	Prat.g_00121	Prbi.g_00129
OG0000090	Prat.g_00138	Prbi.g_00147
OG0000091	Prat.g_00170	Prbi.g_00193
OG0000092	Prat.g_00171	Prbi.g_00194
OG0000093	Prat.g_00185	Prbi.g_00208
OG0000094	Prat.g_00204	Prbi.g_00226
OG0000095	Prat.g_00209	Prbi.g_00231
OG0000096	Prat.g_00257	Prbi.g_00275
OG0000097	Prat.g_00281	Prbi.g_00298
OG0000099	Prat.g_00302	Prbi.g_00318
OG0000100	Prat.g_00305	Prbi.g_00321
OG0000101	Prat.g_00372	Prbi.g_00381
OG0000102	Prat.g_01477	Prbi.g_00407
OG0000103	Prat.g_00435	Prbi.g_00479
OG0000104	Prat.g_00440	Prbi.g_00483
OG0000105	Prat.g_00462	Prbi.g_00502
OG0000106	Prat.g_00494	Prbi.g_00535
OG0000107	Prat.g_00495	Prbi.g_00536
OG0000108	Prat.g_00504	Prbi.g_00546
OG0000109	Prat.g_00514, Prat.g_00513	Prbi.g_00555
OG0000110	Prat.g_00532	Prbi.g_00571
OG0000111	Prat.g_01073	Prbi.g_00654
OG0000112	Prat.g_01072	Prbi.g_00655
OG0000113	Prat.g_00815	Prbi.g_00767
OG0000114	Prat.g_01039	Prbi.g_00845
OG0000115	Prat.g_00896	Prbi.g_01009
OG0000116	Prat.g_00900	Prbi.g_01013
OG0000117	Prat.g_00962	Prbi.g_01083
OG0000118	Prat.g_01208	Prbi.g_01136
OG0000119	Prat.g_01557	Prbi.g_01177
OG0000120	Prat.g_01150	Prbi.g_01213
OG0000121	Prat.g_01127	Prbi.g_01232
OG0000122	Prat.g_01107	Prbi.g_01251
OG0000123	Prat.g_00595	Prbi.g_01264
OG0000124	Prat.g_01509	Prbi.g_01277
OG0000125	Prat.g_01261	Prbi.g_01403
OG0000126	Prat.g_01291	Prbi.g_01439
OG0000127	Prat.g_01338	Prbi.g_01576
OG0000128	Prat.g_01354	Prbi.g_01592
OG0000129	Prat.g_01392	Prbi.g_01627
OG0000130	Prat.g_01589	Prbi.g_01785
OG0000131	Prat.g_01377, Prat.g_01628	Prbi.g_01823
OG0000132	Prat.g_01631	Prbi.g_01826
OG0000133	Prat.g_01685	Prbi.g_01897
OG0000134	Prat.g_01720	Prbi.g_01933
OG0000135	Prat.g_01722	Prbi.g_01935
OG0000136	Prat.g_01771	Prbi.g_01979
OG0000137	Prat.g_01806	Prbi.g_02011
OG0000138	Prat.g_01841	Prbi.g_02059
OG0000139	Prat.g_01873	Prbi.g_02086
OG0000140	Prat.g_00001	Prbi.g_00001
OG0000141	Prat.g_00002	Prbi.g_00002
OG0000142	Prat.g_00004	Prbi.g_00004
OG0000143	Prat.g_00005	Prbi.g_00005
OG0000144	Prat.g_00007	Prbi.g_00007
OG0000145	Prat.g_00008	Prbi.g_00008
OG0000146	Prat.g_00009	Prbi.g_00009
OG0000147	Prat.g_00010	Prbi.g_00010
OG0000148	Prat.g_00013	Prbi.g_00012
OG0000149	Prat.g_00015	Prbi.g_00014
OG0000150	Prat.g_00016	Prbi.g_00015
OG0000151	Prat.g_00017	Prbi.g_00016
OG0000152	Prat.g_00018	Prbi.g_00017
OG0000153	Prat.g_00019	Prbi.g_00018
OG0000154	Prat.g_00020	Prbi.g_00019
OG0000155	Prat.g_00021	Prbi.g_00020
OG0000156	Prat.g_00022	Prbi.g_00021
OG0000157	Prat.g_00023	Prbi.g_00022
OG0000158	Prat.g_00025	Prbi.g_00024
OG0000159	Prat.g_00026	Prbi.g_00025
OG0000160	Prat.g_00027	Prbi.g_00026
OG0000161	Prat.g_00028	Prbi.g_00027
OG0000162	Prat.g_00029	Prbi.g_00028
OG0000163	Prat.g_00031	Prbi.g_00029
OG0000164	Prat.g_00034	Prbi.g_00032
OG0000165	Prat.g_00036	Prbi.g_00035
OG0000166	Prat.g_00037	Prbi.g_00036
OG0000167	Prat.g_00038	Prbi.g_00037
OG0000168	Prat.g_00042	Prbi.g_00049
OG0000169	Prat.g_00044	Prbi.g_00051
OG0000170	Prat.g_00046	Prbi.g_00052
OG0000171	Prat.g_00047	Prbi.g_00053
OG0000172	Prat.g_00048	Prbi.g_00056
OG0000173	Prat.g_00051	Prbi.g_00057
OG0000174	Prat.g_00052	Prbi.g_00058
OG0000175	Prat.g_00053	Prbi.g_00059
OG0000176	Prat.g_00055	Prbi.g_00061
OG0000177	Prat.g_00056	Prbi.g_00062
OG0000178	Prat.g_00057	Prbi.g_00063
OG0000179	Prat.g_00060	Prbi.g_00071
OG0000180	Prat.g_00061	Prbi.g_00072
OG0000181	Prat.g_00062	Prbi.g_00073
OG0000182	Prat.g_00066	Prbi.g_00076
OG0000183	Prat.g_00067	Prbi.g_00077
OG0000184	Prat.g_00070	Prbi.g_00080
OG0000185	Prat.g_00074	Prbi.g_00084
OG0000186	Prat.g_00075	Prbi.g_00085
OG0000187	Prat.g_01504	Prbi.g_00086
OG0000188	Prat.g_00076	Prbi.g_00087
OG0000189	Prat.g_00079	Prbi.g_00088
OG0000190	Prat.g_00080	Prbi.g_00089
OG0000191	Prat.g_00081	Prbi.g_00090
OG0000192	Prat.g_00082	Prbi.g_00091
OG0000193	Prat.g_00083	Prbi.g_00092
OG0000194	Prat.g_00084	Prbi.g_00093
OG0000195	Prat.g_00086	Prbi.g_00095
OG0000196	Prat.g_00087	Prbi.g_00096
OG0000197	Prat.g_00088	Prbi.g_00097
OG0000198	Prat.g_00089	Prbi.g_00098
OG0000199	Prat.g_00091	Prbi.g_00101
OG0000200	Prat.g_00092	Prbi.g_00102
OG0000201	Prat.g_00093	Prbi.g_00103
OG0000202	Prat.g_00094	Prbi.g_00104
OG0000203	Prat.g_00095	Prbi.g_00105
OG0000204	Prat.g_00096	Prbi.g_00106
OG0000205	Prat.g_00098	Prbi.g_00107
OG0000206	Prat.g_00099	Prbi.g_00108
OG0000207	Prat.g_00100	Prbi.g_00109
OG0000208	Prat.g_00101	Prbi.g_00110
OG0000209	Prat.g_00102	Prbi.g_00111
OG0000210	Prat.g_00103	Prbi.g_00113
OG0000211	Prat.g_00104	Prbi.g_00114
OG0000212	Prat.g_00105	Prbi.g_00115
OG0000213	Prat.g_00106	Prbi.g_00116
OG0000214	Prat.g_00110	Prbi.g_00118
OG0000215	Prat.g_00111	Prbi.g_00119
OG0000216	Prat.g_00113	Prbi.g_00121
OG0000217	Prat.g_00114	Prbi.g_00123
OG0000218	Prat.g_00115	Prbi.g_00124
OG0000219	Prat.g_00116	Prbi.g_00125
OG0000220	Prat.g_00118	Prbi.g_00128
OG0000221	Prat.g_00122	Prbi.g_00130
OG0000222	Prat.g_00123	Prbi.g_00131
OG0000223	Prat.g_00124	Prbi.g_00132
OG0000224	Prat.g_00126	Prbi.g_00135
OG0000225	Prat.g_00128	Prbi.g_00137
OG0000226	Prat.g_00130	Prbi.g_00138
OG0000227	Prat.g_00131	Prbi.g_00139
OG0000228	Prat.g_00132	Prbi.g_00140
OG0000229	Prat.g_00133	Prbi.g_00141
OG0000230	Prat.g_00134	Prbi.g_00142
