Orthogroup	Prat	Praa
OG0000000	Prat.g_00977	Praa.g_01359
OG0000000	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187	Praa.g_00678
OG0000002	Prat.g_01285, Prat.g_01286	Praa.g_01351
OG0000002	Prat.g_00851	Praa.g_01222, Praa.g_01220
OG0000003	Prat.g_01190	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000004	Prat.g_00824	Praa.g_00742
OG0000006	Prat.g_00458	Praa.g_00497
OG0000006	Prat.g_01592	Praa.g_01635
OG0000007	Prat.g_00376	Praa.g_01241
OG0000009	Prat.g_01180	Praa.g_00782
OG0000009	Prat.g_00255	Praa.g_00249
OG0000010	Prat.g_00634	Praa.g_01110, Praa.g_01280
OG0000012	Prat.g_00567, Prat.g_00560	Praa.g_00598
OG0000013	Prat.g_00701	Praa.g_00765
OG0000014	Prat.g_01548, Prat.g_01474	Praa.g_01301, Praa.g_00470
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Praa.g_00380
OG0000016	Prat.g_00647, Prat.g_01452	Praa.g_01362
OG0000018	Prat.g_00248	Praa.g_01245, Praa.g_00241
OG0000019	Prat.g_00461	Praa.g_01623, Praa.g_00364
OG0000022	Prat.g_01191	Praa.g_01300
OG0000023	Prat.g_01451	Praa.g_01264
OG0000024	Prat.g_00314, Prat.g_01267	Praa.g_00306
OG0000028	Prat.g_01352, Prat.g_01353	Praa.g_01476
OG0000029	Prat.g_01400	Praa.g_01590
OG0000030	Prat.g_01473	Praa.g_00038
OG0000033	Prat.g_00014	Praa.g_00013
OG0000034	Prat.g_00058	Praa.g_01407
OG0000036	Prat.g_01507	Praa.g_00585
OG0000037	Prat.g_00586	Praa.g_00623
OG0000038	Prat.g_01448, Prat.g_01192	Praa.g_00763
OG0000039	Prat.g_00166	Praa.g_00166
OG0000040	Prat.g_00834	Praa.g_00359
OG0000041	Prat.g_01552, Prat.g_00613	Praa.g_00399
OG0000042	Prat.g_00788	Praa.g_00711
OG0000043	Prat.g_00856	Praa.g_00787
OG0000044	Prat.g_01156	Praa.g_01159, Praa.g_01415
OG0000045	Prat.g_01311	Praa.g_01425
OG0000046	Prat.g_01584	Praa.g_01628
OG0000047	Prat.g_01788	Praa.g_01832
OG0000048	Prat.g_01796	Praa.g_01839
OG0000050	Prat.g_00033	Praa.g_00031
OG0000051	Prat.g_00157	Praa.g_00157
OG0000052	Prat.g_00637	Praa.g_00369
OG0000053	Prat.g_01499	Praa.g_00539
OG0000055	Prat.g_01014	Praa.g_00826
OG0000057	Prat.g_00242	Praa.g_00237
OG0000058	Prat.g_00434	Praa.g_01414, Praa.g_00475
OG0000059	Prat.g_00775	Praa.g_00698
OG0000062	Prat.g_01495, Prat.g_01561	Praa.g_01127
OG0000063	Prat.g_01129	Praa.g_01255
OG0000065	Prat.g_01249	Praa.g_01318
OG0000066	Prat.g_00344	Praa.g_01387
OG0000067	Prat.g_01532	Praa.g_01626
OG0000068	Prat.g_01726	Praa.g_01775
OG0000071	Prat.g_00012, Prat.g_00011	Praa.g_00011
OG0000072	Prat.g_00329	Praa.g_00322
OG0000073	Prat.g_01054	Praa.g_00669
OG0000074	Prat.g_00765	Praa.g_00691
OG0000075	Prat.g_01030	Praa.g_00810, Praa.g_00811
OG0000076	Prat.g_00965	Praa.g_01039
OG0000078	Prat.g_01312	Praa.g_01394
OG0000079	Prat.g_01442	Praa.g_01555
OG0000080	Prat.g_01539	Praa.g_01606
OG0000081	Prat.g_01759	Praa.g_01806
OG0000083	Prat.g_00003	Praa.g_00003
OG0000084	Prat.g_00006	Praa.g_00006
OG0000085	Prat.g_01314, Prat.g_00024	Praa.g_00023
OG0000086	Prat.g_00614	Praa.g_00039, Praa.g_00409
OG0000087	Prat.g_00054	Praa.g_00049
OG0000088	Prat.g_00112	Praa.g_00113
OG0000089	Prat.g_00121	Praa.g_00121
OG0000090	Prat.g_00138	Praa.g_00139
OG0000091	Prat.g_00170	Praa.g_00169
OG0000092	Prat.g_00171	Praa.g_00170
OG0000093	Prat.g_00185	Praa.g_00184
OG0000094	Prat.g_00204	Praa.g_00202
OG0000095	Prat.g_00209	Praa.g_00207
OG0000096	Prat.g_00257	Praa.g_00251
OG0000097	Prat.g_00281	Praa.g_00274
OG0000099	Prat.g_00302	Praa.g_00294
OG0000100	Prat.g_00305	Praa.g_00297
OG0000101	Prat.g_00372	Praa.g_00356
OG0000102	Prat.g_01477	Praa.g_00381
OG0000103	Prat.g_00435	Praa.g_00476
OG0000104	Prat.g_00440	Praa.g_00480
OG0000105	Prat.g_00462	Praa.g_00499
OG0000106	Prat.g_00494	Praa.g_00532
OG0000107	Prat.g_00495	Praa.g_00533
OG0000108	Prat.g_00504	Praa.g_00544
OG0000109	Prat.g_00514, Prat.g_00513	Praa.g_00553
OG0000110	Prat.g_00532	Praa.g_00569
OG0000111	Prat.g_01073	Praa.g_00651
OG0000112	Prat.g_01072	Praa.g_00652
OG0000113	Prat.g_00815	Praa.g_00733
OG0000114	Prat.g_01039	Praa.g_00801
OG0000115	Prat.g_00896	Praa.g_00964
OG0000116	Prat.g_00900	Praa.g_00968
OG0000117	Prat.g_00962	Praa.g_01036
OG0000118	Prat.g_01208	Praa.g_01089
OG0000119	Prat.g_01557	Praa.g_01130
OG0000120	Prat.g_01150	Praa.g_01165
OG0000121	Prat.g_01127	Praa.g_01184
OG0000122	Prat.g_01107	Praa.g_01203
OG0000123	Prat.g_00595	Praa.g_01216
OG0000124	Prat.g_01509	Praa.g_01224
OG0000125	Prat.g_01261	Praa.g_01330
OG0000126	Prat.g_01291	Praa.g_01366
OG0000127	Prat.g_01338	Praa.g_01463
OG0000128	Prat.g_01354	Praa.g_01477
OG0000129	Prat.g_01392	Praa.g_01513
OG0000130	Prat.g_01589	Praa.g_01633
OG0000131	Prat.g_01377, Prat.g_01628	Praa.g_01672
OG0000132	Prat.g_01631	Praa.g_01675
OG0000133	Prat.g_01685	Praa.g_01734
OG0000134	Prat.g_01720	Praa.g_01770
OG0000135	Prat.g_01722	Praa.g_01772
OG0000136	Prat.g_01771	Praa.g_01817
OG0000137	Prat.g_01806	Praa.g_01849
OG0000138	Prat.g_01841	Praa.g_01885
OG0000139	Prat.g_01873	Praa.g_01911
OG0000140	Prat.g_00001	Praa.g_00001
OG0000141	Prat.g_00002	Praa.g_00002
OG0000142	Prat.g_00004	Praa.g_00004
OG0000143	Prat.g_00005	Praa.g_00005
OG0000144	Prat.g_00007	Praa.g_00007
OG0000145	Prat.g_00008	Praa.g_00008
OG0000146	Prat.g_00009	Praa.g_00009
OG0000147	Prat.g_00010	Praa.g_00010
OG0000148	Prat.g_00013	Praa.g_00012
OG0000149	Prat.g_00015	Praa.g_00014
OG0000150	Prat.g_00016	Praa.g_00015
OG0000151	Prat.g_00017	Praa.g_00016
OG0000152	Prat.g_00018	Praa.g_00017
OG0000153	Prat.g_00019	Praa.g_00018
OG0000154	Prat.g_00020	Praa.g_00019
OG0000155	Prat.g_00021	Praa.g_00020
OG0000156	Prat.g_00022	Praa.g_00021
OG0000157	Prat.g_00023	Praa.g_00022
OG0000158	Prat.g_00025	Praa.g_00024
OG0000159	Prat.g_00026	Praa.g_00025
OG0000160	Prat.g_00027	Praa.g_00026
OG0000161	Prat.g_00028	Praa.g_00027
OG0000162	Prat.g_00029	Praa.g_00028
OG0000163	Prat.g_00031	Praa.g_00029
OG0000164	Prat.g_00034	Praa.g_00032
OG0000165	Prat.g_00036	Praa.g_00035
