Orthogroup	Prai	Praw
OG0000000	Prai.g_01363	Praw.g_01009
OG0000000	Prai.g_00707	Praw.g_01844
OG0000001	Prai.g_01591, Prai.g_01775	Praw.g_00294
OG0000002	Prai.g_01235, Prai.g_01356	Praw.g_01000
OG0000002	Prai.g_01236	Praw.g_01951
OG0000003	Prai.g_01314	Praw.g_00959
OG0000003	Prai.g_01596	Praw.g_00457
OG0000003	Prai.g_01774, Prai.g_00907	Praw.g_00495
OG0000004	Prai.g_00441	Praw.g_01775
OG0000004	Prai.g_01313	Praw.g_01769, Praw.g_00958
OG0000005	Prai.g_01592	Praw.g_00455
OG0000006	Prai.g_00527	Praw.g_00651
OG0000006	Prai.g_01638	Praw.g_00515
OG0000007	Prai.g_00701	Praw.g_01850
OG0000008	Prai.g_00394	Praw.g_00750
OG0000008	Prai.g_01246	Praw.g_00328
OG0000009	Prai.g_00867	Praw.g_01717
OG0000009	Prai.g_00262	Praw.g_00884
OG0000010	Prai.g_01588	Praw.g_00482
OG0000011	Prai.g_00343	Praw.g_00804
OG0000012	Prai.g_00626	Praw.g_01944
OG0000013	Prai.g_01243	Praw.g_01738
OG0000014	Prai.g_00904	Praw.g_00962, Praw.g_00492
OG0000015	Prai.g_01259	Praw.g_00752
OG0000016	Prai.g_01366	Praw.g_01012
OG0000017	Prai.g_01483	Praw.g_00357
OG0000018	Prai.g_00252, Prai.g_00254	Praw.g_01950
OG0000019	Prai.g_00378	Praw.g_00479, Praw.g_00767
OG0000020	Prai.g_00387	Praw.g_00758
OG0000022	Prai.g_00905, Prai.g_01772	Praw.g_00493, Praw.g_00961, Praw.g_01782
OG0000023	Prai.g_01578	Praw.g_00447
OG0000024	Prai.g_00319	Praw.g_00828
OG0000025	Prai.g_01093	Praw.g_01432
OG0000026	Prai.g_00033	Praw.g_01395
OG0000028	Prai.g_01463	Praw.g_01083, Praw.g_01081
OG0000029	Prai.g_01579	Praw.g_00448
OG0000031	Prai.g_01263	Praw.g_00491
OG0000031	Prai.g_00434	Praw.g_00955
OG0000033	Prai.g_01573	Praw.g_00484
OG0000033	Prai.g_00013	Praw.g_01415
OG0000034	Prai.g_00154	Praw.g_01071
OG0000035	Prai.g_01097	Praw.g_01428
OG0000035	Prai.g_01059	Praw.g_00323
OG0000036	Prai.g_00613	Praw.g_01932
OG0000037	Prai.g_00652	Praw.g_00159
OG0000038	Prai.g_00885	Praw.g_01746
OG0000039	Prai.g_00177	Praw.g_01269
OG0000040	Prai.g_00373	Praw.g_00772
OG0000042	Prai.g_00748	Praw.g_01809
OG0000043	Prai.g_00862	Praw.g_01712
OG0000044	Prai.g_01171	Praw.g_00234
OG0000046	Prai.g_01631	Praw.g_00508
OG0000047	Prai.g_01838	Praw.g_00039
OG0000048	Prai.g_01845	Praw.g_00032
OG0000050	Prai.g_00031	Praw.g_01397
OG0000051	Prai.g_01288, Prai.g_00168	Praw.g_01278
OG0000052	Prai.g_00383	Praw.g_00762
OG0000053	Prai.g_00567	Praw.g_00609
OG0000054	Prai.g_00909	Praw.g_01752
OG0000055	Prai.g_00825	Praw.g_01675
OG0000056	Prai.g_01132	Praw.g_00189
OG0000057	Prai.g_00248	Praw.g_01198
OG0000058	Prai.g_00505	Praw.g_00672
OG0000059	Prai.g_00727	Praw.g_01824
OG0000060	Prai.g_00431	Praw.g_01771
OG0000061	Prai.g_01141	Praw.g_00199
OG0000061	Prai.g_00969	Praw.g_01519
OG0000062	Prai.g_01143	Praw.g_00201
OG0000063	Prai.g_01273	Praw.g_00926
OG0000064	Prai.g_01594	Praw.g_00935
OG0000065	Prai.g_01335	Praw.g_00981
OG0000066	Prai.g_01443	Praw.g_01050
OG0000068	Prai.g_01782	Praw.g_00096
OG0000071	Prai.g_00011	Praw.g_01125
OG0000072	Prai.g_00335	Praw.g_00812
OG0000073	Prai.g_00698	Praw.g_01853
OG0000074	Prai.g_00720	Praw.g_01831
OG0000075	Prai.g_00841, Prai.g_00840	Praw.g_01690
OG0000076	Prai.g_00918	Praw.g_01467
OG0000078	Prai.g_01393	Praw.g_01051
OG0000079	Prai.g_01540	Praw.g_00415
OG0000080	Prai.g_01270	Praw.g_00464
OG0000081	Prai.g_01812	Praw.g_00066
OG0000082	Prai.g_01901	Praw.g_01170
OG0000083	Prai.g_00003	Praw.g_01133
OG0000084	Prai.g_00006	Praw.g_01130
OG0000085	Prai.g_00023	Praw.g_01405
OG0000086	Prai.g_00046	Praw.g_01389
OG0000086	Prai.g_00443	Praw.g_00735
OG0000087	Prai.g_00056	Praw.g_01379
OG0000088	Prai.g_00113	Praw.g_01322
OG0000089	Prai.g_00121	Praw.g_01314
OG0000090	Prai.g_00139	Praw.g_01296
OG0000091	Prai.g_00180	Praw.g_01266
OG0000092	Prai.g_00181	Praw.g_01265
OG0000093	Prai.g_00195	Praw.g_01251
OG0000094	Prai.g_00213	Praw.g_01233
OG0000095	Prai.g_00218	Praw.g_01228
OG0000096	Prai.g_00264	Praw.g_00882
OG0000097	Prai.g_00287, Prai.g_00286	Praw.g_00860
OG0000098	Prai.g_00430, Prai.g_00297	Praw.g_00850
OG0000099	Prai.g_00307, Prai.g_00741	Praw.g_00840
