Orthogroup	Prai	Prbe
OG0000000	Prai.g_01363	Prbe.g_01285, Prbe.g_01290
OG0000000	Prai.g_00707	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Prai.g_01235, Prai.g_01356	Prbe.g_00400
OG0000002	Prai.g_01236	Prbe.g_00112
OG0000003	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907	Prbe.g_01587
OG0000004	Prai.g_01313	Prbe.g_01628
OG0000005	Prai.g_01592, Prai.g_01612	Prbe.g_01119
OG0000006	Prai.g_00527	Prbe.g_00636
OG0000006	Prai.g_01638	Prbe.g_00985
OG0000009	Prai.g_00867	Prbe.g_01573
OG0000009	Prai.g_00262	Prbe.g_01802
OG0000010	Prai.g_01588	Prbe.g_00081
OG0000011	Prai.g_00424	Prbe.g_01921
OG0000012	Prai.g_00626	Prbe.g_00529, Prbe.g_00536
OG0000013	Prai.g_01243	Prbe.g_01046, Prbe.g_01000
OG0000014	Prai.g_00904	Prbe.g_01121, Prbe.g_00012
OG0000015	Prai.g_01259	Prbe.g_01130, Prbe.g_01024
OG0000016	Prai.g_01366	Prbe.g_01603, Prbe.g_00214
OG0000017	Prai.g_01483	Prbe.g_01040, Prbe.g_00290
OG0000018	Prai.g_00252, Prai.g_00254	Prbe.g_01794
OG0000019	Prai.g_00378	Prbe.g_01208
OG0000020	Prai.g_00387	Prbe.g_01825
OG0000024	Prai.g_00319	Prbe.g_01861
OG0000025	Prai.g_01093	Prbe.g_00098
OG0000026	Prai.g_01261	Prbe.g_00021
OG0000028	Prai.g_01463	Prbe.g_00311
OG0000029	Prai.g_01579	Prbe.g_00678
OG0000032	Prai.g_01444	Prbe.g_00352
OG0000033	Prai.g_01573	Prbe.g_01607
OG0000034	Prai.g_00154	Prbe.g_00333, Prbe.g_00158
OG0000035	Prai.g_01059	Prbe.g_00074
OG0000036	Prai.g_00613	Prbe.g_00549, Prbe.g_00996
OG0000037	Prai.g_00652	Prbe.g_00511, Prbe.g_00196
OG0000038	Prai.g_00885	Prbe.g_00220
OG0000039	Prai.g_00177	Prbe.g_01714
OG0000040	Prai.g_00373	Prbe.g_00062
OG0000042	Prai.g_00748	Prbe.g_01214
OG0000043	Prai.g_00862	Prbe.g_01314
OG0000044	Prai.g_01171	Prbe.g_01549
OG0000045	Prai.g_01859	Prbe.g_00351
OG0000046	Prai.g_01631	Prbe.g_00007, Prbe.g_00993
OG0000047	Prai.g_01838	Prbe.g_00774
OG0000048	Prai.g_01845	Prbe.g_00766
OG0000050	Prai.g_00031	Prbe.g_00132
OG0000051	Prai.g_01288, Prai.g_00168	Prbe.g_01705
OG0000052	Prai.g_00383	Prbe.g_00740
OG0000053	Prai.g_00567	Prbe.g_01114, Prbe.g_00596
OG0000054	Prai.g_00909	Prbe.g_00494
OG0000055	Prai.g_00825	Prbe.g_01245
OG0000057	Prai.g_00248	Prbe.g_01789
OG0000058	Prai.g_00505	Prbe.g_00658
OG0000059	Prai.g_00727	Prbe.g_01206
OG0000062	Prai.g_01143	Prbe.g_00041
OG0000063	Prai.g_01273	Prbe.g_01522
OG0000065	Prai.g_01335	Prbe.g_00893
OG0000066	Prai.g_01443	Prbe.g_00353
OG0000068	Prai.g_01782	Prbe.g_00836
OG0000071	Prai.g_00011	Prbe.g_01076
OG0000072	Prai.g_00335	Prbe.g_01875
OG0000073	Prai.g_00698	Prbe.g_01449
OG0000074	Prai.g_00720	Prbe.g_00466
OG0000075	Prai.g_00841, Prai.g_00840	Prbe.g_01229
OG0000076	Prai.g_00918	Prbe.g_01297
OG0000077	Prai.g_01613	Prbe.g_01118
OG0000078	Prai.g_01393	Prbe.g_00350
OG0000079	Prai.g_01540	Prbe.g_00226
OG0000080	Prai.g_01270	Prbe.g_00714
OG0000081	Prai.g_01812	Prbe.g_00802
OG0000082	Prai.g_01901	Prbe.g_00709
OG0000083	Prai.g_00003	Prbe.g_01068
OG0000084	Prai.g_00006	Prbe.g_01071
OG0000085	Prai.g_00023	Prbe.g_00123
OG0000087	Prai.g_00056	Prbe.g_00152
OG0000088	Prai.g_00113	Prbe.g_01657
OG0000089	Prai.g_00121	Prbe.g_01666
OG0000090	Prai.g_00139	Prbe.g_01683
OG0000091	Prai.g_00180	Prbe.g_01717
OG0000092	Prai.g_00181	Prbe.g_01718
OG0000093	Prai.g_00195	Prbe.g_01732
OG0000094	Prai.g_00213	Prbe.g_01751
OG0000095	Prai.g_00218	Prbe.g_01756
OG0000096	Prai.g_00264	Prbe.g_01804
OG0000097	Prai.g_00287, Prai.g_00286	Prbe.g_01828
OG0000098	Prai.g_00430	Prbe.g_01839
OG0000099	Prai.g_00307, Prai.g_00741	Prbe.g_01849
OG0000100	Prai.g_00310	Prbe.g_01852
OG0000101	Prai.g_00369	Prbe.g_01917
OG0000102	Prai.g_00393	Prbe.g_00911
OG0000103	Prai.g_00506	Prbe.g_00657
OG0000104	Prai.g_00510	Prbe.g_00653
