Orthogroup	Prai	Prav
OG0000000	Prai.g_01363	Prav.g_01466
OG0000000	Prai.g_00707	Prav.g_01276
OG0000001	Prai.g_01775	Prav.g_01821
OG0000002	Prai.g_01235, Prai.g_01356	Prav.g_01458
OG0000002	Prai.g_01236	Prav.g_01820, Prav.g_02007
OG0000003	Prai.g_01314	Prav.g_01413
OG0000003	Prai.g_01596	Prav.g_01698
OG0000003	Prai.g_01774, Prai.g_00907	Prav.g_01019
OG0000004	Prai.g_00441	Prav.g_00330
OG0000004	Prai.g_01313	Prav.g_00338
OG0000005	Prai.g_01592	Prav.g_01695
OG0000006	Prai.g_00527	Prav.g_01095
OG0000006	Prai.g_01638	Prav.g_01761
OG0000007	Prai.g_00701	Prav.g_01270
OG0000008	Prai.g_00394	Prav.g_01000
OG0000009	Prai.g_00867	Prav.g_00375
OG0000009	Prai.g_00262	Prav.g_01896
OG0000010	Prai.g_01588	Prav.g_01732
OG0000011	Prai.g_00343	Prav.g_01976
OG0000012	Prai.g_00626	Prav.g_01194
OG0000013	Prai.g_01243	Prav.g_00961
OG0000014	Prai.g_00904	Prav.g_01416
OG0000015	Prai.g_01259	Prav.g_00998
OG0000016	Prai.g_01366	Prav.g_01469
OG0000017	Prai.g_01483	Prav.g_01598
OG0000018	Prai.g_00252, Prai.g_00254	Prav.g_02001
OG0000019	Prai.g_00378	Prav.g_00984
OG0000020	Prai.g_00387	Prav.g_00993
OG0000022	Prai.g_00905, Prai.g_01772	Prav.g_01736, Prav.g_01415
OG0000023	Prai.g_01578	Prav.g_01688
OG0000024	Prai.g_00319	Prav.g_01952
OG0000025	Prai.g_01093	Prav.g_00247, Prav.g_01013
OG0000026	Prai.g_00033	Prav.g_00101
OG0000027	Prai.g_01266	Prav.g_01309
OG0000028	Prai.g_01463	Prav.g_01578
OG0000029	Prai.g_01579	Prav.g_01689
OG0000031	Prai.g_00434	Prav.g_01410
OG0000033	Prai.g_01573	Prav.g_01385
OG0000033	Prai.g_00013	Prav.g_00081
OG0000034	Prai.g_00154	Prav.g_01533
OG0000035	Prai.g_01097	Prav.g_00251
OG0000035	Prai.g_01059	Prav.g_01877
OG0000036	Prai.g_00613	Prav.g_01182
OG0000037	Prai.g_00652	Prav.g_01221
OG0000038	Prai.g_00885	Prav.g_00360
OG0000039	Prai.g_00177	Prav.g_00872
OG0000040	Prai.g_00373	Prav.g_00979
OG0000042	Prai.g_00748	Prav.g_00306
OG0000043	Prai.g_00862	Prav.g_00381
OG0000044	Prai.g_01171	Prav.g_00065
OG0000046	Prai.g_01631	Prav.g_01754
OG0000047	Prai.g_01838	Prav.g_00689
OG0000048	Prai.g_01845	Prav.g_00696
OG0000050	Prai.g_00031	Prav.g_00099
OG0000051	Prai.g_01288, Prai.g_00168	Prav.g_00881
OG0000052	Prai.g_00383	Prav.g_00989
OG0000053	Prai.g_00567	Prav.g_01137
OG0000054	Prai.g_00909	Prav.g_00354, Prav.g_01325
OG0000055	Prai.g_00825	Prav.g_00419
OG0000056	Prai.g_01132	Prav.g_00021
OG0000057	Prai.g_00248	Prav.g_00801
OG0000058	Prai.g_00505	Prav.g_01073
OG0000059	Prai.g_00727	Prav.g_01296
OG0000060	Prai.g_00431	Prav.g_00335
OG0000061	Prai.g_01141	Prav.g_00031
OG0000061	Prai.g_00969	Prav.g_00576
OG0000062	Prai.g_01143	Prav.g_00033
OG0000063	Prai.g_01273	Prav.g_01390
OG0000064	Prai.g_01594	Prav.g_01729
OG0000065	Prai.g_01335	Prav.g_01438
OG0000066	Prai.g_01443	Prav.g_01513
OG0000068	Prai.g_01782	Prav.g_00632
OG0000071	Prai.g_00011	Prav.g_00079
OG0000072	Prai.g_00335	Prav.g_01968
OG0000073	Prai.g_00698	Prav.g_01267
OG0000074	Prai.g_00720	Prav.g_01289
OG0000075	Prai.g_00841, Prai.g_00840	Prav.g_00404
OG0000076	Prai.g_00918	Prav.g_00933
