Orthogroup	Prai	Praz
OG0000000	Prai.g_01363	Praz.g_01146
OG0000000	Prai.g_00707	Praz.g_01652
OG0000001	Prai.g_01775	Praz.g_00694
OG0000002	Prai.g_01235, Prai.g_01356	Praz.g_01154
OG0000002	Prai.g_01236	Praz.g_01939, Praz.g_01940
OG0000003	Prai.g_01314	Praz.g_01200
OG0000003	Prai.g_01596	Praz.g_00920
OG0000004	Prai.g_00441	Praz.g_01583
OG0000004	Prai.g_01313	Praz.g_01576, Praz.g_01201
OG0000005	Prai.g_01592	Praz.g_00921
OG0000005	Prai.g_01612	Praz.g_00894
OG0000006	Prai.g_00527	Praz.g_01831
OG0000006	Prai.g_01638	Praz.g_00877
OG0000007	Prai.g_00701	Praz.g_01658
OG0000008	Prai.g_00394	Praz.g_00790
OG0000008	Prai.g_01246	Praz.g_01269
OG0000008	Prai.g_01256	Praz.g_01317
OG0000009	Prai.g_00867	Praz.g_01532
OG0000009	Prai.g_00262	Praz.g_00609
OG0000011	Prai.g_00424	Praz.g_01921
OG0000011	Prai.g_00343	Praz.g_00687
OG0000012	Prai.g_00626	Praz.g_01732
OG0000013	Prai.g_01243	Praz.g_01551
OG0000014	Prai.g_00904	Praz.g_01197
OG0000015	Prai.g_01259	Praz.g_00792
OG0000016	Prai.g_01366	Praz.g_01143
OG0000017	Prai.g_01483	Praz.g_01021
OG0000018	Prai.g_00252, Prai.g_00254	Praz.g_00601
OG0000019	Prai.g_00378	Praz.g_00896, Praz.g_00810
OG0000020	Prai.g_00387	Praz.g_00800
OG0000022	Prai.g_00905, Prai.g_01772	Praz.g_01198
OG0000023	Prai.g_01578	Praz.g_00929
OG0000024	Prai.g_00319	Praz.g_00663
OG0000025	Prai.g_01093	Praz.g_00101, Praz.g_00769
OG0000026	Prai.g_00033	Praz.g_00398
OG0000027	Prai.g_01549	Praz.g_00954
OG0000028	Prai.g_01463	Praz.g_01041
OG0000029	Prai.g_01579	Praz.g_00928
OG0000031	Prai.g_00434	Praz.g_01204
OG0000032	Prai.g_01444	Praz.g_01116
OG0000033	Prai.g_00013	Praz.g_00378
OG0000034	Prai.g_00154	Praz.g_01103
OG0000035	Prai.g_01097	Praz.g_00104
OG0000035	Prai.g_01059	Praz.g_01422
OG0000036	Prai.g_00613	Praz.g_01744
OG0000037	Prai.g_00652	Praz.g_01707
OG0000038	Prai.g_00885	Praz.g_01556
OG0000040	Prai.g_00373	Praz.g_00814
OG0000042	Prai.g_00748	Praz.g_01607
OG0000043	Prai.g_00862	Praz.g_01527
OG0000044	Prai.g_01171	Praz.g_00755
OG0000045	Prai.g_01859	Praz.g_01096
OG0000046	Prai.g_01631	Praz.g_00884
OG0000047	Prai.g_01838	Praz.g_00205
OG0000048	Prai.g_01845	Praz.g_00198
OG0000050	Prai.g_00031	Praz.g_00396
OG0000051	Prai.g_01288, Prai.g_00168	Praz.g_00517
OG0000052	Prai.g_00383	Praz.g_00804
OG0000053	Prai.g_00567	Praz.g_01789
OG0000054	Prai.g_00909	Praz.g_01561
OG0000055	Prai.g_00825	Praz.g_01490
OG0000056	Prai.g_01132	Praz.g_00038
OG0000057	Prai.g_00248	Praz.g_00597
OG0000058	Prai.g_00505	Praz.g_01853
OG0000059	Prai.g_00727	Praz.g_01632
OG0000060	Prai.g_00431	Praz.g_01578
OG0000061	Prai.g_01141	Praz.g_00027
OG0000061	Prai.g_00969	Praz.g_01330
OG0000062	Prai.g_01143	Praz.g_00025
OG0000063	Prai.g_01273	Praz.g_01237
OG0000064	Prai.g_01594	Praz.g_00901
OG0000065	Prai.g_01335	Praz.g_01180
OG0000066	Prai.g_01443	Praz.g_01118
OG0000068	Prai.g_01782	Praz.g_00263
OG0000071	Prai.g_00011	Praz.g_00376
OG0000072	Prai.g_00335	Praz.g_00679
OG0000073	Prai.g_00698	Praz.g_01661
OG0000074	Prai.g_00720	Praz.g_01639
OG0000075	Prai.g_00841, Prai.g_00840	Praz.g_01505
OG0000076	Prai.g_00918	Praz.g_00066
OG0000077	Prai.g_01613	Praz.g_00893
OG0000078	Prai.g_01393	Praz.g_01098
OG0000079	Prai.g_01540	Praz.g_00963
OG0000080	Prai.g_01270	Praz.g_00913
OG0000081	Prai.g_01812	Praz.g_00232
OG0000082	Prai.g_01901	Praz.g_00142
OG0000083	Prai.g_00003	Praz.g_00368
OG0000084	Prai.g_00006	Praz.g_00371
OG0000085	Prai.g_00023	Praz.g_00388
OG0000086	Prai.g_00046	Praz.g_00405
OG0000086	Prai.g_00443	Praz.g_01911
OG0000087	Prai.g_00056	Praz.g_00415
OG0000088	Prai.g_00113	Praz.g_00473
OG0000089	Prai.g_00121	Praz.g_00481
OG0000090	Prai.g_00139	Praz.g_00499
OG0000091	Prai.g_00180	Praz.g_00529
OG0000092	Prai.g_00181	Praz.g_00530
OG0000093	Prai.g_00195	Praz.g_00544
OG0000094	Prai.g_00213	Praz.g_00562
OG0000095	Prai.g_00218	Praz.g_00567
OG0000096	Prai.g_00264	Praz.g_00611
OG0000097	Prai.g_00287, Prai.g_00286	Praz.g_00632
