Orthogroup	Prai	Prbj
OG0000000	Prai.g_01363	Prbj.g_02517
OG0000000	Prai.g_00707	Prbj.g_00030
OG0000002	Prai.g_01235, Prai.g_01356	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907	Prbj.g_00165
OG0000004	Prai.g_01313	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prai.g_00527	Prbj.g_01610
OG0000006	Prai.g_01638	Prbj.g_00857
OG0000007	Prai.g_00701	Prbj.g_00928, Prbj.g_00929
OG0000009	Prai.g_00867, Prai.g_00262	Prbj.g_01349
OG0000011	Prai.g_00424	Prbj.g_02509
OG0000011	Prai.g_00343	Prbj.g_00666
OG0000012	Prai.g_00626	Prbj.g_01761, Prbj.g_01769
OG0000013	Prai.g_01243	Prbj.g_02502
OG0000016	Prai.g_01366	Prbj.g_00740, Prbj.g_00778
OG0000017	Prai.g_01483	Prbj.g_00638
OG0000018	Prai.g_00252, Prai.g_00254	Prbj.g_02699
OG0000019	Prai.g_00378	Prbj.g_01774
OG0000024	Prai.g_00319	Prbj.g_01442
OG0000026	Prai.g_00033, Prai.g_01261	Prbj.g_01208
OG0000028	Prai.g_01463	Prbj.g_01056
OG0000032	Prai.g_01444	Prbj.g_01522, Prbj.g_01527
OG0000034	Prai.g_00154	Prbj.g_01487
OG0000036	Prai.g_00613	Prbj.g_01789
OG0000037	Prai.g_00652	Prbj.g_02552
OG0000038	Prai.g_00885	Prbj.g_00050, Prbj.g_01572
OG0000039	Prai.g_00177	Prbj.g_00521
OG0000040	Prai.g_00373	Prbj.g_02392
OG0000042	Prai.g_00748	Prbj.g_02178, Prbj.g_00913
OG0000043	Prai.g_00862	Prbj.g_00023, Prbj.g_00025
OG0000044	Prai.g_01171	Prbj.g_00971
OG0000045	Prai.g_01859	Prbj.g_01467
OG0000046	Prai.g_01631	Prbj.g_00869
OG0000047	Prai.g_01838	Prbj.g_01598
OG0000048	Prai.g_01845	Prbj.g_01808, Prbj.g_00001
OG0000050	Prai.g_00031	Prbj.g_01204
OG0000051	Prai.g_01288, Prai.g_00168	Prbj.g_00530
OG0000052	Prai.g_00383	Prbj.g_00875
OG0000053	Prai.g_00567	Prbj.g_02141
OG0000054	Prai.g_00909	Prbj.g_01324
OG0000055	Prai.g_00825	Prbj.g_02437
OG0000056	Prai.g_01132	Prbj.g_00227
OG0000058	Prai.g_00505	Prbj.g_00128
OG0000059	Prai.g_00727	Prbj.g_00758
OG0000062	Prai.g_01143	Prbj.g_01990
