Orthogroup	Prai	Prbl
OG0000000	Prai.g_01363	Prbl.g_01582
OG0000000	Prai.g_00707	Prbl.g_01092
OG0000002	Prai.g_01235, Prai.g_01356	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121
OG0000002	Prai.g_01236	Prbl.g_02599
OG0000003	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907	Prbl.g_00117
OG0000004	Prai.g_01313	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Prai.g_00527	Prbl.g_00531
OG0000006	Prai.g_01638	Prbl.g_00394
OG0000007	Prai.g_00701	Prbl.g_01854, Prbl.g_01855
OG0000009	Prai.g_00867, Prai.g_00262	Prbl.g_01509
OG0000011	Prai.g_00424	Prbl.g_01574
OG0000011	Prai.g_00343	Prbl.g_00719
OG0000012	Prai.g_00626	Prbl.g_01755, Prbl.g_01763
OG0000013	Prai.g_01243	Prbl.g_01566
OG0000016	Prai.g_01366	Prbl.g_00007, Prbl.g_00046
OG0000017	Prai.g_01483	Prbl.g_00691
OG0000018	Prai.g_00252, Prai.g_00254	Prbl.g_02601
OG0000019	Prai.g_00378	Prbl.g_01768
OG0000024	Prai.g_00319	Prbl.g_01416
OG0000026	Prai.g_00033, Prai.g_01261	Prbl.g_01981
OG0000028	Prai.g_01463	Prbl.g_00242
OG0000032	Prai.g_01444	Prbl.g_00835, Prbl.g_00830
OG0000034	Prai.g_00154	Prbl.g_00870
OG0000036	Prai.g_00613	Prbl.g_01783
OG0000037	Prai.g_00652	Prbl.g_01618
OG0000038	Prai.g_00885	Prbl.g_01072, Prbl.g_01310
OG0000039	Prai.g_00177	Prbl.g_00281
OG0000040	Prai.g_00373	Prbl.g_02355
OG0000042	Prai.g_00748	Prbl.g_02567, Prbl.g_01839
OG0000043	Prai.g_00862	Prbl.g_01099, Prbl.g_01097
OG0000044	Prai.g_01171	Prbl.g_02084
OG0000045	Prai.g_01859	Prbl.g_00890
OG0000046	Prai.g_01631	Prbl.g_00405
OG0000047	Prai.g_01838	Prbl.g_01285
OG0000048	Prai.g_01845	Prbl.g_01236, Prbl.g_01121
OG0000050	Prai.g_00031	Prbl.g_01977
OG0000051	Prai.g_01288, Prai.g_00168	Prbl.g_00290
OG0000052	Prai.g_00383	Prbl.g_00411
OG0000053	Prai.g_00567	Prbl.g_00752
OG0000054	Prai.g_00909	Prbl.g_01943
OG0000055	Prai.g_00825	Prbl.g_02310
OG0000056	Prai.g_01132	Prbl.g_00138
OG0000058	Prai.g_00505	Prbl.g_01340
OG0000059	Prai.g_00727	Prbl.g_00025
OG0000062	Prai.g_01143	Prbl.g_02204
OG0000063	Prai.g_01273	Prbl.g_01384
OG0000065	Prai.g_01335	Prbl.g_01722
OG0000066	Prai.g_01443	Prbl.g_00892
OG0000068	Prai.g_01782	Prbl.g_01126, Prbl.g_01000
OG0000071	Prai.g_00011	Prbl.g_02109
OG0000072	Prai.g_00335	Prbl.g_00897
OG0000073	Prai.g_00698	Prbl.g_01395
OG0000074	Prai.g_00720	Prbl.g_01859
OG0000075	Prai.g_00841, Prai.g_00840	Prbl.g_02328
OG0000076	Prai.g_00918	Prbl.g_00927
OG0000078	Prai.g_01393	Prbl.g_00893
OG0000079	Prai.g_01540	Prbl.g_00417
OG0000080	Prai.g_01270	Prbl.g_00462
OG0000081	Prai.g_01812	Prbl.g_00857
OG0000082	Prai.g_01901	Prbl.g_02195
OG0000083	Prai.g_00003	Prbl.g_02118
OG0000084	Prai.g_00006	Prbl.g_02115
OG0000085	Prai.g_00023	Prbl.g_01968
OG0000087	Prai.g_00056	Prbl.g_02273
OG0000088	Prai.g_00113	Prbl.g_01331
OG0000089	Prai.g_00121	Prbl.g_01316
OG0000090	Prai.g_00139	Prbl.g_00810
OG0000091	Prai.g_00180	Prbl.g_00278
OG0000092	Prai.g_00181	Prbl.g_00277
OG0000093	Prai.g_00195	Prbl.g_00069
OG0000094	Prai.g_00213	Prbl.g_00098
OG0000095	Prai.g_00218	Prbl.g_01282
OG0000096	Prai.g_00264	Prbl.g_01506
OG0000097	Prai.g_00287, Prai.g_00286	Prbl.g_01461
OG0000098	Prai.g_00430	Prbl.g_01448
OG0000099	Prai.g_00307, Prai.g_00741	Prbl.g_01436
OG0000100	Prai.g_00310	Prbl.g_01432
OG0000101	Prai.g_00369	Prbl.g_02677
OG0000102	Prai.g_00393	Prbl.g_02190
OG0000103	Prai.g_00506	Prbl.g_01339
OG0000104	Prai.g_00510	Prbl.g_00511
OG0000105	Prai.g_00529	Prbl.g_00533
OG0000106	Prai.g_00560	Prbl.g_00768
OG0000107	Prai.g_00561	Prbl.g_00766
OG0000108	Prai.g_00571	Prbl.g_02647
OG0000109	Prai.g_00580	Prbl.g_01886
OG0000110	Prai.g_00597	Prbl.g_01905
OG0000111	Prai.g_00680	Prbl.g_01043
OG0000112	Prai.g_00681	Prbl.g_01042
OG0000113	Prai.g_00770	Prbl.g_02432
OG0000114	Prai.g_00850	Prbl.g_02337
OG0000115	Prai.g_00989	Prbl.g_02478
OG0000116	Prai.g_00985	Prbl.g_02486
OG0000117	Prai.g_00921	Prbl.g_00930
OG0000118	Prai.g_01107	Prbl.g_02128
OG0000119	Prai.g_01146	Prbl.g_02202
OG0000120	Prai.g_01177	Prbl.g_02091
OG0000121	Prai.g_01197	Prbl.g_01119
OG0000122	Prai.g_01217	Prbl.g_02583
OG0000123	Prai.g_01230	Prbl.g_01102
OG0000124	Prai.g_01238	Prbl.g_00937
OG0000125	Prai.g_01347	Prbl.g_01736
OG0000126	Prai.g_01370	Prbl.g_00502
OG0000127	Prai.g_01450	Prbl.g_00258
OG0000128	Prai.g_01464	Prbl.g_00241
OG0000129	Prai.g_01499	Prbl.g_00709
OG0000130	Prai.g_01636	Prbl.g_00399
OG0000131	Prai.g_01674	Prbl.g_00350
OG0000132	Prai.g_01677	Prbl.g_00347
OG0000133	Prai.g_01735	Prbl.g_00957
OG0000134	Prai.g_01777	Prbl.g_00994
OG0000135	Prai.g_01779	Prbl.g_00996
OG0000136	Prai.g_01823	Prbl.g_00841
OG0000137	Prai.g_01855	Prbl.g_02053
OG0000138	Prai.g_01892	Prbl.g_02231
OG0000139	Prai.g_01918	Prbl.g_02147
OG0000140	Prai.g_00001	Prbl.g_02120
OG0000141	Prai.g_00002	Prbl.g_02119
OG0000142	Prai.g_00004	Prbl.g_02117
OG0000143	Prai.g_00005	Prbl.g_02116
OG0000144	Prai.g_00007	Prbl.g_02114
OG0000145	Prai.g_00008	Prbl.g_02112
OG0000146	Prai.g_00009	Prbl.g_02111
OG0000147	Prai.g_00010	Prbl.g_02110
OG0000148	Prai.g_00012	Prbl.g_02108
OG0000149	Prai.g_00014	Prbl.g_01955
OG0000150	Prai.g_00015	Prbl.g_01956
OG0000151	Prai.g_00016	Prbl.g_01961
OG0000152	Prai.g_00017	Prbl.g_01962
OG0000153	Prai.g_00018	Prbl.g_01963
OG0000154	Prai.g_00019	Prbl.g_01964
OG0000155	Prai.g_00020	Prbl.g_01965
