Orthogroup	Prbd	Syab
OG0000000	Prbd.g_01833, Prbd.g_01914, Prbd.g_01568, Prbd.g_01569, Prbd.g_00528, Prbd.g_01836, Prbd.g_01835, Prbd.g_01567	Syab.g_01226
OG0000001	Prbd.g_01779, Prbd.g_01930	Syab.g_01549
OG0000002	Prbd.g_01771, Prbd.g_00566	Syab.g_02285
OG0000004	Prbd.g_00549	Syab.g_00549, Syab.g_01193
OG0000004	Prbd.g_01007	Syab.g_01911, Syab.g_02377
OG0000005	Prbd.g_01512	Syab.g_02289
OG0000005	Prbd.g_01612	Syab.g_02806, Syab.g_02232
OG0000006	Prbd.g_00998	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbd.g_00745	Syab.g_02117
OG0000007	Prbd.g_01525	Syab.g_02256
OG0000009	Prbd.g_01887, Prbd.g_01576	Syab.g_00995
OG0000009	Prbd.g_01139	Syab.g_02498
OG0000010	Prbd.g_00348, Prbd.g_00768	Syab.g_00696
OG0000011	Prbd.g_00534, Prbd.g_01867	Syab.g_01491
OG0000012	Prbd.g_00621	Syab.g_01774, Syab.g_00953
OG0000013	Prbd.g_00912	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbd.g_00933	Syab.g_00249
OG0000016	Prbd.g_01224	Syab.g_00014
OG0000017	Prbd.g_00646	Syab.g_01953
OG0000018	Prbd.g_00449, Prbd.g_00129	Syab.g_00742
OG0000019	Prbd.g_00990, Prbd.g_00082	Syab.g_00344
OG0000020	Prbd.g_00406	Syab.g_02230
OG0000022	Prbd.g_00061, Prbd.g_00423	Syab.g_01825
OG0000023	Prbd.g_00879	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbd.g_00045, Prbd.g_00569	Syab.g_01834
OG0000025	Prbd.g_00137, Prbd.g_00908	Syab.g_01705
OG0000026	Prbd.g_01206, Prbd.g_00355	Syab.g_00036
OG0000027	Prbd.g_00772, Prbd.g_01832	Syab.g_01782
OG0000028	Prbd.g_00919, Prbd.g_01864	Syab.g_00234
OG0000030	Prbd.g_01325	Syab.g_00096, Syab.g_00095
OG0000032	Prbd.g_01730	Syab.g_00149
OG0000033	Prbd.g_01071	Syab.g_02590
OG0000034	Prbd.g_01791	Syab.g_00900, Syab.g_02560
OG0000035	Prbd.g_01689	Syab.g_00776
OG0000037	Prbd.g_01135	Syab.g_02504
OG0000038	Prbd.g_01283	Syab.g_02759, Syab.g_02761
OG0000039	Prbd.g_00558	Syab.g_02791
OG0000041	Prbd.g_01478	Syab.g_02333
OG0000042	Prbd.g_01328	Syab.g_01019, Syab.g_00099
OG0000043	Prbd.g_00174	Syab.g_01539
OG0000043	Prbd.g_01891	Syab.g_01785
OG0000045	Prbd.g_00867	Syab.g_01787
OG0000047	Prbd.g_00909	Syab.g_00876
OG0000048	Prbd.g_00439, Prbd.g_00864	Syab.g_00308
OG0000051	Prbd.g_01544	Syab.g_01073
OG0000053	Prbd.g_01669	Syab.g_00746
OG0000054	Prbd.g_00638	Syab.g_01932
OG0000055	Prbd.g_00083	Syab.g_01255
OG0000057	Prbd.g_00546	Syab.g_01200
OG0000058	Prbd.g_01733	Syab.g_00227
OG0000059	Prbd.g_01439	Syab.g_00397
OG0000061	Prbd.g_00468	Syab.g_00969
OG0000063	Prbd.g_01204	Syab.g_00040
OG0000065	Prbd.g_01137	Syab.g_02500, Syab.g_01768
OG0000066	Prbd.g_00703	Syab.g_02031
OG0000067	Prbd.g_00102	Syab.g_01659
OG0000068	Prbd.g_01764	Syab.g_02087
OG0000070	Prbd.g_00792	Syab.g_00614
OG0000071	Prbd.g_01801	Syab.g_00915
OG0000072	Prbd.g_01069	Syab.g_02593
OG0000073	Prbd.g_00743	Syab.g_02119
OG0000075	Prbd.g_01359	Syab.g_00202
OG0000076	Prbd.g_01335	Syab.g_00113
OG0000077	Prbd.g_01166	Syab.g_02446
OG0000078	Prbd.g_01000	Syab.g_02366
OG0000079	Prbd.g_00987	Syab.g_00340
OG0000081	Prbd.g_00711	Syab.g_01793
OG0000082	Prbd.g_00658	Syab.g_01971
OG0000084	Prbd.g_01693	Syab.g_00781
OG0000085	Prbd.g_01532	Syab.g_02243
OG0000086	Prbd.g_01156	Syab.g_02468
OG0000087	Prbd.g_01104, Prbd.g_01103	Syab.g_02551
OG0000088	Prbd.g_01074	Syab.g_02586
OG0000089	Prbd.g_00883	Syab.g_00551
OG0000090	Prbd.g_00709	Syab.g_02041
OG0000091	Prbd.g_00602	Syab.g_01866
OG0000092	Prbd.g_00211, Prbd.g_01193	Syab.g_01242, Syab.g_00690
OG0000094	Prbd.g_00321	Syab.g_01306
OG0000097	Prbd.g_00509	Syab.g_01051
OG0000098	Prbd.g_01782	Syab.g_01553
OG0000099	Prbd.g_01734	Syab.g_00230
OG0000100	Prbd.g_01614	Syab.g_01694
OG0000101	Prbd.g_01391	Syab.g_00446
OG0000102	Prbd.g_01330	Syab.g_00104
OG0000103	Prbd.g_01250	Syab.g_01296, Syab.g_02895
OG0000104	Prbd.g_01241	Syab.g_02910
OG0000105	Prbd.g_00965	Syab.g_00303
OG0000106	Prbd.g_00868	Syab.g_01817
OG0000108	Prbd.g_00762	Syab.g_02096
OG0000109	Prbd.g_00748	Syab.g_02112
OG0000110	Prbd.g_00668	Syab.g_01984
OG0000111	Prbd.g_00545	Syab.g_01201
OG0000112	Prbd.g_00066	Syab.g_01392
OG0000113	Prbd.g_00124	Syab.g_01689
OG0000114	Prbd.g_00206	Syab.g_01633
OG0000115	Prbd.g_00401	Syab.g_00748
OG0000116	Prbd.g_00458	Syab.g_00945
OG0000117	Prbd.g_01895	Syab.g_01018
OG0000118	Prbd.g_01789	Syab.g_00897
OG0000120	Prbd.g_01737	Syab.g_00229
OG0000121	Prbd.g_01687	Syab.g_00772
OG0000122	Prbd.g_01649	Syab.g_01839
OG0000123	Prbd.g_01384	Syab.g_00454
OG0000124	Prbd.g_01318	Syab.g_00088
OG0000125	Prbd.g_01281	Syab.g_02763
OG0000126	Prbd.g_01242	Syab.g_02908
OG0000128	Prbd.g_01226	Syab.g_00012
OG0000129	Prbd.g_01194	Syab.g_02749
OG0000130	Prbd.g_01175	Syab.g_02434
OG0000131	Prbd.g_01095	Syab.g_02564
OG0000132	Prbd.g_01076	Syab.g_02584
OG0000133	Prbd.g_00917	Syab.g_01387
OG0000134	Prbd.g_00882	Syab.g_00554
OG0000135	Prbd.g_00855	Syab.g_02815
OG0000136	Prbd.g_01722, Prbd.g_00801	Syab.g_00588
OG0000137	Prbd.g_00767	Syab.g_00697
OG0000138	Prbd.g_00747	Syab.g_02113
OG0000139	Prbd.g_00705	Syab.g_02035
OG0000140	Prbd.g_00704	Syab.g_02033
OG0000141	Prbd.g_00637	Syab.g_01931
OG0000142	Prbd.g_00609	Syab.g_01873
OG0000143	Prbd.g_00605	Syab.g_01870
OG0000144	Prbd.g_00592	Syab.g_01757
