Orthogroup	Prbd	Syad
OG0000001	Prbd.g_01779, Prbd.g_01930	Syad.g_00628
OG0000002	Prbd.g_01771, Prbd.g_00566	Syad.g_00619
OG0000004	Prbd.g_00549	Syad.g_01304
OG0000004	Prbd.g_01007	Syad.g_02184, Syad.g_00810
OG0000005	Prbd.g_01512	Syad.g_02639
OG0000005	Prbd.g_01612	Syad.g_02596
OG0000006	Prbd.g_00998	Syad.g_00588, Syad.g_00829
OG0000007	Prbd.g_00745	Syad.g_00923
OG0000007	Prbd.g_01525	Syad.g_02623
OG0000009	Prbd.g_01887, Prbd.g_01576	Syad.g_01952, Syad.g_00868
OG0000009	Prbd.g_01139	Syad.g_02799
OG0000010	Prbd.g_00348, Prbd.g_00768	Syad.g_02354
OG0000011	Prbd.g_01859	Syad.g_02006
OG0000011	Prbd.g_00836	Syad.g_02680
OG0000012	Prbd.g_00621	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Prbd.g_00912	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Prbd.g_00933	Syad.g_00480
OG0000015	Prbd.g_00065, Prbd.g_00826	Syad.g_01600, Syad.g_01601
OG0000016	Prbd.g_01224	Syad.g_00176
OG0000017	Prbd.g_00646	Syad.g_01084
OG0000018	Prbd.g_00449, Prbd.g_00129	Syad.g_02306
OG0000019	Prbd.g_00990, Prbd.g_00082	Syad.g_00569
OG0000020	Prbd.g_00406	Syad.g_00845
OG0000022	Prbd.g_00061, Prbd.g_00423	Syad.g_02090
OG0000023	Prbd.g_00879	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prbd.g_00045, Prbd.g_00569	Syad.g_01374
OG0000025	Prbd.g_00137, Prbd.g_00908	Syad.g_01241
OG0000026	Prbd.g_01206, Prbd.g_00355	Syad.g_00198
OG0000027	Prbd.g_00772, Prbd.g_01832	Syad.g_01257
OG0000028	Prbd.g_00919, Prbd.g_01864	Syad.g_00463
OG0000029	Prbd.g_00863, Prbd.g_00052	Syad.g_02099
OG0000030	Prbd.g_01325	Syad.g_00328, Syad.g_00327
OG0000033	Prbd.g_01071	Syad.g_02903
OG0000034	Prbd.g_01791	Syad.g_02420, Syad.g_02872
OG0000035	Prbd.g_01689	Syad.g_02275
OG0000037	Prbd.g_01135	Syad.g_02805
OG0000038	Prbd.g_01283	Syad.g_03038
OG0000039	Prbd.g_00558	Syad.g_01249, Syad.g_01111
OG0000041	Prbd.g_01478	Syad.g_02498
OG0000042	Prbd.g_01328	Syad.g_00333
OG0000043	Prbd.g_00174, Prbd.g_01891	Syad.g_02119
OG0000047	Prbd.g_00909	Syad.g_00754
OG0000048	Prbd.g_00439, Prbd.g_00864	Syad.g_00534
OG0000050	Prbd.g_01928	Syad.g_02114
OG0000053	Prbd.g_01669	Syad.g_02302
OG0000054	Prbd.g_00638	Syad.g_02209
OG0000055	Prbd.g_00083	Syad.g_01255
OG0000057	Prbd.g_00546	Syad.g_01301
OG0000058	Prbd.g_01733	Syad.g_00452
OG0000059	Prbd.g_01439	Syad.g_00642
OG0000060	Prbd.g_00824	Syad.g_01508
OG0000061	Prbd.g_00468	Syad.g_01152
OG0000063	Prbd.g_01204	Syad.g_00202
OG0000065	Prbd.g_01137	Syad.g_02574, Syad.g_02801
OG0000066	Prbd.g_00703	Syad.g_00992
OG0000067	Prbd.g_00102	Syad.g_01889
OG0000068	Prbd.g_01764	Syad.g_00891
OG0000070	Prbd.g_00792	Syad.g_02424
OG0000071	Prbd.g_01801	Syad.g_02405
OG0000072	Prbd.g_01069	Syad.g_02905
OG0000073	Prbd.g_00743	Syad.g_00926
OG0000075	Prbd.g_01359	Syad.g_00416
OG0000076	Prbd.g_01335	Syad.g_00348
OG0000077	Prbd.g_01166	Syad.g_02741
OG0000078	Prbd.g_01000	Syad.g_00824
OG0000079	Prbd.g_00987	Syad.g_00565
OG0000081	Prbd.g_00711	Syad.g_00833
OG0000082	Prbd.g_00658	Syad.g_01063
OG0000084	Prbd.g_01693	Syad.g_02272
OG0000085	Prbd.g_01532	Syad.g_02612
OG0000086	Prbd.g_01156	Syad.g_02770
OG0000087	Prbd.g_01104, Prbd.g_01103	Syad.g_02860
OG0000088	Prbd.g_01074	Syad.g_02899
OG0000089	Prbd.g_00883	Syad.g_00785, Syad.g_02829
OG0000090	Prbd.g_00709	Syad.g_00977
OG0000091	Prbd.g_00602	Syad.g_02144
OG0000092	Prbd.g_00211, Prbd.g_01193	Syad.g_01190
OG0000094	Prbd.g_00321	Syad.g_01676
OG0000097	Prbd.g_00509	Syad.g_01458
OG0000098	Prbd.g_01782	Syad.g_00625
OG0000099	Prbd.g_01734	Syad.g_00460
OG0000100	Prbd.g_01614	Syad.g_01846
OG0000101	Prbd.g_01391	Syad.g_00694
OG0000102	Prbd.g_01330	Syad.g_00343
OG0000103	Prbd.g_01250	Syad.g_00143
OG0000104	Prbd.g_01241	Syad.g_00158
OG0000105	Prbd.g_00965	Syad.g_00530
OG0000106	Prbd.g_00868	Syad.g_01993
OG0000107	Prbd.g_00852	Syad.g_00590
OG0000108	Prbd.g_00762	Syad.g_00904
OG0000109	Prbd.g_00748	Syad.g_00919
OG0000110	Prbd.g_00668	Syad.g_01048
OG0000111	Prbd.g_00545	Syad.g_01300
OG0000112	Prbd.g_00066	Syad.g_01766
OG0000113	Prbd.g_00124	Syad.g_01851
OG0000114	Prbd.g_00206	Syad.g_01617
OG0000115	Prbd.g_00401	Syad.g_02300
OG0000116	Prbd.g_00458	Syad.g_01123
OG0000117	Prbd.g_01895	Syad.g_01510
OG0000118	Prbd.g_01789	Syad.g_01104
OG0000119	Prbd.g_01768	Syad.g_01168
OG0000120	Prbd.g_01737	Syad.g_00459
OG0000121	Prbd.g_01687	Syad.g_02280
OG0000122	Prbd.g_01649	Syad.g_02122
OG0000123	Prbd.g_01384	Syad.g_00701
OG0000124	Prbd.g_01318	Syad.g_00320
OG0000125	Prbd.g_01281	Syad.g_03040
OG0000126	Prbd.g_01242	Syad.g_00156
OG0000128	Prbd.g_01226	Syad.g_00174
OG0000129	Prbd.g_01194	Syad.g_03028
OG0000130	Prbd.g_01175	Syad.g_02728
OG0000131	Prbd.g_01095	Syad.g_02876
OG0000132	Prbd.g_01076	Syad.g_02897
OG0000133	Prbd.g_00917	Syad.g_01761
OG0000134	Prbd.g_00882	Syad.g_00788
OG0000135	Prbd.g_00855	Syad.g_00063
