Orthogroup	Prbd	Syar
OG0000001	Prbd.g_01779, Prbd.g_01930	Syar.g_00069
OG0000004	Prbd.g_00549	Syar.g_02051
OG0000004	Prbd.g_01007	Syar.g_02225, Syar.g_00842
OG0000005	Prbd.g_01512	Syar.g_02952
OG0000005	Prbd.g_01612	Syar.g_02909
OG0000006	Prbd.g_00998	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbd.g_00745	Syar.g_01491
OG0000007	Prbd.g_01525	Syar.g_02929
OG0000008	Prbd.g_00572	Syar.g_00419, Syar.g_02048
OG0000009	Prbd.g_01139	Syar.g_03116
OG0000010	Prbd.g_00348, Prbd.g_00768	Syar.g_01272
OG0000013	Prbd.g_00912	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbd.g_00933	Syar.g_00825
OG0000016	Prbd.g_01224	Syar.g_02859
OG0000017	Prbd.g_00646	Syar.g_02188
OG0000018	Prbd.g_00449, Prbd.g_00129	Syar.g_01409
OG0000019	Prbd.g_00990, Prbd.g_00082	Syar.g_00163
OG0000022	Prbd.g_00061, Prbd.g_00423	Syar.g_00835
OG0000025	Prbd.g_00137, Prbd.g_00908	Syar.g_01811
OG0000026	Prbd.g_01206, Prbd.g_00355	Syar.g_00505
OG0000027	Prbd.g_00772, Prbd.g_01832	Syar.g_02055
OG0000028	Prbd.g_00919, Prbd.g_01864	Syar.g_00718
OG0000032	Prbd.g_01730	Syar.g_00543
OG0000033	Prbd.g_01071	Syar.g_00105
OG0000034	Prbd.g_01791	Syar.g_00074, Syar.g_02790
OG0000035	Prbd.g_01689	Syar.g_02809
OG0000037	Prbd.g_01135	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbd.g_01283	Syar.g_00334, Syar.g_00336
OG0000039	Prbd.g_00558	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prbd.g_00448	Syar.g_02831
OG0000042	Prbd.g_01328	Syar.g_00595, Syar.g_01970
OG0000045	Prbd.g_00867	Syar.g_02592
OG0000048	Prbd.g_00439, Prbd.g_00864	Syar.g_00213
OG0000051	Prbd.g_01544	Syar.g_01597
OG0000053	Prbd.g_01669	Syar.g_01413
OG0000055	Prbd.g_00083	Syar.g_01386
OG0000057	Prbd.g_00546	Syar.g_00006
OG0000061	Prbd.g_00468	Syar.g_01539
OG0000062	Prbd.g_01610	Syar.g_01439
OG0000063	Prbd.g_01204	Syar.g_00509
OG0000065	Prbd.g_01137	Syar.g_03119
OG0000066	Prbd.g_00703	Syar.g_02228
OG0000067	Prbd.g_00102	Syar.g_02639
OG0000068	Prbd.g_01764	Syar.g_02329, Syar.g_01461
OG0000069	Prbd.g_01575	Syar.g_01716
OG0000070	Prbd.g_00792	Syar.g_02223
OG0000071	Prbd.g_01801	Syar.g_02777
OG0000072	Prbd.g_01069	Syar.g_00107, Syar.g_01140
OG0000073	Prbd.g_00743	Syar.g_01493, Syar.g_01364
OG0000075	Prbd.g_01359	Syar.g_03065, Syar.g_00659
OG0000076	Prbd.g_01335	Syar.g_00608
OG0000078	Prbd.g_01000	Syar.g_01366
OG0000079	Prbd.g_00987	Syar.g_00166
OG0000081	Prbd.g_00711	Syar.g_01898
OG0000082	Prbd.g_00658	Syar.g_02202
OG0000085	Prbd.g_01532	Syar.g_02919
OG0000086	Prbd.g_01156	Syar.g_03085
OG0000087	Prbd.g_01104, Prbd.g_01103	Syar.g_03192, Syar.g_00068
OG0000088	Prbd.g_01074	Syar.g_00101
