Orthogroup	Prbd	Syat
OG0000001	Prbd.g_01779, Prbd.g_01930	Syat.g_02910, Syat.g_02911
OG0000005	Prbd.g_01512	Syat.g_03065
OG0000005	Prbd.g_01612	Syat.g_03105
OG0000006	Prbd.g_00998	Syat.g_01439, Syat.g_01865
OG0000007	Prbd.g_00745	Syat.g_03191
OG0000007	Prbd.g_01525	Syat.g_03124
OG0000009	Prbd.g_01139	Syat.g_01567
OG0000010	Prbd.g_00348, Prbd.g_00768	Syat.g_01372
OG0000013	Prbd.g_00912	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prbd.g_00933	Syat.g_02104
OG0000016	Prbd.g_01224	Syat.g_02329
OG0000017	Prbd.g_00646	Syat.g_00015
OG0000018	Prbd.g_00449, Prbd.g_00129	Syat.g_01334
OG0000019	Prbd.g_00990, Prbd.g_00082	Syat.g_01876
OG0000021	Prbd.g_01546, Prbd.g_00874	Syat.g_00964
OG0000022	Prbd.g_00061, Prbd.g_00423	Syat.g_00210
OG0000024	Prbd.g_00045, Prbd.g_00569	Syat.g_03394
OG0000025	Prbd.g_00137, Prbd.g_00908	Syat.g_00719
OG0000026	Prbd.g_01206, Prbd.g_00355	Syat.g_02306
OG0000027	Prbd.g_00772, Prbd.g_01832	Syat.g_00850
OG0000028	Prbd.g_00919, Prbd.g_01864	Syat.g_02126
OG0000030	Prbd.g_01325	Syat.g_00307, Syat.g_00308
OG0000032	Prbd.g_01730	Syat.g_02237
OG0000033	Prbd.g_01071	Syat.g_02858
OG0000034	Prbd.g_01791	Syat.g_01165, Syat.g_02902
OG0000035	Prbd.g_01689	Syat.g_01227, Syat.g_01226
OG0000037	Prbd.g_01135	Syat.g_00849, Syat.g_00187
OG0000038	Prbd.g_01283	Syat.g_02688, Syat.g_02686
OG0000039	Prbd.g_00558	Syat.g_01278
OG0000042	Prbd.g_01328	Syat.g_00223, Syat.g_02222
OG0000045	Prbd.g_00867	Syat.g_00935
OG0000048	Prbd.g_00439, Prbd.g_00864	Syat.g_02046
OG0000053	Prbd.g_01669	Syat.g_01330
OG0000057	Prbd.g_00546	Syat.g_00817
OG0000060	Prbd.g_00824	Syat.g_01047
OG0000061	Prbd.g_00468	Syat.g_03260
OG0000063	Prbd.g_01204	Syat.g_02303
OG0000065	Prbd.g_01137	Syat.g_01571
OG0000066	Prbd.g_00703	Syat.g_03283
OG0000067	Prbd.g_00102	Syat.g_00479
OG0000068	Prbd.g_01764	Syat.g_00085, Syat.g_01295
OG0000070	Prbd.g_00792	Syat.g_01032, Syat.g_01040
OG0000072	Prbd.g_01069	Syat.g_02856, Syat.g_01597
OG0000073	Prbd.g_00743	Syat.g_03201
OG0000075	Prbd.g_01359	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbd.g_01335	Syat.g_02206
OG0000078	Prbd.g_01000	Syat.g_00184
OG0000079	Prbd.g_00987	Syat.g_01879
OG0000080	Prbd.g_01731	Syat.g_02420
OG0000081	Prbd.g_00711	Syat.g_00980
OG0000082	Prbd.g_00658	Syat.g_00035
OG0000085	Prbd.g_01532	Syat.g_03113
OG0000086	Prbd.g_01156	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbd.g_01104, Prbd.g_01103	Syat.g_02912
OG0000088	Prbd.g_01074	Syat.g_02862
OG0000089	Prbd.g_00883	Syat.g_02953
OG0000090	Prbd.g_00709	Syat.g_03270
OG0000091	Prbd.g_00602	Syat.g_00939, Syat.g_00862
OG0000092	Prbd.g_00211, Prbd.g_01193	Syat.g_00825
OG0000094	Prbd.g_00321	Syat.g_00698, Syat.g_01034
OG0000097	Prbd.g_00509	Syat.g_00907, Syat.g_00535
OG0000098	Prbd.g_01782	Syat.g_03281
OG0000099	Prbd.g_01734	Syat.g_02130
OG0000100	Prbd.g_01614	Syat.g_00517
OG0000101	Prbd.g_01391	Syat.g_01661
OG0000102	Prbd.g_01330	Syat.g_00974
OG0000103	Prbd.g_01250	Syat.g_02399
OG0000104	Prbd.g_01241	Syat.g_02385
OG0000105	Prbd.g_00965	Syat.g_02052
OG0000106	Prbd.g_00868	Syat.g_00957
OG0000107	Prbd.g_00852	Syat.g_01862
OG0000108	Prbd.g_00762	Syat.g_03170
OG0000109	Prbd.g_00748	Syat.g_03187
OG0000110	Prbd.g_00668	Syat.g_00049
OG0000111	Prbd.g_00545	Syat.g_00816
OG0000112	Prbd.g_00066	Syat.g_00593
