Orthogroup	Prbd	Syag
OG0000001	Prbd.g_01779, Prbd.g_01930	Syag.g_00575
OG0000004	Prbd.g_00549	Syag.g_00988
OG0000004	Prbd.g_01007	Syag.g_00370, Syag.g_01790
OG0000005	Prbd.g_01512	Syag.g_01708
OG0000005	Prbd.g_01612	Syag.g_01667
OG0000006	Prbd.g_00998	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbd.g_00745	Syag.g_01507
OG0000007	Prbd.g_01525	Syag.g_01687
OG0000009	Prbd.g_01887, Prbd.g_01576	Syag.g_00220, Syag.g_00231
OG0000009	Prbd.g_01139	Syag.g_01883
OG0000010	Prbd.g_00348, Prbd.g_00768	Syag.g_01355
OG0000011	Prbd.g_01859, Prbd.g_00836, Prbd.g_00534, Prbd.g_01867	Syag.g_01299
OG0000012	Prbd.g_00621	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prbd.g_00912	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prbd.g_00933	Syag.g_02559
OG0000015	Prbd.g_00065, Prbd.g_00826	Syag.g_00596
OG0000016	Prbd.g_01224	Syag.g_02286
OG0000017	Prbd.g_00646	Syag.g_00336
OG0000018	Prbd.g_00449, Prbd.g_00129	Syag.g_01387
OG0000019	Prbd.g_00990, Prbd.g_00082	Syag.g_02663
OG0000020	Prbd.g_00406	Syag.g_00085
OG0000022	Prbd.g_00061, Prbd.g_00423	Syag.g_00458
OG0000023	Prbd.g_00879	Syag.g_00261, Syag.g_00234
OG0000024	Prbd.g_00045, Prbd.g_00569	Syag.g_00455
OG0000025	Prbd.g_00137, Prbd.g_00908	Syag.g_00718
OG0000026	Prbd.g_01206, Prbd.g_00355	Syag.g_02309
OG0000027	Prbd.g_00772, Prbd.g_01832	Syag.g_00950, Syag.g_00165
OG0000028	Prbd.g_00919, Prbd.g_01864	Syag.g_02540
OG0000029	Prbd.g_00863, Prbd.g_00052	Syag.g_00195
OG0000030	Prbd.g_01325	Syag.g_02375, Syag.g_02374
OG0000032	Prbd.g_01730	Syag.g_02480
OG0000033	Prbd.g_01071	Syag.g_01978
OG0000034	Prbd.g_01791	Syag.g_01225, Syag.g_01947
OG0000035	Prbd.g_01689	Syag.g_01420
OG0000037	Prbd.g_01135	Syag.g_00173
OG0000038	Prbd.g_01283	Syag.g_02130, Syag.g_02132
OG0000039	Prbd.g_00558	Syag.g_01325, Syag.g_02155
OG0000041	Prbd.g_01478	Syag.g_01750
OG0000042	Prbd.g_01328	Syag.g_01094, Syag.g_02378
OG0000043	Prbd.g_00174	Syag.g_00564
OG0000045	Prbd.g_00867	Syag.g_00223
OG0000047	Prbd.g_00909	Syag.g_00768
OG0000048	Prbd.g_00439, Prbd.g_00864	Syag.g_02611
OG0000053	Prbd.g_01669	Syag.g_01391
OG0000054	Prbd.g_00638	Syag.g_00350
OG0000055	Prbd.g_00083	Syag.g_00946
OG0000057	Prbd.g_00546	Syag.g_00985
OG0000058	Prbd.g_01733	Syag.g_02477
OG0000059	Prbd.g_01439	Syag.g_02721
OG0000060	Prbd.g_00824	Syag.g_01095
OG0000061	Prbd.g_00468	Syag.g_01141
OG0000063	Prbd.g_01204	Syag.g_02313
OG0000065	Prbd.g_01137	Syag.g_00182, Syag.g_01885
OG0000066	Prbd.g_00703	Syag.g_01443
OG0000067	Prbd.g_00102	Syag.g_00667
OG0000068	Prbd.g_01764	Syag.g_01537
OG0000070	Prbd.g_00792	Syag.g_00049
OG0000071	Prbd.g_01801	Syag.g_01192
OG0000072	Prbd.g_01069	Syag.g_01980, Syag.g_02859
OG0000073	Prbd.g_00743	Syag.g_01505
OG0000075	Prbd.g_01359	Syag.g_02434
OG0000076	Prbd.g_01335	Syag.g_02393
OG0000077	Prbd.g_01166	Syag.g_01831
OG0000078	Prbd.g_01000	Syag.g_01778
OG0000079	Prbd.g_00987	Syag.g_02659, Syag.g_02652
OG0000080	Prbd.g_01731	Syag.g_02499
OG0000082	Prbd.g_00658	Syag.g_00318
OG0000084	Prbd.g_01693	Syag.g_01425
OG0000085	Prbd.g_01532	Syag.g_01676
OG0000086	Prbd.g_01156	Syag.g_01853
OG0000087	Prbd.g_01104, Prbd.g_01103	Syag.g_01939
OG0000088	Prbd.g_01074	Syag.g_01974
OG0000089	Prbd.g_00883	Syag.g_00005
OG0000090	Prbd.g_00709	Syag.g_01454
OG0000091	Prbd.g_00602	Syag.g_00418
OG0000092	Prbd.g_00211, Prbd.g_01193	Syag.g_00242
OG0000094	Prbd.g_00321	Syag.g_00881
OG0000097	Prbd.g_00509	Syag.g_01065
OG0000098	Prbd.g_01782	Syag.g_00578
OG0000099	Prbd.g_01734	Syag.g_02536
OG0000100	Prbd.g_01614	Syag.g_00704
OG0000101	Prbd.g_01391	Syag.g_02773
OG0000102	Prbd.g_01330	Syag.g_02387
OG0000103	Prbd.g_01250	Syag.g_02253
OG0000104	Prbd.g_01241	Syag.g_02268
OG0000105	Prbd.g_00965	Syag.g_02606
OG0000106	Prbd.g_00868	Syag.g_00462
OG0000108	Prbd.g_00762	Syag.g_01528
OG0000109	Prbd.g_00748	Syag.g_01512
OG0000110	Prbd.g_00668	Syag.g_00303
OG0000111	Prbd.g_00545	Syag.g_00984
OG0000112	Prbd.g_00066	Syag.g_00801
OG0000113	Prbd.g_00124	Syag.g_00699
OG0000114	Prbd.g_00206	Syag.g_00609
OG0000115	Prbd.g_00401	Syag.g_01397
OG0000116	Prbd.g_00458	Syag.g_01156
OG0000117	Prbd.g_01895	Syag.g_01097
OG0000118	Prbd.g_01789	Syag.g_01232
OG0000120	Prbd.g_01737	Syag.g_02535
OG0000121	Prbd.g_01687	Syag.g_01414
OG0000122	Prbd.g_01649	Syag.g_00446
OG0000123	Prbd.g_01384	Syag.g_02781
OG0000124	Prbd.g_01318	Syag.g_02367
OG0000125	Prbd.g_01281	Syag.g_02136, Syag.g_02134
OG0000126	Prbd.g_01242	Syag.g_02266
OG0000128	Prbd.g_01226	Syag.g_02284
OG0000129	Prbd.g_01194	Syag.g_02121
OG0000130	Prbd.g_01175	Syag.g_01819
OG0000131	Prbd.g_01095	Syag.g_01951
OG0000132	Prbd.g_01076	Syag.g_01972
OG0000133	Prbd.g_00917	Syag.g_00806
OG0000134	Prbd.g_00882	Syag.g_00008
OG0000135	Prbd.g_00855	Syag.g_02171
OG0000136	Prbd.g_01722, Prbd.g_00801	Syag.g_00038
OG0000137	Prbd.g_00767	Syag.g_01356
OG0000138	Prbd.g_00747	Syag.g_01511
OG0000139	Prbd.g_00705	Syag.g_01448
OG0000140	Prbd.g_00704	Syag.g_01446
OG0000141	Prbd.g_00637	Syag.g_00351
OG0000142	Prbd.g_00609	Syag.g_00410
OG0000143	Prbd.g_00605	Syag.g_00414
OG0000144	Prbd.g_00592	Syag.g_00493
OG0000145	Prbd.g_00062	Syag.g_01504
OG0000146	Prbd.g_00067	Syag.g_00800
OG0000147	Prbd.g_00068	Syag.g_00799
OG0000148	Prbd.g_00118	Syag.g_00693
OG0000149	Prbd.g_00149	Syag.g_00731
OG0000150	Prbd.g_00157	Syag.g_00352
OG0000151	Prbd.g_00216	Syag.g_00623
OG0000152	Prbd.g_00264	Syag.g_00810
OG0000153	Prbd.g_00283	Syag.g_00845
OG0000154	Prbd.g_00314	Syag.g_00870
OG0000155	Prbd.g_00488	Syag.g_01107
OG0000156	Prbd.g_01812	Syag.g_01166
OG0000157	Prbd.g_01811	Syag.g_01167
OG0000158	Prbd.g_01736	Syag.g_02422
OG0000160	Prbd.g_01688	Syag.g_01415
OG0000161	Prbd.g_01682	Syag.g_01409
OG0000162	Prbd.g_01676	Syag.g_01402
OG0000163	Prbd.g_01642	Syag.g_01618
OG0000164	Prbd.g_01501	Syag.g_01725
OG0000165	Prbd.g_01494	Syag.g_01733
