Orthogroup	Prbd	Prbf
OG0000000	Prbd.g_01914, Prbd.g_01568	Prbf.g_00776
OG0000002	Prbd.g_01771	Prbf.g_01182, Prbf.g_01177
OG0000002	Prbd.g_00566	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prbd.g_00549	Prbf.g_01264
OG0000004	Prbd.g_01007	Prbf.g_01570
OG0000005	Prbd.g_01612	Prbf.g_00240
OG0000006	Prbd.g_00998	Prbf.g_01580
OG0000007	Prbd.g_00745	Prbf.g_01780
OG0000007	Prbd.g_01525	Prbf.g_00693
OG0000009	Prbd.g_01887	Prbf.g_00252
OG0000010	Prbd.g_00768	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000011	Prbd.g_00836	Prbf.g_00347
OG0000012	Prbd.g_00621	Prbf.g_00272, Prbf.g_01905
OG0000013	Prbd.g_00912	Prbf.g_01665
OG0000014	Prbd.g_00933	Prbf.g_01647
OG0000015	Prbd.g_00065, Prbd.g_00826	Prbf.g_00754, Prbf.g_00708
OG0000017	Prbd.g_00646	Prbf.g_01880
OG0000018	Prbd.g_00449	Prbf.g_00896
OG0000018	Prbd.g_00129	Prbf.g_01217
OG0000019	Prbd.g_00990	Prbf.g_01588
OG0000019	Prbd.g_00082	Prbf.g_00894
OG0000020	Prbd.g_00406	Prbf.g_00264
OG0000021	Prbd.g_01546, Prbd.g_00874	Prbf.g_00265
OG0000022	Prbd.g_00061	Prbf.g_00248
OG0000023	Prbd.g_00879	Prbf.g_00287
OG0000024	Prbd.g_00045	Prbf.g_01052
OG0000024	Prbd.g_00569	Prbf.g_01288
OG0000025	Prbd.g_00137, Prbd.g_00908	Prbf.g_01209
OG0000026	Prbd.g_01206, Prbd.g_00355	Prbf.g_01354
OG0000027	Prbd.g_00772, Prbd.g_01832	Prbf.g_00817
OG0000028	Prbd.g_01864	Prbf.g_00794
OG0000029	Prbd.g_00863	Prbf.g_00603
OG0000029	Prbd.g_00052	Prbf.g_00804, Prbf.g_00762
OG0000030	Prbd.g_01325	Prbf.g_00484
OG0000033	Prbd.g_01071	Prbf.g_01503
OG0000034	Prbd.g_01791	Prbf.g_00015
OG0000037	Prbd.g_01135	Prbf.g_01437
OG0000038	Prbd.g_01283	Prbf.g_00445
OG0000039	Prbd.g_00558	Prbf.g_01276
OG0000041	Prbd.g_01478	Prbf.g_00646
OG0000042	Prbd.g_01328	Prbf.g_00487
OG0000043	Prbd.g_00174	Prbf.g_00897
OG0000045	Prbd.g_00867	Prbf.g_00874
OG0000048	Prbd.g_00439, Prbd.g_00864	Prbf.g_01611
OG0000050	Prbd.g_01928	Prbf.g_00845
OG0000053	Prbd.g_01669	Prbf.g_00748, Prbf.g_00178
OG0000054	Prbd.g_00638	Prbf.g_01889
OG0000055	Prbd.g_00083	Prbf.g_00869
OG0000057	Prbd.g_00546	Prbf.g_01261
OG0000058	Prbd.g_01733	Prbf.g_00117
OG0000059	Prbd.g_01439	Prbf.g_00606
OG0000061	Prbd.g_00468	Prbf.g_00918
OG0000062	Prbd.g_01610	Prbf.g_00242
OG0000063	Prbd.g_01204	Prbf.g_00808
OG0000065	Prbd.g_01137	Prbf.g_01435
OG0000066	Prbd.g_00703	Prbf.g_01820, Prbf.g_00781
OG0000067	Prbd.g_00102	Prbf.g_01245
OG0000068	Prbd.g_01764	Prbf.g_00095
OG0000069	Prbd.g_01575	Prbf.g_01738
OG0000070	Prbd.g_00792	Prbf.g_01734
OG0000071	Prbd.g_01801	Prbf.g_00026
OG0000072	Prbd.g_01069	Prbf.g_01505
OG0000073	Prbd.g_00743	Prbf.g_01783
OG0000074	Prbd.g_00562	Prbf.g_01281
OG0000075	Prbd.g_01359	Prbf.g_00522
OG0000076	Prbd.g_01335	Prbf.g_00496
OG0000077	Prbd.g_01166	Prbf.g_01405
OG0000078	Prbd.g_01000	Prbf.g_01578
OG0000079	Prbd.g_00987	Prbf.g_01591
OG0000081	Prbd.g_00711	Prbf.g_01812
OG0000082	Prbd.g_00658	Prbf.g_01867, Prbf.g_00704
OG0000084	Prbd.g_01693	Prbf.g_00154
