Orthogroup	Prbd	Prbe
OG0000000	Prbd.g_01914, Prbd.g_01568	Prbe.g_01119
OG0000002	Prbd.g_01771	Prbe.g_01285, Prbe.g_01290
OG0000002	Prbd.g_00566	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Prbd.g_00549	Prbe.g_01203
OG0000004	Prbd.g_01007	Prbe.g_01784
OG0000005	Prbd.g_01612	Prbe.g_00228
OG0000006	Prbd.g_00998	Prbe.g_01794
OG0000007	Prbd.g_00745	Prbe.g_00636
OG0000007	Prbd.g_01525	Prbe.g_00985
OG0000009	Prbd.g_01887	Prbe.g_00216
OG0000010	Prbd.g_00768	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000011	Prbd.g_00836	Prbe.g_00713
OG0000012	Prbd.g_00621	Prbe.g_00196, Prbe.g_00511
OG0000013	Prbd.g_00912	Prbe.g_01879
OG0000014	Prbd.g_00933	Prbe.g_01861
OG0000015	Prbd.g_00065, Prbd.g_00826	Prbe.g_01046, Prbe.g_01000
OG0000017	Prbd.g_00646	Prbe.g_00536
OG0000018	Prbd.g_00449	Prbe.g_01571
OG0000018	Prbd.g_00129	Prbe.g_01250
OG0000019	Prbd.g_00990	Prbe.g_01802
OG0000019	Prbd.g_00082	Prbe.g_01573
OG0000020	Prbd.g_00406	Prbe.g_00204
OG0000021	Prbd.g_01546, Prbd.g_00874	Prbe.g_00203
OG0000022	Prbd.g_00061	Prbe.g_00220
OG0000023	Prbd.g_00879	Prbe.g_00062
OG0000024	Prbd.g_00045	Prbe.g_01415
OG0000024	Prbd.g_00569	Prbe.g_00449
OG0000025	Prbd.g_00137, Prbd.g_00908	Prbe.g_01258
OG0000026	Prbd.g_01206, Prbd.g_00355	Prbe.g_00132
OG0000027	Prbd.g_00772, Prbd.g_01832	Prbe.g_00012
OG0000028	Prbd.g_01864	Prbe.g_00034
OG0000029	Prbd.g_00863	Prbe.g_01091
OG0000029	Prbd.g_00052	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Prbd.g_01325	Prbe.g_00763
OG0000033	Prbd.g_01071	Prbe.g_01717
OG0000034	Prbd.g_01791	Prbe.g_00882
OG0000037	Prbd.g_01135	Prbe.g_01651
OG0000038	Prbd.g_01283	Prbe.g_01156
OG0000039	Prbd.g_00558	Prbe.g_00461
OG0000041	Prbd.g_01478	Prbe.g_00938
OG0000042	Prbd.g_01328	Prbe.g_00766
OG0000043	Prbd.g_00174	Prbe.g_01570
OG0000045	Prbd.g_00867	Prbe.g_01593
OG0000048	Prbd.g_00439, Prbd.g_00864	Prbe.g_01825
OG0000050	Prbd.g_01928	Prbe.g_00098
OG0000053	Prbd.g_01669	Prbe.g_01040, Prbe.g_00290
OG0000054	Prbd.g_00638	Prbe.g_00527
OG0000055	Prbd.g_00083	Prbe.g_01598
OG0000057	Prbd.g_00546	Prbe.g_01206
OG0000058	Prbd.g_01733	Prbe.g_00351
OG0000059	Prbd.g_01439	Prbe.g_01094
OG0000061	Prbd.g_00468	Prbe.g_01549
OG0000062	Prbd.g_01610	Prbe.g_00226
OG0000063	Prbd.g_01204	Prbe.g_00021
OG0000065	Prbd.g_01137	Prbe.g_01649
OG0000066	Prbd.g_00703	Prbe.g_00596, Prbe.g_01114
OG0000067	Prbd.g_00102	Prbe.g_01222
OG0000068	Prbd.g_01764	Prbe.g_00373
OG0000069	Prbd.g_01575	Prbe.g_00678
OG0000070	Prbd.g_00792	Prbe.g_01948
OG0000071	Prbd.g_01801	Prbe.g_00893
OG0000072	Prbd.g_01069	Prbe.g_01719
OG0000073	Prbd.g_00743	Prbe.g_00633
OG0000074	Prbd.g_00562	Prbe.g_00456
OG0000075	Prbd.g_01359	Prbe.g_00800
OG0000076	Prbd.g_01335	Prbe.g_00774
OG0000077	Prbd.g_01166	Prbe.g_00183
OG0000078	Prbd.g_01000	Prbe.g_01792
OG0000079	Prbd.g_00987	Prbe.g_01805
OG0000081	Prbd.g_00711	Prbe.g_00604
OG0000082	Prbd.g_00658	Prbe.g_00549, Prbe.g_00996
OG0000084	Prbd.g_01693	Prbe.g_00314
OG0000085	Prbd.g_01532	Prbe.g_00993, Prbe.g_00007
OG0000086	Prbd.g_01156	Prbe.g_00192
OG0000087	Prbd.g_01104, Prbd.g_01103	Prbe.g_01683
OG0000088	Prbd.g_01074	Prbe.g_01714
OG0000089	Prbd.g_00883	Prbe.g_01915
OG0000090	Prbd.g_00709	Prbe.g_00602
OG0000091	Prbd.g_00602	Prbe.g_01477
OG0000092	Prbd.g_00211	Prbe.g_00422
OG0000093	Prbd.g_00232	Prbe.g_01448
OG0000094	Prbd.g_00321	Prbe.g_01399
OG0000095	Prbd.g_00340	Prbe.g_01297
OG0000096	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prbe.g_00081
OG0000097	Prbd.g_00509	Prbe.g_01503
OG0000098	Prbd.g_01782	Prbe.g_00397
OG0000099	Prbd.g_01734	Prbe.g_00350
OG0000100	Prbd.g_01614	Prbe.g_00232
OG0000101	Prbd.g_01391	Prbe.g_00836
OG0000102	Prbd.g_01330	Prbe.g_00769
OG0000103	Prbd.g_01250	Prbe.g_01195
OG0000104	Prbd.g_01241	Prbe.g_01061
OG0000105	Prbd.g_00965	Prbe.g_01828
OG0000106	Prbd.g_00868	Prbe.g_00740
OG0000107	Prbd.g_00852	Prbe.g_00921
OG0000108	Prbd.g_00762	Prbe.g_00653
OG0000109	Prbd.g_00748	Prbe.g_00639
OG0000110	Prbd.g_00668	Prbe.g_00560
OG0000111	Prbd.g_00545	Prbe.g_01207
OG0000112	Prbd.g_00066	Prbe.g_00487
OG0000113	Prbd.g_00124	Prbe.g_01245
OG0000114	Prbd.g_00206	Prbe.g_00417
OG0000115	Prbd.g_00401	Prbe.g_01618
OG0000116	Prbd.g_00458	Prbe.g_01560
OG0000117	Prbd.g_01895	Prbe.g_01522
OG0000118	Prbd.g_01789	Prbe.g_00880
OG0000119	Prbd.g_01768	Prbe.g_01603, Prbe.g_00214
OG0000120	Prbd.g_01737	Prbe.g_00353
OG0000121	Prbd.g_01687	Prbe.g_00309
OG0000122	Prbd.g_01649	Prbe.g_01625, Prbe.g_00268
OG0000123	Prbd.g_01384	Prbe.g_00829
OG0000124	Prbd.g_01318	Prbe.g_00745
OG0000125	Prbd.g_01281	Prbe.g_01158
OG0000126	Prbd.g_01242	Prbe.g_01060
OG0000128	Prbd.g_01226	Prbe.g_01076
OG0000129	Prbd.g_01194	Prbe.g_00145
OG0000130	Prbd.g_01175	Prbe.g_00174
OG0000131	Prbd.g_01095	Prbe.g_01692
OG0000132	Prbd.g_01076	Prbe.g_01712
OG0000133	Prbd.g_00917	Prbe.g_01875
OG0000134	Prbd.g_00882	Prbe.g_01917
OG0000135	Prbd.g_00855	Prbe.g_00911
OG0000136	Prbd.g_01722, Prbd.g_00801	Prbe.g_01939
OG0000137	Prbd.g_00767	Prbe.g_00658
OG0000138	Prbd.g_00747	Prbe.g_00638
OG0000139	Prbd.g_00705	Prbe.g_00598
OG0000140	Prbd.g_00704	Prbe.g_00597
OG0000141	Prbd.g_00637	Prbe.g_00526
OG0000142	Prbd.g_00609	Prbe.g_01485
OG0000143	Prbd.g_00605	Prbe.g_01481
OG0000144	Prbd.g_00592	Prbe.g_01467
OG0000145	Prbd.g_00062	Prbe.g_00909
OG0000146	Prbd.g_00067	Prbe.g_00488
OG0000147	Prbd.g_00068	Prbe.g_00489
OG0000148	Prbd.g_00118	Prbe.g_01239
OG0000149	Prbd.g_00149	Prbe.g_01271
OG0000150	Prbd.g_00157	Prbe.g_01281
OG0000151	Prbd.g_00216	Prbe.g_00427
OG0000152	Prbd.g_00264	Prbe.g_01350
OG0000153	Prbd.g_00283	Prbe.g_01369
OG0000154	Prbd.g_00314	Prbe.g_01389
OG0000155	Prbd.g_00488	Prbe.g_01528
OG0000156	Prbd.g_01812	Prbe.g_00904
OG0000157	Prbd.g_01811	Prbe.g_00903
OG0000158	Prbd.g_01736	Prbe.g_00792
OG0000159	Prbd.g_01735	Prbe.g_00165
OG0000160	Prbd.g_01688	Prbe.g_00310
OG0000161	Prbd.g_01682	Prbe.g_00304
OG0000162	Prbd.g_01676	Prbe.g_00298
OG0000163	Prbd.g_01642	Prbe.g_00259
OG0000164	Prbd.g_01501	Prbe.g_00961
OG0000165	Prbd.g_01494	Prbe.g_00954
OG0000166	Prbd.g_01427	Prbe.g_01083
OG0000167	Prbd.g_01361	Prbe.g_00802
OG0000168	Prbd.g_01351	Prbe.g_00791
OG0000169	Prbd.g_01341	Prbe.g_00781
OG0000170	Prbd.g_01339	Prbe.g_00778
OG0000171	Prbd.g_01319	Prbe.g_00758
OG0000172	Prbd.g_01310	Prbe.g_00751
OG0000173	Prbd.g_01295	Prbe.g_01143
OG0000174	Prbd.g_01268	Prbe.g_01173
OG0000175	Prbd.g_01258	Prbe.g_01186
OG0000176	Prbd.g_01233	Prbe.g_01069
OG0000177	Prbd.g_01232	Prbe.g_01070
OG0000178	Prbd.g_01231	Prbe.g_01071
OG0000179	Prbd.g_01221	Prbe.g_00116
OG0000180	Prbd.g_01220	Prbe.g_00117
OG0000181	Prbd.g_01219	Prbe.g_00118
OG0000182	Prbd.g_01218	Prbe.g_00119
OG0000183	Prbd.g_01214	Prbe.g_00123
OG0000184	Prbd.g_01191	Prbe.g_00149
OG0000185	Prbd.g_01188	Prbe.g_00152
OG0000186	Prbd.g_01180	Prbe.g_00168
OG0000187	Prbd.g_01179	Prbe.g_00169
OG0000188	Prbd.g_01162	Prbe.g_00186
OG0000189	Prbd.g_01148	Prbe.g_01636
OG0000190	Prbd.g_01147	Prbe.g_01638
OG0000191	Prbd.g_01126	Prbe.g_01661
OG0000192	Prbd.g_01122	Prbe.g_01666
OG0000193	Prbd.g_01094	Prbe.g_01693
OG0000194	Prbd.g_01091	Prbe.g_01696
OG0000195	Prbd.g_01089	Prbe.g_01698
OG0000196	Prbd.g_01079	Prbe.g_01709
OG0000197	Prbd.g_01078	Prbe.g_01710
OG0000198	Prbd.g_01077	Prbe.g_01711
OG0000199	Prbd.g_01070	Prbe.g_01718
OG0000200	Prbd.g_01056	Prbe.g_01732
OG0000201	Prbd.g_01048	Prbe.g_01741
OG0000202	Prbd.g_01047	Prbe.g_01742
OG0000203	Prbd.g_01046	Prbe.g_01743
OG0000204	Prbd.g_01045	Prbe.g_01744
OG0000205	Prbd.g_01038	Prbe.g_01751
OG0000206	Prbd.g_01033	Prbe.g_01756
OG0000207	Prbd.g_01031	Prbe.g_01759
OG0000208	Prbd.g_01030	Prbe.g_01760
OG0000209	Prbd.g_01021	Prbe.g_01769
OG0000210	Prbd.g_01020	Prbe.g_01770
OG0000211	Prbd.g_01006	Prbe.g_01785
OG0000212	Prbd.g_00999	Prbe.g_01793
OG0000213	Prbd.g_00982	Prbe.g_01811
OG0000214	Prbd.g_00972	Prbe.g_01821
OG0000215	Prbd.g_00947	Prbe.g_01848
OG0000216	Prbd.g_00945	Prbe.g_01849
OG0000217	Prbd.g_00942	Prbe.g_01852
OG0000218	Prbd.g_00940	Prbe.g_01854
OG0000219	Prbd.g_00939	Prbe.g_01855
OG0000220	Prbd.g_00938	Prbe.g_01856
OG0000221	Prbd.g_00937	Prbe.g_01857
OG0000222	Prbd.g_00929	Prbe.g_01864
OG0000223	Prbd.g_00916	Prbe.g_01876
OG0000224	Prbd.g_00914	Prbe.g_01878
OG0000225	Prbd.g_00893	Prbe.g_01904
OG0000226	Prbd.g_00889	Prbe.g_01908
OG0000227	Prbd.g_00887	Prbe.g_01910
OG0000228	Prbd.g_00884	Prbe.g_01914
OG0000229	Prbd.g_00806	Prbe.g_01934
OG0000230	Prbd.g_00804	Prbe.g_01936
OG0000231	Prbd.g_00793	Prbe.g_01947
OG0000232	Prbd.g_00784	Prbe.g_00672
OG0000233	Prbd.g_00779	Prbe.g_00666
OG0000234	Prbd.g_00766	Prbe.g_00657
OG0000235	Prbd.g_00763	Prbe.g_00654
OG0000236	Prbd.g_00749	Prbe.g_00640
OG0000237	Prbd.g_00736	Prbe.g_00627
OG0000238	Prbd.g_00730	Prbe.g_00621
OG0000239	Prbd.g_00717	Prbe.g_00610
OG0000240	Prbd.g_00716	Prbe.g_00609
OG0000241	Prbd.g_00712	Prbe.g_00605
OG0000242	Prbd.g_00710	Prbe.g_00603
OG0000243	Prbd.g_00699	Prbe.g_00592
OG0000244	Prbd.g_00696	Prbe.g_00589
OG0000245	Prbd.g_00694	Prbe.g_00587
OG0000246	Prbd.g_00690	Prbe.g_00583
OG0000247	Prbd.g_00680	Prbe.g_00573
OG0000248	Prbd.g_00678	Prbe.g_00570
OG0000249	Prbd.g_00676	Prbe.g_00568
OG0000250	Prbd.g_00671	Prbe.g_00563
OG0000251	Prbd.g_00653	Prbe.g_00543
OG0000252	Prbd.g_00650	Prbe.g_00540
OG0000253	Prbd.g_00649	Prbe.g_00539
OG0000254	Prbd.g_00633	Prbe.g_00522
OG0000255	Prbd.g_00627	Prbe.g_00516
OG0000256	Prbd.g_00617	Prbe.g_00506
OG0000257	Prbd.g_00614	Prbe.g_01490
OG0000258	Prbd.g_00601	Prbe.g_01476
OG0000259	Prbd.g_00584	Prbe.g_01459
OG0000260	Prbd.g_00581	Prbe.g_01456
OG0000261	Prbd.g_00579	Prbe.g_01453
OG0000262	Prbd.g_00575	Prbe.g_01449
OG0000263	Prbd.g_00563	Prbe.g_00455
OG0000264	Prbd.g_00553	Prbe.g_00466
OG0000265	Prbd.g_00007	Prbe.g_01214
OG0000266	Prbd.g_00017	Prbe.g_01430
OG0000267	Prbd.g_00028	Prbe.g_01418
OG0000268	Prbd.g_00029	Prbe.g_01417
OG0000269	Prbd.g_00097	Prbe.g_01217
OG0000270	Prbd.g_00100	Prbe.g_01220
OG0000271	Prbd.g_00108	Prbe.g_01228
OG0000272	Prbd.g_00109	Prbe.g_01229
OG0000273	Prbd.g_00132	Prbe.g_01253
OG0000274	Prbd.g_00133	Prbe.g_01254
OG0000275	Prbd.g_00136	Prbe.g_01257
OG0000276	Prbd.g_00141	Prbe.g_01263
OG0000277	Prbd.g_00142	Prbe.g_01264
OG0000278	Prbd.g_00145	Prbe.g_01267
OG0000279	Prbd.g_00152	Prbe.g_01274
OG0000280	Prbd.g_00153	Prbe.g_01275
OG0000281	Prbd.g_00158	Prbe.g_01282
OG0000282	Prbd.g_00208	Prbe.g_00419
OG0000283	Prbd.g_00241	Prbe.g_01326
OG0000284	Prbd.g_00246	Prbe.g_01331
OG0000285	Prbd.g_00251	Prbe.g_01336
OG0000286	Prbd.g_00263	Prbe.g_01349
OG0000287	Prbd.g_00280	Prbe.g_01615
OG0000288	Prbd.g_00313	Prbe.g_01388
OG0000289	Prbd.g_00324	Prbe.g_01404
OG0000290	Prbd.g_00337	Prbe.g_01300
OG0000291	Prbd.g_00339	Prbe.g_01298
OG0000292	Prbd.g_00389	Prbe.g_01594
OG0000293	Prbd.g_00459	Prbe.g_01559
OG0000294	Prbd.g_00460	Prbe.g_01558
OG0000295	Prbd.g_00480	Prbe.g_01535
OG0000296	Prbd.g_00482	Prbe.g_01533
OG0000297	Prbd.g_00490	Prbe.g_01524
OG0000298	Prbd.g_00491	Prbe.g_01523
OG0000299	Prbd.g_00508	Prbe.g_01504
OG0000300	Prbd.g_00511	Prbe.g_01501
OG0000301	Prbd.g_00512	Prbe.g_01500
OG0000302	Prbd.g_00514	Prbe.g_01498
OG0000303	Prbd.g_00521	Prbe.g_01492
OG0000304	Prbd.g_00525	Prbe.g_00501
OG0000305	Prbd.g_01772	Prbe.g_01592
OG0000306	Prbd.g_01769	Prbe.g_01286
OG0000307	Prbd.g_01755	Prbe.g_00364
OG0000308	Prbd.g_01754	Prbe.g_00363
OG0000309	Prbd.g_01750	Prbe.g_00359
OG0000310	Prbd.g_01704	Prbe.g_00325
OG0000311	Prbd.g_01702	Prbe.g_00323
OG0000312	Prbd.g_01699	Prbe.g_00320
OG0000313	Prbd.g_01685	Prbe.g_00307
OG0000314	Prbd.g_01662	Prbe.g_00284
OG0000315	Prbd.g_01652	Prbe.g_00274
OG0000316	Prbd.g_01632	Prbe.g_00249
OG0000317	Prbd.g_01527	Prbe.g_00988
OG0000318	Prbd.g_01524	Prbe.g_00984
OG0000319	Prbd.g_01511	Prbe.g_00971
OG0000320	Prbd.g_01509	Prbe.g_00969
OG0000321	Prbd.g_01508	Prbe.g_00968
OG0000322	Prbd.g_01507	Prbe.g_00967
OG0000323	Prbd.g_01498	Prbe.g_00958
OG0000324	Prbd.g_01471	Prbe.g_00931
OG0000325	Prbd.g_01462	Prbe.g_00920
OG0000326	Prbd.g_01456	Prbe.g_01109
OG0000327	Prbd.g_01432	Prbe.g_01088
OG0000328	Prbd.g_01431	Prbe.g_01087
OG0000329	Prbd.g_01414	Prbe.g_00860
OG0000330	Prbd.g_01413	Prbe.g_00859
OG0000331	Prbd.g_01412	Prbe.g_00858
OG0000332	Prbd.g_01398	Prbe.g_00844
OG0000333	Prbd.g_01396	Prbe.g_00842
OG0000334	Prbd.g_01388	Prbe.g_00833
OG0000335	Prbd.g_01383	Prbe.g_00828
OG0000336	Prbd.g_01379	Prbe.g_00824
OG0000337	Prbd.g_01363	Prbe.g_00806
OG0000338	Prbd.g_01362	Prbe.g_00805
OG0000339	Prbd.g_01358	Prbe.g_00799
OG0000340	Prbd.g_01350	Prbe.g_00790
OG0000341	Prbd.g_01348	Prbe.g_00788
OG0000342	Prbd.g_01347	Prbe.g_00787
OG0000343	Prbd.g_01346	Prbe.g_00786
OG0000344	Prbd.g_01343	Prbe.g_00783
OG0000345	Prbd.g_01338	Prbe.g_00777
OG0000346	Prbd.g_01334	Prbe.g_00773
OG0000347	Prbd.g_01317	Prbe.g_00746
OG0000348	Prbd.g_01307	Prbe.g_00754
OG0000349	Prbd.g_01290	Prbe.g_01149
OG0000350	Prbd.g_01272	Prbe.g_00709
OG0000351	Prbd.g_01255	Prbe.g_01189
OG0000352	Prbd.g_01254	Prbe.g_01190
OG0000353	Prbd.g_01238	Prbe.g_01064
