Orthogroup	Prbd	Syan
OG0000004	Prbd.g_00549	Syan.g_00183
OG0000004	Prbd.g_01007	Syan.g_00989
OG0000005	Prbd.g_01512	Syan.g_01423
OG0000005	Prbd.g_01612	Syan.g_01378
OG0000006	Prbd.g_00998	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbd.g_00745	Syan.g_02743
OG0000007	Prbd.g_01525	Syan.g_01400
OG0000009	Prbd.g_01887, Prbd.g_01576, Prbd.g_01139	Syan.g_02972
OG0000010	Prbd.g_00348, Prbd.g_00768	Syan.g_02847
OG0000012	Prbd.g_00621	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbd.g_00912	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbd.g_00933	Syan.g_01987
OG0000016	Prbd.g_01224	Syan.g_01766
OG0000017	Prbd.g_00646	Syan.g_01006
OG0000018	Prbd.g_00449, Prbd.g_00129	Syan.g_02816
OG0000019	Prbd.g_00990, Prbd.g_00082	Syan.g_02088
OG0000021	Prbd.g_01546, Prbd.g_00874	Syan.g_01001
OG0000022	Prbd.g_00061, Prbd.g_00423	Syan.g_00089
OG0000023	Prbd.g_00879	Syan.g_00404
OG0000025	Prbd.g_00137, Prbd.g_00908	Syan.g_00374
OG0000026	Prbd.g_01206, Prbd.g_00355	Syan.g_01743
OG0000027	Prbd.g_00772, Prbd.g_01832	Syan.g_02678
OG0000028	Prbd.g_00919, Prbd.g_01864	Syan.g_01971
OG0000030	Prbd.g_01325	Syan.g_01884, Syan.g_01883
OG0000032	Prbd.g_01730	Syan.g_01819
OG0000033	Prbd.g_01071	Syan.g_03036
OG0000034	Prbd.g_01791	Syan.g_01227, Syan.g_03003
OG0000035	Prbd.g_01689	Syan.g_01276
OG0000037	Prbd.g_01135	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbd.g_01283	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prbd.g_00558	Syan.g_02771, Syan.g_00535
OG0000041	Prbd.g_01478	Syan.g_01465
OG0000042	Prbd.g_01328	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prbd.g_00867	Syan.g_00086, Syan.g_00151
OG0000048	Prbd.g_00439, Prbd.g_00864	Syan.g_02036
OG0000053	Prbd.g_01669	Syan.g_02812
OG0000054	Prbd.g_00638	Syan.g_02503
OG0000055	Prbd.g_00083	Syan.g_00312
OG0000060	Prbd.g_00824	Syan.g_00277
OG0000061	Prbd.g_00468	Syan.g_02696
OG0000062	Prbd.g_01610	Syan.g_00098
OG0000063	Prbd.g_01204	Syan.g_01739
OG0000065	Prbd.g_01137	Syan.g_02974
OG0000066	Prbd.g_00703	Syan.g_01156
OG0000067	Prbd.g_00102	Syan.g_00690
OG0000068	Prbd.g_01764	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prbd.g_01575	Syan.g_00278
OG0000070	Prbd.g_00792	Syan.g_00289
OG0000071	Prbd.g_01801	Syan.g_01213
OG0000072	Prbd.g_01069	Syan.g_03038, Syan.g_02999
OG0000073	Prbd.g_00743	Syan.g_02741
OG0000075	Prbd.g_01359	Syan.g_00981, Syan.g_01937
OG0000076	Prbd.g_01335	Syan.g_01896
OG0000079	Prbd.g_00987	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prbd.g_00658	Syan.g_00952
OG0000085	Prbd.g_01532	Syan.g_01387
OG0000086	Prbd.g_01156	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prbd.g_01104, Prbd.g_01103	Syan.g_02268
OG0000088	Prbd.g_01074	Syan.g_03031
OG0000089	Prbd.g_00883	Syan.g_02316
OG0000090	Prbd.g_00709	Syan.g_01166
OG0000091	Prbd.g_00602	Syan.g_00235, Syan.g_00808
OG0000092	Prbd.g_00211, Prbd.g_01193	Syan.g_02502
OG0000094	Prbd.g_00321	Syan.g_00353, Syan.g_00065
OG0000097	Prbd.g_00509	Syan.g_00160, Syan.g_00733
OG0000098	Prbd.g_01782	Syan.g_00043
OG0000099	Prbd.g_01734	Syan.g_01968
OG0000100	Prbd.g_01614	Syan.g_00658
OG0000101	Prbd.g_01391	Syan.g_02199
OG0000102	Prbd.g_01330	Syan.g_01891
OG0000103	Prbd.g_01250	Syan.g_01692
OG0000104	Prbd.g_01241	Syan.g_01792
OG0000105	Prbd.g_00965	Syan.g_02031
OG0000106	Prbd.g_00868	Syan.g_00076
OG0000107	Prbd.g_00852	Syan.g_02106
OG0000108	Prbd.g_00762	Syan.g_02764
OG0000109	Prbd.g_00748	Syan.g_02748
OG0000110	Prbd.g_00668	Syan.g_00882
OG0000111	Prbd.g_00545	Syan.g_00187
OG0000112	Prbd.g_00066	Syan.g_00556, Syan.g_00252
OG0000113	Prbd.g_00124	Syan.g_00664
OG0000114	Prbd.g_00206	Syan.g_00741
OG0000115	Prbd.g_00401	Syan.g_02810
OG0000116	Prbd.g_00458	Syan.g_02710, Syan.g_00460
OG0000117	Prbd.g_01895	Syan.g_02644
OG0000118	Prbd.g_01789	Syan.g_01241, Syan.g_01237
OG0000119	Prbd.g_01768	Syan.g_02672
OG0000120	Prbd.g_01737	Syan.g_01966
OG0000121	Prbd.g_01687	Syan.g_01273
OG0000123	Prbd.g_01384	Syan.g_02190
OG0000124	Prbd.g_01318	Syan.g_01873
OG0000125	Prbd.g_01281	Syan.g_01573
OG0000126	Prbd.g_01242	Syan.g_01705
OG0000128	Prbd.g_01226	Syan.g_01768
OG0000129	Prbd.g_01194	Syan.g_01563
OG0000130	Prbd.g_01175	Syan.g_02906, Syan.g_02907
OG0000131	Prbd.g_01095	Syan.g_03008
OG0000132	Prbd.g_01076	Syan.g_03029
OG0000133	Prbd.g_00917	Syan.g_00561
OG0000134	Prbd.g_00882	Syan.g_02319
OG0000135	Prbd.g_00855	Syan.g_01616
OG0000136	Prbd.g_01722, Prbd.g_00801	Syan.g_01342
OG0000137	Prbd.g_00767	Syan.g_02846
OG0000138	Prbd.g_00747	Syan.g_02747
OG0000140	Prbd.g_00704	Syan.g_00042
OG0000141	Prbd.g_00637	Syan.g_01032
OG0000142	Prbd.g_00609	Syan.g_00816
OG0000143	Prbd.g_00605	Syan.g_00812
OG0000144	Prbd.g_00592	Syan.g_00782
OG0000145	Prbd.g_00062	Syan.g_02740
OG0000146	Prbd.g_00067	Syan.g_00555, Syan.g_00253
OG0000147	Prbd.g_00068	Syan.g_00254, Syan.g_00554
OG0000148	Prbd.g_00118	Syan.g_00670
OG0000149	Prbd.g_00149	Syan.g_00393
OG0000150	Prbd.g_00157	Syan.g_01031
OG0000151	Prbd.g_00216	Syan.g_00731
OG0000152	Prbd.g_00264	Syan.g_00565
OG0000153	Prbd.g_00283	Syan.g_00601
OG0000154	Prbd.g_00314	Syan.g_00363
OG0000155	Prbd.g_00488	Syan.g_02654
OG0000156	Prbd.g_01812	Syan.g_02717
OG0000157	Prbd.g_01811	Syan.g_02718
OG0000158	Prbd.g_01736	Syan.g_01078, Syan.g_01926
OG0000159	Prbd.g_01735	Syan.g_01120
OG0000160	Prbd.g_01688	Syan.g_01274
OG0000161	Prbd.g_01682	Syan.g_01268
OG0000162	Prbd.g_01676	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prbd.g_01642	Syan.g_02405
OG0000164	Prbd.g_01501	Syan.g_01440
OG0000165	Prbd.g_01494	Syan.g_01448
OG0000166	Prbd.g_01427	Syan.g_02239
OG0000167	Prbd.g_01361	Syan.g_01941
OG0000168	Prbd.g_01351	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prbd.g_01341	Syan.g_01912
OG0000170	Prbd.g_01339	Syan.g_01901
OG0000171	Prbd.g_01319	Syan.g_01875
OG0000172	Prbd.g_01310	Syan.g_01810
OG0000173	Prbd.g_01295	Syan.g_01720
OG0000174	Prbd.g_01268	Syan.g_01619
OG0000175	Prbd.g_01258	Syan.g_01678, Syan.g_00258
OG0000176	Prbd.g_01233	Syan.g_01801
OG0000177	Prbd.g_01232	Syan.g_01775
OG0000178	Prbd.g_01231	Syan.g_01774
OG0000179	Prbd.g_01221	Syan.g_01759
OG0000180	Prbd.g_01220	Syan.g_01758
OG0000181	Prbd.g_01219	Syan.g_01757
OG0000182	Prbd.g_01218	Syan.g_01756
OG0000183	Prbd.g_01214	Syan.g_01752
OG0000184	Prbd.g_01191	Syan.g_01549
OG0000185	Prbd.g_01188	Syan.g_01540
OG0000186	Prbd.g_01180	Syan.g_02902
OG0000187	Prbd.g_01179	Syan.g_02904
OG0000188	Prbd.g_01162	Syan.g_02926
OG0000189	Prbd.g_01148	Syan.g_02966
OG0000190	Prbd.g_01147	Syan.g_00971
OG0000191	Prbd.g_01126	Syan.g_02300
OG0000192	Prbd.g_01122	Syan.g_02294
OG0000193	Prbd.g_01094	Syan.g_03009
OG0000194	Prbd.g_01091	Syan.g_03012
OG0000195	Prbd.g_01089	Syan.g_03014
OG0000196	Prbd.g_01079	Syan.g_03026
OG0000197	Prbd.g_01078	Syan.g_03027
OG0000198	Prbd.g_01077	Syan.g_03028
OG0000199	Prbd.g_01070	Syan.g_03037
OG0000200	Prbd.g_01056	Syan.g_03055
OG0000201	Prbd.g_01048	Syan.g_03074
OG0000202	Prbd.g_01047	Syan.g_03075
OG0000203	Prbd.g_01046	Syan.g_03076
OG0000204	Prbd.g_01045	Syan.g_03077
OG0000205	Prbd.g_01038	Syan.g_03087
OG0000206	Prbd.g_01033	Syan.g_03095
OG0000207	Prbd.g_01031	Syan.g_03100
OG0000208	Prbd.g_01030	Syan.g_03101
OG0000209	Prbd.g_01021	Syan.g_01521
OG0000210	Prbd.g_01020	Syan.g_01522
OG0000211	Prbd.g_01006	Syan.g_02416
OG0000212	Prbd.g_00999	Syan.g_01508, Syan.g_02438
OG0000213	Prbd.g_00982	Syan.g_02059
OG0000214	Prbd.g_00972	Syan.g_02040
OG0000215	Prbd.g_00947	Syan.g_02010
OG0000216	Prbd.g_00945	Syan.g_02006
OG0000217	Prbd.g_00942	Syan.g_02001
OG0000218	Prbd.g_00940	Syan.g_01999
OG0000219	Prbd.g_00939	Syan.g_01998
OG0000220	Prbd.g_00938	Syan.g_01997
OG0000221	Prbd.g_00937	Syan.g_01994
OG0000222	Prbd.g_00929	Syan.g_01981
OG0000223	Prbd.g_00916	Syan.g_00228
OG0000224	Prbd.g_00914	Syan.g_01959
OG0000225	Prbd.g_00893	Syan.g_02997
OG0000226	Prbd.g_00889	Syan.g_02990
OG0000227	Prbd.g_00887	Syan.g_02988
OG0000228	Prbd.g_00884	Syan.g_02315
OG0000229	Prbd.g_00806	Syan.g_02396
OG0000230	Prbd.g_00804	Syan.g_02398
OG0000231	Prbd.g_00793	Syan.g_01333
OG0000232	Prbd.g_00784	Syan.g_02801
OG0000233	Prbd.g_00779	Syan.g_02876
OG0000234	Prbd.g_00766	Syan.g_02844
OG0000235	Prbd.g_00763	Syan.g_02765
OG0000236	Prbd.g_00749	Syan.g_02749
OG0000237	Prbd.g_00736	Syan.g_02731
OG0000238	Prbd.g_00730	Syan.g_02726
OG0000239	Prbd.g_00717	Syan.g_01187
OG0000240	Prbd.g_00716	Syan.g_01186
OG0000241	Prbd.g_00712	Syan.g_00822
OG0000242	Prbd.g_00710	Syan.g_01168
OG0000243	Prbd.g_00699	Syan.g_00840
OG0000244	Prbd.g_00696	Syan.g_00848
OG0000245	Prbd.g_00694	Syan.g_00850
OG0000246	Prbd.g_00690	Syan.g_00854
OG0000247	Prbd.g_00680	Syan.g_00866
OG0000248	Prbd.g_00678	Syan.g_00869
OG0000249	Prbd.g_00676	Syan.g_00871
OG0000250	Prbd.g_00671	Syan.g_00878
OG0000251	Prbd.g_00653	Syan.g_00961
OG0000252	Prbd.g_00650	Syan.g_00966
OG0000253	Prbd.g_00649	Syan.g_01000
OG0000254	Prbd.g_00633	Syan.g_01026
OG0000255	Prbd.g_00627	Syan.g_00978
OG0000256	Prbd.g_00617	Syan.g_00001, Syan.g_01135
OG0000257	Prbd.g_00614	Syan.g_00827
OG0000258	Prbd.g_00601	Syan.g_00803
OG0000259	Prbd.g_00584	Syan.g_00772
OG0000260	Prbd.g_00581	Syan.g_00769
OG0000261	Prbd.g_00579	Syan.g_00765
OG0000262	Prbd.g_00575	Syan.g_00760
OG0000263	Prbd.g_00563	Syan.g_02618
OG0000264	Prbd.g_00553	Syan.g_00540
OG0000266	Prbd.g_00017	Syan.g_00330
OG0000267	Prbd.g_00028	Syan.g_00470
OG0000268	Prbd.g_00029	Syan.g_00471
OG0000269	Prbd.g_00097	Syan.g_00695
OG0000270	Prbd.g_00100	Syan.g_00692
OG0000271	Prbd.g_00108	Syan.g_00684
OG0000272	Prbd.g_00109	Syan.g_00683
OG0000273	Prbd.g_00132	Syan.g_00654
OG0000274	Prbd.g_00133	Syan.g_00653
OG0000275	Prbd.g_00136	Syan.g_00373
OG0000276	Prbd.g_00141	Syan.g_00380
OG0000277	Prbd.g_00142	Syan.g_00381
OG0000278	Prbd.g_00145	Syan.g_00384
OG0000279	Prbd.g_00152	Syan.g_00398
OG0000280	Prbd.g_00153	Syan.g_00518
OG0000282	Prbd.g_00208	Syan.g_00739
OG0000283	Prbd.g_00241	Syan.g_00491
OG0000284	Prbd.g_00246	Syan.g_00497
OG0000285	Prbd.g_00251	Syan.g_00533
OG0000286	Prbd.g_00263	Syan.g_00564
OG0000287	Prbd.g_00280	Syan.g_00593
OG0000288	Prbd.g_00313	Syan.g_00364
OG0000289	Prbd.g_00324	Syan.g_00350
OG0000290	Prbd.g_00337	Syan.g_00293
OG0000291	Prbd.g_00339	Syan.g_00291
OG0000292	Prbd.g_00389	Syan.g_01703
OG0000293	Prbd.g_00459	Syan.g_02709
OG0000294	Prbd.g_00460	Syan.g_02708
OG0000295	Prbd.g_00480	Syan.g_02662
OG0000296	Prbd.g_00482	Syan.g_02660
OG0000299	Prbd.g_00508	Syan.g_02601
OG0000301	Prbd.g_00512	Syan.g_02592
OG0000302	Prbd.g_00514	Syan.g_02591
OG0000303	Prbd.g_00521	Syan.g_02582
OG0000304	Prbd.g_00525	Syan.g_02556
OG0000305	Prbd.g_01772	Syan.g_00195
OG0000306	Prbd.g_01769	Syan.g_00087
OG0000307	Prbd.g_01755	Syan.g_02782
OG0000308	Prbd.g_01754	Syan.g_02784
OG0000309	Prbd.g_01750	Syan.g_02883
OG0000310	Prbd.g_01704	Syan.g_01304
OG0000311	Prbd.g_01702	Syan.g_01299
OG0000312	Prbd.g_01699	Syan.g_01290
OG0000313	Prbd.g_01685	Syan.g_01271
OG0000314	Prbd.g_01662	Syan.g_02823
OG0000315	Prbd.g_01652	Syan.g_02833
OG0000316	Prbd.g_01632	Syan.g_01354
OG0000317	Prbd.g_01527	Syan.g_01396
OG0000318	Prbd.g_01524	Syan.g_01401
OG0000319	Prbd.g_01511	Syan.g_01425
OG0000320	Prbd.g_01509	Syan.g_01427
OG0000321	Prbd.g_01508	Syan.g_01428
OG0000322	Prbd.g_01507	Syan.g_01429
OG0000323	Prbd.g_01498	Syan.g_01442
OG0000324	Prbd.g_01471	Syan.g_01472
OG0000325	Prbd.g_01462	Syan.g_02107
OG0000326	Prbd.g_01456	Syan.g_02114
OG0000327	Prbd.g_01432	Syan.g_02244
OG0000328	Prbd.g_01431	Syan.g_02243
OG0000329	Prbd.g_01414	Syan.g_02225
OG0000330	Prbd.g_01413	Syan.g_02224
OG0000331	Prbd.g_01412	Syan.g_02223
OG0000332	Prbd.g_01398	Syan.g_02208
OG0000333	Prbd.g_01396	Syan.g_02205
OG0000334	Prbd.g_01388	Syan.g_00247, Syan.g_02194
