Orthogroup	Prba	Prar
OG0000000	Prba.g_01174	Prar.g_00971
OG0000000	Prba.g_00243	Prar.g_00713
OG0000000	Prba.g_00269	Prar.g_00729
OG0000000	Prba.g_00003	Prar.g_01204
OG0000000	Prba.g_00270	Prar.g_01204
OG0000000	Prba.g_01172	Prar.g_00727
OG0000001	Prba.g_00211	Prar.g_00926
OG0000001	Prba.g_01081	Prar.g_01202
OG0000002	Prba.g_00203	Prar.g_00918
OG0000002	Prba.g_01639	Prar.g_01508
OG0000004	Prba.g_01622	Prar.g_01525
OG0000004	Prba.g_00451	Prar.g_00095
OG0000005	Prba.g_00607	Prar.g_01130
OG0000005	Prba.g_00312	Prar.g_00771
OG0000006	Prba.g_00460	Prar.g_00086
OG0000007	Prba.g_00964	Prar.g_01328
OG0000007	Prba.g_00226	Prar.g_01143
OG0000008	Prba.g_01131	Prar.g_01185
OG0000008	Prba.g_01645	Prar.g_01502
OG0000009	Prba.g_00276	Prar.g_00737
OG0000009	Prba.g_01893	Prar.g_00223
OG0000010	Prba.g_01256	Prar.g_01912
OG0000010	Prba.g_00987	Prar.g_00524
OG0000011	Prba.g_01165	Prar.g_00978
OG0000011	Prba.g_01132	Prar.g_00988
OG0000012	Prba.g_01694	Prar.g_01453
OG0000013	Prba.g_00543	Prar.g_00260
OG0000014	Prba.g_00522	Prar.g_00281
OG0000015	Prba.g_01538	Prar.g_01179
OG0000016	Prba.g_01806	Prar.g_00025
OG0000017	Prba.g_01719	Prar.g_01428
OG0000018	Prba.g_00083	Prar.g_01282
OG0000018	Prba.g_01472	Prar.g_01711
OG0000019	Prba.g_00468	Prar.g_00078
OG0000019	Prba.g_01519	Prar.g_01663
OG0000020	Prba.g_00737	Prar.g_01315
OG0000021	Prba.g_00858	Prar.g_00425
OG0000022	Prba.g_01543	Prar.g_01649
OG0000022	Prba.g_00101	Prar.g_01300
OG0000023	Prba.g_00854	Prar.g_00420
OG0000024	Prba.g_01558	Prar.g_01634
OG0000024	Prba.g_01642	Prar.g_01505
OG0000025	Prba.g_01464	Prar.g_01718
OG0000025	Prba.g_00547	Prar.g_00256
OG0000026	Prba.g_01824	Prar.g_00007
OG0000026	Prba.g_01249	Prar.g_01919
OG0000027	Prba.g_00991	Prar.g_00520
OG0000028	Prba.g_00536	Prar.g_00267
OG0000028	Prba.g_01126	Prar.g_00985
OG0000029	Prba.g_00869	Prar.g_00436
OG0000030	Prba.g_00778	Prar.g_00662
OG0000031	Prba.g_00173	Prar.g_00879
OG0000033	Prba.g_00625	Prar.g_00158
OG0000034	Prba.g_01202	Prar.g_00945
OG0000035	Prba.g_00713	Prar.g_00339
OG0000037	Prba.g_01897	Prar.g_00219
OG0000038	Prba.g_00819	Prar.g_00702
OG0000039	Prba.g_01631	Prar.g_01516
OG0000040	Prba.g_00251	Prar.g_00715
OG0000040	Prba.g_00084	Prar.g_01283
OG0000042	Prba.g_00775	Prar.g_00660
OG0000043	Prba.g_01427	Prar.g_01755
OG0000044	Prba.g_00002	Prar.g_01172
OG0000045	Prba.g_00865	Prar.g_00432
OG0000047	Prba.g_00913	Prar.g_00468
OG0000047	Prba.g_00546	Prar.g_00257
OG0000048	Prba.g_00868	Prar.g_00435
OG0000049	Prba.g_00878	Prar.g_00445
OG0000049	Prba.g_01104	Prar.g_01173
OG0000049	Prba.g_00901	Prar.g_01002
OG0000049	Prba.g_01115	Prar.g_01160
OG0000050	Prba.g_01229	Prar.g_01940
OG0000053	Prba.g_00693	Prar.g_00827
OG0000054	Prba.g_01711	Prar.g_01436
OG0000055	Prba.g_01518	Prar.g_01664
OG0000056	Prba.g_01120	Prar.g_00932
OG0000057	Prba.g_01619	Prar.g_01528
OG0000058	Prba.g_00153	Prar.g_00870, Prar.g_00362
OG0000059	Prba.g_00381	Prar.g_01090
OG0000061	Prba.g_00064	Prar.g_01263
OG0000062	Prba.g_00310	Prar.g_00769
OG0000063	Prba.g_01826	Prar.g_00004, Prar.g_00005
OG0000065	Prba.g_01895	Prar.g_00221
OG0000066	Prba.g_00922	Prar.g_01369
OG0000068	Prba.g_00196	Prar.g_00911
OG0000069	Prba.g_00275	Prar.g_00736
OG0000070	Prba.g_01011	Prar.g_00498
OG0000071	Prba.g_01192	Prar.g_00955
OG0000072	Prba.g_00627	Prar.g_00156
OG0000073	Prba.g_00962	Prar.g_01330
OG0000074	Prba.g_01635	Prar.g_01512
OG0000075	Prba.g_01071	Prar.g_00629
OG0000076	Prba.g_00768	Prar.g_00653
OG0000077	Prba.g_01866	Prar.g_00250
OG0000078	Prba.g_00458	Prar.g_00088
OG0000081	Prba.g_00930	Prar.g_01361
OG0000082	Prba.g_01731	Prar.g_01414
OG0000083	Prba.g_01563	Prar.g_01630
OG0000083	Prba.g_01570	Prar.g_01623
OG0000084	Prba.g_00717	Prar.g_00343
OG0000085	Prba.g_00233	Prar.g_01150
OG0000086	Prba.g_01876	Prar.g_00240
OG0000087	Prba.g_01927	Prar.g_00189
OG0000088	Prba.g_00622	Prar.g_00161
OG0000089	Prba.g_00850	Prar.g_00416
OG0000090	Prba.g_00928	Prar.g_01363
OG0000091	Prba.g_01675	Prar.g_01472
OG0000092	Prba.g_01390	Prar.g_01781
OG0000092	Prba.g_01057	Prar.g_00615
OG0000093	Prba.g_01369	Prar.g_01801
OG0000094	Prba.g_01283	Prar.g_01885
OG0000095	Prba.g_01264	Prar.g_01904
OG0000096	Prba.g_00734	Prar.g_01313
OG0000096	Prba.g_01157	Prar.g_00991
OG0000097	Prba.g_00022	Prar.g_01222
OG0000098	Prba.g_00214	Prar.g_00929
OG0000099	Prba.g_00155	Prar.g_00872
OG0000100	Prba.g_00314	Prar.g_00773
OG0000101	Prba.g_00429	Prar.g_01027
OG0000102	Prba.g_00773	Prar.g_00658
OG0000103	Prba.g_01781	Prar.g_00050
OG0000104	Prba.g_01789	Prar.g_00042
OG0000105	Prba.g_00491	Prar.g_00313
OG0000106	Prba.g_00864	Prar.g_00431
OG0000107	Prba.g_00880	Prar.g_00446
OG0000108	Prba.g_00981	Prar.g_00530
OG0000109	Prba.g_00967	Prar.g_00544
OG0000110	Prba.g_01741	Prar.g_01404
OG0000111	Prba.g_01618	Prar.g_01529
OG0000112	Prba.g_01534	Prar.g_01652
OG0000113	Prba.g_01477	Prar.g_01706
OG0000114	Prba.g_01395	Prar.g_01776
OG0000115	Prba.g_00743	Prar.g_01318
OG0000116	Prba.g_00074	Prar.g_01273
OG0000117	Prba.g_01135	Prar.g_01003
OG0000118	Prba.g_01204	Prar.g_00943
OG0000119	Prba.g_00200	Prar.g_00915
OG0000120	Prba.g_00175	Prar.g_00880
OG0000121	Prba.g_00711	Prar.g_00337
OG0000122	Prba.g_00348	Prar.g_00807
OG0000123	Prba.g_00436	Prar.g_01021
OG0000124	Prba.g_00784	Prar.g_00668
OG0000125	Prba.g_01089, Prba.g_00821	Prar.g_00704
OG0000126	Prba.g_01788	Prar.g_00043
OG0000128	Prba.g_01804	Prar.g_00027
OG0000129	Prba.g_01838	Prar.g_00576
OG0000130	Prba.g_01857	Prar.g_00549
OG0000131	Prba.g_01933	Prar.g_00182
OG0000132	Prba.g_01952	Prar.g_00163
OG0000133	Prba.g_00538	Prar.g_00265
OG0000134	Prba.g_00851	Prar.g_00417
OG0000135	Prba.g_00877	Prar.g_00444
OG0000136	Prba.g_01020	Prar.g_00489
OG0000137	Prba.g_00986	Prar.g_00525
OG0000138	Prba.g_00966	Prar.g_00545
OG0000139	Prba.g_00924	Prar.g_01367
OG0000140	Prba.g_00923	Prar.g_01368
OG0000141	Prba.g_01710	Prar.g_01437
OG0000142	Prba.g_01682	Prar.g_01465
OG0000143	Prba.g_01678	Prar.g_01469
OG0000144	Prba.g_01665	Prar.g_01482
OG0000145	Prba.g_01541	Prar.g_01651
OG0000146	Prba.g_01533	Prar.g_01653
OG0000147	Prba.g_01532	Prar.g_01654
OG0000148	Prba.g_01483	Prar.g_01700
OG0000149	Prba.g_01452	Prar.g_01730
OG0000150	Prba.g_01444	Prar.g_01738
OG0000151	Prba.g_01385	Prar.g_01786
OG0000152	Prba.g_01337	Prar.g_01833
OG0000153	Prba.g_01318	Prar.g_01852
OG0000154	Prba.g_01290	Prar.g_01878
OG0000155	Prba.g_00043	Prar.g_01243
OG0000156	Prba.g_01181	Prar.g_00966
OG0000157	Prba.g_01182	Prar.g_00965
OG0000158	Prba.g_00154	Prar.g_00375
OG0000159	Prba.g_00152	Prar.g_00380, Prar.g_00871
OG0000160	Prba.g_00712	Prar.g_00338
OG0000161	Prba.g_00706	Prar.g_00840
OG0000162	Prba.g_00700	Prar.g_00834
OG0000163	Prba.g_00341	Prar.g_00800
OG0000164	Prba.g_00596	Prar.g_01964
OG0000165	Prba.g_00589	Prar.g_01971
OG0000166	Prba.g_00393	Prar.g_01063
OG0000167	Prba.g_01069	Prar.g_00627
OG0000168	Prba.g_01079	Prar.g_00637
OG0000169	Prba.g_00761	Prar.g_00647
OG0000170	Prba.g_00763	Prar.g_00649
OG0000171	Prba.g_00783	Prar.g_00667
OG0000172	Prba.g_00792	Prar.g_00675
OG0000173	Prba.g_00807	Prar.g_00690
OG0000174	Prba.g_00835	Prar.g_00068
OG0000175	Prba.g_00845	Prar.g_00058
OG0000176	Prba.g_01797	Prar.g_00034
OG0000177	Prba.g_01798	Prar.g_00033
OG0000178	Prba.g_01799	Prar.g_00032
OG0000179	Prba.g_01809	Prar.g_00022
OG0000180	Prba.g_01810	Prar.g_00021
OG0000181	Prba.g_01811	Prar.g_00020
OG0000182	Prba.g_01812	Prar.g_00019
OG0000183	Prba.g_01816	Prar.g_00015
OG0000184	Prba.g_01840	Prar.g_00573
OG0000185	Prba.g_01843	Prar.g_00570
OG0000186	Prba.g_01852	Prar.g_00554
OG0000187	Prba.g_01853	Prar.g_00553
OG0000188	Prba.g_01870	Prar.g_00246
OG0000189	Prba.g_01884	Prar.g_00232
OG0000190	Prba.g_01885	Prar.g_00231
OG0000191	Prba.g_01905	Prar.g_00211
OG0000192	Prba.g_01909	Prar.g_00207
OG0000193	Prba.g_01934	Prar.g_00181
OG0000194	Prba.g_01937	Prar.g_00178
