Orthogroup	Prba	Syap
OG0000004	Prba.g_00451	Syap.g_01987
OG0000005	Prba.g_00607	Syap.g_01773
OG0000005	Prba.g_00312	Syap.g_01218
OG0000007	Prba.g_00964	Syap.g_00275
OG0000007	Prba.g_00226	Syap.g_00621
OG0000009	Prba.g_01893	Syap.g_02081
OG0000010	Prba.g_01256, Prba.g_00987	Syap.g_02757
OG0000013	Prba.g_00543	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prba.g_00522	Syap.g_01675
OG0000014	Prba.g_00159	Syap.g_00813
OG0000016	Prba.g_01806	Syap.g_00071
OG0000017	Prba.g_01719	Syap.g_00449
OG0000018	Prba.g_00083, Prba.g_01472	Syap.g_02010
OG0000019	Prba.g_00468, Prba.g_01519	Syap.g_01586
OG0000025	Prba.g_01464, Prba.g_00547	Syap.g_01846
OG0000027	Prba.g_00991, Prba.g_01175	Syap.g_01440
OG0000028	Prba.g_00536, Prba.g_01126	Syap.g_01658
OG0000030	Prba.g_00778	Syap.g_00787, Syap.g_00788
OG0000031	Prba.g_00173	Syap.g_00722
OG0000033	Prba.g_00625	Syap.g_01198
OG0000034	Prba.g_01202	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prba.g_00713	Syap.g_02465
OG0000037	Prba.g_01897	Syap.g_02492
OG0000038	Prba.g_00819	Syap.g_00139
OG0000039	Prba.g_01631	Syap.g_01749, Syap.g_01748
OG0000042	Prba.g_00775	Syap.g_01891, Syap.g_01120
OG0000043	Prba.g_01427, Prba.g_01138	Syap.g_01998
OG0000044	Prba.g_00002	Syap.g_00378
OG0000045	Prba.g_00865	Syap.g_02525
OG0000048	Prba.g_00868	Syap.g_02340
OG0000051	Prba.g_01168	Syap.g_01574
OG0000053	Prba.g_00693	Syap.g_02006
OG0000054	Prba.g_01711	Syap.g_00678
OG0000059	Prba.g_00381, Prba.g_00127	Syap.g_01082, Syap.g_02478
OG0000061	Prba.g_00064	Syap.g_00228
OG0000062	Prba.g_00310	Syap.g_01365
OG0000063	Prba.g_01826	Syap.g_01796
OG0000066	Prba.g_00922	Syap.g_01972
OG0000067	Prba.g_01499	Syap.g_00194
OG0000068	Prba.g_00196	Syap.g_00108, Syap.g_00144
OG0000070	Prba.g_01011	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prba.g_00627	Syap.g_00555
OG0000073	Prba.g_00962	Syap.g_00273, Syap.g_01020
OG0000075	Prba.g_01071	Syap.g_01064, Syap.g_00664
OG0000076	Prba.g_00768	Syap.g_01111
OG0000079	Prba.g_00471	Syap.g_01589
OG0000085	Prba.g_00233	Syap.g_00611
OG0000087	Prba.g_01927	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prba.g_00622	Syap.g_01202
OG0000089	Prba.g_00850	Syap.g_00115, Syap.g_02042
OG0000090	Prba.g_00928	Syap.g_01451
OG0000091	Prba.g_01675	Syap.g_01861
OG0000094	Prba.g_01283	Syap.g_02781
OG0000095	Prba.g_01264	Syap.g_01556
OG0000098	Prba.g_00214	Syap.g_01975
OG0000099	Prba.g_00155	Syap.g_01385
OG0000101	Prba.g_00429	Syap.g_00472
OG0000102	Prba.g_00773	Syap.g_01116
OG0000103	Prba.g_01781	Syap.g_02607, Syap.g_02608
OG0000104	Prba.g_01789	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prba.g_00491	Syap.g_01369, Syap.g_01368
OG0000107	Prba.g_00880	Syap.g_02496
OG0000108	Prba.g_00981	Syap.g_00733, Syap.g_02255
OG0000109	Prba.g_00967	Syap.g_00279, Syap.g_02237
OG0000110	Prba.g_01741	Syap.g_01313
OG0000111	Prba.g_01618	Syap.g_01566, Syap.g_01568
OG0000112	Prba.g_01534	Syap.g_02023
OG0000113	Prba.g_01477	Syap.g_02714
OG0000114	Prba.g_01395	Syap.g_01255
OG0000115	Prba.g_00743	Syap.g_02004
OG0000116	Prba.g_00074	Syap.g_00241
OG0000117	Prba.g_01135	Syap.g_01889
OG0000118	Prba.g_01204	Syap.g_02286
OG0000120	Prba.g_00175	Syap.g_02075
OG0000121	Prba.g_00711	Syap.g_02471
OG0000123	Prba.g_00436	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prba.g_00784	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prba.g_01089, Prba.g_00821	Syap.g_01046, Syap.g_01047
OG0000126	Prba.g_01788	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Prba.g_01118	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Prba.g_01804	Syap.g_00069
OG0000129	Prba.g_01838	Syap.g_00130, Syap.g_00129
OG0000130	Prba.g_01857	Syap.g_01688, Syap.g_01689
OG0000131	Prba.g_01933	Syap.g_02189
OG0000132	Prba.g_01952	Syap.g_01205
OG0000133	Prba.g_00538	Syap.g_02017
OG0000134	Prba.g_00851	Syap.g_02047
OG0000135	Prba.g_00877	Syap.g_02090
OG0000136	Prba.g_01020	Syap.g_00089
OG0000137	Prba.g_00986	Syap.g_02756
OG0000138	Prba.g_00966	Syap.g_00278
OG0000139	Prba.g_00924	Syap.g_00410
OG0000140	Prba.g_00923	Syap.g_01976
OG0000141	Prba.g_01710	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prba.g_01682	Syap.g_00895, Syap.g_00894
OG0000143	Prba.g_01678	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prba.g_01665	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prba.g_01541	Syap.g_01860, Syap.g_01859
