Orthogroup	Prba	Syag
OG0000001	Prba.g_00211, Prba.g_01081, Prba.g_01080	Syag.g_00575
OG0000004	Prba.g_01622	Syag.g_00988
OG0000004	Prba.g_00451	Syag.g_00370, Syag.g_01790
OG0000005	Prba.g_00607	Syag.g_01708
OG0000005	Prba.g_00312	Syag.g_01667
OG0000006	Prba.g_00460	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prba.g_00964	Syag.g_01507
OG0000007	Prba.g_00226	Syag.g_01687
OG0000008	Prba.g_01131	Syag.g_00496
OG0000009	Prba.g_01142, Prba.g_00276	Syag.g_00220, Syag.g_00231
OG0000009	Prba.g_01893	Syag.g_01883
OG0000010	Prba.g_01256, Prba.g_00987	Syag.g_01355
OG0000011	Prba.g_00900, Prba.g_01165, Prba.g_01132	Syag.g_01299
OG0000012	Prba.g_01694	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prba.g_00543	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prba.g_00522	Syag.g_02559
OG0000014	Prba.g_00159	Syag.g_02487
OG0000015	Prba.g_01538	Syag.g_00596
OG0000016	Prba.g_01806	Syag.g_02286
OG0000017	Prba.g_01719	Syag.g_00336
OG0000018	Prba.g_00083, Prba.g_01472	Syag.g_01387
OG0000019	Prba.g_00468, Prba.g_01519	Syag.g_02663
OG0000020	Prba.g_00737	Syag.g_00085
OG0000022	Prba.g_01543, Prba.g_00101	Syag.g_00458
OG0000023	Prba.g_00854	Syag.g_00261, Syag.g_00234
OG0000024	Prba.g_01558, Prba.g_01642	Syag.g_00455
OG0000025	Prba.g_01464, Prba.g_00547	Syag.g_00718
OG0000026	Prba.g_01824, Prba.g_01249	Syag.g_02309
OG0000027	Prba.g_00991, Prba.g_01175	Syag.g_00950, Syag.g_00165
OG0000028	Prba.g_00536, Prba.g_01126	Syag.g_02540
OG0000029	Prba.g_00869, Prba.g_01551	Syag.g_00195
OG0000030	Prba.g_00778	Syag.g_02375, Syag.g_02374
OG0000031	Prba.g_00173	Syag.g_02486
OG0000033	Prba.g_00625	Syag.g_01978
OG0000034	Prba.g_01202	Syag.g_01225, Syag.g_01947
OG0000035	Prba.g_00713	Syag.g_01420
OG0000037	Prba.g_01897	Syag.g_00173
OG0000038	Prba.g_00819	Syag.g_02130, Syag.g_02132
OG0000039	Prba.g_01631	Syag.g_01325, Syag.g_02155
OG0000042	Prba.g_00775	Syag.g_01094, Syag.g_02378
OG0000043	Prba.g_01427	Syag.g_00564
OG0000045	Prba.g_00865	Syag.g_00223
OG0000047	Prba.g_00913, Prba.g_00546	Syag.g_00768
OG0000048	Prba.g_00868	Syag.g_02611
OG0000051	Prba.g_01168	Syag.g_01026
OG0000052	Prba.g_00160	Syag.g_02451
OG0000053	Prba.g_00693	Syag.g_01391
OG0000054	Prba.g_01711	Syag.g_00350
OG0000055	Prba.g_01518	Syag.g_00946
OG0000057	Prba.g_01619	Syag.g_00985
OG0000058	Prba.g_00153	Syag.g_02477
OG0000059	Prba.g_00381, Prba.g_00127	Syag.g_02721
OG0000061	Prba.g_00064	Syag.g_01141
OG0000063	Prba.g_01826	Syag.g_02313
OG0000065	Prba.g_01895	Syag.g_00182, Syag.g_01885
OG0000066	Prba.g_00922	Syag.g_01443
OG0000067	Prba.g_01499	Syag.g_00667
