Orthogroup	Prba	Prau
OG0000000	Prba.g_01174	Prau.g_01352
OG0000000	Prba.g_00243	Prau.g_01665
OG0000000	Prba.g_00269	Prau.g_01648
OG0000000	Prba.g_00003	Prau.g_01266
OG0000000	Prba.g_00270	Prau.g_01266
OG0000000	Prba.g_00003	Prau.g_01647
OG0000000	Prba.g_00270	Prau.g_01647
OG0000000	Prba.g_01172	Prau.g_01350
OG0000000	Prba.g_00268	Prau.g_01650
OG0000001	Prba.g_00211	Prau.g_01394
OG0000001	Prba.g_01081, Prba.g_01080	Prau.g_01267, Prau.g_01269
OG0000002	Prba.g_00203	Prau.g_01402
OG0000002	Prba.g_01639	Prau.g_00718
OG0000004	Prba.g_01622	Prau.g_00735
OG0000004	Prba.g_00451	Prau.g_00233
OG0000005	Prba.g_00607	Prau.g_01745
OG0000005	Prba.g_00312	Prau.g_01607
OG0000006	Prba.g_00460	Prau.g_01316
OG0000007	Prba.g_00964	Prau.g_00538
OG0000007	Prba.g_00226	Prau.g_01732
OG0000008	Prba.g_01131	Prau.g_00781
OG0000008	Prba.g_01645	Prau.g_00712
OG0000009	Prba.g_01142	Prau.g_01324
OG0000009	Prba.g_00276	Prau.g_01641
OG0000009	Prba.g_01893	Prau.g_00106
OG0000010	Prba.g_01256	Prau.g_01096
OG0000010	Prba.g_00987	Prau.g_00515
OG0000011	Prba.g_01165	Prau.g_00441
OG0000011	Prba.g_01132	Prau.g_01307
OG0000012	Prba.g_01694	Prau.g_00663
OG0000013	Prba.g_00543	Prau.g_00329
OG0000014	Prba.g_00522	Prau.g_00308
OG0000014	Prba.g_00159	Prau.g_01470
OG0000015	Prba.g_01538	Prau.g_00817
OG0000016	Prba.g_01806	Prau.g_00013
OG0000017	Prba.g_01719	Prau.g_00636
OG0000018	Prba.g_00083	Prau.g_01188
OG0000018	Prba.g_01472	Prau.g_00881
OG0000019	Prba.g_00468	Prau.g_00251
OG0000019	Prba.g_01519	Prau.g_00834
OG0000020	Prba.g_00737	Prau.g_01153
OG0000021	Prba.g_00245	Prau.g_01680
OG0000021	Prba.g_00858	Prau.g_00367
OG0000022	Prba.g_01543	Prau.g_00814
OG0000022	Prba.g_00101	Prau.g_01170
OG0000023	Prba.g_00854	Prau.g_00362
OG0000024	Prba.g_01558	Prau.g_00796
OG0000024	Prba.g_01642	Prau.g_00715
OG0000025	Prba.g_01464	Prau.g_00888
OG0000025	Prba.g_00547	Prau.g_00333
OG0000026	Prba.g_01824	Prau.g_00030
OG0000026	Prba.g_01249	Prau.g_01103
OG0000027	Prba.g_01175	Prau.g_01353
OG0000028	Prba.g_00536	Prau.g_00322
OG0000028	Prba.g_01126	Prau.g_01338
OG0000029	Prba.g_00869	Prau.g_00378
