Orthogroup	Prba	Syal
OG0000000	Prba.g_01174, Prba.g_00243, Prba.g_00269, Prba.g_00003, Prba.g_00270, Prba.g_01172, Prba.g_00268	Syal.g_01111, Syal.g_01832
OG0000001	Prba.g_00211, Prba.g_01081, Prba.g_01080	Syal.g_02193
OG0000004	Prba.g_01622	Syal.g_01809
OG0000004	Prba.g_00451	Syal.g_02718, Syal.g_00691
OG0000005	Prba.g_00607	Syal.g_00606
OG0000005	Prba.g_00312	Syal.g_00565
OG0000006	Prba.g_00460	Syal.g_00674
OG0000007	Prba.g_00964	Syal.g_02918
OG0000007	Prba.g_00226	Syal.g_00587
OG0000008	Prba.g_01131	Syal.g_02512
OG0000009	Prba.g_01142, Prba.g_00276	Syal.g_02089
OG0000009	Prba.g_01893	Syal.g_00818
OG0000010	Prba.g_01256, Prba.g_00987	Syal.g_00464
OG0000012	Prba.g_01694	Syal.g_02535, Syal.g_01639
OG0000013	Prba.g_00543	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prba.g_00522	Syal.g_01305
OG0000016	Prba.g_01806	Syal.g_00111
OG0000017	Prba.g_01719	Syal.g_02752
OG0000018	Prba.g_00083, Prba.g_01472	Syal.g_00410
OG0000019	Prba.g_00468, Prba.g_01519	Syal.g_01209
OG0000022	Prba.g_01543, Prba.g_00101	Syal.g_02587
OG0000023	Prba.g_00854	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prba.g_01558, Prba.g_01642	Syal.g_02597
OG0000025	Prba.g_01464, Prba.g_00547	Syal.g_02459
OG0000026	Prba.g_01824, Prba.g_01249	Syal.g_00132
OG0000027	Prba.g_00991, Prba.g_01175	Syal.g_02543
OG0000028	Prba.g_00536, Prba.g_01126	Syal.g_01319
OG0000029	Prba.g_00869, Prba.g_01551	Syal.g_03014
OG0000030	Prba.g_00778	Syal.g_01511, Syal.g_01512
OG0000033	Prba.g_00625	Syal.g_00912
OG0000034	Prba.g_01202	Syal.g_00881, Syal.g_01586
OG0000035	Prba.g_00713	Syal.g_00370
OG0000037	Prba.g_01897	Syal.g_00824
OG0000038	Prba.g_00819	Syal.g_01071, Syal.g_01073
OG0000039	Prba.g_01631	Syal.g_01097
OG0000040	Prba.g_00251	Syal.g_01187
OG0000042	Prba.g_00775	Syal.g_01705, Syal.g_01508
OG0000043	Prba.g_01427	Syal.g_02183
OG0000043	Prba.g_01138	Syal.g_02547
OG0000044	Prba.g_00002	Syal.g_01853
OG0000047	Prba.g_00913, Prba.g_00546	Syal.g_01568
OG0000048	Prba.g_00868	Syal.g_01250
OG0000051	Prba.g_01168	Syal.g_01550
OG0000052	Prba.g_00160	Syal.g_01338
OG0000053	Prba.g_00693	Syal.g_00406
OG0000054	Prba.g_01711	Syal.g_02739
OG0000055	Prba.g_01518	Syal.g_01845
OG0000056	Prba.g_01120	Syal.g_02054
OG0000057	Prba.g_01619	Syal.g_01812
OG0000058	Prba.g_00153	Syal.g_01326
OG0000059	Prba.g_00381, Prba.g_00127	Syal.g_00225
OG0000061	Prba.g_00064	Syal.g_01653
OG0000062	Prba.g_00310	Syal.g_02113
OG0000063	Prba.g_01826	Syal.g_00136
OG0000065	Prba.g_01895	Syal.g_00820, Syal.g_02528
OG0000066	Prba.g_00922	Syal.g_02828
OG0000067	Prba.g_01499	Syal.g_02414
OG0000068	Prba.g_00196	Syal.g_02888
OG0000070	Prba.g_01011	Syal.g_00509
OG0000071	Prba.g_01192	Syal.g_01601
OG0000072	Prba.g_00627	Syal.g_00914
OG0000073	Prba.g_00962	Syal.g_02920
OG0000075	Prba.g_01071	Syal.g_01350
OG0000076	Prba.g_00768	Syal.g_01459
OG0000077	Prba.g_01866	Syal.g_00763
OG0000078	Prba.g_00458	Syal.g_00680
OG0000079	Prba.g_00471	Syal.g_01213
OG0000081	Prba.g_00930	Syal.g_02555
OG0000082	Prba.g_01731	Syal.g_02769
OG0000084	Prba.g_00717	Syal.g_00023
OG0000085	Prba.g_00233	Syal.g_00575
OG0000086	Prba.g_01876	Syal.g_00784
OG0000087	Prba.g_01927	Syal.g_00871
OG0000088	Prba.g_00622	Syal.g_00908
OG0000089	Prba.g_00850	Syal.g_00555
OG0000090	Prba.g_00928	Syal.g_02838
OG0000091	Prba.g_01675	Syal.g_02628
OG0000092	Prba.g_01390, Prba.g_01057	Syal.g_00470
OG0000094	Prba.g_01283	Syal.g_01907
OG0000097	Prba.g_00022	Syal.g_01735, Syal.g_01553
OG0000098	Prba.g_00214	Syal.g_02196
OG0000099	Prba.g_00155	Syal.g_01323
OG0000100	Prba.g_00314	Syal.g_02448
OG0000101	Prba.g_00429	Syal.g_00275
OG0000102	Prba.g_00773	Syal.g_01488
OG0000103	Prba.g_01781	Syal.g_01897, Syal.g_00077
OG0000104	Prba.g_01789	Syal.g_00092
OG0000105	Prba.g_00491	Syal.g_01255
OG0000106	Prba.g_00864	Syal.g_02577
OG0000107	Prba.g_00880	Syal.g_00194
OG0000108	Prba.g_00981	Syal.g_02897
OG0000109	Prba.g_00967	Syal.g_02913
OG0000110	Prba.g_01741	Syal.g_02782
OG0000111	Prba.g_01618	Syal.g_01813
OG0000112	Prba.g_01534	Syal.g_02000
OG0000113	Prba.g_01477	Syal.g_02443
OG0000114	Prba.g_01395	Syal.g_02286
OG0000115	Prba.g_00743	Syal.g_00404
OG0000116	Prba.g_00074	Syal.g_01630
OG0000117	Prba.g_01135	Syal.g_01704
OG0000118	Prba.g_01204	Syal.g_01583
OG0000119	Prba.g_00200	Syal.g_02056
OG0000120	Prba.g_00175	Syal.g_01324
OG0000121	Prba.g_00711	Syal.g_00374
OG0000122	Prba.g_00348	Syal.g_02602
OG0000123	Prba.g_00436	Syal.g_00283
OG0000124	Prba.g_00784	Syal.g_01519
OG0000125	Prba.g_01089, Prba.g_00821	Syal.g_01075
OG0000126	Prba.g_01788	Syal.g_00090
OG0000127	Prba.g_01118	Syal.g_00720
OG0000128	Prba.g_01804	Syal.g_00109
OG0000129	Prba.g_01838	Syal.g_01062
OG0000130	Prba.g_01857	Syal.g_00751
OG0000131	Prba.g_01933	Syal.g_00886
OG0000132	Prba.g_01952	Syal.g_00906
OG0000133	Prba.g_00538	Syal.g_01995
OG0000134	Prba.g_00851	Syal.g_00552
OG0000135	Prba.g_00877	Syal.g_01119
OG0000136	Prba.g_01020	Syal.g_00520
OG0000137	Prba.g_00986	Syal.g_00463
OG0000138	Prba.g_00966	Syal.g_02914
OG0000139	Prba.g_00924	Syal.g_02832
OG0000140	Prba.g_00923	Syal.g_02830
OG0000141	Prba.g_01710	Syal.g_02738
OG0000142	Prba.g_01682	Syal.g_02636
OG0000143	Prba.g_01678	Syal.g_02632
OG0000144	Prba.g_01665	Syal.g_02515
OG0000145	Prba.g_01541	Syal.g_02921
OG0000146	Prba.g_01533	Syal.g_02001
OG0000147	Prba.g_01532	Syal.g_02002
OG0000148	Prba.g_01483	Syal.g_02437
OG0000149	Prba.g_01452	Syal.g_02475
OG0000150	Prba.g_01444	Syal.g_02737
OG0000151	Prba.g_01385	Syal.g_02263
OG0000152	Prba.g_01337	Syal.g_01991
OG0000153	Prba.g_01318	Syal.g_01958
OG0000154	Prba.g_01290	Syal.g_01918
OG0000155	Prba.g_00043	Syal.g_01695
OG0000156	Prba.g_01181	Syal.g_01620
OG0000157	Prba.g_01182	Syal.g_01619
OG0000158	Prba.g_00154	Syal.g_01431
OG0000160	Prba.g_00712	Syal.g_00372
OG0000161	Prba.g_00706	Syal.g_00384
OG0000162	Prba.g_00700	Syal.g_00396
OG0000163	Prba.g_00341	Syal.g_02971
OG0000164	Prba.g_00596	Syal.g_00623
OG0000165	Prba.g_00589	Syal.g_00632
OG0000166	Prba.g_00393	Syal.g_00236
OG0000167	Prba.g_01069	Syal.g_01347
OG0000168	Prba.g_01079	Syal.g_01433
OG0000169	Prba.g_00761	Syal.g_01447
OG0000170	Prba.g_00763	Syal.g_01454
OG0000171	Prba.g_00783	Syal.g_01518
OG0000172	Prba.g_00792	Syal.g_00174, Syal.g_00173
OG0000173	Prba.g_00807	Syal.g_00155
OG0000174	Prba.g_00835	Syal.g_01121
OG0000175	Prba.g_00845	Syal.g_01172
OG0000176	Prba.g_01797	Syal.g_00101
OG0000177	Prba.g_01798	Syal.g_00102
OG0000178	Prba.g_01799	Syal.g_00103
OG0000179	Prba.g_01809	Syal.g_00118
OG0000180	Prba.g_01810	Syal.g_00119
OG0000181	Prba.g_01811	Syal.g_00120
OG0000182	Prba.g_01812	Syal.g_00121
OG0000183	Prba.g_01816	Syal.g_00125
OG0000184	Prba.g_01840	Syal.g_01050
OG0000185	Prba.g_01843	Syal.g_01025
OG0000186	Prba.g_01852	Syal.g_02684, Syal.g_00747
OG0000187	Prba.g_01853	Syal.g_02685, Syal.g_00748
OG0000188	Prba.g_01870	Syal.g_00771
OG0000189	Prba.g_01884	Syal.g_00807
OG0000190	Prba.g_01885	Syal.g_01364
OG0000191	Prba.g_01905	Syal.g_00841
OG0000192	Prba.g_01909	Syal.g_00847
OG0000193	Prba.g_01934	Syal.g_00887
OG0000194	Prba.g_01937	Syal.g_00890
OG0000195	Prba.g_01939	Syal.g_00892
OG0000196	Prba.g_01949	Syal.g_00903
OG0000197	Prba.g_01950	Syal.g_00904
OG0000198	Prba.g_01951	Syal.g_00905
OG0000199	Prba.g_00626	Syal.g_00913
OG0000200	Prba.g_00640	Syal.g_00932
OG0000201	Prba.g_00648	Syal.g_00949
OG0000202	Prba.g_00649	Syal.g_00950
OG0000203	Prba.g_00650	Syal.g_00951
OG0000204	Prba.g_00651	Syal.g_00952
OG0000205	Prba.g_00658	Syal.g_00959
OG0000206	Prba.g_00663	Syal.g_00971
OG0000207	Prba.g_00665	Syal.g_00974
OG0000208	Prba.g_00666	Syal.g_00975
OG0000209	Prba.g_00675	Syal.g_01000
OG0000210	Prba.g_00439	Syal.g_01001
OG0000212	Prba.g_00459	Syal.g_00679
OG0000213	Prba.g_00476	Syal.g_01229
OG0000214	Prba.g_00485	Syal.g_01246
OG0000215	Prba.g_00509	Syal.g_01277
OG0000216	Prba.g_00510	Syal.g_01281
OG0000217	Prba.g_00513	Syal.g_01285
OG0000218	Prba.g_00515	Syal.g_01287
OG0000219	Prba.g_00516	Syal.g_01288
OG0000220	Prba.g_00517	Syal.g_01289
OG0000221	Prba.g_00518	Syal.g_01297
OG0000222	Prba.g_00526	Syal.g_01309
OG0000223	Prba.g_00539	Syal.g_01327
OG0000224	Prba.g_00541	Syal.g_01329
OG0000225	Prba.g_00562	Syal.g_00363
OG0000226	Prba.g_00221	Syal.g_00367
OG0000227	Prba.g_00223	Syal.g_00369
OG0000228	Prba.g_00849	Syal.g_00556
OG0000229	Prba.g_01025	Syal.g_00525
