Orthogroup	Syai	Syac
OG0000001	Syai.g_01716	Syac.g_02154
OG0000001	Syai.g_02595	Syac.g_00341
OG0000001	Syai.g_01729	Syac.g_02169
OG0000002	Syai.g_01728	Syac.g_01084
OG0000004	Syai.g_01994	Syac.g_00898
OG0000004	Syai.g_01062	Syac.g_00948
OG0000004	Syai.g_00530	Syac.g_01975
OG0000005	Syai.g_02393	Syac.g_00527
OG0000005	Syai.g_02356	Syac.g_00569
OG0000005	Syai.g_02068, Syai.g_01611	Syac.g_01087
OG0000006	Syai.g_01126	Syac.g_01002
OG0000006	Syai.g_00317, Syai.g_00547	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Syai.g_00657	Syac.g_01885
OG0000007	Syai.g_02378	Syac.g_00544
OG0000008	Syai.g_01956	Syac.g_00921
OG0000008	Syai.g_01955	Syac.g_00922
OG0000009	Syai.g_02541	Syac.g_00398
OG0000010	Syai.g_00864	Syac.g_01701
OG0000011	Syai.g_01952	Syac.g_00924
OG0000012	Syai.g_01068	Syac.g_00955
OG0000012	Syai.g_01987	Syac.g_00758
OG0000012	Syai.g_01529, Syai.g_01650	Syac.g_01577
OG0000013	Syai.g_00442	Syac.g_02056
OG0000013	Syai.g_00450	Syac.g_02046
OG0000013	Syai.g_00436	Syac.g_02062
OG0000014	Syai.g_00220	Syac.g_00253
OG0000015	Syai.g_01245	Syac.g_01408
OG0000016	Syai.g_00014	Syac.g_00014
OG0000016	Syai.g_01785	Syac.g_01505
OG0000016	Syai.g_01632	Syac.g_01053
OG0000017	Syai.g_00801	Syac.g_01749
OG0000017	Syai.g_00808	Syac.g_01742
OG0000018	Syai.g_00915	Syac.g_01660
OG0000019	Syai.g_00304	Syac.g_02207
OG0000022	Syai.g_01159	Syac.g_01031
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syac.g_00760
OG0000024	Syai.g_01951	Syac.g_00925
OG0000025	Syai.g_02044	Syac.g_00847
OG0000026	Syai.g_00038	Syac.g_00034
OG0000027	Syai.g_01654	Syac.g_01095
OG0000028	Syai.g_00205	Syac.g_00237
OG0000029	Syai.g_01584	Syac.g_01942
OG0000030	Syai.g_00096	Syac.g_00143
OG0000030	Syai.g_00095	Syac.g_00142
OG0000031	Syai.g_00197	Syac.g_00232
OG0000032	Syai.g_00895	Syac.g_01677
OG0000033	Syai.g_02634	Syac.g_00304
OG0000034	Syai.g_02192, Syai.g_02604	Syac.g_00334, Syac.g_00715
OG0000035	Syai.g_00955	Syac.g_01630
OG0000036	Syai.g_01848	Syac.g_01722, Syac.g_01536
OG0000037	Syai.g_02815	Syac.g_01077
OG0000038	Syai.g_02780	Syac.g_02357
OG0000039	Syai.g_02034	Syac.g_00856
OG0000040	Syai.g_02876	Syac.g_02437
OG0000041	Syai.g_02265	Syac.g_00655
OG0000041	Syai.g_02016	Syac.g_00876
OG0000042	Syai.g_00099	Syac.g_00146
OG0000043	Syai.g_01599	Syac.g_01100
OG0000045	Syai.g_02432	Syac.g_01040
OG0000046	Syai.g_00443	Syac.g_02055
OG0000046	Syai.g_00449	Syac.g_02047
OG0000046	Syai.g_00435	Syac.g_02063
OG0000047	Syai.g_00462	Syac.g_02031
OG0000048	Syai.g_00272	Syac.g_02240
OG0000050	Syai.g_01332	Syac.g_01937
OG0000051	Syai.g_01773	Syac.g_01073
OG0000052	Syai.g_00176	Syac.g_00207
