Orthogroup	Syai	Syae
OG0000001	Syai.g_01716	Syae.g_02061
OG0000001	Syai.g_01197, Syai.g_02594	Syae.g_01416
OG0000001	Syai.g_02595	Syae.g_01417
OG0000001	Syai.g_01729	Syae.g_02055
OG0000004	Syai.g_01994	Syae.g_00779
OG0000004	Syai.g_01062	Syae.g_00042
OG0000004	Syai.g_00530	Syae.g_02231
OG0000005	Syai.g_02393	Syae.g_01179
OG0000005	Syai.g_02356	Syae.g_01143
OG0000005	Syai.g_01611	Syae.g_00257
OG0000006	Syai.g_01126	Syae.g_00096
OG0000006	Syai.g_00317, Syai.g_00547	Syae.g_02030, Syae.g_02248
OG0000007	Syai.g_00657	Syae.g_02328
OG0000007	Syai.g_02378	Syae.g_01163
OG0000008	Syai.g_01956	Syae.g_00753
OG0000008	Syai.g_01955	Syae.g_00752
OG0000009	Syai.g_01626	Syae.g_00561, Syae.g_00171
OG0000009	Syai.g_02541	Syae.g_01361
OG0000010	Syai.g_00864	Syae.g_02529
OG0000011	Syai.g_01894, Syai.g_00582	Syae.g_00268
OG0000011	Syai.g_01952	Syae.g_00750
OG0000012	Syai.g_01068	Syae.g_00049
OG0000012	Syai.g_01529, Syai.g_01650	Syae.g_02397, Syae.g_02562
OG0000013	Syai.g_00442	Syae.g_02160
OG0000013	Syai.g_00450	Syae.g_02169
OG0000013	Syai.g_00436	Syae.g_02155
OG0000014	Syai.g_00220	Syae.g_01930
OG0000015	Syai.g_01246	Syae.g_00590
OG0000016	Syai.g_00014	Syae.g_01726
OG0000016	Syai.g_01785	Syae.g_00681
OG0000016	Syai.g_01632	Syae.g_00233
OG0000017	Syai.g_00801	Syae.g_02462
OG0000017	Syai.g_00808	Syae.g_02469
OG0000018	Syai.g_00915	Syae.g_02625
OG0000019	Syai.g_00304	Syae.g_02015
OG0000022	Syai.g_01159	Syae.g_00144
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syae.g_00439
OG0000023	Syai.g_02318	Syae.g_00930
OG0000025	Syai.g_02044	Syae.g_00833
OG0000026	Syai.g_00038	Syae.g_01748
OG0000027	Syai.g_01128	Syae.g_00103
OG0000027	Syai.g_01654	Syae.g_00814
OG0000028	Syai.g_00205	Syae.g_01916
OG0000029	Syai.g_01035, Syai.g_01584	Syae.g_00136
OG0000030	Syai.g_00096	Syae.g_01817
OG0000030	Syai.g_00095	Syae.g_01816
OG0000031	Syai.g_00197	Syae.g_01911
OG0000032	Syai.g_00895	Syae.g_02607
OG0000033	Syai.g_02634	Syae.g_01453
OG0000034	Syai.g_02192, Syai.g_02604	Syae.g_00975, Syae.g_01424
OG0000035	Syai.g_00955	Syae.g_02653
OG0000037	Syai.g_02544, Syai.g_02815	Syae.g_01367
OG0000038	Syai.g_02780	Syae.g_01571
OG0000039	Syai.g_02034	Syae.g_00822
OG0000040	Syai.g_02876	Syae.g_01653
OG0000041	Syai.g_02265	Syae.g_01042
OG0000041	Syai.g_02016	Syae.g_00802
OG0000042	Syai.g_00099	Syae.g_01821
OG0000043	Syai.g_01599	Syae.g_00117
OG0000044	Syai.g_00833	Syae.g_01067
OG0000046	Syai.g_00443	Syae.g_02161
OG0000046	Syai.g_00449	Syae.g_02168
OG0000046	Syai.g_00435	Syae.g_02154
OG0000047	Syai.g_00462	Syae.g_02184
OG0000048	Syai.g_00272	Syae.g_01982
OG0000050	Syai.g_01893	Syae.g_00122
OG0000050	Syai.g_01332	Syae.g_01023
OG0000051	Syai.g_01773	Syae.g_00438
OG0000052	Syai.g_00176	Syae.g_01886
OG0000053	Syai.g_00930	Syae.g_02629
OG0000054	Syai.g_01040	Syae.g_00014
OG0000055	Syai.g_02029	Syae.g_00817
OG0000057	Syai.g_01997	Syae.g_00782
OG0000058	Syai.g_00195	Syae.g_01905
OG0000059	Syai.g_00351	Syae.g_02074
OG0000060	Syai.g_00635	Syae.g_02306
OG0000060	Syai.g_01758	Syae.g_00649
OG0000061	Syai.g_02144	Syae.g_00921
OG0000062	Syai.g_02358	Syae.g_01145
OG0000063	Syai.g_00042	Syae.g_01752
OG0000064	Syai.g_02350	Syae.g_01137
OG0000064	Syai.g_02844	Syae.g_01631
OG0000064	Syai.g_01668	Syae.g_00194
OG0000066	Syai.g_01709, Syai.g_00719	Syae.g_02386
OG0000067	Syai.g_01321	Syae.g_00521
OG0000068	Syai.g_00628	Syae.g_02299
OG0000070	Syai.g_02196	Syae.g_00979
OG0000071	Syai.g_02179	Syae.g_00961
OG0000072	Syai.g_02636	Syae.g_01455
OG0000073	Syai.g_00659	Syae.g_02330
OG0000075	Syai.g_00161	Syae.g_01871
OG0000076	Syai.g_00111	Syae.g_01829
OG0000078	Syai.g_00543	Syae.g_02243
OG0000079	Syai.g_00300	Syae.g_02011
OG0000081	Syai.g_00553	Syae.g_02261
OG0000082	Syai.g_00781	Syae.g_02447
OG0000084	Syai.g_01196	Syae.g_00857
OG0000084	Syai.g_00958	Syae.g_02656
OG0000085	Syai.g_02365	Syae.g_01152
OG0000086	Syai.g_02507	Syae.g_01333
OG0000087	Syai.g_02592	Syae.g_01414
OG0000088	Syai.g_02630	Syae.g_01449
OG0000089	Syai.g_00517	Syae.g_02219
OG0000090	Syai.g_00707	Syae.g_02374
OG0000091	Syai.g_01112	Syae.g_00082
OG0000092	Syai.g_01358	Syae.g_00884
OG0000093	Syai.g_01306	Syae.g_00537
OG0000094	Syai.g_01424	Syae.g_00430
OG0000095	Syai.g_02007	Syae.g_00793
OG0000097	Syai.g_01787	Syae.g_00683
OG0000098	Syai.g_01718	Syae.g_02384, Syae.g_02058
