Orthogroup	Syai	Pray
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pray.g_01844
OG0000002	Syai.g_01728	Pray.g_01836, Pray.g_01085
OG0000004	Syai.g_01994	Pray.g_01068
OG0000004	Syai.g_01062, Syai.g_00530	Pray.g_00713
OG0000005	Syai.g_02393	Pray.g_01546
OG0000005	Syai.g_02356	Pray.g_01646
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Pray.g_00722
OG0000007	Syai.g_00657	Pray.g_00988, Pray.g_00987
OG0000007	Syai.g_02378	Pray.g_01559
OG0000008	Syai.g_01956	Pray.g_01931
OG0000009	Syai.g_01626	Pray.g_01920, Pray.g_01610
OG0000009	Syai.g_02541	Pray.g_00184
OG0000010	Syai.g_00864	Pray.g_00592
OG0000011	Syai.g_01894, Syai.g_00582	Pray.g_00884, Pray.g_01897
OG0000011	Syai.g_01952	Pray.g_01930
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Pray.g_01140
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Pray.g_00805
OG0000014	Syai.g_00220	Pray.g_00784
OG0000015	Syai.g_01246, Syai.g_01245	Pray.g_00309
OG0000016	Syai.g_00014	Pray.g_01475
OG0000017	Syai.g_00801, Syai.g_00808	Pray.g_01165
OG0000018	Syai.g_00915	Pray.g_00083
OG0000019	Syai.g_00304	Pray.g_00730, Pray.g_00328
OG0000020	Syai.g_00476	Pray.g_00120
OG0000021	Syai.g_00556	Pray.g_01578, Pray.g_00842
OG0000022	Syai.g_01159	Pray.g_00101
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Pray.g_00838
OG0000024	Syai.g_01951	Pray.g_00289, Pray.g_01088
OG0000025	Syai.g_02044	Pray.g_00809, Pray.g_00383
OG0000026	Syai.g_00038	Pray.g_01493, Pray.g_00599
OG0000027	Syai.g_01128, Syai.g_01654	Pray.g_00960, Pray.g_01887
OG0000028	Syai.g_00205	Pray.g_01935, Pray.g_00798
OG0000029	Syai.g_01035, Syai.g_01584	Pray.g_00296, Pray.g_00853
OG0000030	Syai.g_00096, Syai.g_00095	Pray.g_01374
OG0000031	Syai.g_00197	Pray.g_01806
OG0000034	Syai.g_02192, Syai.g_02604	Pray.g_01860
OG0000035	Syai.g_00955	Pray.g_01722
OG0000037	Syai.g_02544, Syai.g_02815	Pray.g_00180
OG0000038	Syai.g_02780	Pray.g_01415
OG0000039	Syai.g_02034	Pray.g_01077
OG0000040	Syai.g_02876	Pray.g_00084
OG0000042	Syai.g_00099	Pray.g_01371
OG0000044	Syai.g_00833	Pray.g_00002
OG0000045	Syai.g_02432	Pray.g_00849
OG0000047	Syai.g_00462	Pray.g_00808, Pray.g_00897
OG0000048	Syai.g_00272	Pray.g_00852
