Orthogroup	Syai	Praj
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Praj.g_01549
OG0000002	Syai.g_01728	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Syai.g_01994	Praj.g_01396
OG0000004	Syai.g_01062, Syai.g_00530	Praj.g_00271
OG0000005	Syai.g_02393	Praj.g_01349
OG0000005	Syai.g_02356	Praj.g_01712
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syai.g_00657	Praj.g_00489
OG0000007	Syai.g_02378	Praj.g_01768
OG0000008	Syai.g_01956	Praj.g_01829
OG0000008	Syai.g_01955	Praj.g_01830
OG0000010	Syai.g_00864	Praj.g_01026
OG0000011	Syai.g_01894, Syai.g_00582	Praj.g_01187
OG0000011	Syai.g_01952	Praj.g_01158
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Praj.g_00362
OG0000014	Syai.g_00220	Praj.g_00341
OG0000015	Syai.g_01246, Syai.g_01245	Praj.g_01113
OG0000016	Syai.g_00014	Praj.g_00013
OG0000016	Syai.g_01785, Syai.g_01632	Praj.g_01865
OG0000018	Syai.g_00915	Praj.g_01482
OG0000019	Syai.g_00304	Praj.g_00747
OG0000020	Syai.g_00476	Praj.g_01139
OG0000021	Syai.g_00556	Praj.g_01859, Praj.g_00084
OG0000022	Syai.g_01159	Praj.g_01216
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Praj.g_01365, Praj.g_01329
OG0000024	Syai.g_01951	Praj.g_01134, Praj.g_00666
OG0000025	Syai.g_02044	Praj.g_00805
OG0000026	Syai.g_00038	Praj.g_00031
OG0000027	Syai.g_01128, Syai.g_01654	Praj.g_01331
OG0000028	Syai.g_00205	Praj.g_01571
OG0000029	Syai.g_01035, Syai.g_01584	Praj.g_01745
OG0000030	Syai.g_00096, Syai.g_00095	Praj.g_02024
OG0000031	Syai.g_00197	Praj.g_00371
OG0000032	Syai.g_00895	Praj.g_01669
OG0000033	Syai.g_02634	Praj.g_00209
OG0000034	Syai.g_02192, Syai.g_02604	Praj.g_01538
OG0000035	Syai.g_00955	Praj.g_01632
OG0000037	Syai.g_02544, Syai.g_02815	Praj.g_00147
OG0000038	Syai.g_02780	Praj.g_02089
OG0000039	Syai.g_02034	Praj.g_00679
OG0000041	Syai.g_02265, Syai.g_02016	Praj.g_01813
OG0000042	Syai.g_00099	Praj.g_02020
OG0000043	Syai.g_01599	Praj.g_00864
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Praj.g_00363
OG0000047	Syai.g_00462	Praj.g_00370, Praj.g_00408
OG0000048	Syai.g_00272	Praj.g_00308
OG0000050	Syai.g_01893	Praj.g_01398
OG0000050	Syai.g_01332	Praj.g_00099
OG0000052	Syai.g_00176	Praj.g_00095
OG0000053	Syai.g_00930	Praj.g_01651
OG0000054	Syai.g_01040	Praj.g_00594
OG0000057	Syai.g_01997	Praj.g_01313, Praj.g_00691
OG0000058	Syai.g_00195	Praj.g_00839
OG0000059	Syai.g_00351	Praj.g_01892
OG0000060	Syai.g_00635, Syai.g_01758	Praj.g_01108
OG0000061	Syai.g_02144	Praj.g_01461
OG0000062	Syai.g_02358	Praj.g_01714
OG0000063	Syai.g_00042	Praj.g_01867
OG0000066	Syai.g_01709, Syai.g_00719	Praj.g_00530
OG0000067	Syai.g_01321	Praj.g_00769
OG0000068	Syai.g_00628	Praj.g_01575
OG0000070	Syai.g_02196	Praj.g_00444
OG0000071	Syai.g_02179	Praj.g_01528
OG0000072	Syai.g_02636	Praj.g_00211
OG0000073	Syai.g_00659	Praj.g_00491
OG0000075	Syai.g_00161	Praj.g_01987
OG0000076	Syai.g_00111	Praj.g_02012
OG0000077	Syai.g_02486	Praj.g_00116
OG0000078	Syai.g_00543	Praj.g_00280
OG0000079	Syai.g_00300	Praj.g_00291
OG0000081	Syai.g_00553, Syai.g_02292	Praj.g_00522
OG0000082	Syai.g_00781	Praj.g_01827
OG0000084	Syai.g_01196, Syai.g_00958	Praj.g_01628
OG0000085	Syai.g_02365	Praj.g_01762
OG0000086	Syai.g_02507	Praj.g_00126
OG0000087	Syai.g_02592	Praj.g_00179
OG0000088	Syai.g_02630	Praj.g_00206
OG0000089	Syai.g_00517	Praj.g_00403
OG0000090	Syai.g_00707	Praj.g_00524
OG0000091	Syai.g_01112	Praj.g_00630
OG0000092	Syai.g_01358	Praj.g_00892
OG0000093	Syai.g_01306	Praj.g_00754
OG0000094	Syai.g_01424	Praj.g_00846
OG0000095	Syai.g_02007	Praj.g_01024
OG0000097	Syai.g_01787	Praj.g_01416
OG0000098	Syai.g_01718	Praj.g_01546
OG0000099	Syai.g_00199	Praj.g_00372
OG0000100	Syai.g_01372	Praj.g_01709
OG0000101	Syai.g_00404	Praj.g_01952
OG0000102	Syai.g_00106	Praj.g_02017
OG0000103	Syai.g_02912	Praj.g_02135
OG0000104	Syai.g_02929	Praj.g_02145
OG0000105	Syai.g_00267	Praj.g_00310
OG0000106	Syai.g_01601	Praj.g_01156, Praj.g_01282
OG0000107	Syai.g_00319	Praj.g_01869
OG0000108	Syai.g_00638	Praj.g_00473
OG0000109	Syai.g_00653	Praj.g_00486
OG0000110	Syai.g_00878, Syai.g_00766	Praj.g_00565
OG0000111	Syai.g_00884, Syai.g_01998	Praj.g_00692
OG0000112	Syai.g_01512	Praj.g_00938
OG0000113	Syai.g_01367	Praj.g_00793, Praj.g_01176
OG0000114	Syai.g_01261	Praj.g_00887
OG0000115	Syai.g_00932	Praj.g_01725
OG0000116	Syai.g_02156	Praj.g_01471
OG0000117	Syai.g_01756	Praj.g_01355
OG0000118	Syai.g_00818	Praj.g_01540
OG0000119	Syai.g_02127	Praj.g_01568
OG0000120	Syai.g_00198	Praj.g_00664
OG0000121	Syai.g_00951	Praj.g_01634
OG0000122	Syai.g_01143	Praj.g_01673
OG0000123	Syai.g_00411	Praj.g_01959
OG0000124	Syai.g_00089	Praj.g_02031
OG0000125	Syai.g_02782	Praj.g_02091
OG0000126	Syai.g_02927	Praj.g_02144
OG0000128	Syai.g_00012	Praj.g_00011
OG0000129	Syai.g_02771	Praj.g_00048
OG0000130	Syai.g_02474	Praj.g_00107
OG0000131	Syai.g_02608	Praj.g_00185
OG0000132	Syai.g_02628	Praj.g_00204
OG0000133	Syai.g_01507	Praj.g_00357
OG0000134	Syai.g_00520	Praj.g_00405
OG0000135	Syai.g_02826	Praj.g_01279
OG0000136	Syai.g_02217	Praj.g_00435
OG0000137	Syai.g_00865	Praj.g_00467
OG0000138	Syai.g_00654	Praj.g_00487
OG0000139	Syai.g_00714	Praj.g_00528
OG0000140	Syai.g_00716	Praj.g_00529
OG0000141	Syai.g_01041	Praj.g_00595
OG0000142	Syai.g_01104	Praj.g_00623
OG0000143	Syai.g_01108	Praj.g_00627
OG0000144	Syai.g_01608	Praj.g_00640
OG0000145	Syai.g_00660	Praj.g_01054
OG0000146	Syai.g_01513	Praj.g_00937
OG0000147	Syai.g_01514	Praj.g_00936
OG0000148	Syai.g_01361	Praj.g_00787
OG0000149	Syai.g_02059	Praj.g_00819
OG0000150	Syai.g_00717	Praj.g_00828
OG0000151	Syai.g_01280	Praj.g_00898
OG0000152	Syai.g_01503	Praj.g_01601, Praj.g_00946
OG0000153	Syai.g_01461	Praj.g_00965
OG0000154	Syai.g_01434	Praj.g_00995
OG0000155	Syai.g_02109	Praj.g_01440
OG0000156	Syai.g_02162	Praj.g_01517
OG0000157	Syai.g_02163	Praj.g_01518
OG0000158	Syai.g_00135	Praj.g_01995
OG0000160	Syai.g_00952	Praj.g_01633
OG0000161	Syai.g_00946	Praj.g_01639
OG0000162	Syai.g_00939	Praj.g_01645
OG0000163	Syai.g_02300	Praj.g_01681
OG0000164	Syai.g_02411	Praj.g_01790
OG0000165	Syai.g_02244	Praj.g_01798
OG0000166	Syai.g_00364	Praj.g_01915
