Orthogroup	Syai	Syam
OG0000001	Syai.g_01716	Syam.g_00946
OG0000001	Syai.g_01197, Syai.g_02594	Syam.g_02177
OG0000001	Syai.g_00891	Syam.g_02178
OG0000001	Syai.g_01729	Syam.g_00929
OG0000002	Syai.g_01728	Syam.g_00931
OG0000004	Syai.g_01994	Syam.g_00787
OG0000004	Syai.g_01062	Syam.g_01499
OG0000004	Syai.g_00530	Syam.g_00501
OG0000005	Syai.g_02393	Syam.g_02004
OG0000005	Syai.g_02356	Syam.g_01970
OG0000005	Syai.g_02068	Syam.g_00715
OG0000005	Syai.g_01611	Syam.g_01029
OG0000006	Syai.g_01126	Syam.g_01446
OG0000006	Syai.g_00317	Syam.g_00286
OG0000006	Syai.g_00317	Syam.g_00518
OG0000006	Syai.g_00547	Syam.g_00286
OG0000006	Syai.g_00547	Syam.g_00518
OG0000007	Syai.g_00657	Syam.g_00602
OG0000007	Syai.g_02378	Syam.g_01990
OG0000008	Syai.g_01956	Syam.g_00810
OG0000008	Syai.g_01955	Syam.g_00811
OG0000009	Syai.g_02541	Syam.g_02119
OG0000010	Syai.g_00864	Syam.g_01669
OG0000011	Syai.g_01952	Syam.g_00814
OG0000012	Syai.g_01068	Syam.g_01492
OG0000012	Syai.g_01987	Syam.g_00794
OG0000012	Syai.g_01529, Syai.g_01650	Syam.g_00994
OG0000013	Syai.g_00442	Syam.g_00409
OG0000013	Syai.g_00450	Syam.g_00421
OG0000013	Syai.g_00436	Syam.g_00404
OG0000014	Syai.g_00220	Syam.g_00191
OG0000015	Syai.g_01246	Syam.g_01218
OG0000015	Syai.g_01245	Syam.g_01362
OG0000016	Syai.g_00014	Syam.g_00014
OG0000016	Syai.g_01785	Syam.g_00876
OG0000016	Syai.g_01632	Syam.g_01011
OG0000017	Syai.g_00801	Syam.g_01715
OG0000017	Syai.g_00808	Syam.g_01708
OG0000018	Syai.g_00915	Syam.g_01640
OG0000019	Syai.g_00304	Syam.g_00274
OG0000021	Syai.g_00556	Syam.g_00523
OG0000022	Syai.g_01159	Syam.g_01418
OG0000023	Syai.g_01681	Syam.g_01553
OG0000023	Syai.g_01022	Syam.g_01583
OG0000023	Syai.g_02318	Syam.g_01943
OG0000024	Syai.g_01951	Syam.g_00815
OG0000025	Syai.g_02044	Syam.g_00740
OG0000026	Syai.g_00038	Syam.g_00035
OG0000027	Syai.g_01128	Syam.g_01442
OG0000027	Syai.g_01654	Syam.g_00989
OG0000028	Syai.g_00205	Syam.g_00176
OG0000029	Syai.g_01035	Syam.g_01390
OG0000029	Syai.g_01584	Syam.g_01055
OG0000030	Syai.g_00096	Syam.g_00104
OG0000030	Syai.g_00095	Syam.g_00103
OG0000031	Syai.g_00197	Syam.g_00171
OG0000032	Syai.g_00895	Syam.g_01660
OG0000033	Syai.g_02634	Syam.g_02217
OG0000034	Syai.g_02192	Syam.g_01843
OG0000034	Syai.g_02192	Syam.g_02187
OG0000034	Syai.g_02604	Syam.g_01843
OG0000034	Syai.g_02604	Syam.g_02187
OG0000035	Syai.g_00955	Syam.g_01612
OG0000037	Syai.g_02544	Syam.g_02125
OG0000038	Syai.g_02780	Syam.g_02317
OG0000039	Syai.g_02034	Syam.g_00749
OG0000040	Syai.g_02876	Syam.g_02390
