Orthogroup	Syai	Syad
OG0000001	Syai.g_01716	Syad.g_00628
OG0000001	Syai.g_01197, Syai.g_02594	Syad.g_02864
OG0000001	Syai.g_02595	Syad.g_02865
OG0000001	Syai.g_01729	Syad.g_01238
OG0000002	Syai.g_01728	Syad.g_00619
OG0000004	Syai.g_01994	Syad.g_01304
OG0000004	Syai.g_01062	Syad.g_02184
OG0000004	Syai.g_00530	Syad.g_00810
OG0000005	Syai.g_02393	Syad.g_02639
OG0000005	Syai.g_02356	Syad.g_02596
OG0000005	Syai.g_02068, Syai.g_01611	Syad.g_02028
OG0000006	Syai.g_01126	Syad.g_02130
OG0000006	Syai.g_00317, Syai.g_00547	Syad.g_00588, Syad.g_00829
OG0000007	Syai.g_00657	Syad.g_00923
OG0000007	Syai.g_02378	Syad.g_02623
OG0000008	Syai.g_01955	Syad.g_01371
OG0000009	Syai.g_01626	Syad.g_01952, Syad.g_00868
OG0000009	Syai.g_02541	Syad.g_02799
OG0000010	Syai.g_00864	Syad.g_02354
OG0000011	Syai.g_01894, Syai.g_00582	Syad.g_02006
OG0000012	Syai.g_01068	Syad.g_02176
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650	Syad.g_01579, Syad.g_01008
OG0000013	Syai.g_00442	Syad.g_00729
OG0000013	Syai.g_00450	Syad.g_00737
OG0000013	Syai.g_00436	Syad.g_00724
OG0000014	Syai.g_00220	Syad.g_00480
OG0000015	Syai.g_01246	Syad.g_01600, Syad.g_01601
OG0000016	Syai.g_00014	Syad.g_00176
OG0000016	Syai.g_01785	Syad.g_01460
OG0000016	Syai.g_01632	Syad.g_02065
OG0000017	Syai.g_00801	Syad.g_01084
OG0000017	Syai.g_00808	Syad.g_01091
OG0000018	Syai.g_00915	Syad.g_02306
OG0000019	Syai.g_00304	Syad.g_00569
OG0000020	Syai.g_00476	Syad.g_00845
OG0000021	Syai.g_00556	Syad.g_00874
OG0000022	Syai.g_01159	Syad.g_02090
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syad.g_02337
OG0000023	Syai.g_02318	Syad.g_01583
OG0000024	Syai.g_01951	Syad.g_01374
OG0000025	Syai.g_02044	Syad.g_01241
OG0000026	Syai.g_00038	Syad.g_00198
OG0000027	Syai.g_01654	Syad.g_01257
OG0000028	Syai.g_00205	Syad.g_00463
OG0000029	Syai.g_01035, Syai.g_01584	Syad.g_02099
OG0000030	Syai.g_00096	Syad.g_00328
OG0000030	Syai.g_00095	Syad.g_00327
OG0000031	Syai.g_00197	Syad.g_00458
OG0000032	Syai.g_00895	Syad.g_02326
OG0000033	Syai.g_02634	Syad.g_02903
OG0000034	Syai.g_02192, Syai.g_02604	Syad.g_02420, Syad.g_02872
OG0000035	Syai.g_00955	Syad.g_02275
OG0000036	Syai.g_01848	Syad.g_02714, Syad.g_02715
OG0000037	Syai.g_02544	Syad.g_02805
OG0000038	Syai.g_02780	Syad.g_03038
OG0000039	Syai.g_02034	Syad.g_01249
OG0000040	Syai.g_02876	Syad.g_00104
OG0000041	Syai.g_02265	Syad.g_02498
OG0000041	Syai.g_02016	Syad.g_01281
OG0000042	Syai.g_00099	Syad.g_00333
OG0000043	Syai.g_01599	Syad.g_02119
OG0000044	Syai.g_00833	Syad.g_02214
OG0000046	Syai.g_00443	Syad.g_00730
OG0000046	Syai.g_00449	Syad.g_00736
OG0000046	Syai.g_00435	Syad.g_00723
OG0000047	Syai.g_00462	Syad.g_00754
OG0000048	Syai.g_00272	Syad.g_00534
OG0000050	Syai.g_01332	Syad.g_02478
OG0000051	Syai.g_01773	Syad.g_00842
OG0000052	Syai.g_00176	Syad.g_00434
OG0000053	Syai.g_00930	Syad.g_02302
OG0000054	Syai.g_01040	Syad.g_02209
OG0000055	Syai.g_02029	Syad.g_01255
OG0000057	Syai.g_01997	Syad.g_01301
OG0000058	Syai.g_00195	Syad.g_00452
OG0000059	Syai.g_00351	Syad.g_00642
OG0000060	Syai.g_00635	Syad.g_00899
OG0000060	Syai.g_01758	Syad.g_01508
OG0000061	Syai.g_02144	Syad.g_01152
OG0000062	Syai.g_02358	Syad.g_02598
OG0000063	Syai.g_00042	Syad.g_00202
OG0000064	Syai.g_02844	Syad.g_00081, Syad.g_02125
OG0000066	Syai.g_01709, Syai.g_00719	Syad.g_00992
OG0000067	Syai.g_01321	Syad.g_01889
OG0000068	Syai.g_00628	Syad.g_00891
OG0000070	Syai.g_02196	Syad.g_02424
OG0000071	Syai.g_02179	Syad.g_02405
OG0000072	Syai.g_02636	Syad.g_02905
OG0000073	Syai.g_00659	Syad.g_00926
OG0000075	Syai.g_00161	Syad.g_00416
OG0000076	Syai.g_00111	Syad.g_00348
OG0000077	Syai.g_02486	Syad.g_02741
OG0000078	Syai.g_00543	Syad.g_00824
OG0000079	Syai.g_00300	Syad.g_00565
OG0000081	Syai.g_00553	Syad.g_00833
OG0000082	Syai.g_00781	Syad.g_01063
OG0000084	Syai.g_01196, Syai.g_00958	Syad.g_02272
OG0000085	Syai.g_02365	Syad.g_02612
OG0000086	Syai.g_02507	Syad.g_02770
OG0000087	Syai.g_02592	Syad.g_02860
OG0000088	Syai.g_02630	Syad.g_02899
OG0000089	Syai.g_00517	Syad.g_00785
OG0000090	Syai.g_00707	Syad.g_00977
OG0000091	Syai.g_01112	Syad.g_02144
OG0000092	Syai.g_01358	Syad.g_01190
OG0000093	Syai.g_01306	Syad.g_01905
