Orthogroup	Syai	Pram
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Pram.g_01954, Pram.g_01953
OG0000002	Syai.g_01728	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Syai.g_01994	Pram.g_00789
OG0000004	Syai.g_01062, Syai.g_00530	Pram.g_00219
OG0000005	Syai.g_02356	Pram.g_01295
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Pram.g_00229
OG0000007	Syai.g_00657	Pram.g_00433
OG0000007	Syai.g_02378	Pram.g_01632
OG0000008	Syai.g_01956	Pram.g_01263
OG0000008	Syai.g_01955	Pram.g_01262
OG0000009	Syai.g_01626	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syai.g_00864	Pram.g_00704, Pram.g_01000
OG0000011	Syai.g_01952	Pram.g_01579
OG0000012	Syai.g_01068	Pram.g_00561
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Pram.g_00315
OG0000014	Syai.g_00220	Pram.g_00295
OG0000015	Syai.g_01246, Syai.g_01245	Pram.g_00696, Pram.g_01545
OG0000016	Syai.g_01785, Syai.g_01632	Pram.g_01193
OG0000017	Syai.g_00801	Pram.g_00535
OG0000017	Syai.g_00808	Pram.g_00542
OG0000018	Syai.g_00915	Pram.g_01162
OG0000019	Syai.g_00304	Pram.g_00237, Pram.g_01164
OG0000020	Syai.g_00476	Pram.g_01275, Pram.g_01595, Pram.g_01516
OG0000021	Syai.g_00556	Pram.g_01274, Pram.g_00794
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Pram.g_00689
OG0000024	Syai.g_01951	Pram.g_01004, Pram.g_00765
OG0000025	Syai.g_02044	Pram.g_00844
OG0000026	Syai.g_00038	Pram.g_00018
OG0000028	Syai.g_00205	Pram.g_00363, Pram.g_00308
OG0000029	Syai.g_01035, Syai.g_01584	Pram.g_01529, Pram.g_01723
