Orthogroup	Syai	Prah
OG0000001	Syai.g_01197, Syai.g_02594	Prah.g_01159
OG0000001	Syai.g_02595	Prah.g_02270
OG0000002	Syai.g_01728	Prah.g_00562, Prah.g_01226
OG0000004	Syai.g_01994	Prah.g_01022
OG0000004	Syai.g_01062, Syai.g_00530	Prah.g_01413
OG0000005	Syai.g_02356	Prah.g_01652
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prah.g_00475, Prah.g_01767
OG0000007	Syai.g_00657	Prah.g_01546
OG0000007	Syai.g_02378	Prah.g_01676
OG0000008	Syai.g_01956	Prah.g_00970
OG0000008	Syai.g_01955	Prah.g_00969
OG0000009	Syai.g_02541	Prah.g_00432, Prah.g_01895
OG0000010	Syai.g_00864	Prah.g_00311
OG0000011	Syai.g_01894, Syai.g_00582	Prah.g_01084
OG0000012	Syai.g_01068	Prah.g_00524
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prah.g_01956
OG0000014	Syai.g_00220	Prah.g_02171
OG0000015	Syai.g_01246, Syai.g_01245	Prah.g_01155, Prah.g_00576
OG0000016	Syai.g_00014	Prah.g_00015
OG0000016	Syai.g_01785	Prah.g_01270
OG0000017	Syai.g_00808	Prah.g_01397
OG0000018	Syai.g_00915	Prah.g_00378
OG0000019	Syai.g_00304	Prah.g_02086
OG0000020	Syai.g_00476	Prah.g_01100
OG0000021	Syai.g_00556	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syai.g_01159	Prah.g_01209
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prah.g_00688
OG0000024	Syai.g_01951	Prah.g_01043
OG0000025	Syai.g_02044	Prah.g_00604
OG0000026	Syai.g_00038	Prah.g_00038
OG0000028	Syai.g_00205	Prah.g_02184
OG0000029	Syai.g_01035, Syai.g_01584	Prah.g_01972
OG0000030	Syai.g_00096	Prah.g_00132
OG0000030	Syai.g_00095	Prah.g_00131
OG0000031	Syai.g_00197	Prah.g_02248
OG0000032	Syai.g_00895	Prah.g_00358
OG0000033	Syai.g_02634	Prah.g_02307
OG0000034	Syai.g_02192, Syai.g_02604	Prah.g_01376
OG0000035	Syai.g_00955	Prah.g_00408
OG0000037	Syai.g_02544, Syai.g_02815	Prah.g_01901
OG0000038	Syai.g_02780	Prah.g_02494
OG0000041	Syai.g_02265, Syai.g_02016	Prah.g_01737
OG0000042	Syai.g_00099	Prah.g_00135, Prah.g_01256
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prah.g_01955
OG0000047	Syai.g_00462	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syai.g_00272	Prah.g_02122
OG0000050	Syai.g_01332	Prah.g_01120
OG0000052	Syai.g_00176	Prah.g_02219
OG0000053	Syai.g_00930	Prah.g_00381
OG0000054	Syai.g_01040	Prah.g_01394
OG0000055	Syai.g_02029	Prah.g_00942
OG0000057	Syai.g_01997	Prah.g_01027
OG0000058	Syai.g_00195	Prah.g_02195
OG0000059	Syai.g_00351	Prah.g_02043
OG0000060	Syai.g_00635	Prah.g_01569
OG0000060	Syai.g_01758	Prah.g_01156
OG0000061	Syai.g_02144	Prah.g_01322
OG0000062	Syai.g_02358	Prah.g_01654
OG0000063	Syai.g_00042	Prah.g_00042
OG0000066	Syai.g_01709, Syai.g_00719	Prah.g_01485
OG0000067	Syai.g_01321	Prah.g_00667, Prah.g_01826
OG0000068	Syai.g_00628	Prah.g_01576
OG0000070	Syai.g_02196	Prah.g_00252
OG0000071	Syai.g_02179	Prah.g_01364
OG0000072	Syai.g_02636	Prah.g_02309
OG0000073	Syai.g_00659	Prah.g_01544
OG0000075	Syai.g_00161	Prah.g_02232
OG0000076	Syai.g_00111	Prah.g_00150
OG0000078	Syai.g_00543	Prah.g_01773
OG0000082	Syai.g_00781	Prah.g_01427
OG0000084	Syai.g_01196, Syai.g_00958	Prah.g_00412
OG0000085	Syai.g_02365	Prah.g_01666
OG0000086	Syai.g_02507	Prah.g_01866
OG0000087	Syai.g_02592	Prah.g_02268
OG0000088	Syai.g_02630	Prah.g_02304, Prah.g_00957
OG0000089	Syai.g_00517	Prah.g_00205
OG0000090	Syai.g_00707	Prah.g_01501
OG0000091	Syai.g_01112	Prah.g_00493
OG0000093	Syai.g_01306	Prah.g_00692
OG0000094	Syai.g_01424	Prah.g_02518
OG0000095	Syai.g_02007	Prah.g_00915
OG0000097	Syai.g_01787	Prah.g_01272
OG0000098	Syai.g_01718	Prah.g_00327
OG0000099	Syai.g_00199	Prah.g_02191
