Orthogroup	Syai	Syaf
OG0000001	Syai.g_01716	Syaf.g_01640
OG0000001	Syai.g_01197, Syai.g_02594	Syaf.g_00846
OG0000001	Syai.g_02595	Syaf.g_00845
OG0000001	Syai.g_01729	Syaf.g_01634
OG0000004	Syai.g_01994	Syaf.g_01455
OG0000004	Syai.g_01062	Syaf.g_02351
OG0000004	Syai.g_00530	Syaf.g_02794
OG0000005	Syai.g_02393	Syaf.g_01017
OG0000005	Syai.g_02356	Syaf.g_01057
OG0000005	Syai.g_02068	Syaf.g_01352
OG0000005	Syai.g_01611	Syaf.g_01732
OG0000006	Syai.g_01126	Syaf.g_02288
OG0000006	Syai.g_00317, Syai.g_00547	Syaf.g_00179, Syaf.g_02778
OG0000007	Syai.g_00657	Syaf.g_02702
OG0000007	Syai.g_02378	Syaf.g_01033
OG0000008	Syai.g_01956	Syaf.g_01479
OG0000008	Syai.g_01955	Syaf.g_01480
OG0000009	Syai.g_02541	Syaf.g_00905
OG0000010	Syai.g_00864	Syaf.g_02499
OG0000011	Syai.g_01894, Syai.g_00582	Syaf.g_01532
OG0000011	Syai.g_01952	Syaf.g_01483
OG0000012	Syai.g_01987	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462
OG0000012	Syai.g_01529, Syai.g_01650	Syaf.g_01693
OG0000013	Syai.g_00442	Syaf.g_00056
OG0000013	Syai.g_00450	Syaf.g_00044
OG0000013	Syai.g_00436	Syaf.g_00061
OG0000014	Syai.g_00220	Syaf.g_00280
OG0000015	Syai.g_01246	Syaf.g_02120
OG0000015	Syai.g_01245	Syaf.g_02121
OG0000016	Syai.g_00014	Syaf.g_00484
OG0000016	Syai.g_01785	Syaf.g_01576
OG0000016	Syai.g_01632	Syaf.g_01713
OG0000017	Syai.g_00801	Syaf.g_02561
OG0000017	Syai.g_00808	Syaf.g_02554
OG0000018	Syai.g_00915	Syaf.g_02451
OG0000019	Syai.g_00304	Syaf.g_00193
OG0000020	Syai.g_00476	Syaf.g_02187
