Orthogroup	Syai	Prar
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prar.g_00926
OG0000002	Syai.g_01728	Prar.g_00918, Prar.g_01508
OG0000004	Syai.g_01994	Prar.g_01525
OG0000004	Syai.g_01062, Syai.g_00530	Prar.g_00095
OG0000005	Syai.g_02393	Prar.g_01130
OG0000005	Syai.g_02356	Prar.g_00771
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prar.g_00086
OG0000007	Syai.g_00657	Prar.g_01328
OG0000007	Syai.g_02378	Prar.g_01143
OG0000008	Syai.g_01956	Prar.g_01185
OG0000009	Syai.g_01626	Prar.g_00737
OG0000009	Syai.g_02541	Prar.g_00223
OG0000010	Syai.g_00864	Prar.g_01567, Prar.g_01912
OG0000011	Syai.g_01894, Syai.g_00582	Prar.g_00978
OG0000011	Syai.g_01952	Prar.g_00988
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Prar.g_01453
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prar.g_00260
OG0000014	Syai.g_00220	Prar.g_00281
OG0000015	Syai.g_01246, Syai.g_01245	Prar.g_01179
OG0000016	Syai.g_00014	Prar.g_00025
OG0000017	Syai.g_00801, Syai.g_00808	Prar.g_01428
OG0000018	Syai.g_00915	Prar.g_01282
OG0000019	Syai.g_00304	Prar.g_00078, Prar.g_01663
OG0000020	Syai.g_00476	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Syai.g_00556	Prar.g_00425
OG0000022	Syai.g_01159	Prar.g_01300
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prar.g_00420
OG0000024	Syai.g_01951	Prar.g_01634, Prar.g_01505
OG0000025	Syai.g_02044	Prar.g_00256, Prar.g_01718
OG0000026	Syai.g_00038	Prar.g_00007, Prar.g_01919
OG0000027	Syai.g_01128, Syai.g_01654	Prar.g_00520
OG0000028	Syai.g_00205	Prar.g_00985, Prar.g_00267
OG0000029	Syai.g_01035, Syai.g_01584	Prar.g_00436
OG0000030	Syai.g_00096, Syai.g_00095	Prar.g_00662
OG0000031	Syai.g_00197	Prar.g_00879
OG0000034	Syai.g_02192, Syai.g_02604	Prar.g_00945
OG0000035	Syai.g_00955	Prar.g_00339
OG0000037	Syai.g_02544, Syai.g_02815	Prar.g_00219
OG0000038	Syai.g_02780	Prar.g_00702
OG0000039	Syai.g_02034	Prar.g_01516
OG0000040	Syai.g_02876	Prar.g_01283
OG0000041	Syai.g_02265, Syai.g_02016	Prar.g_00602
OG0000042	Syai.g_00099	Prar.g_00660
OG0000044	Syai.g_00833	Prar.g_01172
OG0000045	Syai.g_02432	Prar.g_00432
OG0000047	Syai.g_00462	Prar.g_00257, Prar.g_00468
OG0000048	Syai.g_00272	Prar.g_00435
OG0000050	Syai.g_01332	Prar.g_01940
OG0000053	Syai.g_00930	Prar.g_00589, Prar.g_00827
OG0000054	Syai.g_01040	Prar.g_01436
OG0000055	Syai.g_02029	Prar.g_01664
OG0000057	Syai.g_01997	Prar.g_01528
OG0000059	Syai.g_00351	Prar.g_01090
OG0000061	Syai.g_02144	Prar.g_01263
OG0000062	Syai.g_02358	Prar.g_00769
OG0000063	Syai.g_00042	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000066	Syai.g_01709, Syai.g_00719	Prar.g_01369
OG0000067	Syai.g_01321	Prar.g_01684
OG0000068	Syai.g_00628	Prar.g_00911
OG0000070	Syai.g_02196	Prar.g_00498
OG0000071	Syai.g_02179	Prar.g_00955
OG0000072	Syai.g_02636	Prar.g_00156
OG0000073	Syai.g_00659	Prar.g_01330
OG0000075	Syai.g_00161	Prar.g_00629
OG0000076	Syai.g_00111	Prar.g_00592, Prar.g_00653
OG0000077	Syai.g_02486	Prar.g_00250
OG0000078	Syai.g_00543	Prar.g_00088
OG0000081	Syai.g_00553, Syai.g_02292	Prar.g_01361
OG0000082	Syai.g_00781	Prar.g_01414
OG0000084	Syai.g_01196, Syai.g_00958	Prar.g_00343
OG0000085	Syai.g_02365	Prar.g_01150
OG0000086	Syai.g_02507	Prar.g_00240
OG0000087	Syai.g_02592	Prar.g_00189
OG0000088	Syai.g_02630	Prar.g_00161
OG0000089	Syai.g_00517	Prar.g_00416
OG0000090	Syai.g_00707	Prar.g_01363
OG0000091	Syai.g_01112	Prar.g_01472
OG0000092	Syai.g_01358	Prar.g_01781, Prar.g_00615
OG0000093	Syai.g_01306	Prar.g_01801
OG0000094	Syai.g_01424	Prar.g_01885
OG0000095	Syai.g_02007	Prar.g_01904
OG0000097	Syai.g_01787	Prar.g_01222
OG0000098	Syai.g_01718	Prar.g_00929
OG0000099	Syai.g_00199	Prar.g_00872
OG0000100	Syai.g_01372	Prar.g_00773
OG0000101	Syai.g_00404	Prar.g_01027
OG0000102	Syai.g_00106	Prar.g_00658
OG0000103	Syai.g_02912	Prar.g_00050
OG0000104	Syai.g_02929	Prar.g_00042
OG0000105	Syai.g_00267	Prar.g_00313
OG0000106	Syai.g_01601	Prar.g_00431
