Orthogroup	Syai	Syag
OG0000001	Syai.g_01197, Syai.g_02594	Syag.g_01942
OG0000001	Syai.g_02595	Syag.g_01943
OG0000001	Syai.g_01729	Syag.g_00520
OG0000004	Syai.g_01994	Syag.g_00988
OG0000004	Syai.g_01062	Syag.g_00370
OG0000004	Syai.g_00530	Syag.g_01790
OG0000005	Syai.g_02393	Syag.g_01708
OG0000005	Syai.g_02356	Syag.g_01667
OG0000006	Syai.g_01126	Syag.g_00435
OG0000006	Syai.g_00317, Syai.g_00547	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syai.g_00657	Syag.g_01507
OG0000007	Syai.g_02378	Syag.g_01687
OG0000008	Syai.g_01956	Syag.g_00496
OG0000008	Syai.g_01955	Syag.g_01017
OG0000009	Syai.g_01626	Syag.g_00220, Syag.g_00231
OG0000009	Syai.g_02541	Syag.g_01883
OG0000010	Syai.g_00864	Syag.g_01355
OG0000011	Syai.g_01952	Syag.g_01299
OG0000012	Syai.g_01068	Syag.g_00377
OG0000012	Syai.g_01529, Syai.g_01650	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syai.g_00442	Syag.g_02811
OG0000013	Syai.g_00450	Syag.g_02820
OG0000013	Syai.g_00436	Syag.g_02806
OG0000014	Syai.g_00220	Syag.g_02559
OG0000015	Syai.g_01246, Syai.g_01245	Syag.g_00596
OG0000016	Syai.g_00014	Syag.g_02286
OG0000016	Syai.g_01785	Syag.g_01066
OG0000017	Syai.g_00801	Syag.g_00336
OG0000017	Syai.g_00808	Syag.g_00344
OG0000018	Syai.g_00915	Syag.g_01387
OG0000019	Syai.g_00304	Syag.g_02663
OG0000020	Syai.g_00476	Syag.g_00085
OG0000021	Syai.g_00556	Syag.g_00229
OG0000022	Syai.g_01159	Syag.g_00458
OG0000023	Syai.g_02318	Syag.g_00261, Syag.g_00234
OG0000024	Syai.g_01951	Syag.g_00455
OG0000025	Syai.g_02044	Syag.g_00718
OG0000026	Syai.g_00038	Syag.g_02309
OG0000027	Syai.g_01128	Syag.g_00950
OG0000027	Syai.g_01654	Syag.g_00165
OG0000028	Syai.g_00205	Syag.g_02540
OG0000029	Syai.g_01035, Syai.g_01584	Syag.g_00195
OG0000030	Syai.g_00096	Syag.g_02375
OG0000030	Syai.g_00095	Syag.g_02374
OG0000031	Syai.g_00197	Syag.g_02510
