Orthogroup	Syai	Prak
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prak.g_01302
OG0000002	Syai.g_01728	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Syai.g_01994	Prak.g_00826
OG0000004	Syai.g_01062, Syai.g_00530	Prak.g_00248
OG0000005	Syai.g_02356	Prak.g_01474
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prak.g_00258
OG0000007	Syai.g_00657	Prak.g_00458
OG0000007	Syai.g_02378	Prak.g_01645
OG0000008	Syai.g_01956	Prak.g_01544
OG0000008	Syai.g_01955	Prak.g_01545, Prak.g_01546
OG0000009	Syai.g_01626	Prak.g_01486
OG0000010	Syai.g_00864	Prak.g_00739, Prak.g_01034
OG0000012	Syai.g_01068	Prak.g_00584
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prak.g_00343
OG0000014	Syai.g_00220	Prak.g_00325
OG0000015	Syai.g_01246, Syai.g_01245	Prak.g_01584, Prak.g_01630
OG0000016	Syai.g_00014	Prak.g_00013
OG0000016	Syai.g_01785, Syai.g_01632	Prak.g_01230
OG0000017	Syai.g_00801	Prak.g_00559
OG0000017	Syai.g_00808	Prak.g_00566
OG0000018	Syai.g_00915	Prak.g_01194
OG0000019	Syai.g_00304	Prak.g_00266, Prak.g_01196
OG0000020	Syai.g_00476	Prak.g_01498, Prak.g_01527
OG0000021	Syai.g_00556	Prak.g_01499, Prak.g_00831
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prak.g_00721
OG0000024	Syai.g_01951	Prak.g_01038, Prak.g_00802
OG0000025	Syai.g_02044	Prak.g_00881
OG0000026	Syai.g_00038	Prak.g_00032
OG0000027	Syai.g_01128, Syai.g_01654	Prak.g_01521, Prak.g_01564
OG0000028	Syai.g_00205	Prak.g_01543
OG0000029	Syai.g_01035, Syai.g_01584	Prak.g_01534, Prak.g_01576, Prak.g_01735
OG0000030	Syai.g_00096, Syai.g_00095	Prak.g_01853
OG0000031	Syai.g_00197	Prak.g_01350
OG0000032	Syai.g_00895	Prak.g_01430
OG0000033	Syai.g_02634	Prak.g_01357
OG0000034	Syai.g_02192, Syai.g_02604	Prak.g_01288
OG0000035	Syai.g_00955	Prak.g_01391
OG0000037	Syai.g_02544, Syai.g_02815	Prak.g_00115
OG0000038	Syai.g_02780	Prak.g_01893
OG0000039	Syai.g_02034	Prak.g_00814
OG0000041	Syai.g_02265, Syai.g_02016	Prak.g_01692
OG0000042	Syai.g_00099	Prak.g_01850
OG0000043	Syai.g_01599	Prak.g_01193
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prak.g_00344
OG0000047	Syai.g_00462	Prak.g_00385
OG0000048	Syai.g_00272	Prak.g_01264
OG0000052	Syai.g_00176	Prak.g_00058
OG0000053	Syai.g_00930	Prak.g_01412, Prak.g_01590
OG0000054	Syai.g_01040	Prak.g_00568
OG0000057	Syai.g_01997	Prak.g_00829
