Orthogroup	Syai	Pran
OG0000002	Syai.g_01728	Pran.g_01500
OG0000004	Syai.g_01994	Pran.g_01483
OG0000004	Syai.g_01062, Syai.g_00530	Pran.g_00200
OG0000005	Syai.g_02393	Pran.g_00983
OG0000005	Syai.g_02356	Pran.g_00657
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Pran.g_01951
OG0000007	Syai.g_00657	Pran.g_01681
OG0000007	Syai.g_02378	Pran.g_00970
OG0000009	Syai.g_01626	Pran.g_00615
OG0000009	Syai.g_02541	Pran.g_00328
OG0000010	Syai.g_00864	Pran.g_00175
OG0000011	Syai.g_01894, Syai.g_00582	Pran.g_00925
OG0000011	Syai.g_01952	Pran.g_01384
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Pran.g_01555
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Pran.g_01867
OG0000014	Syai.g_00220	Pran.g_01888
OG0000015	Syai.g_01246, Syai.g_01245	Pran.g_01394
OG0000016	Syai.g_01632	Pran.g_00620
OG0000017	Syai.g_00801, Syai.g_00808	Pran.g_01580
OG0000018	Syai.g_00915	Pran.g_00078
OG0000019	Syai.g_00304	Pran.g_01943, Pran.g_01363
OG0000020	Syai.g_00476	Pran.g_00117, Pran.g_01804
OG0000021	Syai.g_00556	Pran.g_01829
OG0000022	Syai.g_01159	Pran.g_00097
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Pran.g_01834
OG0000024	Syai.g_01951	Pran.g_01420, Pran.g_01503
OG0000025	Syai.g_02044	Pran.g_01863, Pran.g_01309
OG0000026	Syai.g_00038	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syai.g_01128, Syai.g_01654	Pran.g_00583
OG0000028	Syai.g_00205	Pran.g_01874
OG0000029	Syai.g_01035, Syai.g_01584	Pran.g_01410
OG0000030	Syai.g_00096, Syai.g_00095	Pran.g_01170
OG0000031	Syai.g_00197	Pran.g_00753
OG0000033	Syai.g_02634	Pran.g_00800
OG0000034	Syai.g_02192, Syai.g_02604	Pran.g_00866
OG0000035	Syai.g_00955	Pran.g_00733
OG0000037	Syai.g_02544, Syai.g_02815	Pran.g_00324
OG0000038	Syai.g_02780	Pran.g_01210
OG0000039	Syai.g_02034	Pran.g_01492
OG0000040	Syai.g_02876	Pran.g_00079
OG0000041	Syai.g_02265, Syai.g_02016	Pran.g_01016
OG0000042	Syai.g_00099	Pran.g_01167
OG0000044	Syai.g_00833	Pran.g_00949
OG0000045	Syai.g_02432	Pran.g_01823
OG0000047	Syai.g_00462	Pran.g_01864
OG0000048	Syai.g_00272	Pran.g_01772, Pran.g_01820
OG0000050	Syai.g_01893	Pran.g_01789, Pran.g_00936, Pran.g_00946
OG0000050	Syai.g_01332	Pran.g_00149
OG0000051	Syai.g_01773	Pran.g_00898
OG0000053	Syai.g_00930	Pran.g_00713
OG0000054	Syai.g_01040	Pran.g_01572
OG0000055	Syai.g_02029	Pran.g_01362
OG0000057	Syai.g_01997	Pran.g_01480
OG0000059	Syai.g_00351	Pran.g_01056
OG0000060	Syai.g_00635, Syai.g_01758	Pran.g_01399
OG0000061	Syai.g_02144	Pran.g_00060
OG0000062	Syai.g_02358	Pran.g_00655
OG0000063	Syai.g_00042	Pran.g_00391
OG0000066	Syai.g_01709, Syai.g_00719	Pran.g_01639
OG0000067	Syai.g_01321	Pran.g_01343
OG0000068	Syai.g_00628	Pran.g_00841
OG0000070	Syai.g_02196	Pran.g_01727
OG0000071	Syai.g_02179	Pran.g_00938, Pran.g_00876
OG0000072	Syai.g_02636	Pran.g_00261
OG0000073	Syai.g_00659	Pran.g_01679
OG0000075	Syai.g_00161	Pran.g_01137
OG0000076	Syai.g_00111	Pran.g_01160
OG0000077	Syai.g_02486	Pran.g_00354
OG0000078	Syai.g_00543	Pran.g_00194
OG0000079	Syai.g_00300	Pran.g_01940
OG0000081	Syai.g_00553, Syai.g_02292	Pran.g_01647
OG0000082	Syai.g_00781	Pran.g_01593
OG0000084	Syai.g_01196, Syai.g_00958	Pran.g_00737
OG0000085	Syai.g_02365	Pran.g_00963
OG0000086	Syai.g_02507	Pran.g_00344
OG0000087	Syai.g_02592	Pran.g_00295
OG0000088	Syai.g_02630	Pran.g_00266
OG0000089	Syai.g_00517	Pran.g_01839
OG0000090	Syai.g_00707	Pran.g_01645
OG0000091	Syai.g_01112	Pran.g_01536
OG0000092	Syai.g_01358	Pran.g_00434
OG0000093	Syai.g_01306	Pran.g_00455
OG0000094	Syai.g_01424	Pran.g_00549
OG0000095	Syai.g_02007	Pran.g_00903
OG0000097	Syai.g_01787	Pran.g_00019
OG0000098	Syai.g_01718	Pran.g_00855
OG0000099	Syai.g_00199	Pran.g_00806
OG0000100	Syai.g_01372	Pran.g_00659
OG0000101	Syai.g_00404	Pran.g_01105
OG0000102	Syai.g_00106	Pran.g_01165
OG0000103	Syai.g_02912	Pran.g_01244
OG0000104	Syai.g_02929	Pran.g_01253
OG0000105	Syai.g_00267	Pran.g_01920
OG0000106	Syai.g_01601	Pran.g_01824
OG0000107	Syai.g_00319	Pran.g_01808
OG0000108	Syai.g_00638	Pran.g_01698
OG0000109	Syai.g_00653	Pran.g_01684
OG0000110	Syai.g_00878, Syai.g_00766	Pran.g_01603
OG0000111	Syai.g_00884, Syai.g_01998	Pran.g_01479
OG0000112	Syai.g_01512	Pran.g_01378
OG0000113	Syai.g_01367	Pran.g_01321
OG0000114	Syai.g_01261	Pran.g_00429
OG0000115	Syai.g_00932	Pran.g_00123
OG0000116	Syai.g_02156	Pran.g_00070
OG0000117	Syai.g_01756	Pran.g_01466
OG0000118	Syai.g_00818	Pran.g_00864
OG0000119	Syai.g_02127	Pran.g_00845
OG0000120	Syai.g_00198	Pran.g_00752
OG0000121	Syai.g_00951	Pran.g_00731
OG0000122	Syai.g_01143	Pran.g_00693
OG0000123	Syai.g_00411	Pran.g_01112
OG0000124	Syai.g_00089	Pran.g_01176
OG0000125	Syai.g_02782	Pran.g_01212
OG0000126	Syai.g_02927	Pran.g_01252
OG0000128	Syai.g_00012	Pran.g_01268
OG0000129	Syai.g_02771	Pran.g_00381
OG0000130	Syai.g_02474	Pran.g_00363
OG0000131	Syai.g_02608	Pran.g_00288
OG0000132	Syai.g_02628	Pran.g_00268
OG0000133	Syai.g_01507	Pran.g_01872
OG0000134	Syai.g_00520	Pran.g_01838
OG0000135	Syai.g_02826	Pran.g_01812
OG0000136	Syai.g_02217	Pran.g_01739
OG0000137	Syai.g_00865	Pran.g_01703
OG0000138	Syai.g_00654	Pran.g_01683
OG0000139	Syai.g_00714	Pran.g_01641
OG0000140	Syai.g_00716	Pran.g_01640
OG0000141	Syai.g_01041	Pran.g_01571
OG0000142	Syai.g_01104	Pran.g_01543
OG0000143	Syai.g_01108	Pran.g_01539
OG0000144	Syai.g_01608	Pran.g_01526
OG0000145	Syai.g_00660	Pran.g_01400
OG0000146	Syai.g_01513	Pran.g_01377
OG0000147	Syai.g_01514	Pran.g_01376
OG0000148	Syai.g_01361	Pran.g_01327
OG0000149	Syai.g_02059	Pran.g_01297
OG0000150	Syai.g_00717	Pran.g_01289
OG0000151	Syai.g_01280	Pran.g_00439
OG0000152	Syai.g_01503	Pran.g_00487
OG0000153	Syai.g_01461	Pran.g_00506
OG0000154	Syai.g_01434	Pran.g_00542
OG0000155	Syai.g_02109	Pran.g_00040
OG0000156	Syai.g_02162	Pran.g_00887
OG0000157	Syai.g_02163	Pran.g_00886
OG0000158	Syai.g_00135	Pran.g_00822
OG0000160	Syai.g_00952	Pran.g_00732
OG0000161	Syai.g_00946	Pran.g_00726
OG0000162	Syai.g_00939	Pran.g_00720
OG0000163	Syai.g_02300	Pran.g_00686
OG0000164	Syai.g_02411	Pran.g_00994
OG0000165	Syai.g_02244	Pran.g_01001
OG0000166	Syai.g_00364	Pran.g_01069, Pran.g_01068
OG0000167	Syai.g_00164	Pran.g_01135
OG0000168	Syai.g_00134	Pran.g_01144
OG0000169	Syai.g_00123	Pran.g_01154
OG0000170	Syai.g_00116	Pran.g_01156
OG0000171	Syai.g_00090	Pran.g_01175
OG0000172	Syai.g_00083	Pran.g_01184
OG0000173	Syai.g_00064	Pran.g_01199
OG0000174	Syai.g_02828	Pran.g_01226
OG0000175	Syai.g_02901	Pran.g_01236
OG0000176	Syai.g_00004	Pran.g_01261
OG0000177	Syai.g_00005	Pran.g_01262
OG0000178	Syai.g_00006	Pran.g_01263
OG0000179	Syai.g_00023	Pran.g_00408
OG0000180	Syai.g_00024	Pran.g_00407
OG0000181	Syai.g_00025	Pran.g_00406
OG0000182	Syai.g_00026	Pran.g_00405
OG0000183	Syai.g_00030	Pran.g_00401
OG0000184	Syai.g_02756	Pran.g_00379
OG0000185	Syai.g_02734	Pran.g_00376
OG0000186	Syai.g_02469	Pran.g_00368
OG0000187	Syai.g_02471	Pran.g_00367
OG0000188	Syai.g_00696, Syai.g_02494	Pran.g_00350
OG0000189	Syai.g_02530	Pran.g_00337
OG0000190	Syai.g_02532	Pran.g_00336
OG0000191	Syai.g_02562	Pran.g_00316
OG0000192	Syai.g_02569	Pran.g_00312
OG0000193	Syai.g_02609	Pran.g_00287
OG0000194	Syai.g_02612	Pran.g_00283
OG0000195	Syai.g_02614	Pran.g_00281
OG0000196	Syai.g_02625	Pran.g_00271
OG0000197	Syai.g_02626	Pran.g_00270
OG0000198	Syai.g_02627	Pran.g_00269
OG0000199	Syai.g_02635	Pran.g_00262
OG0000200	Syai.g_02651	Pran.g_00248
OG0000201	Syai.g_02667	Pran.g_00240
OG0000202	Syai.g_02668	Pran.g_00239
OG0000203	Syai.g_02669	Pran.g_00238
OG0000204	Syai.g_02670	Pran.g_00237
OG0000205	Syai.g_02677	Pran.g_00230
OG0000206	Syai.g_02684	Pran.g_00225
OG0000207	Syai.g_02686	Pran.g_00223
OG0000208	Syai.g_02687	Pran.g_00222
OG0000209	Syai.g_02699	Pran.g_00213
OG0000210	Syai.g_02700	Pran.g_00212
OG0000211	Syai.g_00533	Pran.g_00199
OG0000212	Syai.g_00544	Pran.g_00193
OG0000213	Syai.g_00292	Pran.g_01935
OG0000214	Syai.g_00276	Pran.g_01926
OG0000215	Syai.g_00245	Pran.g_01902
OG0000216	Syai.g_00241	Pran.g_01900
OG0000217	Syai.g_00237	Pran.g_01897
OG0000218	Syai.g_00235	Pran.g_01895
OG0000219	Syai.g_00234	Pran.g_01894
OG0000220	Syai.g_00233	Pran.g_01893
OG0000221	Syai.g_00227	Pran.g_01892
OG0000222	Syai.g_00215	Pran.g_01884
OG0000223	Syai.g_00194	Pran.g_01871
OG0000224	Syai.g_00186	Pran.g_01869
OG0000225	Syai.g_00502	Pran.g_01849
OG0000226	Syai.g_00506	Pran.g_01845
OG0000227	Syai.g_00508	Pran.g_01843
OG0000228	Syai.g_00516	Pran.g_01840
OG0000229	Syai.g_02228	Pran.g_01744
OG0000230	Syai.g_02226	Pran.g_01742
OG0000231	Syai.g_02208	Pran.g_01728
OG0000232	Syai.g_00846	Pran.g_01720
OG0000233	Syai.g_00855	Pran.g_01715
OG0000234	Syai.g_00866	Pran.g_01702
OG0000235	Syai.g_00637	Pran.g_01699
OG0000236	Syai.g_00652	Pran.g_01685
OG0000237	Syai.g_00669	Pran.g_01672
OG0000238	Syai.g_00674	Pran.g_01666
OG0000239	Syai.g_00691	Pran.g_01653
OG0000240	Syai.g_00692	Pran.g_01652
OG0000241	Syai.g_01085, Syai.g_01089	Pran.g_01648
OG0000242	Syai.g_00705	Pran.g_01646
OG0000243	Syai.g_00726	Pran.g_01635
OG0000244	Syai.g_00731	Pran.g_01632
OG0000245	Syai.g_00733	Pran.g_01630
OG0000246	Syai.g_00737	Pran.g_01626
OG0000247	Syai.g_00748	Pran.g_01616
OG0000248	Syai.g_00751	Pran.g_01613
OG0000249	Syai.g_00753	Pran.g_01611
OG0000250	Syai.g_00762	Pran.g_01606
OG0000251	Syai.g_00789	Pran.g_01587
OG0000252	Syai.g_00797	Pran.g_01584
OG0000253	Syai.g_00798	Pran.g_01583
OG0000254	Syai.g_01045	Pran.g_01567
OG0000255	Syai.g_01061	Pran.g_01561
OG0000256	Syai.g_01077	Pran.g_01551
OG0000257	Syai.g_01084	Pran.g_01548
OG0000258	Syai.g_01113	Pran.g_01535
OG0000259	Syai.g_01229	Pran.g_01518
OG0000260	Syai.g_01232	Pran.g_01515
OG0000261	Syai.g_01235	Pran.g_01513
OG0000262	Syai.g_01240	Pran.g_01509
OG0000263	Syai.g_01776	Pran.g_01497
OG0000264	Syai.g_01962	Pran.g_01487
OG0000265	Syai.g_02245	Pran.g_01460
OG0000266	Syai.g_01401	Pran.g_01450
OG0000267	Syai.g_01569	Pran.g_01439
OG0000268	Syai.g_01568	Pran.g_01438
OG0000269	Syai.g_01316	Pran.g_01348
OG0000270	Syai.g_01319	Pran.g_01345
OG0000271	Syai.g_01327	Pran.g_01337
OG0000272	Syai.g_01328	Pran.g_01336
OG0000273	Syai.g_02037	Pran.g_01313
OG0000274	Syai.g_02038	Pran.g_01312
OG0000275	Syai.g_02043	Pran.g_01310
OG0000276	Syai.g_02051	Pran.g_01305
OG0000277	Syai.g_02052	Pran.g_01304
OG0000278	Syai.g_02055	Pran.g_01301
