Orthogroup	Syai	Prav
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prav.g_01458
OG0000002	Syai.g_01728	Prav.g_01466, Prav.g_01276
OG0000004	Syai.g_01994	Prav.g_01293
OG0000004	Syai.g_01062, Syai.g_00530	Prav.g_00806
OG0000005	Syai.g_02393	Prav.g_01774
OG0000005	Syai.g_02356	Prav.g_01654
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prav.g_02001
OG0000007	Syai.g_00657	Prav.g_01095
OG0000007	Syai.g_02378	Prav.g_01761
OG0000008	Syai.g_01956	Prav.g_01749
OG0000008	Syai.g_01955	Prav.g_01750
OG0000009	Syai.g_01626	Prav.g_01688
OG0000009	Syai.g_02541	Prav.g_00170
OG0000010	Syai.g_00864	Prav.g_00218
OG0000011	Syai.g_01894, Syai.g_00582	Prav.g_01014, Prav.g_01407
OG0000011	Syai.g_01952	Prav.g_01334
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Prav.g_01221
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prav.g_01973
OG0000014	Syai.g_00220	Prav.g_01952
OG0000015	Syai.g_01246, Syai.g_01245	Prav.g_00363, Prav.g_00961
OG0000016	Syai.g_00014	Prav.g_00081
OG0000016	Syai.g_01632	Prav.g_01385
OG0000017	Syai.g_00801, Syai.g_00808	Prav.g_01194
OG0000018	Syai.g_00915	Prav.g_00046
OG0000019	Syai.g_00304	Prav.g_01896, Prav.g_00375
OG0000020	Syai.g_00476	Prav.g_00014, Prav.g_01386
OG0000021	Syai.g_00556	Prav.g_00984
OG0000022	Syai.g_01159	Prav.g_00029
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prav.g_00979
OG0000024	Syai.g_01951	Prav.g_00343, Prav.g_01273
OG0000025	Syai.g_02044	Prav.g_01977, Prav.g_00431
OG0000026	Syai.g_00038	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syai.g_01128, Syai.g_01654	Prav.g_01068, Prav.g_01416
OG0000028	Syai.g_00205	Prav.g_01885, Prav.g_01966
OG0000029	Syai.g_01035, Syai.g_01584	Prav.g_00350
OG0000030	Syai.g_00096, Syai.g_00095	Prav.g_00699
OG0000034	Syai.g_02192, Syai.g_02604	Prav.g_01448
OG0000035	Syai.g_00955	Prav.g_01578
OG0000037	Syai.g_02544, Syai.g_02815	Prav.g_00174
OG0000038	Syai.g_02780	Prav.g_00739
OG0000039	Syai.g_02034	Prav.g_01284
OG0000040	Syai.g_02876	Prav.g_00045
OG0000041	Syai.g_02265, Syai.g_02016	Prav.g_01808
OG0000042	Syai.g_00099	Prav.g_00696
OG0000045	Syai.g_02432	Prav.g_00990
OG0000047	Syai.g_00462	Prav.g_01976
OG0000048	Syai.g_00272	Prav.g_00993
OG0000050	Syai.g_01893	Prav.g_01013
OG0000050	Syai.g_01332	Prav.g_00247
OG0000051	Syai.g_01773	Prav.g_01410
OG0000053	Syai.g_00930	Prav.g_01598
OG0000054	Syai.g_01040	Prav.g_01202
OG0000055	Syai.g_02029	Prav.g_00376
OG0000057	Syai.g_01997	Prav.g_01296
OG0000059	Syai.g_00351	Prav.g_00292
OG0000060	Syai.g_00635, Syai.g_01758	Prav.g_00964
OG0000061	Syai.g_02144	Prav.g_00065
OG0000062	Syai.g_02358	Prav.g_01656
OG0000063	Syai.g_00042	Prav.g_00101
OG0000066	Syai.g_01709, Syai.g_00719	Prav.g_01137
OG0000067	Syai.g_01321	Prav.g_00397
OG0000068	Syai.g_00628	Prav.g_01473
OG0000070	Syai.g_02196	Prav.g_01049
OG0000071	Syai.g_02179	Prav.g_01438
OG0000072	Syai.g_02636	Prav.g_00867
OG0000073	Syai.g_00659	Prav.g_01097
OG0000075	Syai.g_00161	Prav.g_00665
OG0000076	Syai.g_00111	Prav.g_00689
OG0000077	Syai.g_02486	Prav.g_00143
OG0000078	Syai.g_00543	Prav.g_00799
OG0000079	Syai.g_00300	Prav.g_01899
OG0000081	Syai.g_00553, Syai.g_02292	Prav.g_01129
OG0000082	Syai.g_00781	Prav.g_01182
OG0000084	Syai.g_01196, Syai.g_00958	Prav.g_01574
OG0000085	Syai.g_02365	Prav.g_01754
OG0000086	Syai.g_02507	Prav.g_00153
OG0000087	Syai.g_02592	Prav.g_00204
OG0000088	Syai.g_02630	Prav.g_00872
OG0000089	Syai.g_00517	Prav.g_00975
OG0000090	Syai.g_00707	Prav.g_01131
OG0000091	Syai.g_01112	Prav.g_01240
OG0000092	Syai.g_01358	Prav.g_00504, Prav.g_01735
OG0000093	Syai.g_01306	Prav.g_00525
OG0000094	Syai.g_01424	Prav.g_00914
OG0000095	Syai.g_02007	Prav.g_00933
OG0000097	Syai.g_01787	Prav.g_01840
OG0000098	Syai.g_01718	Prav.g_01455
OG0000099	Syai.g_00199	Prav.g_01514
OG0000100	Syai.g_01372	Prav.g_01652
OG0000101	Syai.g_00404	Prav.g_00632
OG0000102	Syai.g_00106	Prav.g_00694
OG0000103	Syai.g_02912	Prav.g_00773
OG0000104	Syai.g_02929	Prav.g_00782
OG0000105	Syai.g_00267	Prav.g_01920
OG0000106	Syai.g_01601	Prav.g_00989
OG0000107	Syai.g_00319	Prav.g_01001
OG0000108	Syai.g_00638	Prav.g_01078
OG0000109	Syai.g_00653	Prav.g_01092
OG0000110	Syai.g_00878, Syai.g_00766	Prav.g_01172
OG0000111	Syai.g_00884, Syai.g_01998	Prav.g_01297
OG0000112	Syai.g_01512	Prav.g_00364
OG0000113	Syai.g_01367	Prav.g_00419
OG0000114	Syai.g_01261	Prav.g_00499
OG0000115	Syai.g_00932	Prav.g_00010
OG0000116	Syai.g_02156	Prav.g_00055
OG0000117	Syai.g_01756	Prav.g_01390
OG0000118	Syai.g_00818	Prav.g_01450
OG0000119	Syai.g_02127	Prav.g_01469
OG0000120	Syai.g_00198	Prav.g_01513
OG0000121	Syai.g_00951	Prav.g_01580
OG0000122	Syai.g_01143	Prav.g_01618
OG0000123	Syai.g_00411	Prav.g_00639
OG0000124	Syai.g_00089	Prav.g_00705
OG0000125	Syai.g_02782	Prav.g_00741
OG0000126	Syai.g_02927	Prav.g_00781
OG0000128	Syai.g_00012	Prav.g_00079
OG0000129	Syai.g_02771	Prav.g_00115
OG0000130	Syai.g_02474	Prav.g_00134
OG0000131	Syai.g_02608	Prav.g_00212
OG0000132	Syai.g_02628	Prav.g_00874
OG0000133	Syai.g_01507	Prav.g_01968
OG0000134	Syai.g_00520	Prav.g_00976
OG0000135	Syai.g_02826	Prav.g_00999
OG0000136	Syai.g_02217	Prav.g_01040
OG0000137	Syai.g_00865	Prav.g_01073
OG0000138	Syai.g_00654	Prav.g_01093
OG0000139	Syai.g_00714	Prav.g_01135
OG0000140	Syai.g_00716	Prav.g_01136
OG0000141	Syai.g_01041	Prav.g_01203
OG0000142	Syai.g_01104	Prav.g_01233
OG0000143	Syai.g_01108	Prav.g_01237
OG0000144	Syai.g_01608	Prav.g_01250
OG0000145	Syai.g_00660	Prav.g_00362
OG0000146	Syai.g_01513	Prav.g_00365
OG0000147	Syai.g_01514	Prav.g_00366
OG0000148	Syai.g_01361	Prav.g_00413
OG0000149	Syai.g_02059	Prav.g_00443
OG0000150	Syai.g_00717	Prav.g_00451
OG0000151	Syai.g_01280	Prav.g_00509
OG0000152	Syai.g_01503	Prav.g_00556
OG0000153	Syai.g_01461	Prav.g_00575
OG0000154	Syai.g_01434	Prav.g_00907
OG0000155	Syai.g_02109	Prav.g_01861
OG0000156	Syai.g_02162	Prav.g_01427
OG0000157	Syai.g_02163	Prav.g_01428
OG0000158	Syai.g_00135	Prav.g_01505
OG0000160	Syai.g_00952	Prav.g_01579
OG0000161	Syai.g_00946	Prav.g_01585
OG0000162	Syai.g_00939	Prav.g_01591
OG0000163	Syai.g_02300	Prav.g_01625
OG0000164	Syai.g_02411	Prav.g_01785
OG0000165	Syai.g_02244	Prav.g_01792
OG0000166	Syai.g_00364	Prav.g_00596
OG0000167	Syai.g_00164	Prav.g_00663
OG0000168	Syai.g_00134	Prav.g_00673
OG0000169	Syai.g_00123	Prav.g_00683
OG0000170	Syai.g_00116	Prav.g_00685
OG0000171	Syai.g_00090	Prav.g_00704
OG0000172	Syai.g_00083	Prav.g_00712
OG0000173	Syai.g_00064	Prav.g_00727
OG0000174	Syai.g_02828	Prav.g_00755
OG0000175	Syai.g_02901	Prav.g_00765
OG0000176	Syai.g_00004	Prav.g_00790
OG0000177	Syai.g_00005	Prav.g_00791
OG0000178	Syai.g_00006	Prav.g_00792
OG0000179	Syai.g_00023	Prav.g_00084
OG0000180	Syai.g_00024	Prav.g_00085
OG0000181	Syai.g_00025	Prav.g_00086
OG0000182	Syai.g_00026	Prav.g_00087
OG0000183	Syai.g_00030	Prav.g_00091
OG0000184	Syai.g_02756	Prav.g_00117
OG0000185	Syai.g_02734	Prav.g_00120
OG0000186	Syai.g_02469	Prav.g_00129
OG0000187	Syai.g_02471	Prav.g_00130
OG0000188	Syai.g_00696, Syai.g_02494	Prav.g_00147
OG0000189	Syai.g_02530	Prav.g_00161
OG0000190	Syai.g_02532	Prav.g_00162
OG0000191	Syai.g_02562	Prav.g_00182
OG0000192	Syai.g_02569	Prav.g_00186
OG0000193	Syai.g_02609	Prav.g_00213
OG0000194	Syai.g_02612	Prav.g_00216
OG0000195	Syai.g_02614	Prav.g_00887
OG0000196	Syai.g_02625	Prav.g_00877
OG0000197	Syai.g_02626	Prav.g_00876
OG0000198	Syai.g_02627	Prav.g_00875
OG0000199	Syai.g_02635	Prav.g_00868
OG0000200	Syai.g_02651	Prav.g_00854
OG0000201	Syai.g_02667	Prav.g_00846
OG0000202	Syai.g_02668	Prav.g_00845
OG0000203	Syai.g_02669	Prav.g_00844
OG0000204	Syai.g_02670	Prav.g_00843
OG0000205	Syai.g_02677	Prav.g_00836
OG0000206	Syai.g_02684	Prav.g_00831
OG0000207	Syai.g_02686	Prav.g_00829
OG0000208	Syai.g_02687	Prav.g_00828
OG0000209	Syai.g_02699	Prav.g_00819
OG0000210	Syai.g_02700	Prav.g_00818
OG0000211	Syai.g_00533	Prav.g_00805
OG0000212	Syai.g_00544	Prav.g_00798
OG0000213	Syai.g_00292	Prav.g_01904
OG0000214	Syai.g_00276	Prav.g_01914
OG0000215	Syai.g_00245	Prav.g_01938
OG0000216	Syai.g_00241	Prav.g_01940
OG0000217	Syai.g_00237	Prav.g_01943
OG0000218	Syai.g_00235	Prav.g_01945
OG0000219	Syai.g_00234	Prav.g_01946
OG0000220	Syai.g_00233	Prav.g_01947
OG0000221	Syai.g_00227	Prav.g_01948
OG0000222	Syai.g_00215	Prav.g_01956
OG0000223	Syai.g_00194	Prav.g_01969
OG0000224	Syai.g_00186	Prav.g_01971
OG0000225	Syai.g_00502	Prav.g_01992
OG0000226	Syai.g_00506	Prav.g_01996
OG0000227	Syai.g_00508	Prav.g_01998
OG0000228	Syai.g_00516	Prav.g_00974
OG0000229	Syai.g_02228	Prav.g_01035
OG0000230	Syai.g_02226	Prav.g_01037
OG0000231	Syai.g_02208	Prav.g_01048
OG0000232	Syai.g_00846	Prav.g_01056
OG0000233	Syai.g_00855	Prav.g_01061
OG0000234	Syai.g_00866	Prav.g_01074
OG0000235	Syai.g_00637	Prav.g_01077
OG0000236	Syai.g_00652	Prav.g_01091
OG0000237	Syai.g_00669	Prav.g_01104
OG0000238	Syai.g_00674	Prav.g_01110
OG0000239	Syai.g_00691	Prav.g_01123
OG0000240	Syai.g_00692	Prav.g_01124
OG0000241	Syai.g_01085, Syai.g_01089	Prav.g_01128
OG0000242	Syai.g_00705	Prav.g_01130
