Orthogroup	Syai	Syao
OG0000001	Syai.g_01197, Syai.g_02594	Syao.g_00314
OG0000001	Syai.g_00891, Syai.g_02595	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syai.g_01994	Syao.g_02374
OG0000004	Syai.g_01062	Syao.g_01007
OG0000005	Syai.g_02393	Syao.g_01680
OG0000005	Syai.g_02356	Syao.g_01578
OG0000005	Syai.g_02068, Syai.g_01611	Syao.g_01210
OG0000006	Syai.g_01126	Syao.g_00919
OG0000007	Syai.g_00657	Syao.g_00105
OG0000007	Syai.g_02378	Syao.g_01554
OG0000008	Syai.g_01955	Syao.g_01321
OG0000009	Syai.g_02541	Syao.g_02598
OG0000010	Syai.g_00864	Syao.g_02683
OG0000011	Syai.g_01952	Syao.g_01282
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Syai.g_00442	Syao.g_01910
OG0000013	Syai.g_00436	Syao.g_01844
OG0000014	Syai.g_00220	Syao.g_02027
OG0000015	Syai.g_01246, Syai.g_01245	Syao.g_00302
OG0000016	Syai.g_00014	Syao.g_01955
OG0000017	Syai.g_00808	Syao.g_01064
OG0000018	Syai.g_00915	Syao.g_00071
OG0000019	Syai.g_00304	Syao.g_02108
OG0000021	Syai.g_00556	Syao.g_01002
OG0000022	Syai.g_01159	Syao.g_01218
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Syao.g_01266
OG0000025	Syai.g_02044	Syao.g_00436, Syao.g_00437
OG0000026	Syai.g_00038	Syao.g_02234
OG0000027	Syai.g_01654	Syao.g_01286
OG0000028	Syai.g_00205	Syao.g_02012
OG0000030	Syai.g_00096	Syao.g_02189
OG0000030	Syai.g_00095	Syao.g_02188
OG0000031	Syai.g_00197	Syao.g_02008
OG0000032	Syai.g_00895	Syao.g_00090
OG0000033	Syai.g_02634	Syao.g_02507
OG0000035	Syai.g_00955	Syao.g_01483, Syao.g_01486
OG0000037	Syai.g_02544	Syao.g_00374
OG0000038	Syai.g_02780	Syao.g_02440
OG0000039	Syai.g_02034	Syao.g_00704
OG0000040	Syai.g_02876	Syao.g_00711
OG0000041	Syai.g_02016	Syao.g_01637
OG0000042	Syai.g_00099	Syao.g_00019, Syao.g_01941
OG0000045	Syai.g_02432	Syao.g_00148
OG0000046	Syai.g_00443	Syao.g_01909
OG0000046	Syai.g_00435	Syao.g_01845
OG0000047	Syai.g_00462	Syao.g_01899
OG0000048	Syai.g_00272	Syao.g_02077
OG0000052	Syai.g_00176	Syao.g_02520, Syao.g_01972
OG0000053	Syai.g_00930	Syao.g_00067
OG0000058	Syai.g_00195	Syao.g_01978
OG0000059	Syai.g_00351	Syao.g_01801
OG0000060	Syai.g_01758	Syao.g_00312
OG0000061	Syai.g_02144	Syao.g_00123
OG0000062	Syai.g_02358	Syao.g_01576
OG0000063	Syai.g_00042	Syao.g_02230
OG0000064	Syai.g_02350	Syao.g_01898
OG0000064	Syai.g_02844	Syao.g_01462, Syao.g_02605
OG0000066	Syai.g_01709, Syai.g_00719	Syao.g_01422
OG0000067	Syai.g_01321	Syao.g_00756
OG0000068	Syai.g_00628	Syao.g_00868, Syao.g_00036
OG0000070	Syai.g_02196	Syao.g_00330
OG0000071	Syai.g_02179	Syao.g_01433
OG0000072	Syai.g_02636	Syao.g_02509
OG0000073	Syai.g_00659	Syao.g_00103
OG0000075	Syai.g_00161	Syao.g_02257
OG0000076	Syai.g_00111	Syao.g_01949
OG0000077	Syai.g_02486	Syao.g_02629
OG0000078	Syai.g_00543	Syao.g_01709
OG0000079	Syai.g_00300	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syai.g_00781	Syao.g_01035
OG0000084	Syai.g_01196, Syai.g_00958	Syao.g_01509
OG0000085	Syai.g_02365	Syao.g_01569
OG0000086	Syai.g_02507	Syao.g_02653, Syao.g_01240
OG0000087	Syai.g_02592	Syao.g_02555
OG0000088	Syai.g_02630	Syao.g_02503
OG0000089	Syai.g_00517	Syao.g_01716
OG0000090	Syai.g_00707	Syao.g_01412
OG0000091	Syai.g_01112	Syao.g_00902
OG0000092	Syai.g_01358	Syao.g_00656
OG0000093	Syai.g_01306	Syao.g_00739
OG0000094	Syai.g_01424	Syao.g_00458
OG0000095	Syai.g_02007	Syao.g_00331
OG0000097	Syai.g_01787	Syao.g_00973
OG0000098	Syai.g_01718	Syao.g_01374
OG0000099	Syai.g_00199	Syao.g_02019
OG0000100	Syai.g_01372	Syao.g_00787
OG0000102	Syai.g_00106	Syao.g_01945
OG0000104	Syai.g_02929	Syao.g_02157
OG0000105	Syai.g_00267	Syao.g_02071, Syao.g_02072
OG0000106	Syai.g_01601	Syao.g_01385
OG0000107	Syai.g_00319	Syao.g_01935
OG0000108	Syai.g_00638	Syao.g_00028
OG0000110	Syai.g_00766	Syao.g_01051
OG0000112	Syai.g_01512	Syao.g_00683, Syao.g_00303
OG0000113	Syai.g_01367	Syao.g_00782
OG0000114	Syai.g_01261	Syao.g_00965
OG0000115	Syai.g_00932	Syao.g_01464, Syao.g_00065
OG0000116	Syai.g_02156	Syao.g_00137
OG0000117	Syai.g_01756	Syao.g_00169
OG0000118	Syai.g_00818	Syao.g_01475
OG0000120	Syai.g_00198	Syao.g_02009
OG0000121	Syai.g_00951	Syao.g_01489
OG0000122	Syai.g_01143	Syao.g_01247
OG0000123	Syai.g_00411	Syao.g_01832
OG0000124	Syai.g_00089	Syao.g_02179
OG0000125	Syai.g_02782	Syao.g_02444
OG0000126	Syai.g_02927	Syao.g_02198
OG0000127	Syai.g_02459	Syao.g_02375
OG0000128	Syai.g_00012	Syao.g_02149
OG0000129	Syai.g_02771	Syao.g_02434
OG0000130	Syai.g_02474	Syao.g_02617
OG0000131	Syai.g_02608	Syao.g_02480
OG0000132	Syai.g_02628	Syao.g_02501
OG0000133	Syai.g_01507	Syao.g_00678
OG0000134	Syai.g_00520	Syao.g_01719
OG0000135	Syai.g_02826	Syao.g_00147
OG0000136	Syai.g_02217	Syao.g_01614, Syao.g_01613
OG0000137	Syai.g_00865	Syao.g_02682
OG0000138	Syai.g_00654	Syao.g_00108
OG0000139	Syai.g_00714	Syao.g_01418
OG0000140	Syai.g_00716	Syao.g_01373, Syao.g_01372
OG0000141	Syai.g_01041	Syao.g_01202
OG0000142	Syai.g_01104	Syao.g_00894
OG0000143	Syai.g_01108	Syao.g_00898
OG0000145	Syai.g_00660	Syao.g_00102
OG0000146	Syai.g_01513	Syao.g_00684, Syao.g_00304
OG0000147	Syai.g_01514	Syao.g_00305, Syao.g_00685
OG0000148	Syai.g_01361	Syao.g_00776
OG0000149	Syai.g_02059	Syao.g_00534
OG0000150	Syai.g_00717	Syao.g_01203
OG0000151	Syai.g_01280	Syao.g_00975
OG0000152	Syai.g_01503	Syao.g_00674
OG0000153	Syai.g_01461	Syao.g_00818, Syao.g_01176
OG0000154	Syai.g_01434	Syao.g_00447
OG0000155	Syai.g_02109	Syao.g_00178
OG0000156	Syai.g_02162	Syao.g_00151
OG0000157	Syai.g_02163	Syao.g_00152
OG0000158	Syai.g_00135	Syao.g_01141, Syao.g_02267
OG0000160	Syai.g_00952	Syao.g_01488
OG0000161	Syai.g_00946	Syao.g_01494
OG0000162	Syai.g_00939	Syao.g_01515
OG0000163	Syai.g_02300	Syao.g_01745
OG0000165	Syai.g_02244	Syao.g_01655
OG0000166	Syai.g_00364	Syao.g_01790
OG0000167	Syai.g_00164	Syao.g_01960
OG0000168	Syai.g_00134	Syao.g_02128
OG0000169	Syai.g_00123	Syao.g_02139
OG0000170	Syai.g_00116	Syao.g_02148
OG0000171	Syai.g_00090	Syao.g_02181
OG0000172	Syai.g_00083	Syao.g_02170
OG0000173	Syai.g_00064	Syao.g_02212
OG0000174	Syai.g_02828	Syao.g_02364, Syao.g_02355
OG0000175	Syai.g_02901	Syao.g_02327, Syao.g_00308
OG0000176	Syai.g_00004	Syao.g_02165
OG0000177	Syai.g_00005	Syao.g_02156
OG0000178	Syai.g_00006	Syao.g_02155
OG0000179	Syai.g_00023	Syao.g_02250
OG0000180	Syai.g_00024	Syao.g_02249
OG0000181	Syai.g_00025	Syao.g_02248
OG0000182	Syai.g_00026	Syao.g_02247
OG0000183	Syai.g_00030	Syao.g_02243
OG0000184	Syai.g_02756	Syao.g_02423
OG0000185	Syai.g_02734	Syao.g_02410
OG0000186	Syai.g_02469	Syao.g_02613
OG0000187	Syai.g_02471	Syao.g_02615
OG0000188	Syai.g_02494	Syao.g_02637
OG0000189	Syai.g_02530	Syao.g_02672
OG0000190	Syai.g_02532	Syao.g_01015
OG0000191	Syai.g_02562	Syao.g_02573
OG0000192	Syai.g_02569	Syao.g_02579
OG0000193	Syai.g_02609	Syao.g_02481
OG0000194	Syai.g_02612	Syao.g_02484
OG0000196	Syai.g_02625	Syao.g_02498
OG0000197	Syai.g_02626	Syao.g_02499
OG0000198	Syai.g_02627	Syao.g_02500
OG0000199	Syai.g_02635	Syao.g_02508
OG0000200	Syai.g_02651	Syao.g_02524
OG0000201	Syai.g_02667	Syao.g_02540
OG0000202	Syai.g_02668	Syao.g_02454
OG0000203	Syai.g_02669	Syao.g_02455
OG0000204	Syai.g_02670	Syao.g_02456
