Orthogroup	Syai	Prbf
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prbf.g_00068
OG0000002	Syai.g_01728	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Syai.g_01994	Prbf.g_01264
OG0000004	Syai.g_01062, Syai.g_00530	Prbf.g_01570
OG0000005	Syai.g_02356	Prbf.g_00240
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prbf.g_01580
OG0000007	Syai.g_00657	Prbf.g_01780
OG0000007	Syai.g_02378	Prbf.g_00693
OG0000008	Syai.g_01956	Prbf.g_00793
OG0000008	Syai.g_01955	Prbf.g_00792
OG0000009	Syai.g_01626	Prbf.g_00252
OG0000010	Syai.g_00864	Prbf.g_00847, Prbf.g_01056
OG0000012	Syai.g_01068	Prbf.g_01905
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prbf.g_01665
OG0000014	Syai.g_00220	Prbf.g_01647
OG0000015	Syai.g_01246, Syai.g_01245	Prbf.g_00754, Prbf.g_00708
OG0000016	Syai.g_01785, Syai.g_01632	Prbf.g_00860
OG0000017	Syai.g_00801	Prbf.g_01880
OG0000017	Syai.g_00808	Prbf.g_01887
OG0000018	Syai.g_00915	Prbf.g_00896
OG0000019	Syai.g_00304	Prbf.g_01588, Prbf.g_00894
OG0000020	Syai.g_00476	Prbf.g_00264, Prbf.g_00811
OG0000021	Syai.g_00556	Prbf.g_00265, Prbf.g_01259
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbf.g_00287
OG0000024	Syai.g_01951	Prbf.g_01052, Prbf.g_01288
OG0000025	Syai.g_02044	Prbf.g_01209
OG0000026	Syai.g_00038	Prbf.g_01354
OG0000027	Syai.g_01128, Syai.g_01654	Prbf.g_00817, Prbf.g_00774
OG0000028	Syai.g_00205	Prbf.g_00794
OG0000029	Syai.g_01035, Syai.g_01584	Prbf.g_00804, Prbf.g_00762, Prbf.g_00603
OG0000030	Syai.g_00096, Syai.g_00095	Prbf.g_00484
OG0000031	Syai.g_00197	Prbf.g_00116
OG0000032	Syai.g_00895	Prbf.g_00196
OG0000033	Syai.g_02634	Prbf.g_00123
OG0000034	Syai.g_02192, Syai.g_02604	Prbf.g_00015
OG0000035	Syai.g_00955	Prbf.g_00157
OG0000037	Syai.g_02544, Syai.g_02815	Prbf.g_01437
OG0000038	Syai.g_02780	Prbf.g_00445
OG0000039	Syai.g_02034	Prbf.g_01276
OG0000041	Syai.g_02265, Syai.g_02016	Prbf.g_00646
OG0000042	Syai.g_00099	Prbf.g_00487
OG0000043	Syai.g_01599	Prbf.g_00897
OG0000046	Syai.g_00443, Syai.g_00449, Syai.g_00435	Prbf.g_01666
OG0000047	Syai.g_00462	Prbf.g_01707
OG0000048	Syai.g_00272	Prbf.g_00039
OG0000052	Syai.g_00176	Prbf.g_01380
OG0000053	Syai.g_00930	Prbf.g_00178, Prbf.g_00748
OG0000054	Syai.g_01040	Prbf.g_01889
OG0000057	Syai.g_01997	Prbf.g_01261
OG0000058	Syai.g_00195	Prbf.g_00117
OG0000059	Syai.g_00351	Prbf.g_00606
OG0000061	Syai.g_02144	Prbf.g_00918
OG0000062	Syai.g_02358	Prbf.g_00242
OG0000063	Syai.g_00042	Prbf.g_00808
OG0000064	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668	Prbf.g_01394
OG0000066	Syai.g_01709, Syai.g_00719	Prbf.g_01820, Prbf.g_00781
OG0000067	Syai.g_01321	Prbf.g_01245
OG0000068	Syai.g_00628	Prbf.g_00095
OG0000070	Syai.g_02196	Prbf.g_01734
OG0000071	Syai.g_02179	Prbf.g_00026
OG0000072	Syai.g_02636	Prbf.g_01505
OG0000073	Syai.g_00659	Prbf.g_01783
OG0000075	Syai.g_00161	Prbf.g_00522
OG0000076	Syai.g_00111	Prbf.g_00496
OG0000077	Syai.g_02486	Prbf.g_01405
OG0000078	Syai.g_00543	Prbf.g_01578
OG0000079	Syai.g_00300	Prbf.g_01591
OG0000081	Syai.g_00553, Syai.g_02292	Prbf.g_01812
OG0000082	Syai.g_00781	Prbf.g_01867, Prbf.g_00704
OG0000084	Syai.g_01196, Syai.g_00958	Prbf.g_00154
OG0000085	Syai.g_02365	Prbf.g_00822, Prbf.g_00701
OG0000086	Syai.g_02507	Prbf.g_01414
OG0000087	Syai.g_02592	Prbf.g_01469
OG0000088	Syai.g_02630	Prbf.g_01500
OG0000089	Syai.g_00517	Prbf.g_01701
OG0000090	Syai.g_00707	Prbf.g_01814
OG0000091	Syai.g_01112	Prbf.g_00990
OG0000092	Syai.g_01358	Prbf.g_01315
OG0000093	Syai.g_01306	Prbf.g_01019
OG0000094	Syai.g_01424	Prbf.g_01068
OG0000095	Syai.g_02007	Prbf.g_01170
OG0000097	Syai.g_01787	Prbf.g_00964
OG0000098	Syai.g_01718	Prbf.g_00071
OG0000099	Syai.g_00199	Prbf.g_00118
OG0000100	Syai.g_01372	Prbf.g_00236
OG0000101	Syai.g_00404	Prbf.g_00558
OG0000102	Syai.g_00106	Prbf.g_00491
OG0000103	Syai.g_02912	Prbf.g_00406
OG0000104	Syai.g_02929	Prbf.g_00397
OG0000105	Syai.g_00267	Prbf.g_01614
OG0000106	Syai.g_01601	Prbf.g_00320
OG0000107	Syai.g_00319	Prbf.g_00629
OG0000108	Syai.g_00638	Prbf.g_01763
OG0000109	Syai.g_00653	Prbf.g_01777
OG0000110	Syai.g_00878, Syai.g_00766	Prbf.g_01856
OG0000111	Syai.g_00884, Syai.g_01998	Prbf.g_01260
OG0000112	Syai.g_01512	Prbf.g_01929
OG0000113	Syai.g_01367	Prbf.g_01222
OG0000114	Syai.g_01261	Prbf.g_01320
OG0000115	Syai.g_00932	Prbf.g_00062
OG0000116	Syai.g_02156	Prbf.g_00907
OG0000117	Syai.g_01756	Prbf.g_00945
OG0000118	Syai.g_00818	Prbf.g_00013
OG0000119	Syai.g_02127	Prbf.g_00864, Prbf.g_00254
OG0000120	Syai.g_00198	Prbf.g_00115
OG0000121	Syai.g_00951	Prbf.g_00159
OG0000122	Syai.g_01143	Prbf.g_00055, Prbf.g_00200
OG0000123	Syai.g_00411	Prbf.g_00551
OG0000124	Syai.g_00089	Prbf.g_00478
OG0000125	Syai.g_02782	Prbf.g_00443
OG0000126	Syai.g_02927	Prbf.g_00398
OG0000128	Syai.g_00012	Prbf.g_00382
OG0000129	Syai.g_02771	Prbf.g_01367
OG0000130	Syai.g_02474	Prbf.g_01396
OG0000131	Syai.g_02608	Prbf.g_01478
OG0000132	Syai.g_02628	Prbf.g_01498
OG0000133	Syai.g_01507	Prbf.g_01661
OG0000134	Syai.g_00520	Prbf.g_01703
OG0000135	Syai.g_02826	Prbf.g_00044
OG0000136	Syai.g_02217	Prbf.g_01725
OG0000137	Syai.g_00865	Prbf.g_01758
OG0000138	Syai.g_00654	Prbf.g_01778
OG0000139	Syai.g_00714	Prbf.g_01818
OG0000140	Syai.g_00716	Prbf.g_01819
OG0000141	Syai.g_01041	Prbf.g_01890
OG0000142	Syai.g_01104	Prbf.g_00982
OG0000143	Syai.g_01108	Prbf.g_00986
OG0000144	Syai.g_01608	Prbf.g_01000
OG0000145	Syai.g_00660	Prbf.g_00042
OG0000146	Syai.g_01513	Prbf.g_01928
OG0000147	Syai.g_01514	Prbf.g_01927
OG0000148	Syai.g_01361	Prbf.g_01228
OG0000149	Syai.g_02059	Prbf.g_01196
OG0000150	Syai.g_00717	Prbf.g_01186
OG0000151	Syai.g_01280	Prbf.g_01310
OG0000152	Syai.g_01503	Prbf.g_01117
OG0000153	Syai.g_01461	Prbf.g_01098
OG0000154	Syai.g_01434	Prbf.g_01078
OG0000155	Syai.g_02109	Prbf.g_00939
OG0000156	Syai.g_02162	Prbf.g_00037
OG0000157	Syai.g_02163	Prbf.g_00036
OG0000158	Syai.g_00135	Prbf.g_00514
OG0000160	Syai.g_00952	Prbf.g_00158
OG0000161	Syai.g_00946	Prbf.g_00164
OG0000162	Syai.g_00939	Prbf.g_00170
OG0000163	Syai.g_02300	Prbf.g_00209
OG0000164	Syai.g_02411	Prbf.g_00669
OG0000165	Syai.g_02244	Prbf.g_00662
OG0000166	Syai.g_00364	Prbf.g_00595
OG0000167	Syai.g_00164	Prbf.g_00524
OG0000168	Syai.g_00134	Prbf.g_00513
OG0000169	Syai.g_00123	Prbf.g_00503
OG0000170	Syai.g_00116	Prbf.g_00500
OG0000171	Syai.g_00090	Prbf.g_00479
OG0000172	Syai.g_00083	Prbf.g_00472
OG0000173	Syai.g_00064	Prbf.g_00457
OG0000174	Syai.g_02828	Prbf.g_00428
OG0000175	Syai.g_02901	Prbf.g_00415
OG0000176	Syai.g_00004	Prbf.g_00389
OG0000177	Syai.g_00005	Prbf.g_00388
OG0000178	Syai.g_00006	Prbf.g_00387
OG0000179	Syai.g_00023	Prbf.g_01338
OG0000180	Syai.g_00024	Prbf.g_01339
OG0000181	Syai.g_00025	Prbf.g_01340
OG0000182	Syai.g_00026	Prbf.g_01341
OG0000183	Syai.g_00030	Prbf.g_01345
OG0000184	Syai.g_02756	Prbf.g_01371
OG0000185	Syai.g_02734	Prbf.g_01374
OG0000186	Syai.g_02469	Prbf.g_01390
OG0000187	Syai.g_02471	Prbf.g_01391
OG0000188	Syai.g_00696, Syai.g_02494	Prbf.g_01408
OG0000189	Syai.g_02530	Prbf.g_01422
OG0000190	Syai.g_02532	Prbf.g_01424
