Orthogroup	Syat	Pram
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pram.g_01954, Pram.g_01953
OG0000005	Syat.g_03105	Pram.g_01295
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Pram.g_00229
OG0000007	Syat.g_03191	Pram.g_00433
OG0000007	Syat.g_03124	Pram.g_01632
OG0000008	Syat.g_02626	Pram.g_01263
OG0000008	Syat.g_02627	Pram.g_01262
OG0000010	Syat.g_01372	Pram.g_00704, Pram.g_01000
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Pram.g_00315
OG0000014	Syat.g_02104	Pram.g_00295
OG0000015	Syat.g_00775, Syat.g_01677	Pram.g_00696, Pram.g_01545
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Pram.g_01193
OG0000018	Syat.g_01334	Pram.g_01162
OG0000019	Syat.g_01876	Pram.g_00237, Pram.g_01164
OG0000021	Syat.g_00964	Pram.g_01274, Pram.g_00794
OG0000024	Syat.g_03394	Pram.g_01004, Pram.g_00765
OG0000025	Syat.g_00719	Pram.g_00844
OG0000026	Syat.g_02306	Pram.g_00018
OG0000028	Syat.g_02126	Pram.g_00363, Pram.g_00308
OG0000030	Syat.g_00307, Syat.g_00308	Pram.g_01844
OG0000031	Syat.g_02131	Pram.g_01413
OG0000032	Syat.g_01354	Pram.g_01339
OG0000034	Syat.g_01165, Syat.g_02902	Pram.g_01240
OG0000035	Syat.g_01227, Syat.g_01226	Pram.g_01381, Pram.g_01378
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Pram.g_00093
OG0000038	Syat.g_02688, Syat.g_02686	Pram.g_01884
OG0000039	Syat.g_01278	Pram.g_00777
OG0000041	Syat.g_00785, Syat.g_03006	Pram.g_01680
OG0000042	Syat.g_00223, Syat.g_02222	Pram.g_01841
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Pram.g_01620
OG0000045	Syat.g_00935	Pram.g_01184
OG0000046	Syat.g_01626, Syat.g_01026	Pram.g_00316
OG0000048	Syat.g_02046	Pram.g_00259
OG0000052	Syat.g_02140	Pram.g_00040
OG0000053	Syat.g_01330	Pram.g_01357, Pram.g_01580
OG0000054	Syat.g_00987, Syat.g_03390	Pram.g_00544
OG0000055	Syat.g_00693	Pram.g_01617
OG0000057	Syat.g_00817, Syat.g_02055	Pram.g_00792
OG0000059	Syat.g_01832	Pram.g_01719
OG0000061	Syat.g_03260	Pram.g_01140
OG0000062	Syat.g_03107	Pram.g_01293
OG0000063	Syat.g_02303	Pram.g_01258
OG0000064	Syat.g_01568	Pram.g_00052
OG0000065	Syat.g_01571	Pram.g_00091
OG0000066	Syat.g_03283	Pram.g_01558
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Pram.g_00809
OG0000068	Syat.g_00085, Syat.g_01295	Pram.g_01468
OG0000069	Syat.g_00090, Syat.g_00879	Pram.g_00391
OG0000070	Syat.g_01032, Syat.g_01040	Pram.g_00385
OG0000071	Syat.g_01153	Pram.g_01230
OG0000072	Syat.g_02856, Syat.g_01597	Pram.g_00156
OG0000073	Syat.g_03201	Pram.g_00437
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Pram.g_01807
OG0000076	Syat.g_02206	Pram.g_01833
OG0000077	Syat.g_01481	Pram.g_00063
OG0000078	Syat.g_00184	Pram.g_00227
OG0000079	Syat.g_01879	Pram.g_00240
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200, Syat.g_02420	Pram.g_01408
OG0000081	Syat.g_00980	Pram.g_00469
OG0000082	Syat.g_00035	Pram.g_01559
OG0000085	Syat.g_03113	Pram.g_01265
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Pram.g_00072
OG0000087	Syat.g_02912	Pram.g_00125
OG0000088	Syat.g_02862	Pram.g_00151
OG0000089	Syat.g_02953	Pram.g_00352
OG0000090	Syat.g_03270	Pram.g_00471
OG0000091	Syat.g_00939, Syat.g_00862	Pram.g_01068
OG0000094	Syat.g_00698, Syat.g_01034	Pram.g_00987
OG0000095	Syat.g_00808	Pram.g_00888
OG0000097	Syat.g_00907, Syat.g_00535	Pram.g_01093
OG0000098	Syat.g_03281	Pram.g_01478
OG0000099	Syat.g_02130	Pram.g_01445
OG0000100	Syat.g_00517	Pram.g_01298
OG0000101	Syat.g_01661	Pram.g_01770
OG0000102	Syat.g_00974	Pram.g_01838
OG0000103	Syat.g_02399	Pram.g_01925
OG0000104	Syat.g_02385	Pram.g_01934
OG0000105	Syat.g_02052	Pram.g_00262
OG0000106	Syat.g_00957	Pram.g_00677
OG0000107	Syat.g_02009, Syat.g_01862	Pram.g_01696
OG0000108	Syat.g_03170	Pram.g_00416
OG0000109	Syat.g_03187	Pram.g_00430
OG0000110	Syat.g_00049	Pram.g_00513
OG0000111	Syat.g_00816	Pram.g_00793
OG0000112	Syat.g_00593	Pram.g_00935
OG0000113	Syat.g_00509	Pram.g_00832
OG0000114	Syat.g_00426	Pram.g_00734
OG0000115	Syat.g_01328	Pram.g_01201
OG0000116	Syat.g_02641	Pram.g_01151
OG0000117	Syat.g_00224	Pram.g_01112
OG0000118	Syat.g_01168	Pram.g_01242
OG0000119	Syat.g_00309	Pram.g_01283
OG0000120	Syat.g_02132	Pram.g_01446
