Orthogroup	Syat	Syae
OG0000001	Syat.g_02910, Syat.g_02911	Syae.g_01416
OG0000001	Syat.g_02908, Syat.g_02909	Syae.g_01417
OG0000001	Syat.g_01540	Syae.g_02055
OG0000005	Syat.g_03065	Syae.g_01179
OG0000005	Syat.g_03105	Syae.g_01143
OG0000005	Syat.g_01038	Syae.g_00257
OG0000006	Syat.g_00371	Syae.g_00096
OG0000006	Syat.g_01439, Syat.g_01865	Syae.g_02030, Syae.g_02248
OG0000007	Syat.g_03191	Syae.g_02328
OG0000007	Syat.g_03124	Syae.g_01163
OG0000008	Syat.g_02626	Syae.g_00753
OG0000008	Syat.g_02627	Syae.g_00752
OG0000009	Syat.g_01567	Syae.g_00100, Syae.g_01361
OG0000010	Syat.g_01372	Syae.g_02529
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syae.g_02397, Syae.g_02562
OG0000013	Syat.g_01027	Syae.g_02155
OG0000014	Syat.g_02104	Syae.g_01930
OG0000014	Syat.g_02250	Syae.g_01850
OG0000016	Syat.g_02329	Syae.g_01726
OG0000016	Syat.g_00909	Syae.g_00681
OG0000018	Syat.g_01334	Syae.g_02625
OG0000019	Syat.g_01876	Syae.g_02015
OG0000021	Syat.g_00964	Syae.g_01261, Syae.g_00481
OG0000022	Syat.g_00210	Syae.g_00144
OG0000025	Syat.g_00719	Syae.g_00833
OG0000026	Syat.g_02306	Syae.g_01748
OG0000027	Syat.g_00850	Syae.g_00103, Syae.g_00814
OG0000028	Syat.g_02126	Syae.g_01916
OG0000030	Syat.g_00307	Syae.g_01817
OG0000030	Syat.g_00308	Syae.g_01816
OG0000031	Syat.g_02131	Syae.g_01911
OG0000032	Syat.g_01354	Syae.g_02607
OG0000033	Syat.g_02858	Syae.g_01453
OG0000034	Syat.g_01165, Syat.g_02902	Syae.g_00975, Syae.g_01424
OG0000035	Syat.g_01227, Syat.g_01226	Syae.g_02653
OG0000037	Syat.g_00849, Syat.g_00187	Syae.g_01367
OG0000038	Syat.g_02688	Syae.g_01571
OG0000039	Syat.g_01278	Syae.g_00822, Syae.g_02495
OG0000040	Syat.g_02551	Syae.g_01653
OG0000042	Syat.g_00223, Syat.g_02222	Syae.g_01821
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Syae.g_00098
OG0000045	Syat.g_00935	Syae.g_00732
OG0000046	Syat.g_01626, Syat.g_01026	Syae.g_02154
OG0000048	Syat.g_02046	Syae.g_01982
OG0000052	Syat.g_02140	Syae.g_01886
OG0000053	Syat.g_01330	Syae.g_02629
OG0000054	Syat.g_00987, Syat.g_03390	Syae.g_00221
OG0000057	Syat.g_00817, Syat.g_02055	Syae.g_00782
OG0000058	Syat.g_02133, Syat.g_02238	Syae.g_01905, Syae.g_01227
OG0000059	Syat.g_01832	Syae.g_02074
OG0000060	Syat.g_01384	Syae.g_02306
OG0000060	Syat.g_01047	Syae.g_00649
OG0000061	Syat.g_03260	Syae.g_00921
OG0000062	Syat.g_03107	Syae.g_01145
OG0000063	Syat.g_02303	Syae.g_01752
OG0000064	Syat.g_01568	Syae.g_01631
OG0000066	Syat.g_03283	Syae.g_02386
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Syae.g_00521
OG0000068	Syat.g_00085, Syat.g_01295	Syae.g_02299
OG0000070	Syat.g_01032, Syat.g_01040	Syae.g_00979
OG0000072	Syat.g_02856	Syae.g_01455
OG0000073	Syat.g_03201	Syae.g_02330
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syae.g_01871
OG0000076	Syat.g_02206	Syae.g_01829
OG0000078	Syat.g_00184	Syae.g_02243
OG0000079	Syat.g_01879	Syae.g_02011
OG0000081	Syat.g_00980	Syae.g_02261
OG0000082	Syat.g_00035	Syae.g_02447
OG0000085	Syat.g_03113	Syae.g_01152
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syae.g_01333
OG0000087	Syat.g_02912	Syae.g_01414
OG0000088	Syat.g_02862	Syae.g_01449
OG0000089	Syat.g_02953	Syae.g_02219
OG0000090	Syat.g_03270	Syae.g_02374
OG0000091	Syat.g_00939, Syat.g_00862	Syae.g_00082
OG0000092	Syat.g_00825	Syae.g_00884
OG0000094	Syat.g_00698	Syae.g_00430
OG0000095	Syat.g_00808	Syae.g_00793, Syae.g_00259
OG0000098	Syat.g_03281	Syae.g_02384, Syae.g_02058
OG0000099	Syat.g_02130	Syae.g_01913
OG0000100	Syat.g_00517	Syae.g_00489
OG0000102	Syat.g_00974	Syae.g_01824
OG0000104	Syat.g_02385	Syae.g_01708
OG0000105	Syat.g_02052	Syae.g_01977
OG0000106	Syat.g_00957	Syae.g_00272
OG0000107	Syat.g_02009, Syat.g_01862	Syae.g_02032
OG0000108	Syat.g_03170	Syae.g_02309
OG0000110	Syat.g_00049	Syae.g_02435
OG0000111	Syat.g_00816	Syae.g_00783
OG0000112	Syat.g_00593	Syae.g_00351
OG0000113	Syat.g_00509	Syae.g_00494
OG0000114	Syat.g_00426	Syae.g_00575
OG0000115	Syat.g_01328	Syae.g_02631
OG0000116	Syat.g_02641	Syae.g_00939
OG0000117	Syat.g_00224	Syae.g_00647
OG0000118	Syat.g_01168	Syae.g_02479
